signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.79564376597943e-05,9.77076441873994e-31,8.130084959820101e-08,6.795643765979148e-05,1.4965352612611503e-29,5.275481546351737e-07,6.795643765953387e-05,6.812687497772821e-30,1.358174308488326e-07,6.0942567617568305e-05,3.7249356242710638e-25,0.00016528663712774542
2,6.795643765977117e-05,5.497577380981063e-30,2.747949630924752e-06,6.795643765954122e-05,6.69484201118911e-30,4.361590699265902e-06,6.795643765613732e-05,1.6056724648829445e-27,-2.3146875581775047e-06,6.094256757770647e-05,1.4670428581080002e-23,0.00849295838866661
3,6.795643765933463e-05,1.898382697443866e-30,4.264087479490792e-06,6.795643765938592e-05,6.137394881334229e-30,1.58995814546031e-07,6.795643766201879e-05,2.7734631248818175e-28,-2.1259713394704832e-05,6.0942567514153205e-05,2.2688804796832043e-24,0.0011787349361433138
4,6.795643766019709e-05,2.283132918637583e-30,2.8059399227595292e-06,6.79564376595257e-05,3.385836723148231e-30,-1.8191008522246643e-06,6.795643766795441e-05,1.084259751887921e-27,0.0001135236018735769,6.0942567752691215e-05,4.0303249286358236e-25,0.002487920613755698
5,1.322604470355561,3.959941983510338,22153970891.434063,6.795663820245457e-05,4.370396785961163e-16,1.9412434791594546,6.795676180769547e-05,9.536828869867519e-17,0.9341610664475926,0.00013420407749311546,1.9318801916629595e-06,4201152.826356758
6,4.997488447747656,1.3172071855924011e-11,30802.379997234006,6.800481345665403e-05,2.909551909187144e-13,472.49848354458504,6.79572235310059e-05,2.6681212964267707e-16,5.558487061717155,4.552927634536053e-05,7.937418107371386e-09,-214108.52408501264
7,4.161589444095594,2.7105621806155384,-16768223768.580755,3.567793110140661,4.4661053521969185,22204889342.133213,6.795635563596447e-05,4.3612172998264246e-16,-1.381192993916864,0.0003888008394395863,3.408943094487767e-06,682919.8662550708
8,0.0004340073873170907,3.284196146546465e-05,-77824.26573546656,4.997489639786251,4.619407803172981e-13,3940.793636314181,6.795751268313729e-05,2.6964357982906176e-16,17.475415864678876,-0.00043510659143834913,8.371508765786329e-07,-6747644.243904381
9,3.263278867701996,3.890349121281353,19687902560.271626,4.997489978619864,9.672848366939558e-14,219.01776295795094,6.795546714222301e-05,1.150686341868873e-16,18.45549549482983,0.0007341065335263589,2.5482582848950374e-06,-8183362.696294812
10,4.997612087644631,7.120816138855421e-07,2239150.6553491205,4.997490136836862,2.771739888346784e-14,-38.4846999108598,1.2581057699632043,3.2277594458804386,17648081352.83101,0.00018587646332087995,7.536564962667686e-07,2291557.9013193613
11,2.65630914710387,4.706306913457855,-30227324015.915264,4.997490171409217,2.0281880697186205e-14,25.66110585006273,4.994999298240745,2.854374591502807e-05,39670781.21276472,0.00019964418235397544,5.782801723508682e-07,-3335374.60301479
12,0.8054503737348402,2.4369014326688303,11656281380.336842,4.997490202122754,1.3922944690659133e-14,10.994158186554714,4.997489742739687,6.412272443084975e-12,3544.2990726344583,0.00010413611475918059,2.0634297947284563e-06,1938546.6464290542
13,4.996708724414976,6.142230139675933e-06,10775774.179792747,4.997490217458044,8.856900782787859e-17,-5.163086524548126,4.997490095603789,7.670578233088677e-13,289.94863804294516,4.9606330011313645e-05,1.8555262762415044e-09,165242.95837449227
14,4.501909048941808,1.5450000207898178,-9144259275.083298,4.9974902209569105,1.133419527216997e-14,-1.6604533710999798,4.997490140534965,1.5057745673136459e-13,263.31030213560376,0.000123401411318584,3.994374428639958e-07,-11924.046554833174
15,0.04824323179505171,0.01833129779798827,-908905012.3730603,4.997490228413783,2.411921538011233e-18,16.08043776545943,4.997490185982893,5.5752649808828045e-15,51.90543262002634,5.856205523495466e-05,6.374074942072896e-11,43739.29624922702
16,1.9606429723391208,4.891639797005232,32686675845.216988,4.997490231059902,1.7019777198635844e-14,-16.131924558953287,4.997490201361321,1.1274328952511879e-14,11.970625317104137,0.0001089259904776641,2.5787129494433813e-06,3290360.939553121
17,4.997447904448759,1.8447692325243375e-08,-688606.8060959169,4.997449273441221,1.75087497751722e-08,-749728.511513073,4.997449227419001,1.7487925406433715e-08,-750125.291705779,0.2596236170147554,0.15690059249082539,4147597905.3398013
18,2.6054301060307745,4.720355679912047,-29338036479.91,2.6054769091890786,4.720362833423745,-29338160393.380005,2.6055653770686713,4.720305830762922,-29338348408.31586,3.943436853178853,1.1606215456178257,14000295098.60043
19,0.015584793288955113,0.0042845615348965195,273684990.0412878,6.708083609213415e-05,4.71611206107759e-10,32872.91990368566,6.708090191869004e-05,4.714564297835998e-10,32884.546428022644,4.997268579615399,3.647310084662907e-05,-4902763.654034665
20,3.6964325019754147,3.0305535808760333,14304954037.054365,6.778442662390209e-05,2.17588751266315e-11,-1093.6040846467242,6.778451227046804e-05,2.1670222426990445e-11,-1088.6698654089514,4.985980504937186,0.00011892769557602894,112005960.62351458
21,4.994483237068387,0.0007018140421494332,-65909812.175877325,2.3090181139988055,5.6302522208976065,27916441457.03965,6.797336074729996e-05,4.098770610780008e-12,-665.6624774438617,4.996391670688136,0.0001364879999884714,37074211.09103638
22,0.8660135054339447,1.7132706121813122,-8889738817.351646,4.997466696626824,5.112018030251829e-10,193094.36480769477,6.796639998551371e-05,1.0654012858557516e-13,-15.059889660125302,4.999231973746277,8.109452506005254e-06,-19836272.434556212
23,1.6337691831579675,4.528375716265127,30212484764.329685,4.9974890428986,2.9607089337855545e-13,5216.368592238389,6.795323619344846e-05,3.1282695545907487e-14,32.16800312876366,4.991395908771668,0.00012604192312082603,-49972275.64260417
24,4.997486258166975,6.898249890871238e-10,18333.656007009,4.997489851875829,4.2749346076935994e-14,708.5287860313376,7.118600754345693e-05,1.2179342812941894e-10,41412.24657422337,4.997464576822269,9.572532039799202e-08,1476162.2511752201
25,3.725067434213032,3.765019035703881,-25602098345.961292,3.725352617994572,3.764408353268424,-25599153649.24554,3.193622336261966,4.5338874767554564,28443263728.59977,5.003096337368467,0.00013642036159356902,5113736.777594218
26,9.58382938915703e-05,3.71140106734852e-08,-711545.8241015909,9.59593829129076e-05,3.702614261530218e-08,-711103.6072014732,4.997485422897824,7.818850555691782e-11,60750.7387802556,4.997356454583674,3.121111632366833e-08,817881.7564464565
27,2.3528520758303015,5.033596744708404,29696340954.052364,6.791511648197561e-05,2.223472053286236e-13,476.84151051493984,4.9974890813183475,6.705601787276175e-12,1839.4720132260202,4.98992008269108,0.00013843471258873736,14837432.06172854
