FeaturesParamTransientDCPNN.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=0) Y,7.683914e-02,2.802291e-25,-3.504392e-12
/out0 (Vin=0.01073826) Y,7.683915e-02,6.602400e-26,-7.173492e-13
/out0 (Vin=0.02147651) Y,7.683915e-02,7.115931e-25,-1.295966e-14
/out0 (Vin=0.03221477) Y,7.683916e-02,9.559889e-26,6.453519e-12
/out0 (Vin=0.04295302) Y,7.683916e-02,1.310636e-25,-2.029598e-12
/out0 (Vin=0.05369128) Y,7.683917e-02,1.001639e-25,2.467572e-12
/out0 (Vin=0.06442953) Y,7.683918e-02,8.057341e-17,1.441963e-06
/out0 (Vin=0.07516779) Y,7.683920e-02,5.917686e-25,-3.246544e-12
/out0 (Vin=0.08590604) Y,7.683922e-02,2.660812e-25,5.951898e-12
/out0 (Vin=0.0966443) Y,7.683926e-02,4.713696e-26,2.642102e-12
/out0 (Vin=0.1073826) Y,7.683930e-02,4.151017e-25,7.946379e-12
/out0 (Vin=0.1181208) Y,7.683936e-02,4.954008e-15,1.130690e-05
/out0 (Vin=0.1288591) Y,7.683945e-02,2.886611e-15,8.630921e-06
/out0 (Vin=0.1395973) Y,7.683957e-02,1.871527e-25,-6.027502e-12
/out0 (Vin=0.1503356) Y,7.683973e-02,2.331970e-25,5.032639e-12
/out0 (Vin=0.1610738) Y,7.683995e-02,6.309854e-17,1.276044e-06
/out0 (Vin=0.1718121) Y,7.684025e-02,4.485741e-17,1.075915e-06
/out0 (Vin=0.1825503) Y,7.684065e-02,8.035205e-17,1.439985e-06
/out0 (Vin=0.1932886) Y,7.684118e-02,1.063014e-18,1.656199e-07
/out0 (Vin=0.2040268) Y,7.684189e-02,1.281585e-25,-5.368688e-12
/out0 (Vin=0.2147651) Y,7.684284e-02,1.193012e-25,7.942238e-12
/out0 (Vin=0.2255034) Y,7.684408e-02,2.767494e-26,1.063507e-12
/out0 (Vin=0.2362416) Y,7.684571e-02,8.091663e-17,1.445045e-06
/out0 (Vin=0.2469799) Y,7.684782e-02,8.102819e-17,1.446029e-06
/out0 (Vin=0.2577181) Y,7.685054e-02,5.898880e-25,8.566009e-12
/out0 (Vin=0.2684564) Y,7.685401e-02,8.135655e-17,1.448946e-06
/out0 (Vin=0.2791946) Y,7.685842e-02,8.949378e-26,3.700583e-12
/out0 (Vin=0.2899329) Y,7.686398e-02,2.149687e-24,1.587856e-11
/out0 (Vin=0.3006711) Y,7.687094e-02,3.143883e-25,6.048196e-12
/out0 (Vin=0.3114094) Y,7.687959e-02,4.061937e-25,4.690355e-12
/out0 (Vin=0.3221477) Y,7.689027e-02,1.169975e-24,1.371862e-11
/out0 (Vin=0.3328859) Y,7.690340e-02,1.984370e-25,-1.084560e-12
/out0 (Vin=0.3436242) Y,7.691945e-02,8.746656e-26,3.284786e-12
/out0 (Vin=0.3543624) Y,7.693897e-02,1.496118e-25,-6.218409e-13
/out0 (Vin=0.3651007) Y,7.696261e-02,2.668447e-26,-1.243844e-13
/out0 (Vin=0.3758389) Y,7.699106e-02,4.293333e-13,1.052763e-04
/out0 (Vin=0.3865772) Y,7.702533e-02,8.971531e-17,1.521579e-06
/out0 (Vin=0.3973154) Y,7.706618e-02,1.014137e-25,1.830727e-12
/out0 (Vin=0.4080537) Y,7.711473e-02,5.560731e-25,3.911444e-12
/out0 (Vin=0.4187919) Y,7.717207e-02,9.972044e-25,3.930477e-12
/out0 (Vin=0.4295302) Y,7.723938e-02,4.134440e-26,9.850206e-13
/out0 (Vin=0.4402685) Y,7.731784e-02,1.213760e-24,9.253219e-12
/out0 (Vin=0.4510067) Y,7.740862e-02,8.850749e-25,9.928442e-12
/out0 (Vin=0.461745) Y,7.751282e-02,7.264384e-26,1.138993e-12
/out0 (Vin=0.4724832) Y,7.763144e-02,1.326481e-16,1.850167e-06
/out0 (Vin=0.4832215) Y,7.776536e-02,1.443289e-16,1.929922e-06
/out0 (Vin=0.4939597) Y,7.791529e-02,1.585315e-16,2.022641e-06
/out0 (Vin=0.504698) Y,7.808176e-02,3.930885e-25,8.544189e-12
/out0 (Vin=0.5154362) Y,7.826515e-02,9.986876e-17,1.605374e-06
/out0 (Vin=0.5261745) Y,7.846566e-02,4.055882e-26,-2.955579e-12
/out0 (Vin=0.5369128) Y,7.868333e-02,3.265223e-25,-5.271480e-12
/out0 (Vin=0.547651) Y,7.891808e-02,7.845198e-26,3.198280e-13
/out0 (Vin=0.5583893) Y,7.916971e-02,5.506057e-26,5.176694e-13
/out0 (Vin=0.5691275) Y,7.943794e-02,4.943103e-26,8.477393e-13
/out0 (Vin=0.5798658) Y,7.972241e-02,1.090825e-25,-4.317442e-12
/out0 (Vin=0.590604) Y,8.002271e-02,2.412477e-25,5.798283e-12
