FeaturesParamTransientDCNNP.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=0.7946309) Y,1.467076e+00,1.498092e-23,-1.357304e-11
/out0 (Vin=0.8053691) Y,1.469593e+00,1.833732e-23,7.169714e-11
/out0 (Vin=0.8161074) Y,1.471782e+00,1.006397e-23,-4.156968e-11
/out0 (Vin=0.8268456) Y,1.473680e+00,1.017759e-23,-3.284744e-11
/out0 (Vin=0.8375839) Y,1.475320e+00,3.517165e-23,-5.474366e-11
/out0 (Vin=0.8483221) Y,1.476739e+00,1.238451e-22,-1.466603e-10
/out0 (Vin=0.8590604) Y,1.477968e+00,1.583260e-20,-2.644830e-09
/out0 (Vin=0.8697987) Y,1.479038e+00,3.178190e-23,-4.070424e-11
/out0 (Vin=0.8805369) Y,1.479976e+00,3.064838e-23,6.324348e-11
/out0 (Vin=0.8912752) Y,1.480803e+00,6.958724e-23,6.855510e-11
/out0 (Vin=0.9020134) Y,1.481541e+00,4.758166e-24,5.290054e-11
/out0 (Vin=0.9127517) Y,1.482203e+00,2.249275e-23,1.971101e-11
/out0 (Vin=0.9234899) Y,1.482805e+00,7.672709e-24,5.269924e-11
/out0 (Vin=0.9342282) Y,1.483355e+00,2.372406e-22,2.372641e-09
/out0 (Vin=0.9449664) Y,1.483863e+00,2.568466e-23,6.161055e-11
/out0 (Vin=0.9557047) Y,1.484335e+00,6.922290e-24,-3.942876e-11
/out0 (Vin=0.966443) Y,1.484776e+00,3.836916e-23,3.164625e-11
/out0 (Vin=0.9771812) Y,1.485191e+00,5.114941e-24,-6.400748e-11
/out0 (Vin=0.9879195) Y,1.485583e+00,9.779933e-24,4.752950e-11
/out0 (Vin=0.9986577) Y,1.485955e+00,1.194917e-22,-5.998443e-11
/out0 (Vin=1.009396) Y,1.486309e+00,8.089586e-24,4.273885e-11
/out0 (Vin=1.020134) Y,1.486647e+00,7.978673e-23,-5.343102e-11
/out0 (Vin=1.030872) Y,1.486972e+00,3.349947e-23,-1.351244e-10
/out0 (Vin=1.041611) Y,1.487283e+00,5.539184e-23,-5.130994e-11
/out0 (Vin=1.052349) Y,1.487583e+00,1.718550e-23,4.815208e-11
/out0 (Vin=1.063087) Y,1.487872e+00,1.362346e-23,-7.596343e-11
/out0 (Vin=1.073826) Y,1.488151e+00,4.737285e-24,-4.416490e-11
/out0 (Vin=1.084564) Y,1.488422e+00,9.098518e-24,1.456765e-11
/out0 (Vin=1.095302) Y,1.488684e+00,7.735568e-24,4.796359e-11
/out0 (Vin=1.10604) Y,1.488938e+00,2.939226e-23,7.343350e-11
/out0 (Vin=1.116779) Y,1.489184e+00,1.863951e-23,2.221074e-11
