FeaturesParamTransientDCPPA.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=0.8053691) Y,8.853456e-02,3.383113e-25,2.022658e-12
/out0 (Vin=0.8161074) Y,8.903789e-02,4.165471e-25,1.207070e-11
/out0 (Vin=0.8268456) Y,8.954324e-02,3.357435e-25,-2.521017e-13
/out0 (Vin=0.8375839) Y,9.004901e-02,5.014961e-14,3.597416e-05
/out0 (Vin=0.8483221) Y,9.055395e-02,5.958930e-14,3.921419e-05
/out0 (Vin=0.8590604) Y,9.105677e-02,7.043041e-14,4.263257e-05
/out0 (Vin=0.8697987) Y,9.155616e-02,5.989252e-16,3.931209e-06
/out0 (Vin=0.8805369) Y,9.205067e-02,9.671825e-14,4.995976e-05
/out0 (Vin=0.8912752) Y,9.253886e-02,8.815965e-13,1.508515e-04
/out0 (Vin=0.9020134) Y,9.301934e-02,1.389798e-13,5.988913e-05
/out0 (Vin=0.9127517) Y,9.349040e-02,5.927737e-14,3.911162e-05
/out0 (Vin=0.9234899) Y,9.395040e-02,1.691412e-13,6.606946e-05
/out0 (Vin=0.9342282) Y,9.439771e-02,1.912495e-13,7.025520e-05
/out0 (Vin=0.9449664) Y,9.483060e-02,2.324373e-13,7.745246e-05
/out0 (Vin=0.9557047) Y,9.524741e-02,1.756794e-15,6.732975e-06
/out0 (Vin=0.966443) Y,9.564622e-02,2.787428e-12,2.682766e-04
/out0 (Vin=0.9771812) Y,9.602582e-02,3.385110e-13,9.347104e-05
/out0 (Vin=0.9879195) Y,9.638441e-02,1.385202e-16,-1.890826e-06
/out0 (Vin=0.9986577) Y,9.672065e-02,5.972052e-15,1.241399e-05
/out0 (Vin=1.009396) Y,9.703352e-02,3.448172e-19,-9.434250e-08
/out0 (Vin=1.020134) Y,9.732222e-02,6.816639e-19,-1.326471e-07
/out0 (Vin=1.030872) Y,9.758643e-02,5.984071e-19,-1.242753e-07
/out0 (Vin=1.041611) Y,9.782626e-02,7.352518e-19,-1.377329e-07
/out0 (Vin=1.052349) Y,9.804238e-02,3.046933e-16,-2.804353e-06
/out0 (Vin=1.063087) Y,9.823594e-02,6.294601e-19,-1.274452e-07
/out0 (Vin=1.073826) Y,9.840828e-02,1.045630e-11,5.197450e-04
/out0 (Vin=1.084564) Y,9.856215e-02,7.770516e-19,-1.416217e-07
/out0 (Vin=1.095302) Y,9.869888e-02,6.034696e-19,-1.247988e-07
/out0 (Vin=1.10604) Y,9.882085e-02,5.796098e-13,1.223129e-04
/out0 (Vin=1.116779) Y,9.893028e-02,3.417238e-13,9.391357e-05
/out0 (Vin=1.127517) Y,9.902892e-02,1.462126e-12,1.942815e-04
/out0 (Vin=1.138255) Y,9.911862e-02,3.499363e-13,9.503548e-05
/out0 (Vin=1.148993) Y,9.920071e-02,8.151082e-25,-1.462538e-11
/out0 (Vin=1.159732) Y,9.927617e-02,3.722813e-12,3.100471e-04
/out0 (Vin=1.17047) Y,9.934653e-02,1.457259e-23,-6.044472e-10
/out0 (Vin=1.181208) Y,9.941211e-02,3.571499e-23,9.538335e-10
/out0 (Vin=1.191946) Y,9.947373e-02,6.552696e-23,1.298996e-09
/out0 (Vin=1.202685) Y,9.953188e-02,6.261913e-13,1.271335e-04
/out0 (Vin=1.213423) Y,9.958718e-02,7.947655e-23,1.426926e-09
/out0 (Vin=1.224161) Y,9.963981e-02,3.088563e-22,2.817159e-09
/out0 (Vin=1.234899) Y,9.969009e-02,3.200647e-13,9.088768e-05
/out0 (Vin=1.245638) Y,9.973834e-02,4.466095e-13,1.073639e-04
/out0 (Vin=1.256376) Y,9.978475e-02,5.607730e-13,1.203079e-04
/out0 (Vin=1.267114) Y,9.982949e-02,6.423672e-13,1.287646e-04
/out0 (Vin=1.277852) Y,9.987271e-02,6.743771e-13,1.319343e-04
/out0 (Vin=1.288591) Y,9.991454e-02,6.497941e-13,1.295070e-04
/out0 (Vin=1.299329) Y,9.995511e-02,4.329330e-13,1.057076e-04
/out0 (Vin=1.310067) Y,9.999448e-02,4.521759e-13,1.080312e-04
/out0 (Vin=1.320805) Y,1.000327e-01,7.637031e-13,1.404862e-04
/out0 (Vin=1.331544) Y,1.000700e-01,7.757943e-13,1.415097e-04
/out0 (Vin=1.342282) Y,1.001064e-01,1.224938e-24,1.189154e-11
/out0 (Vin=1.35302) Y,1.001417e-01,7.025840e-13,1.346662e-04
/out0 (Vin=1.363758) Y,1.001763e-01,4.890019e-25,1.371066e-11
/out0 (Vin=1.374497) Y,1.002101e-01,3.183986e-25,2.886671e-12
/out0 (Vin=1.385235) Y,1.002431e-01,1.601689e-23,6.176776e-10
/out0 (Vin=1.395973) Y,1.002754e-01,3.227505e-24,1.821726e-11
/out0 (Vin=1.406711) Y,1.003070e-01,2.978810e-24,-6.958996e-12
/out0 (Vin=1.41745) Y,1.003379e-01,1.751524e-13,6.723354e-05
/out0 (Vin=1.428188) Y,1.003683e-01,1.339161e-24,-2.463406e-11
/out0 (Vin=1.438926) Y,1.003981e-01,4.087293e-25,-7.075505e-12
/out0 (Vin=1.449664) Y,1.004274e-01,4.765816e-25,1.502565e-11
/out0 (Vin=1.460403) Y,1.004560e-01,1.548614e-25,-9.357613e-12
/out0 (Vin=1.471141) Y,1.004842e-01,9.834093e-26,4.109481e-12
/out0 (Vin=1.481879) Y,1.005119e-01,1.027739e-24,5.649225e-12
/out0 (Vin=1.492617) Y,1.005391e-01,1.541814e-25,2.250246e-12
/out0 (Vin=1.503356) Y,1.005659e-01,4.343634e-25,1.516708e-11
/out0 (Vin=1.514094) Y,1.005922e-01,1.113888e-24,-9.253842e-12
/out0 (Vin=1.524832) Y,1.006181e-01,1.210460e-24,-1.480638e-11
/out0 (Vin=1.53557) Y,1.006436e-01,1.607098e-24,-2.898836e-12
/out0 (Vin=1.546309) Y,1.006687e-01,1.057601e-25,1.984693e-11
/out0 (Vin=1.557047) Y,1.006934e-01,6.166118e-25,1.891126e-11
/out0 (Vin=1.567785) Y,1.007178e-01,3.923010e-25,-3.784374e-12
/out0 (Vin=1.578523) Y,1.007418e-01,1.986013e-24,1.267639e-11
/out0 (Vin=1.589262) Y,1.007655e-01,7.781336e-25,-3.926887e-12
/out0 (Vin=1.6) Y,1.007888e-01,1.366001e-24,-2.340284e-12
Stage 2 Output
/out1 (Vin=0) Y,7.503370e-02,7.804388e-25,-1.288619e-11
/out1 (Vin=0.01073826) Y,7.503370e-02,2.539885e-25,8.648224e-12
/out1 (Vin=0.02147651) Y,7.503370e-02,3.282883e-25,-4.923006e-12
/out1 (Vin=0.03221477) Y,7.503370e-02,2.120963e-25,4.033564e-12
/out1 (Vin=0.04295302) Y,7.503370e-02,3.396344e-26,1.077582e-12
/out1 (Vin=0.05369128) Y,7.503370e-02,7.236153e-25,-6.351752e-12
/out1 (Vin=0.06442953) Y,7.503370e-02,2.983005e-25,-3.727756e-13
/out1 (Vin=0.07516779) Y,7.503370e-02,2.053617e-26,8.213848e-12
/out1 (Vin=0.08590604) Y,7.503370e-02,9.474721e-26,4.493115e-12
/out1 (Vin=0.0966443) Y,7.503370e-02,2.188705e-24,1.704881e-11
/out1 (Vin=0.1073826) Y,7.503370e-02,5.188336e-26,7.324657e-12
/out1 (Vin=0.1181208) Y,7.503370e-02,1.378971e-25,5.825946e-11
/out1 (Vin=0.1288591) Y,7.503370e-02,4.592980e-25,4.772699e-11
/out1 (Vin=0.1395973) Y,7.503370e-02,4.457507e-26,-3.364756e-13
/out1 (Vin=0.1503356) Y,7.503370e-02,5.864127e-26,4.710612e-12
/out1 (Vin=0.1610738) Y,7.503370e-02,7.842392e-26,1.555273e-11
/out1 (Vin=0.1718121) Y,7.503370e-02,6.922401e-26,3.787672e-12
/out1 (Vin=0.1825503) Y,7.503370e-02,3.731548e-25,1.056054e-11
/out1 (Vin=0.1932886) Y,7.503370e-02,5.046652e-23,1.151460e-09
/out1 (Vin=0.2040268) Y,7.503370e-02,5.412031e-25,4.079742e-12
/out1 (Vin=0.2147651) Y,7.503370e-02,4.350020e-25,6.856240e-12
/out1 (Vin=0.2255034) Y,7.503370e-02,3.231469e-26,4.823708e-12
/out1 (Vin=0.2362416) Y,7.503370e-02,1.798505e-25,6.749971e-13
/out1 (Vin=0.2469799) Y,7.503370e-02,6.900573e-25,4.781937e-12
/out1 (Vin=0.2577181) Y,7.503370e-02,1.418778e-25,6.537083e-12
/out1 (Vin=0.2684564) Y,7.503370e-02,1.355570e-25,7.733555e-12
