FeaturesParamTransientDCNPN.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=0) Y,2.511617e-01,1.271672e-19,5.748634e-08
/out0 (Vin=0.01073826) Y,2.511624e-01,3.346980e-22,3.089559e-10
/out0 (Vin=0.02147651) Y,2.511634e-01,8.129682e-18,4.577070e-07
/out0 (Vin=0.03221477) Y,2.511647e-01,1.548768e-23,-3.753797e-11
/out0 (Vin=0.04295302) Y,2.511665e-01,2.217423e-22,2.160202e-10
/out0 (Vin=0.05369128) Y,2.511690e-01,3.889471e-18,-3.166731e-07
/out0 (Vin=0.06442953) Y,2.511725e-01,1.289919e-22,4.655055e-11
/out0 (Vin=0.07516779) Y,2.511774e-01,1.165534e-22,1.034882e-10
/out0 (Vin=0.08590604) Y,2.511841e-01,1.180925e-18,-1.746718e-07
/out0 (Vin=0.0966443) Y,2.511932e-01,1.588937e-12,2.024883e-04
/out0 (Vin=0.1073826) Y,2.512060e-01,1.930290e-15,7.057093e-06
/out0 (Vin=0.1181208) Y,2.512235e-01,6.299517e-23,2.856536e-10
/out0 (Vin=0.1288591) Y,2.512476e-01,3.774748e-23,4.783155e-12
/out0 (Vin=0.1395973) Y,2.512804e-01,4.193071e-22,1.462270e-10
/out0 (Vin=0.1503356) Y,2.513251e-01,4.273540e-16,-3.320949e-06
/out0 (Vin=0.1610738) Y,2.513858e-01,9.033497e-23,2.806414e-11
/out0 (Vin=0.1718121) Y,2.514678e-01,2.462430e-19,7.972873e-08
/out0 (Vin=0.1825503) Y,2.515782e-01,6.107734e-22,1.591468e-10
/out0 (Vin=0.1932886) Y,2.517258e-01,1.533134e-17,6.288855e-07
/out0 (Vin=0.2040268) Y,2.519222e-01,6.412060e-23,5.301787e-11
/out0 (Vin=0.2147651) Y,2.521818e-01,1.562072e-18,2.004856e-07
/out0 (Vin=0.2255034) Y,2.525226e-01,4.933038e-19,1.130056e-07
/out0 (Vin=0.2362416) Y,2.529668e-01,6.641896e-19,1.309370e-07
/out0 (Vin=0.2469799) Y,2.535416e-01,1.190903e-16,1.753071e-06
/out0 (Vin=0.2577181) Y,2.542799e-01,1.398313e-17,6.004607e-07
/out0 (Vin=0.2684564) Y,2.552212e-01,6.392667e-15,1.284243e-05
/out0 (Vin=0.2791946) Y,2.564130e-01,1.664316e-22,-1.113825e-11
/out0 (Vin=0.2899329) Y,2.579122e-01,9.949603e-16,5.066392e-06
/out0 (Vin=0.3006711) Y,2.597876e-01,8.881339e-22,2.804786e-10
/out0 (Vin=0.3114094) Y,2.621226e-01,1.003695e-22,-8.590842e-11
/out0 (Vin=0.3221477) Y,2.650205e-01,3.576222e-23,-6.838073e-11
/out0 (Vin=0.3328859) Y,2.686109e-01,3.247166e-22,2.391120e-11
/out0 (Vin=0.3436242) Y,2.730608e-01,2.441076e-13,7.936266e-05
/out0 (Vin=0.3543624) Y,2.785920e-01,1.751014e-22,2.466324e-10
/out0 (Vin=0.3651007) Y,2.855082e-01,1.478560e-13,6.176570e-05
/out0 (Vin=0.3758389) Y,2.942440e-01,1.531106e-13,6.285319e-05
/out0 (Vin=0.3865772) Y,3.054480e-01,9.057398e-22,-2.359060e-10
/out0 (Vin=0.3973154) Y,3.201328e-01,3.942701e-17,1.008632e-06
/out0 (Vin=0.4080537) Y,3.399224e-01,1.975266e-13,7.139285e-05
/out0 (Vin=0.4187919) Y,3.672472e-01,2.005662e-17,7.200467e-07
/out0 (Vin=0.4295302) Y,4.042316e-01,3.822113e-15,9.930265e-06
/out0 (Vin=0.4402685) Y,4.496731e-01,1.267298e-21,5.440989e-10
/out0 (Vin=0.4510067) Y,5.007081e-01,1.652975e-12,2.065428e-04
/out0 (Vin=0.461745) Y,5.557894e-01,6.338994e-22,-3.586300e-10
/out0 (Vin=0.4724832) Y,6.141327e-01,1.765028e-21,-7.065461e-10
/out0 (Vin=0.4832215) Y,6.751199e-01,2.283874e-21,-1.835997e-11
/out0 (Vin=0.4939597) Y,7.381236e-01,2.419767e-21,-3.171089e-11
/out0 (Vin=0.504698) Y,8.024580e-01,1.464740e-21,-2.234618e-10
/out0 (Vin=0.5154362) Y,8.673701e-01,6.820616e-22,-2.945391e-10
/out0 (Vin=0.5261745) Y,9.320605e-01,3.053467e-21,8.532302e-10
/out0 (Vin=0.5369128) Y,9.957286e-01,2.277794e-21,-8.510009e-10
/out0 (Vin=0.547651) Y,1.057612e+00,1.070622e-21,-5.285159e-10
/out0 (Vin=0.5583893) Y,1.116904e+00,1.344378e-21,4.809592e-10
/out0 (Vin=0.5691275) Y,1.172212e+00,2.704086e-14,2.641870e-05
/out0 (Vin=0.5798658) Y,1.220612e+00,1.796538e-21,5.280833e-10
/out0 (Vin=0.590604) Y,1.259930e+00,6.199078e-12,-4.000067e-04
/out0 (Vin=0.6013423) Y,1.291176e+00,8.451012e-13,-1.476717e-04
/out0 (Vin=0.6120805) Y,1.316470e+00,1.173296e-22,-1.340987e-10
