FeaturesParamTransientDCAAP.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=0.7946309) Y,1.434690e+00,1.539502e-22,9.957736e-11
/out0 (Vin=0.8053691) Y,1.434691e+00,4.955567e-23,9.732088e-10
/out0 (Vin=0.8161074) Y,1.434692e+00,2.389464e-23,-4.576337e-12
/out0 (Vin=0.8268456) Y,1.434692e+00,9.747547e-24,1.184085e-11
/out0 (Vin=0.8375839) Y,1.434693e+00,1.016198e-22,7.795375e-11
/out0 (Vin=0.8483221) Y,1.434694e+00,2.760850e-23,3.634726e-11
/out0 (Vin=0.8590604) Y,1.434694e+00,4.142230e-23,3.373622e-10
/out0 (Vin=0.8697987) Y,1.434695e+00,8.051387e-22,1.801430e-08
/out0 (Vin=0.8805369) Y,1.434695e+00,3.948175e-22,8.504015e-09
/out0 (Vin=0.8912752) Y,1.434696e+00,5.812127e-23,4.909158e-10
/out0 (Vin=0.9020134) Y,1.434696e+00,2.546508e-23,3.048395e-10
/out0 (Vin=0.9127517) Y,1.434697e+00,8.127902e-23,3.825203e-10
/out0 (Vin=0.9234899) Y,1.434697e+00,3.705627e-22,1.237839e-10
/out0 (Vin=0.9342282) Y,1.434697e+00,1.245260e-22,5.419261e-10
/out0 (Vin=0.9449664) Y,1.434698e+00,3.080463e-23,1.409984e-10
/out0 (Vin=0.9557047) Y,1.434698e+00,1.498902e-22,2.881354e-10
/out0 (Vin=0.966443) Y,1.434698e+00,6.377393e-23,3.188403e-10
/out0 (Vin=0.9771812) Y,1.434699e+00,3.871866e-23,1.872719e-10
/out0 (Vin=0.9879195) Y,1.434699e+00,7.002007e-23,4.931222e-10
/out0 (Vin=0.9986577) Y,1.434699e+00,4.676578e-23,3.787640e-10
/out0 (Vin=1.009396) Y,1.434699e+00,6.103666e-23,2.990764e-10
/out0 (Vin=1.020134) Y,1.434699e+00,7.818016e-23,3.217268e-10
/out0 (Vin=1.030872) Y,1.434700e+00,3.591948e-23,2.171627e-10
/out0 (Vin=1.041611) Y,1.434700e+00,4.554493e-23,3.566009e-10
/out0 (Vin=1.052349) Y,1.434700e+00,1.232558e-22,2.297390e-10
/out0 (Vin=1.063087) Y,1.434700e+00,2.246634e-22,1.653792e-10
/out0 (Vin=1.073826) Y,1.434700e+00,5.545747e-23,3.656559e-10
/out0 (Vin=1.084564) Y,1.434700e+00,3.549592e-23,2.295971e-10
/out0 (Vin=1.095302) Y,1.434701e+00,2.466848e-22,-1.812068e-10
/out0 (Vin=1.10604) Y,1.434701e+00,2.036490e-23,2.158055e-10
/out0 (Vin=1.116779) Y,1.434701e+00,3.571205e-22,3.113613e-10
/out0 (Vin=1.127517) Y,1.434701e+00,1.025324e-23,8.918471e-11
/out0 (Vin=1.138255) Y,1.434701e+00,4.558072e-22,2.854553e-11
/out0 (Vin=1.148993) Y,1.434701e+00,5.399967e-23,3.186794e-11
/out0 (Vin=1.159732) Y,1.434701e+00,4.471160e-23,5.735774e-11
/out0 (Vin=1.17047) Y,1.434701e+00,2.095127e-23,1.658767e-10
/out0 (Vin=1.181208) Y,1.434701e+00,2.586674e-23,1.566039e-10
/out0 (Vin=1.191946) Y,1.434702e+00,7.433304e-23,3.912333e-11
/out0 (Vin=1.202685) Y,1.434702e+00,5.754411e-23,6.998392e-11
/out0 (Vin=1.213423) Y,1.434702e+00,3.537899e-23,1.169466e-10
/out0 (Vin=1.224161) Y,1.434702e+00,3.272701e-22,2.191569e-10
/out0 (Vin=1.234899) Y,1.434702e+00,8.507175e-23,-7.172946e-11
/out0 (Vin=1.245638) Y,1.434702e+00,2.415713e-23,1.366224e-10
/out0 (Vin=1.256376) Y,1.434702e+00,8.414154e-23,4.553784e-11
/out0 (Vin=1.267114) Y,1.434702e+00,1.192952e-22,3.837416e-09
/out0 (Vin=1.277852) Y,1.434702e+00,2.394515e-23,1.080655e-09
/out0 (Vin=1.288591) Y,1.434702e+00,4.364655e-23,2.298493e-10
/out0 (Vin=1.299329) Y,1.434702e+00,4.232338e-23,-2.350696e-11
/out0 (Vin=1.310067) Y,1.434702e+00,2.778480e-22,-2.199521e-10
/out0 (Vin=1.320805) Y,1.434702e+00,8.808333e-23,2.597013e-11
/out0 (Vin=1.331544) Y,1.434702e+00,2.953242e-22,-2.914469e-10
/out0 (Vin=1.342282) Y,1.434703e+00,1.621648e-23,1.185767e-10
/out0 (Vin=1.35302) Y,1.434703e+00,2.726874e-23,2.013722e-11
/out0 (Vin=1.363758) Y,1.434703e+00,2.362698e-23,1.395610e-10
/out0 (Vin=1.374497) Y,1.434703e+00,7.884091e-23,1.732571e-10
/out0 (Vin=1.385235) Y,1.434703e+00,4.069757e-23,5.471677e-11
/out0 (Vin=1.395973) Y,1.434703e+00,1.278070e-23,2.257845e-10
/out0 (Vin=1.406711) Y,1.434703e+00,1.330990e-23,1.992536e-10
/out0 (Vin=1.41745) Y,1.434703e+00,6.066626e-23,-6.353891e-11
/out0 (Vin=1.428188) Y,1.434703e+00,1.114651e-23,2.110559e-10
/out0 (Vin=1.438926) Y,1.434703e+00,1.349931e-21,2.543972e-08
/out0 (Vin=1.449664) Y,1.434703e+00,3.046769e-22,2.476671e-10
/out0 (Vin=1.460403) Y,1.434703e+00,1.082185e-22,-8.800568e-11
/out0 (Vin=1.471141) Y,1.434703e+00,8.975406e-23,-1.873541e-10
/out0 (Vin=1.481879) Y,1.434703e+00,1.023263e-22,1.346681e-10
/out0 (Vin=1.492617) Y,1.434703e+00,1.005296e-22,3.134154e-09
/out0 (Vin=1.503356) Y,1.434703e+00,2.527467e-22,9.246420e-09
/out0 (Vin=1.514094) Y,1.434703e+00,5.483213e-23,-2.406773e-10
/out0 (Vin=1.524832) Y,1.434703e+00,1.483759e-22,7.659820e-11
/out0 (Vin=1.53557) Y,1.434703e+00,6.159379e-23,1.662061e-10
/out0 (Vin=1.546309) Y,1.434703e+00,4.623642e-23,1.579488e-10
/out0 (Vin=1.557047) Y,1.434703e+00,1.674484e-22,2.085022e-10
/out0 (Vin=1.567785) Y,1.434703e+00,5.749901e-23,2.400113e-10
/out0 (Vin=1.578523) Y,1.434703e+00,3.503645e-22,1.080866e-10
/out0 (Vin=1.589262) Y,1.434704e+00,8.660290e-23,-1.973793e-11
/out0 (Vin=1.6) Y,1.434704e+00,9.600587e-23,-2.089629e-12
Stage 2 Output
/out1 (Vin=0) Y,1.825816e-01,2.871988e-14,-2.723588e-05
/out1 (Vin=0.01073826) Y,1.825816e-01,3.872398e-23,-1.216894e-10
/out1 (Vin=0.02147651) Y,1.825816e-01,6.341540e-24,-4.199110e-12
/out1 (Vin=0.03221477) Y,1.825816e-01,6.519428e-21,1.300646e-08
/out1 (Vin=0.04295302) Y,1.825816e-01,5.292799e-21,1.161871e-08
/out1 (Vin=0.05369128) Y,1.825816e-01,1.596236e-17,6.415101e-07
/out1 (Vin=0.06442953) Y,1.825816e-01,5.205861e-21,1.152419e-08
/out1 (Vin=0.07516779) Y,1.825816e-01,4.975440e-21,1.121995e-08
/out1 (Vin=0.08590604) Y,1.825816e-01,3.852767e-15,9.969712e-06
/out1 (Vin=0.0966443) Y,1.825816e-01,5.478753e-21,1.147843e-08
/out1 (Vin=0.1073826) Y,1.825816e-01,4.625270e-18,3.452170e-07
/out1 (Vin=0.1181208) Y,1.825816e-01,1.295009e-22,1.532776e-09
/out1 (Vin=0.1288591) Y,1.825816e-01,1.591228e-21,6.410912e-09
/out1 (Vin=0.1395973) Y,1.825816e-01,5.290613e-21,1.159157e-08
/out1 (Vin=0.1503356) Y,1.825816e-01,8.148369e-18,-4.588605e-07
/out1 (Vin=0.1610738) Y,1.825816e-01,5.472079e-18,3.755685e-07
/out1 (Vin=0.1718121) Y,1.825816e-01,7.036793e-23,-1.468656e-10
/out1 (Vin=0.1825503) Y,1.825816e-01,8.220577e-24,9.543760e-11
/out1 (Vin=0.1932886) Y,1.825816e-01,1.422405e-23,5.492846e-11
/out1 (Vin=0.2040268) Y,1.825816e-01,3.180797e-21,8.969850e-09
/out1 (Vin=0.2147651) Y,1.825816e-01,6.461036e-14,4.082722e-05
/out1 (Vin=0.2255034) Y,1.825816e-01,9.576119e-23,-1.071481e-10
/out1 (Vin=0.2362416) Y,1.825816e-01,1.185341e-20,1.751189e-08
/out1 (Vin=0.2469799) Y,1.825816e-01,5.847377e-23,-1.028793e-10
/out1 (Vin=0.2577181) Y,1.825816e-01,6.400698e-14,4.063646e-05
/out1 (Vin=0.2684564) Y,1.825816e-01,2.699110e-21,8.337983e-09
/out1 (Vin=0.2791946) Y,1.825816e-01,5.260958e-21,1.161288e-08
/out1 (Vin=0.2899329) Y,1.825816e-01,1.421892e-22,-2.350498e-11
/out1 (Vin=0.3006711) Y,1.825816e-01,2.117754e-23,-6.512203e-11
/out1 (Vin=0.3114094) Y,1.825816e-01,1.212477e-23,-3.554666e-11
/out1 (Vin=0.3221477) Y,1.825816e-01,5.109876e-15,-1.148983e-05
/out1 (Vin=0.3328859) Y,1.825816e-01,5.034914e-23,-8.044029e-11
/out1 (Vin=0.3436242) Y,1.825816e-01,5.418642e-21,1.156985e-08
/out1 (Vin=0.3543624) Y,1.825816e-01,3.133437e-22,2.604424e-09
/out1 (Vin=0.3651007) Y,1.825816e-01,6.496670e-20,4.101119e-08
/out1 (Vin=0.3758389) Y,1.825816e-01,5.416653e-21,1.170670e-08
/out1 (Vin=0.3865772) Y,1.825816e-01,4.746735e-23,-1.012292e-10
/out1 (Vin=0.3973154) Y,1.825816e-01,1.450642e-23,-3.014063e-11
/out1 (Vin=0.4080537) Y,1.825816e-01,1.702567e-23,-6.656264e-11
/out1 (Vin=0.4187919) Y,1.825816e-01,4.679825e-23,-3.975547e-11
/out1 (Vin=0.4295302) Y,1.825816e-01,5.149743e-21,1.133010e-08
/out1 (Vin=0.4402685) Y,1.825817e-01,5.268616e-21,1.174706e-08
/out1 (Vin=0.4510067) Y,1.825817e-01,3.919210e-23,2.656129e-13
/out1 (Vin=0.461745) Y,1.825817e-01,3.025807e-22,-1.473218e-10
/out1 (Vin=0.4724832) Y,1.825817e-01,4.298589e-14,3.330144e-05
/out1 (Vin=0.4832215) Y,1.825817e-01,9.812256e-23,1.447310e-10
/out1 (Vin=0.4939597) Y,1.825818e-01,5.264972e-21,1.158335e-08
/out1 (Vin=0.504698) Y,1.825818e-01,5.264390e-21,1.166484e-08
/out1 (Vin=0.5154362) Y,1.825820e-01,5.315605e-21,1.169166e-08
/out1 (Vin=0.5261745) Y,1.825823e-01,5.282547e-21,1.162547e-08
/out1 (Vin=0.5369128) Y,1.825827e-01,5.331033e-21,1.176488e-08
/out1 (Vin=0.547651) Y,1.825832e-01,5.311498e-21,1.162182e-08
/out1 (Vin=0.5583893) Y,1.825840e-01,5.363359e-21,1.173492e-08
/out1 (Vin=0.5691275) Y,1.825852e-01,5.485408e-21,1.170793e-08
/out1 (Vin=0.5798658) Y,1.825872e-01,5.457327e-21,1.171832e-08
/out1 (Vin=0.590604) Y,1.825910e-01,5.703258e-21,1.213598e-08
/out1 (Vin=0.6013423) Y,1.826041e-01,3.812193e-21,9.927878e-09
/out1 (Vin=0.6120805) Y,1.833165e-01,9.011580e-15,1.525217e-05
/out1 (Vin=0.6228188) Y,1.412613e+00,6.469324e-23,1.156702e-10
/out1 (Vin=0.633557) Y,1.412614e+00,9.361510e-21,6.169325e-08
/out1 (Vin=0.6442953) Y,1.412614e+00,1.613606e-22,1.889540e-10
/out1 (Vin=0.6550336) Y,1.412614e+00,4.015674e-23,-1.431975e-10
/out1 (Vin=0.6657718) Y,1.412614e+00,4.283241e-22,-1.753889e-10
/out1 (Vin=0.6765101) Y,1.412614e+00,1.264248e-22,2.576545e-11
