FeaturesParamTransientDCANN.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=0.7946309) Y,1.434690e+00,8.484042e-23,1.027804e-09
/out0 (Vin=0.8053691) Y,1.434691e+00,3.424416e-23,7.671357e-10
/out0 (Vin=0.8161074) Y,1.434692e+00,7.729851e-23,1.095944e-10
/out0 (Vin=0.8268456) Y,1.434692e+00,3.070861e-23,7.242286e-10
/out0 (Vin=0.8375839) Y,1.434693e+00,2.133702e-23,7.585324e-10
/out0 (Vin=0.8483221) Y,1.434694e+00,1.038511e-22,-9.286143e-11
/out0 (Vin=0.8590604) Y,1.434694e+00,1.164934e-22,6.048286e-10
/out0 (Vin=0.8697987) Y,1.434695e+00,8.537796e-24,6.129024e-10
/out0 (Vin=0.8805369) Y,1.434695e+00,2.710320e-22,1.532151e-08
/out0 (Vin=0.8912752) Y,1.434696e+00,8.707880e-24,5.647270e-10
/out0 (Vin=0.9020134) Y,1.434696e+00,6.822907e-23,6.027919e-10
/out0 (Vin=0.9127517) Y,1.434697e+00,3.355522e-22,8.982322e-09
/out0 (Vin=0.9234899) Y,1.434697e+00,4.167152e-23,3.959256e-10
/out0 (Vin=0.9342282) Y,1.434697e+00,3.063219e-23,4.954350e-10
/out0 (Vin=0.9449664) Y,1.434698e+00,7.425504e-23,2.187803e-10
/out0 (Vin=0.9557047) Y,1.434698e+00,5.860702e-23,2.528387e-10
/out0 (Vin=0.966443) Y,1.434698e+00,5.758624e-23,4.266471e-10
/out0 (Vin=0.9771812) Y,1.434699e+00,4.948922e-23,2.618141e-10
/out0 (Vin=0.9879195) Y,1.434699e+00,2.019777e-23,3.436875e-10
/out0 (Vin=0.9986577) Y,1.434699e+00,1.646694e-23,3.594101e-10
/out0 (Vin=1.009396) Y,1.434699e+00,5.050478e-23,3.376263e-10
/out0 (Vin=1.020134) Y,1.434699e+00,1.116510e-22,1.516712e-10
/out0 (Vin=1.030872) Y,1.434700e+00,3.352237e-23,1.862734e-10
/out0 (Vin=1.041611) Y,1.434700e+00,2.428005e-22,2.145575e-10
/out0 (Vin=1.052349) Y,1.434700e+00,1.665167e-23,5.459353e-11
/out0 (Vin=1.063087) Y,1.434700e+00,9.134501e-23,3.717811e-10
/out0 (Vin=1.073826) Y,1.434700e+00,1.902417e-23,2.066070e-10
/out0 (Vin=1.084564) Y,1.434700e+00,2.479644e-23,3.201239e-10
/out0 (Vin=1.095302) Y,1.434701e+00,4.493211e-23,7.232305e-11
/out0 (Vin=1.10604) Y,1.434701e+00,2.126797e-22,2.203704e-10
/out0 (Vin=1.116779) Y,1.434701e+00,4.399736e-22,1.170399e-10
/out0 (Vin=1.127517) Y,1.434701e+00,3.654806e-22,3.600753e-10
/out0 (Vin=1.138255) Y,1.434701e+00,9.471404e-24,-1.622799e-11
/out0 (Vin=1.148993) Y,1.434701e+00,4.385555e-23,2.695449e-10
/out0 (Vin=1.159732) Y,1.434701e+00,5.148017e-23,-2.411979e-11
/out0 (Vin=1.17047) Y,1.434701e+00,8.173505e-24,2.132650e-10
/out0 (Vin=1.181208) Y,1.434701e+00,1.391359e-23,1.975254e-10
/out0 (Vin=1.191946) Y,1.434702e+00,7.134519e-23,2.317379e-10
/out0 (Vin=1.202685) Y,1.434702e+00,4.725659e-23,2.480288e-10
/out0 (Vin=1.213423) Y,1.434702e+00,6.656865e-23,1.689756e-10
/out0 (Vin=1.224161) Y,1.434702e+00,1.043551e-22,4.205913e-11
/out0 (Vin=1.234899) Y,1.434702e+00,1.435077e-22,1.463290e-10
/out0 (Vin=1.245638) Y,1.434702e+00,4.287070e-23,-2.582605e-11
/out0 (Vin=1.256376) Y,1.434702e+00,8.887072e-23,3.544675e-10
/out0 (Vin=1.267114) Y,1.434702e+00,4.078764e-23,3.809259e-10
/out0 (Vin=1.277852) Y,1.434702e+00,1.824589e-23,2.272568e-11
/out0 (Vin=1.288591) Y,1.434702e+00,6.282656e-23,6.209255e-11
/out0 (Vin=1.299329) Y,1.434702e+00,6.275586e-23,9.697612e-11
/out0 (Vin=1.310067) Y,1.434702e+00,4.418140e-23,2.863574e-10
/out0 (Vin=1.320805) Y,1.434702e+00,2.148277e-22,1.128872e-10
/out0 (Vin=1.331544) Y,1.434702e+00,4.258923e-23,-1.830664e-11
/out0 (Vin=1.342282) Y,1.434703e+00,2.120543e-22,1.300271e-10
/out0 (Vin=1.35302) Y,1.434703e+00,6.964953e-23,1.147306e-10
/out0 (Vin=1.363758) Y,1.434703e+00,6.469190e-23,2.441493e-10
/out0 (Vin=1.374497) Y,1.434703e+00,2.274994e-23,1.083529e-10
/out0 (Vin=1.385235) Y,1.434703e+00,2.330004e-22,3.614104e-12
/out0 (Vin=1.395973) Y,1.434703e+00,5.608187e-23,8.605006e-11
