FeaturesParamTransientDCAPA.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=0.7946309) Y,1.434690e+00,2.707634e-22,1.036843e-08
/out0 (Vin=0.8053691) Y,1.434691e+00,3.127311e-22,1.571703e-08
/out0 (Vin=0.8161074) Y,1.434692e+00,7.791800e-21,5.667724e-08
/out0 (Vin=0.8268456) Y,1.434692e+00,3.814226e-23,3.233302e-10
/out0 (Vin=0.8375839) Y,1.434693e+00,1.189003e-22,1.260241e-09
/out0 (Vin=0.8483221) Y,1.434694e+00,1.014519e-21,3.018219e-08
/out0 (Vin=0.8590604) Y,1.434694e+00,4.746366e-23,2.752736e-09
/out0 (Vin=0.8697987) Y,1.434695e+00,8.354741e-22,3.597648e-09
/out0 (Vin=0.8805369) Y,1.434695e+00,1.910206e-22,3.334393e-09
/out0 (Vin=0.8912752) Y,1.434696e+00,4.013408e-23,3.150074e-09
/out0 (Vin=0.9020134) Y,1.434696e+00,1.815047e-22,2.245499e-10
/out0 (Vin=0.9127517) Y,1.434697e+00,2.494370e-22,9.919757e-09
/out0 (Vin=0.9234899) Y,1.434697e+00,4.224972e-23,2.268977e-10
/out0 (Vin=0.9342282) Y,1.434697e+00,1.175930e-22,1.859880e-10
/out0 (Vin=0.9449664) Y,1.434698e+00,6.208085e-23,3.719340e-10
/out0 (Vin=0.9557047) Y,1.434698e+00,1.807964e-22,4.088461e-10
/out0 (Vin=0.966443) Y,1.434698e+00,4.444838e-23,4.599099e-10
/out0 (Vin=0.9771812) Y,1.434699e+00,2.091295e-22,3.478704e-10
/out0 (Vin=0.9879195) Y,1.434699e+00,2.387636e-22,2.103806e-10
/out0 (Vin=0.9986577) Y,1.434699e+00,2.444155e-23,2.798094e-10
/out0 (Vin=1.009396) Y,1.434699e+00,9.139133e-21,9.134493e-08
/out0 (Vin=1.020134) Y,1.434699e+00,4.737300e-22,6.127280e-10
/out0 (Vin=1.030872) Y,1.434700e+00,1.303073e-22,1.109099e-10
/out0 (Vin=1.041611) Y,1.434700e+00,1.371730e-20,7.436090e-08
/out0 (Vin=1.052349) Y,1.434700e+00,1.054632e-22,1.359165e-10
/out0 (Vin=1.063087) Y,1.434700e+00,1.660068e-22,1.494801e-10
/out0 (Vin=1.073826) Y,1.434700e+00,6.514625e-23,3.994996e-10
/out0 (Vin=1.084564) Y,1.434700e+00,2.124618e-22,2.588543e-10
/out0 (Vin=1.095302) Y,1.434701e+00,8.865499e-23,5.725928e-09
/out0 (Vin=1.10604) Y,1.434701e+00,1.298551e-22,-1.675928e-12
/out0 (Vin=1.116779) Y,1.434701e+00,1.690430e-21,2.562708e-08
/out0 (Vin=1.127517) Y,1.434701e+00,1.342329e-22,1.154826e-09
/out0 (Vin=1.138255) Y,1.434701e+00,4.206694e-22,-2.812998e-10
/out0 (Vin=1.148993) Y,1.434701e+00,7.722051e-23,1.411327e-10
/out0 (Vin=1.159732) Y,1.434701e+00,2.951993e-23,8.329111e-11
/out0 (Vin=1.17047) Y,1.434701e+00,1.453289e-22,3.807530e-11
/out0 (Vin=1.181208) Y,1.434701e+00,5.499617e-23,1.170861e-10
/out0 (Vin=1.191946) Y,1.434702e+00,7.976494e-23,1.319112e-10
/out0 (Vin=1.202685) Y,1.434702e+00,2.114767e-23,6.158892e-11
/out0 (Vin=1.213423) Y,1.434702e+00,4.812449e-23,3.416715e-10
/out0 (Vin=1.224161) Y,1.434702e+00,1.434094e-22,6.136608e-09
/out0 (Vin=1.234899) Y,1.434702e+00,5.749285e-23,6.815703e-11
/out0 (Vin=1.245638) Y,1.434702e+00,6.557942e-23,1.506084e-10
/out0 (Vin=1.256376) Y,1.434702e+00,8.702029e-23,-4.693976e-11
/out0 (Vin=1.267114) Y,1.434702e+00,5.128265e-23,-6.429517e-11
/out0 (Vin=1.277852) Y,1.434702e+00,1.083841e-20,6.690814e-08
/out0 (Vin=1.288591) Y,1.434702e+00,4.086725e-21,4.092884e-08
/out0 (Vin=1.299329) Y,1.434702e+00,8.961529e-23,4.410658e-09
/out0 (Vin=1.310067) Y,1.434702e+00,1.486292e-20,7.859559e-08
/out0 (Vin=1.320805) Y,1.434702e+00,1.946088e-23,1.852084e-09
/out0 (Vin=1.331544) Y,1.434702e+00,1.602993e-23,4.094018e-10
/out0 (Vin=1.342282) Y,1.434703e+00,4.608273e-23,8.991420e-11
/out0 (Vin=1.35302) Y,1.434703e+00,2.102737e-22,-3.506827e-10
/out0 (Vin=1.363758) Y,1.434703e+00,2.604195e-23,1.836050e-10
/out0 (Vin=1.374497) Y,1.434703e+00,4.151666e-22,1.251903e-10
/out0 (Vin=1.385235) Y,1.434703e+00,3.483384e-23,3.138055e-10
/out0 (Vin=1.395973) Y,1.434703e+00,2.204143e-21,2.719789e-08
/out0 (Vin=1.406711) Y,1.434703e+00,1.234600e-22,6.769473e-11
/out0 (Vin=1.41745) Y,1.434703e+00,3.180447e-23,9.078280e-11
/out0 (Vin=1.428188) Y,1.434703e+00,9.394921e-23,7.828859e-11
/out0 (Vin=1.438926) Y,1.434703e+00,1.423594e-21,2.487755e-08
/out0 (Vin=1.449664) Y,1.434703e+00,1.761123e-20,8.484380e-08
/out0 (Vin=1.460403) Y,1.434703e+00,3.022893e-20,1.118991e-07
/out0 (Vin=1.471141) Y,1.434703e+00,1.081135e-22,1.356511e-09
/out0 (Vin=1.481879) Y,1.434703e+00,3.356596e-23,1.996955e-09
/out0 (Vin=1.492617) Y,1.434703e+00,1.872453e-22,-1.981300e-10
/out0 (Vin=1.503356) Y,1.434703e+00,3.217414e-22,7.693599e-09
/out0 (Vin=1.514094) Y,1.434703e+00,2.633858e-23,3.254750e-12
/out0 (Vin=1.524832) Y,1.434703e+00,4.889110e-23,5.266430e-11
/out0 (Vin=1.53557) Y,1.434703e+00,6.858101e-22,1.352454e-08
/out0 (Vin=1.546309) Y,1.434703e+00,6.826203e-22,1.378682e-08
/out0 (Vin=1.557047) Y,1.434703e+00,5.506179e-22,-1.888643e-10
/out0 (Vin=1.567785) Y,1.434703e+00,6.235121e-23,-1.784543e-10
/out0 (Vin=1.578523) Y,1.434703e+00,9.802947e-21,6.366223e-08
/out0 (Vin=1.589262) Y,1.434704e+00,5.222709e-22,1.293968e-08
/out0 (Vin=1.6) Y,1.434704e+00,7.823523e-23,-9.021720e-11
Stage 2 Output
/out1 (Vin=0) Y,7.503512e-02,3.054711e-24,2.743527e-10
/out1 (Vin=0.01073826) Y,7.503512e-02,4.330232e-25,-6.901936e-12
/out1 (Vin=0.02147651) Y,7.503512e-02,4.365734e-23,1.066024e-09
/out1 (Vin=0.03221477) Y,7.503512e-02,9.260243e-25,-4.773042e-12
/out1 (Vin=0.04295302) Y,7.503512e-02,6.869696e-26,-2.697322e-12
/out1 (Vin=0.05369128) Y,7.503512e-02,5.480364e-25,-6.469893e-12
/out1 (Vin=0.06442953) Y,7.503512e-02,8.142607e-26,2.823340e-12
/out1 (Vin=0.07516779) Y,7.503512e-02,1.635919e-25,-3.744683e-13
/out1 (Vin=0.08590604) Y,7.503512e-02,8.655965e-25,-1.446662e-12
/out1 (Vin=0.0966443) Y,7.503512e-02,1.337596e-25,5.055137e-12
/out1 (Vin=0.1073826) Y,7.503485e-02,1.043635e-11,5.192957e-04
/out1 (Vin=0.1181208) Y,7.503512e-02,7.880413e-26,8.286475e-12
/out1 (Vin=0.1288591) Y,7.503509e-02,9.007526e-14,4.823012e-05
/out1 (Vin=0.1395973) Y,7.503512e-02,1.986324e-25,-2.061787e-12
/out1 (Vin=0.1503356) Y,7.503512e-02,4.284238e-22,3.302666e-09
/out1 (Vin=0.1610738) Y,7.503512e-02,3.772534e-17,9.866399e-07
/out1 (Vin=0.1718121) Y,7.503512e-02,7.873345e-25,1.204270e-10
/out1 (Vin=0.1825503) Y,7.503512e-02,2.761098e-25,7.031966e-14
/out1 (Vin=0.1932886) Y,7.503512e-02,1.548428e-25,6.181602e-11
/out1 (Vin=0.2040268) Y,7.503512e-02,2.244469e-26,9.229821e-12
/out1 (Vin=0.2147651) Y,7.503512e-02,2.721773e-25,6.527582e-13
/out1 (Vin=0.2255034) Y,7.503512e-02,3.575043e-25,-2.166564e-12
/out1 (Vin=0.2362416) Y,7.503512e-02,2.526311e-25,-8.706673e-12
/out1 (Vin=0.2469799) Y,7.503512e-02,2.028368e-25,5.804612e-12
/out1 (Vin=0.2577181) Y,7.503516e-02,2.271530e-13,-7.655969e-05
/out1 (Vin=0.2684564) Y,7.503512e-02,6.922125e-25,1.190798e-10
/out1 (Vin=0.2791946) Y,7.503512e-02,1.111033e-25,6.811301e-12
/out1 (Vin=0.2899329) Y,7.503512e-02,1.316385e-25,-4.625569e-12
/out1 (Vin=0.3006711) Y,7.503512e-02,1.129523e-25,-1.251031e-12
/out1 (Vin=0.3114094) Y,7.503512e-02,2.131290e-25,1.497585e-11
/out1 (Vin=0.3221477) Y,7.503512e-02,2.088892e-15,7.342067e-06
/out1 (Vin=0.3328859) Y,7.503512e-02,4.230418e-25,-6.467554e-12
/out1 (Vin=0.3436242) Y,7.503512e-02,2.016334e-25,3.135683e-12
/out1 (Vin=0.3543624) Y,7.503513e-02,1.897935e-25,6.251976e-11
/out1 (Vin=0.3651007) Y,7.503513e-02,3.735556e-25,-7.169310e-12
/out1 (Vin=0.3758389) Y,7.503513e-02,1.373076e-24,4.677800e-12
/out1 (Vin=0.3865772) Y,7.503513e-02,3.625631e-25,1.309520e-11
/out1 (Vin=0.3973154) Y,7.503513e-02,1.238256e-25,-3.154232e-12
/out1 (Vin=0.4080537) Y,7.503514e-02,2.261033e-26,2.409813e-12
/out1 (Vin=0.4187919) Y,7.503514e-02,1.917001e-25,1.075405e-11
/out1 (Vin=0.4295302) Y,7.503514e-02,2.334136e-25,3.760331e-12
