FeaturesParamTransientDCNNN.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=0.8053691) Y,1.469593e+00,1.985300e-31,-1.501998e-13
/out0 (Vin=0.8161074) Y,1.471782e+00,7.941200e-31,8.349466e-15
/out0 (Vin=0.8268456) Y,1.473680e+00,4.963250e-32,-7.211456e-14
/out0 (Vin=0.8375839) Y,1.475320e+00,1.786770e-30,-6.751564e-14
/out0 (Vin=0.8483221) Y,1.476739e+00,1.786770e-30,-9.419255e-14
/out0 (Vin=0.8590604) Y,1.477968e+00,4.466925e-31,-8.191047e-15
/out0 (Vin=0.8697987) Y,1.479038e+00,1.240812e-30,-1.721356e-13
/out0 (Vin=0.8805369) Y,1.479976e+00,4.963250e-32,-2.027534e-13
/out0 (Vin=0.8912752) Y,1.480803e+00,1.786770e-30,-1.086450e-13
/out0 (Vin=0.9020134) Y,1.481541e+00,1.240812e-30,6.449022e-14
/out0 (Vin=0.9127517) Y,1.482203e+00,1.786770e-30,-9.211594e-14
/out0 (Vin=0.9234899) Y,1.482805e+00,4.466925e-31,-3.049994e-14
/out0 (Vin=0.9342282) Y,1.483355e+00,4.466925e-31,-3.649241e-15
/out0 (Vin=0.9449664) Y,1.483863e+00,7.941200e-31,-3.878692e-14
/out0 (Vin=0.9557047) Y,1.484335e+00,1.985300e-31,-1.124538e-13
/out0 (Vin=0.966443) Y,1.484776e+00,0,-1.178929e-13
/out0 (Vin=0.9771812) Y,1.485191e+00,4.466925e-31,-7.012294e-14
/out0 (Vin=0.9879195) Y,1.485583e+00,7.941200e-31,-7.213637e-14
/out0 (Vin=0.9986577) Y,1.485955e+00,1.985300e-31,-5.619212e-14
/out0 (Vin=1.009396) Y,1.486309e+00,4.466925e-31,4.503904e-14
/out0 (Vin=1.020134) Y,1.486647e+00,4.466925e-31,-1.166751e-14
/out0 (Vin=1.030872) Y,1.486972e+00,7.941200e-31,-4.692126e-14
/out0 (Vin=1.041611) Y,1.487283e+00,1.240812e-30,-1.590871e-13
/out0 (Vin=1.052349) Y,1.487583e+00,1.985300e-31,-1.121534e-13
/out0 (Vin=1.063087) Y,1.487872e+00,1.240812e-30,-1.682076e-13
/out0 (Vin=1.073826) Y,1.488151e+00,4.466925e-31,-1.770756e-13
