FeaturesParamTransientDCNAA.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=0) Y,2.511617e-01,5.652838e-22,2.626620e-10
/out0 (Vin=0.01073826) Y,2.511624e-01,2.732946e-23,-1.253443e-10
/out0 (Vin=0.02147651) Y,2.511634e-01,2.152368e-23,-5.920258e-11
/out0 (Vin=0.03221477) Y,2.511647e-01,1.523012e-22,-8.333901e-11
/out0 (Vin=0.04295302) Y,2.511665e-01,1.683284e-23,1.634769e-11
/out0 (Vin=0.05369128) Y,2.511690e-01,7.811690e-23,-1.599013e-12
/out0 (Vin=0.06442953) Y,2.511725e-01,9.481400e-23,-8.493081e-11
/out0 (Vin=0.07516779) Y,2.511774e-01,2.469216e-23,1.163467e-10
/out0 (Vin=0.08590604) Y,2.511841e-01,9.865169e-23,2.522500e-10
/out0 (Vin=0.0966443) Y,2.511933e-01,3.696653e-22,-1.624552e-11
/out0 (Vin=0.1073826) Y,2.512060e-01,1.450442e-23,-1.473662e-11
/out0 (Vin=0.1181208) Y,2.512235e-01,2.126269e-22,2.567086e-10
/out0 (Vin=0.1288591) Y,2.512476e-01,5.801418e-23,-1.229890e-10
/out0 (Vin=0.1395973) Y,2.512804e-01,7.893950e-23,-2.045758e-11
/out0 (Vin=0.1503356) Y,2.513251e-01,2.492824e-23,6.233461e-11
/out0 (Vin=0.1610738) Y,2.513858e-01,7.208547e-23,-1.124540e-11
/out0 (Vin=0.1718121) Y,2.514678e-01,1.730129e-22,2.132142e-11
/out0 (Vin=0.1825503) Y,2.515782e-01,2.641536e-19,8.242421e-08
/out0 (Vin=0.1932886) Y,2.517258e-01,6.187919e-22,-7.514006e-11
/out0 (Vin=0.2040268) Y,2.519222e-01,9.986014e-23,-1.805999e-10
/out0 (Vin=0.2147651) Y,2.521818e-01,1.351688e-22,-3.474219e-10
/out0 (Vin=0.2255034) Y,2.525226e-01,1.230406e-22,-1.243625e-10
/out0 (Vin=0.2362416) Y,2.529668e-01,9.764453e-23,-1.989149e-10
/out0 (Vin=0.2469799) Y,2.535416e-01,1.226180e-22,5.499636e-11
/out0 (Vin=0.2577181) Y,2.542799e-01,4.795560e-16,3.517522e-06
/out0 (Vin=0.2684564) Y,2.552212e-01,1.083188e-23,-5.625840e-11
/out0 (Vin=0.2791946) Y,2.564130e-01,1.810971e-23,4.695353e-11
/out0 (Vin=0.2899329) Y,2.579122e-01,1.013522e-23,-8.107489e-11
/out0 (Vin=0.3006711) Y,2.597876e-01,5.179065e-23,1.229788e-10
/out0 (Vin=0.3114094) Y,2.621226e-01,1.990617e-23,-3.934452e-13
/out0 (Vin=0.3221477) Y,2.650205e-01,3.725832e-23,1.343851e-10
/out0 (Vin=0.3328859) Y,2.686109e-01,1.360471e-22,4.364262e-12
/out0 (Vin=0.3436242) Y,2.730609e-01,4.669917e-22,-3.795262e-10
/out0 (Vin=0.3543624) Y,2.785920e-01,4.308361e-22,1.759169e-10
/out0 (Vin=0.3651007) Y,2.855083e-01,3.411702e-22,-2.839632e-10
/out0 (Vin=0.3758389) Y,2.942441e-01,9.083390e-22,1.237525e-10
/out0 (Vin=0.3865772) Y,3.054480e-01,3.324737e-22,-1.813956e-11
/out0 (Vin=0.3973154) Y,3.201328e-01,4.034185e-22,2.600928e-11
/out0 (Vin=0.4080537) Y,3.399225e-01,1.527087e-21,-2.965896e-10
/out0 (Vin=0.4187919) Y,3.672472e-01,8.129276e-22,-1.478387e-10
/out0 (Vin=0.4295302) Y,4.042316e-01,1.547652e-21,-1.239475e-10
/out0 (Vin=0.4402685) Y,4.496731e-01,1.836346e-21,-2.683919e-10
/out0 (Vin=0.4510067) Y,5.007082e-01,1.352041e-21,4.341409e-10
/out0 (Vin=0.461745) Y,5.557894e-01,1.490553e-21,-1.019000e-10
/out0 (Vin=0.4724832) Y,6.141327e-01,8.423518e-22,-2.287557e-10
