FeaturesParamTransientDCNPA.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=0.7946309) Y,1.467076e+00,9.076731e-22,-4.826874e-09
/out0 (Vin=0.8053691) Y,1.469594e+00,4.966102e-12,-3.579818e-04
/out0 (Vin=0.8161074) Y,1.471782e+00,2.935608e-23,-3.073490e-11
/out0 (Vin=0.8268456) Y,1.473680e+00,5.741717e-23,-1.096356e-09
/out0 (Vin=0.8375839) Y,1.475320e+00,5.693595e-23,-1.152074e-10
/out0 (Vin=0.8483221) Y,1.476739e+00,1.213514e-22,5.251596e-11
/out0 (Vin=0.8590604) Y,1.477968e+00,8.446066e-17,-1.449632e-06
/out0 (Vin=0.8697987) Y,1.479038e+00,5.183072e-24,-1.924350e-11
/out0 (Vin=0.8805369) Y,1.479976e+00,5.223473e-23,8.689211e-10
/out0 (Vin=0.8912752) Y,1.480803e+00,1.192898e-17,-5.514974e-07
/out0 (Vin=0.9020134) Y,1.481541e+00,2.417253e-23,-5.260370e-11
/out0 (Vin=0.9127517) Y,1.482203e+00,6.041212e-21,-1.238086e-08
/out0 (Vin=0.9234899) Y,1.482805e+00,1.467572e-16,-1.942069e-06
/out0 (Vin=0.9342282) Y,1.483355e+00,8.008424e-22,-4.395826e-09
/out0 (Vin=0.9449664) Y,1.483863e+00,1.220807e-17,5.847296e-07
/out0 (Vin=0.9557047) Y,1.484335e+00,9.775462e-23,2.634442e-11
/out0 (Vin=0.966443) Y,1.484776e+00,3.074255e-18,-2.807439e-07
/out0 (Vin=0.9771812) Y,1.485191e+00,5.051936e-23,-7.273244e-11
/out0 (Vin=0.9879195) Y,1.485583e+00,3.999358e-24,3.166190e-11
/out0 (Vin=0.9986577) Y,1.485955e+00,7.771779e-17,-1.412992e-06
/out0 (Vin=1.009396) Y,1.486309e+00,6.916593e-24,-2.092625e-11
/out0 (Vin=1.020134) Y,1.486647e+00,6.986581e-20,-4.228545e-08
/out0 (Vin=1.030872) Y,1.486972e+00,3.345307e-18,-2.928867e-07
/out0 (Vin=1.041611) Y,1.487283e+00,5.930161e-23,1.482771e-10
/out0 (Vin=1.052349) Y,1.487583e+00,2.519956e-17,8.047036e-07
/out0 (Vin=1.063087) Y,1.487872e+00,8.071189e-23,-6.701864e-11
/out0 (Vin=1.073826) Y,1.488151e+00,1.258724e-17,5.750101e-07
/out0 (Vin=1.084564) Y,1.488422e+00,1.418051e-23,-4.306139e-11
/out0 (Vin=1.095302) Y,1.488684e+00,1.140160e-19,-5.298245e-08
/out0 (Vin=1.10604) Y,1.488938e+00,7.643699e-23,4.285064e-11
/out0 (Vin=1.116779) Y,1.489184e+00,2.272912e-23,-2.770445e-11
/out0 (Vin=1.127517) Y,1.489424e+00,3.370101e-23,-6.118082e-11
