FeaturesParamTransientDCAPP.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=0) Y,1.844347e-01,3.576113e-22,2.847849e-09
/out0 (Vin=0.01073826) Y,1.844347e-01,1.428440e-22,-6.893829e-11
/out0 (Vin=0.02147651) Y,1.844347e-01,1.902318e-16,2.214498e-06
/out0 (Vin=0.03221477) Y,1.844347e-01,4.036668e-23,9.477451e-11
/out0 (Vin=0.04295302) Y,1.844347e-01,1.752623e-22,-5.612963e-11
/out0 (Vin=0.05369128) Y,1.844347e-01,2.908279e-23,-2.223053e-11
/out0 (Vin=0.06442953) Y,1.844347e-01,9.527382e-23,1.441989e-10
/out0 (Vin=0.07516779) Y,1.844348e-01,5.846065e-23,-1.547908e-11
/out0 (Vin=0.08590604) Y,1.844348e-01,9.718832e-23,-4.450060e-11
/out0 (Vin=0.0966443) Y,1.844349e-01,1.510155e-22,9.769742e-11
/out0 (Vin=0.1073826) Y,1.844350e-01,2.107604e-23,2.099389e-11
/out0 (Vin=0.1181208) Y,1.844351e-01,7.778403e-23,-7.546197e-11
/out0 (Vin=0.1288591) Y,1.844353e-01,7.339471e-23,-7.855508e-11
/out0 (Vin=0.1395973) Y,1.844355e-01,5.750197e-18,3.851971e-07
/out0 (Vin=0.1503356) Y,1.844359e-01,1.711469e-18,2.101595e-07
/out0 (Vin=0.1610738) Y,1.844363e-01,7.812345e-24,7.383112e-11
/out0 (Vin=0.1718121) Y,1.844369e-01,3.394005e-22,2.909003e-09
/out0 (Vin=0.1825503) Y,1.844377e-01,3.261487e-21,8.978143e-09
/out0 (Vin=0.1932886) Y,1.844388e-01,8.965247e-19,1.520305e-07
/out0 (Vin=0.2040268) Y,1.844402e-01,4.039400e-20,3.220209e-08
/out0 (Vin=0.2147651) Y,1.844421e-01,3.556422e-21,9.505362e-09
/out0 (Vin=0.2255034) Y,1.844446e-01,3.552553e-21,9.615715e-09
/out0 (Vin=0.2362416) Y,1.844478e-01,3.610459e-21,9.622138e-09
/out0 (Vin=0.2469799) Y,1.844519e-01,3.714436e-21,9.883953e-09
/out0 (Vin=0.2577181) Y,1.844572e-01,5.720162e-23,-8.303064e-11
/out0 (Vin=0.2684564) Y,1.844639e-01,4.388255e-18,3.365764e-07
/out0 (Vin=0.2791946) Y,1.844723e-01,1.642705e-23,7.245209e-11
/out0 (Vin=0.2899329) Y,1.844827e-01,3.725938e-22,2.646798e-09
