/out0 X,/out0 YRe,/out0 YReImag,/out1 X,/out1 YRe,/out1 YReImag,/Vin X,/Vin YRe,/Vin YReImag,/out2 X,/out2 YRe,/out2 YReImag
160000000,0.0001176743143821762,-0.0002814141804469288,160000000,-3.456154744353677e-07,1.033204300916088e-06,160000000,0.005,0,160000000,-7.587960057943918e-10,-1.592111376775929e-09
166666666.6666667,9.915125499964399e-05,-0.0002793469981520723,166666666.6666667,-1.921691035781002e-07,1.05589737607232e-06,166666666.6666667,0.005,0,166666666.6666667,-1.010634147364936e-09,-1.392078537418526e-09
173333333.3333333,8.187639148487947e-05,-0.0002761271073934692,173333333.3333333,-4.582774742317884e-08,1.054400028845384e-06,173333333.3333333,0.005,0,173333333.3333333,-1.206170346810861e-09,-1.16155613566547e-09
180000000,6.58191425095953e-05,-0.0002719643216429628,180000000,9.048069603184901e-08,1.032363336349855e-06,180000000,0.005,0,180000000,-1.346043178216818e-09,-9.143752418271287e-10
186666666.6666666,5.093535095246495e-05,-0.0002670378778851316,186666666.6666666,2.148051879568155e-07,9.933764989453177e-07,186666666.6666666,0.005,0,186666666.6666666,-1.433357374691815e-09,-6.622788901529136e-10
193333333.3333333,3.71722582511591e-05,-0.0002615003326317952,193333333.3333333,3.259927709682964e-07,9.408256456925749e-07,193333333.3333333,0.005,0,193333333.3333333,-1.472879661371935e-09,-4.148287660829295e-10
199999999.9999999,2.447213721942994e-05,-0.0002554811532349192,199999999.9999999,4.235242086873118e-07,8.778092267504131e-07,199999999.9999999,0.005,0,199999999.9999999,-1.470377674568282e-09,-1.794748942093516e-10
206666666.6666666,1.277491383141377e-05,-0.0002490899425395447,206666666.6666666,5.073694991423673e-07,8.070945943793225e-07,206666666.6666666,0.005,0,206666666.6666666,-1.432098362444318e-09,3.827355902206582e-11
213333333.3333333,2.020032286220944e-06,-0.0002424192837710667,213333333.3333333,5.778649048822217e-07,7.311035233951322e-07,213333333.3333333,0.005,0,213333333.3333333,-1.364372541793945e-09,2.346220779708788e-10
219999999.9999999,-7.852242875506975e-06,-0.0002355472201092783,219999999.9999999,6.356109072252419e-07,6.519172671812368e-07,219999999.9999999,0.005,0,219999999.9999999,-1.273327973427954e-09,4.072415631489951e-10
