/net06 X,/net06 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net07 X,/net07 Y,/vout X,/vout Y
0,0,0,0,0,0,0,0,0,0.9447172265801049
1e-10,0,1e-10,0,1e-10,0,1e-10,0,1e-10,0.9447172265800999
3e-10,0,3e-10,0,3e-10,0,3e-10,0,3e-10,0.9447172265801033
7e-10,0,7e-10,0,7e-10,0,7e-10,0,7e-10,0.9447172265801084
1.5e-09,0,1.5e-09,0,1.5e-09,0,1.5e-09,0,1.5e-09,0.9447172265801018
3.1e-09,0,3.1e-09,0,3.1e-09,0,3.1e-09,0,3.1e-09,0.944717226580108
4.675e-09,0,4.675e-09,0,4.675e-09,0,4.675e-09,0,4.675e-09,0.9447172265801025
6.25e-09,0,6.25e-09,0,6.25e-09,0,6.25e-09,0,6.25e-09,0.9447172265801076
6.676517378228523e-09,0,6.676517378228523e-09,0,6.676517378228523e-09,0,6.676517378228523e-09,2.132586891142615,6.676517378228523e-09,0.9755769489587397
7.25e-09,0,7.25e-09,0,7.25e-09,0,7.25e-09,4.999999999999999,7.25e-09,1.017805438980242
7.542085989228563e-09,0,7.542085989228563e-09,0,7.542085989228563e-09,0,7.542085989228563e-09,5,7.542085989228563e-09,1.01782164803979
7.92279225522305e-09,0,7.92279225522305e-09,0,7.92279225522305e-09,0,7.92279225522305e-09,5,7.92279225522305e-09,1.017789448544085
8.299202681311646e-09,0,8.299202681311646e-09,0,8.299202681311646e-09,0,8.299202681311646e-09,5,8.299202681311646e-09,1.017822329601711
9.052023533488839e-09,0,9.052023533488839e-09,0,9.052023533488839e-09,0,9.052023533488839e-09,5,9.052023533488839e-09,1.017787938066089
1.034900220811844e-08,0,1.034900220811844e-08,0,1.034900220811844e-08,0,1.034900220811844e-08,5,1.034900220811844e-08,1.017820445767009
1.142450110405922e-08,0,1.142450110405922e-08,0,1.142450110405922e-08,0,1.142450110405922e-08,5,1.142450110405922e-08,1.017791253231005
1.25e-08,0,1.25e-08,0,1.25e-08,0,1.25e-08,5,1.25e-08,1.017820618905931
1.275e-08,0,1.275e-08,0,1.275e-08,1.249999999999995,1.275e-08,5,1.275e-08,1.055558687429432
1.317805551446527e-08,0,1.317805551446527e-08,0,1.317805551446527e-08,3.390277572326368,1.317805551446527e-08,5,1.317805551446527e-08,1.124307045436767
1.35e-08,0,1.35e-08,0,1.35e-08,4.999999999999995,1.35e-08,5,1.35e-08,1.184587676495678
1.353125e-08,0,1.353125e-08,0,1.353125e-08,5,1.353125e-08,4.843750000000009,1.353125e-08,1.181423674964201
1.359375e-08,0,1.359375e-08,0,1.359375e-08,5,1.359375e-08,4.531250000000019,1.359375e-08,1.174888685085652
1.371874999999999e-08,0,1.371874999999999e-08,0,1.371874999999999e-08,5,1.371874999999999e-08,3.906250000000038,1.371874999999999e-08,1.162519457752729
1.388104020816829e-08,0,1.388104020816829e-08,0,1.388104020816829e-08,5,1.388104020816829e-08,3.094798959158533,1.388104020816829e-08,1.147393528431375
1.416231171335789e-08,0,1.416231171335789e-08,0,1.416231171335789e-08,5,1.416231171335789e-08,1.688441433210565,1.416231171335789e-08,1.122702319883414
1.45e-08,0,1.45e-08,0,1.45e-08,5,1.45e-08,0,1.45e-08,1.094861884044764
1.476575182002897e-08,0,1.476575182002897e-08,0,1.476575182002897e-08,5,1.476575182002897e-08,0,1.476575182002897e-08,1.094830156690737
1.506294175165763e-08,0,1.506294175165763e-08,0,1.506294175165763e-08,5,1.506294175165763e-08,0,1.506294175165763e-08,1.094830379810291
1.536119992422704e-08,0,1.536119992422704e-08,0,1.536119992422704e-08,5,1.536119992422704e-08,0,1.536119992422704e-08,1.094857401584778
1.595771626936585e-08,0,1.595771626936585e-08,0,1.595771626936585e-08,5,1.595771626936585e-08,0,1.595771626936585e-08,1.09482971611655
1.715074895964348e-08,0,1.715074895964348e-08,0,1.715074895964348e-08,5,1.715074895964348e-08,0,1.715074895964348e-08,1.094854187268594
1.875e-08,0,1.875e-08,0,1.875e-08,5,1.875e-08,0,1.875e-08,1.094832428766772
1.9e-08,0,1.9e-08,0,1.9e-08,5,1.9e-08,1.249999999999995,1.9e-08,1.115319414786633
1.9375e-08,0,1.9375e-08,0,1.9375e-08,5,1.9375e-08,3.125000000000003,1.9375e-08,1.147921602863849
1.975e-08,0,1.975e-08,0,1.975e-08,5,1.975e-08,4.999999999999995,1.975e-08,1.184672172779105
1.99375e-08,0,1.99375e-08,0,1.99375e-08,5,1.99375e-08,5,1.99375e-08,1.184715965484104
2.022952925233439e-08,0,2.022952925233439e-08,0,2.022952925233439e-08,5,2.022952925233439e-08,5,2.022952925233439e-08,1.184715224062142
2.051380463953243e-08,0,2.051380463953243e-08,0,2.051380463953243e-08,5,2.051380463953243e-08,5,2.051380463953243e-08,1.184715629979325
2.108235541392852e-08,0,2.108235541392852e-08,0,2.108235541392852e-08,5,2.108235541392852e-08,5,2.108235541392852e-08,1.184715457962323
2.221945696272071e-08,0,2.221945696272071e-08,0,2.221945696272071e-08,5,2.221945696272071e-08,5,2.221945696272071e-08,1.184715586770584
2.360972848136035e-08,0,2.360972848136035e-08,0,2.360972848136035e-08,5,2.360972848136035e-08,5,2.360972848136035e-08,1.184715477640301
2.5e-08,0,2.5e-08,0,2.5e-08,5,2.5e-08,5,2.5e-08,1.184715570054838
2.5015625e-08,0,2.5015625e-08,0.07812500000000587,2.5015625e-08,5,2.5015625e-08,5,2.5015625e-08,1.191514136371905
2.5046875e-08,0,2.5046875e-08,0.2343750000000176,2.5046875e-08,5,2.5046875e-08,5,2.5046875e-08,1.206335352055125
2.510937500000001e-08,0,2.510937500000001e-08,0.5468750000000411,2.510937500000001e-08,5,2.510937500000001e-08,5,2.510937500000001e-08,1.243746988985061
2.519776782441167e-08,0,2.519776782441167e-08,0.9888391220583325,2.519776782441167e-08,5,2.519776782441167e-08,5,2.519776782441167e-08,1.333014483840082
2.530526957744017e-08,0,2.530526957744017e-08,1.526347887200862,2.530526957744017e-08,5,2.530526957744017e-08,5,2.530526957744017e-08,1.470900926258485
2.542789595575204e-08,0,2.542789595575204e-08,2.1394797787602,2.542789595575204e-08,5,2.542789595575204e-08,5,2.542789595575204e-08,1.629011791919081
2.555873856549481e-08,0,2.555873856549481e-08,2.793692827474052,2.555873856549481e-08,5,2.555873856549481e-08,5,2.555873856549481e-08,1.798689108164649
2.582042378498035e-08,0,2.582042378498035e-08,4.102118924901759,2.582042378498035e-08,5,2.582042378498035e-08,5,2.582042378498035e-08,2.139679274315314
2.6e-08,0,2.6e-08,4.999999999999995,2.6e-08,5,2.6e-08,5,2.6e-08,2.376262278552725
2.604239866650467e-08,0,2.604239866650467e-08,5,2.604239866650467e-08,4.788006667476632,2.604239866650467e-08,4.788006667476627,2.604239866650467e-08,2.335689961675358
