/net039 X,/net039 Y,/net010 X,/net010 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net02 X,/net02 Y
0,0.0002899952869145903,0,0.0002899952869143717,0,0.0002899952866020145,0,0.0001827204682183335,0,0
1.5e-11,0.000289995286914762,1.5e-11,0.000289995286914316,1.5e-11,0.0002899952866021171,1.5e-11,0.000182720468217478,1.5e-11,0
4.5e-11,0.0002899952869146452,4.5e-11,0.0002899952869143612,4.5e-11,0.0002899952866020754,4.5e-11,0.0001827204682182656,4.5e-11,0
1.05e-10,0.0002899952869118224,1.05e-10,0.0002899952869141212,1.05e-10,0.0002899952866027168,1.05e-10,0.0001827204682181226,1.05e-10,0
2.25e-10,0.0002899952869178394,2.25e-10,0.0002899952869175435,2.25e-10,0.0002899952866019985,2.25e-10,0.0001827204682176332,2.25e-10,0
4.65e-10,0.0002899952869152215,4.65e-10,0.0002899952869143071,4.65e-10,0.0002899952865993045,4.65e-10,0.000182720468218942,4.65e-10,0
7.649999999999999e-10,0.0002899952869145467,7.649999999999999e-10,0.0002899952869140687,7.649999999999999e-10,0.0002899952866056464,7.649999999999999e-10,0.0001827204682176094,7.649999999999999e-10,0
1.065e-09,0.0002899952869151947,1.065e-09,0.0002899952869144361,1.065e-09,0.0002899952865959676,1.065e-09,0.0001827204682189718,1.065e-09,0
1.365e-09,0.0002899952869145925,1.365e-09,0.0002899952869139949,1.365e-09,0.0002899952866087956,1.365e-09,0.0001827204682176596,1.365e-09,0
1.665e-09,0.0002899952869152043,1.665e-09,0.0002899952869147438,1.665e-09,0.0002899952865959049,1.665e-09,0.0001827204682189002,1.665e-09,0
1.8325e-09,0.0002899952869179038,1.8325e-09,0.0002899952869135518,1.8325e-09,0.0002899952866085735,1.8325e-09,0.0001827204682177332,1.8325e-09,0
2e-09,0.0002899952869121146,2e-09,0.0002899952869181555,2e-09,0.0002899952865959878,2e-09,0.0001827204682182719,2e-09,0
2.120144127384571e-09,0.0002899952869146793,2.120144127384571e-09,0.000289995286914352,2.120144127384571e-09,0.0002899952866020625,2.120144127384571e-09,0.0001827204682195561,2.120144127384571e-09,0.06674673743587282
2.261585129605973e-09,0.0002899952869148828,2.261585129605973e-09,0.000289995286914252,2.261585129605973e-09,0.0002899952866021708,2.261585129605973e-09,0.0001827204682701845,2.261585129605973e-09,0.1453250720033182
2.400273538304042e-09,0.0002899952869151505,2.400273538304042e-09,0.0002899952869144045,2.400273538304042e-09,0.0002899952866025185,2.400273538304042e-09,0.0001827204681334332,2.400273538304042e-09,0.2223741879466899
2.453121882991232e-09,0.0002899952869114505,2.453121882991232e-09,0.0002899952869141735,2.453121882991232e-09,0.0002899952866022393,2.453121882991232e-09,0.0001827204680300197,2.453121882991232e-09,0.2517343794395734
2.479546055334827e-09,0.0002899952869145757,2.479546055334827e-09,0.0002899952869114219,2.479546055334827e-09,0.0002899952866038911,2.479546055334827e-09,0.0001827204695427259,2.479546055334827e-09,0.2664144751860152
2.532394400022018e-09,0.0002899952869152711,2.532394400022018e-09,0.0002899952869169068,2.532394400022018e-09,0.0002899952865978499,2.532394400022018e-09,0.0001827204665390679,2.532394400022018e-09,0.2957746666788987
2.552069930340749e-09,0.0002899952869145738,2.552069930340749e-09,0.000289995286912127,2.552069930340749e-09,0.0002899952866111777,2.552069930340749e-09,0.0001827204688449784,2.552069930340749e-09,0.3067055168559714
2.59142099097821e-09,0.000289995286915195,2.59142099097821e-09,0.000289995286916266,2.59142099097821e-09,0.0002899952865963083,2.59142099097821e-09,0.0001827204688155013,2.59142099097821e-09,0.3285672172101166
2.619454996019932e-09,0.0002899952869145677,2.619454996019932e-09,0.000289995286912644,2.619454996019932e-09,0.0002899952865994193,2.619454996019932e-09,0.0001827204661286104,2.619454996019932e-09,0.344141664455518
2.650533128582053e-09,0.000289995286915099,2.650533128582053e-09,0.0002899952869156502,2.650533128582053e-09,0.0002899952866155406,2.650533128582053e-09,0.0001827204710974061,2.650533128582053e-09,0.3614072936566959
2.673628674783674e-09,0.0002899952869147613,2.673628674783674e-09,0.0002899952869130262,2.673628674783674e-09,0.0002899952865775526,2.673628674783674e-09,0.0001827204650909042,2.673628674783674e-09,0.3742381526575969
2.696758169419564e-09,0.0002899952869152885,2.696758169419564e-09,0.0002899952869154109,2.696758169419564e-09,0.0002899952866336335,2.696758169419564e-09,0.0001827204709748601,2.696758169419564e-09,0.387087871899758
2.722303735199676e-09,0.0002899952869145452,2.722303735199676e-09,0.0002899952869131161,2.722303735199676e-09,0.0002899952865722525,2.722303735199676e-09,0.0001827204660304145,2.722303735199676e-09,0.4012798528887087
2.752859245786858e-09,0.0002899952869125118,2.752859245786858e-09,0.0002899952869153739,2.752859245786858e-09,0.0002899952866261241,2.752859245786858e-09,0.000182720469896389,2.752859245786858e-09,0.4182551365482542
2.786216118660815e-09,0.0002899952869201148,2.786216118660815e-09,0.0002899952869131822,2.786216118660815e-09,0.0002899952865795868,2.786216118660815e-09,0.0001827204669725133,2.786216118660815e-09,0.4367867325893415
2.817380313165456e-09,0.000289995286910563,2.817380313165456e-09,0.0002899952869150526,2.817380313165456e-09,0.0002899952866197298,2.817380313165456e-09,0.0001827204690552662,2.817380313165456e-09,0.4541001739808091
2.849565394636116e-09,0.0002899952869158289,2.849565394636116e-09,0.0002899952869134858,2.849565394636116e-09,0.0002899952865874363,2.849565394636116e-09,0.000182720467711461,2.849565394636116e-09,0.4719807747978421
