/net039 X,/net039 Y,/net010 X,/net010 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net02 X,/net02 Y
0,4.551727199389341e-05,0,4.551727199390257e-05,0,4.551727199384188e-05,0,4.710319154500563e-05,0,0
1.5e-11,4.55172719937752e-05,1.5e-11,4.551727199378428e-05,1.5e-11,4.551727199392934e-05,1.5e-11,4.71031915449943e-05,1.5e-11,0
4.5e-11,4.551727199386457e-05,4.5e-11,4.551727199387334e-05,4.5e-11,4.551727199360321e-05,4.5e-11,4.710319154499522e-05,4.5e-11,0
1.05e-10,4.551727199496762e-05,1.05e-10,4.551727199788503e-05,1.05e-10,4.551727199240391e-05,1.05e-10,4.710319154501708e-05,1.05e-10,0
2.25e-10,4.551727199504006e-05,2.25e-10,4.551727199239484e-05,2.25e-10,4.551727199452075e-05,2.25e-10,4.71031915449469e-05,2.25e-10,0
4.65e-10,4.551727199170558e-05,4.65e-10,4.55172719974744e-05,4.65e-10,4.551727199268737e-05,4.65e-10,4.710319154510073e-05,4.65e-10,0
7.649999999999999e-10,4.551727199833612e-05,7.649999999999999e-10,4.551727198965566e-05,7.649999999999999e-10,4.551727199709259e-05,7.649999999999999e-10,4.710319154511173e-05,7.649999999999999e-10,0
1.065e-09,4.551727199190958e-05,1.065e-09,4.551727199700229e-05,1.065e-09,4.551727198980712e-05,1.065e-09,4.710319154490887e-05,1.065e-09,0
1.365e-09,4.551727199191441e-05,1.365e-09,4.551727199290818e-05,1.365e-09,4.551727199418442e-05,1.365e-09,4.710319154526337e-05,1.365e-09,0
1.665e-09,4.551727199796144e-05,1.665e-09,4.551727199391792e-05,1.665e-09,4.55172719926098e-05,1.665e-09,4.710319154488211e-05,1.665e-09,0
1.8325e-09,4.551727198899598e-05,1.8325e-09,4.55172719931544e-05,1.8325e-09,4.551727199426122e-05,1.8325e-09,4.710319154532387e-05,1.8325e-09,0
2e-09,4.551727199762128e-05,2e-09,4.551727199352069e-05,2e-09,4.551727199562582e-05,2e-09,4.710319154468162e-05,2e-09,0
2.120144127384571e-09,4.551727199389116e-05,2.120144127384571e-09,4.551727199398795e-05,2.120144127384571e-09,4.551727199377062e-05,2.120144127384571e-09,4.71031915472624e-05,2.120144127384571e-09,0.06674673743587282
2.261585129605973e-09,4.551727199489226e-05,2.261585129605973e-09,4.551727199156586e-05,2.261585129605973e-09,4.551727199511587e-05,2.261585129605973e-09,4.71031915091505e-05,2.261585129605973e-09,0.1453250720033182
2.400273538304042e-09,4.551727199509617e-05,2.400273538304042e-09,4.551727199514031e-05,2.400273538304042e-09,4.551727199491276e-05,2.400273538304042e-09,4.710319167948974e-05,2.400273538304042e-09,0.2223741879466899
2.457360179428421e-09,4.551727199472411e-05,2.457360179428421e-09,4.551727199496476e-05,2.457360179428421e-09,4.551727199128547e-05,2.457360179428421e-09,4.710319089221339e-05,2.457360179428421e-09,0.2540889885713449
2.48590349999061e-09,4.551727199531174e-05,2.48590349999061e-09,4.551727199225952e-05,2.48590349999061e-09,4.551727200178641e-05,2.48590349999061e-09,4.71031936798606e-05,2.48590349999061e-09,0.2699463888836724
