Signal,Mean,Variance,Slope,Class,Non-Anomaly
1,1.372,0,0.112475,0,0
2,1.365,0,0.0920257,0,0
3,1.358,0,4.62309,0,0
4,1.35,0,0.401692,0,0
5,1.343,0,0.510531,0,0
6,1.335,0,0.0989245,0,0
7,1.327,0,1.16591,0,0
8,1.32,0,0.05949555,0,0
9,1.312,0,0.1072041,0,0
10,1.304,0,0.01411094,0,0
11,1.296,0,0.0563171,0,0
12,1.288,0,0.1358669,0,0
13,1.28,0,1.26E+00,0,0
14,1.271,0,0.000161156,0,0
15,1.263,0,0.001768216,0,0
16,1.368,0,0.119784,0,0
17,1.362,0,0.0578093,0,0
18,1.355,0,3.52926,0,0
19,1.347,0,1.09855,0,0
20,1.34,0,0.327163,0,0
21,1.332,0,3.81925,0,0
22,1.324,0,0.655017,0,0
23,1.317,0,0.1560053,0,0
24,1.309,0,0.02060362,0,0
25,1.301,0,0.02889853,0,0
26,1.293,0,0.02389244,0,0
27,1.285,0,0.5438685,0,0
28,1.276,0,1.456918,0,0
29,1.268,0,0.000789841,0,0
30,1.26,0,0.006030816,0,0
31,1.189,0,0.048778,1,3 sat
32,1.183,0,0.0225938,1,3 sat
33,1.177,0,0.00516037,1,3 sat
34,1.171,0,0.000937516,1,3 sat
35,1.165,0,0.814784,1,3 sat
36,1.159,0,0.662811,1,3 sat
37,1.153,0,0.0408282,1,3 sat
38,1.147,0,0.0453544,1,3 sat
39,1.14,0,0.0664692,1,3 sat
40,1.134,0,0.0192375,1,3 sat
41,1.128,0,0.00789698,1,3 sat
42,1.122,0,0.0359115,1,3 sat
43,1.116,0,0.0384147,1,3 sat
44,1.11,0,0.000617777,1,3 sat
45,1.104,0,0.0010976,1,3 sat
46,0.7886,0,6.87E-05,1,5 sat
47,0.7872,0,4.19E-05,1,5 sat
48,0.7857,0,3.11E-05,1,5 sat
49,0.7843,0,0.00510666,1,5 sat
50,0.782,0,0.00785316,1,5 sat
51,0.7815,0,0.00884303,1,5 sat
52,0.78,0,0.00879206,1,5 sat
53,0.7786,0,0.00817173,1,5 sat
54,0.7772,0,0.00727839,1,5 sat
55,0.7758,0,0.00629131,1,5 sat
56,0.7744,0,0.00531343,1,5 sat
57,0.773,0,0.00440373,1,5 sat
58,0.7715,0,0.003600933,1,5 sat
59,0.7701,0,0.002898461,1,5 sat
60,0.7687,0,0.002306981,1,5 sat
