signal,mean_vout_Y,variance_vout_Y,slope_vout
1,0.0855997126272176,2.0707144016607867e-18,-7.6172661828926325
2,0.08559971057183287,6.074497277311035e-20,-0.01390624842461425
3,0.09149590018241764,0.00010429515281409038,5820931.011998462
4,0.21691049500096451,0.006297893892507419,298584892.3115449
5,0.385445332470641,3.297583597023102e-08,822441.8529391174
6,0.3855500784545527,1.884051342130691e-12,918.3665759219759
7,0.38555101488822424,1.2530043221780793e-13,-78.96787823000831
8,0.796440713547066,0.05854360591942363,643230472.2891057
9,0.9356242149020133,0.0026143029467446412,-321187743.6533831
10,0.7336626684667361,0.00231110523360029,-188033917.35397354
11,0.70576914255125,7.996642235407368e-11,-2785.6824317988203
12,0.7057741606739817,6.147306990642509e-11,-148.7350111885816
13,0.9195718991680343,0.011509939586406621,321205029.27145565
14,1.0270801910299934,7.018843754216844e-11,-28891.369127168407
15,1.0270800206854702,7.517028759827357e-11,846.9094927334858
16,1.2724354764497983,0.07622285826607252,1282975352.0220282
17,2.1871313815639213,0.03678184609450514,1071740346.4012849
18,2.066888512365368,0.013460854266975332,-979933151.7602009
19,1.55899522445576,0.044317277438559635,-966093377.1945032
20,1.3479268467267376,7.762783916642072e-09,63178.963988063
21,1.3479765101048635,6.678064495512927e-09,29480.11275478789
22,1.3878506907504955,0.004775399441166621,40663373.39095359
23,1.6359017181291928,0.0034086498772343617,198226549.3214735
24,1.6697049587743067,8.545033641559883e-11,-1715.5770367130503
25,1.6697100973264003,5.4514093802126306e-11,-55.9945385092673
26,2.0777506269533204,0.05928809955000973,654040345.0558381
27,2.2263801240418672,0.0029780082741548723,-328683923.02167535
28,2.0189492736211334,0.001844806386098862,-184237919.83495206
29,1.994063357939263,7.23780550859722e-11,-1012.3615616776714
30,1.9940587498342819,4.070513247810404e-11,207.89051430919017
31,2.212556518727425,0.011913445002916032,328494713.8319656
32,2.3219241751304343,6.741172462422799e-11,-6946.4351245592015
33,2.3219206310623695,1.9493141435187268e-11,20.14546171989325
34,2.6592907245694977,0.13723376173921206,2643301728.0643888
35,4.144817494719149,0.17155054975937412,2616692512.39291
36,4.842252829307509,0.01580185158264923,1911563247.3846414
37,4.702754638496035,0.013070429653654566,-2230053764.7825584
38,4.091524182512671,0.12362008213919487,-2291617662.0029488
39,2.9833677952018136,0.10875322729963208,-2316986516.1563654
40,2.652277330702809,2.4084836204599142e-08,2224777.1813391615
41,2.652339511102233,7.464245799407913e-10,7517.858935730959
42,2.6523529094543092,2.9466293275226876e-10,1743.3433016260146
43,2.686054134864133,0.003408241546612958,71711732.0075266
44,2.9451193088947165,0.004405564584771317,209183896.1262372
45,2.9835231823029367,1.7225481455072005e-10,-2741.8626514183293
46,2.9835303905429895,1.1277882842739209e-10,-130.44485887112683
47,3.3970692934666196,0.060945712989264066,660167252.0281584
48,3.5483504354129387,0.003013309783188414,-329859052.06561893
49,3.33931285980116,0.0018588650438511893,-186008477.4603088
50,3.3143100842296267,1.531368260430123e-10,1707.2282974762586
51,3.3143033004677314,9.974010363081668e-11,164.08511270027498
52,3.5345027801963336,0.011999968206779284,329680055.75816435
53,3.6441939559939356,7.533676597572672e-10,-61836.98402583518
54,3.644177881142794,9.552400474986963e-11,-371.64749452979777
55,3.8945818421115046,0.07909377105598454,1311422241.4049134
56,4.806152421901049,0.034787236323843104,1025923523.2474045
57,4.679518825587252,0.01595697341842241,-954746974.1316432
58,4.0811045335683565,0.03497179939446441,-764211554.9964421
59,3.972894497164815,5.0570931117066076e-09,49578.12045286503
60,3.9728505563508256,4.859394157064926e-09,-4926.749048768423
61,4.081292776245758,0.011815653902234791,327165211.4101034
62,4.299898535852167,5.5561748516455e-09,220750.16256676265
63,4.299946528753965,2.1347423452961075e-10,2654.3321152665985
64,4.35369846318786,0.008669204616940974,60917875.78777584
65,4.845851642230792,0.016159643592886106,451044852.5734651
66,4.775987330858015,0.00605882346191277,-316718492.90977234
67,4.621780148454447,1.9447945349221194e-08,-536235.3710987685
68,4.621693146979806,2.017949877847603e-10,-2909.6428351125587
69,4.648122837450296,0.0020948490401864134,37704228.44159317
70,4.898628495255934,0.004667979984337157,225584561.88290757
71,4.938221512932613,1.2391371734671925e-10,-1709.2080096896836
72,4.938227429913355,7.405119676707813e-11,-188.9390331298065
