v /vout; tran (V) X,v /vout; tran (V) Y,v /net07; tran (V) X,v /net07; tran (V) Y,v /net08; tran (V) X,v /net08; tran (V) Y,v /net09; tran (V) X,v /net09; tran (V) Y,v /net06; tran (V) X,v /net06; tran (V) Y
1.362428976868234e-08,0.9873851415917677,1.362428976868234e-08,4.378551156588298,1.362428976868234e-08,5,1.362428976868234e-08,0,1.362428976868234e-08,0
1.379293912268356e-08,0.9332356366233135,1.379293912268356e-08,3.535304386582176,1.379293912268356e-08,5,1.379293912268356e-08,0,1.379293912268356e-08,0
1.394338673841728e-08,0.8849142840061791,1.394338673841728e-08,2.783066307913618,1.394338673841728e-08,5,1.394338673841728e-08,0,1.394338673841728e-08,0
1.42442819698847e-08,0.7882720985659984,1.42442819698847e-08,1.278590150576503,1.42442819698847e-08,5,1.42442819698847e-08,0,1.42442819698847e-08,0
1.45e-08,0.7060343339335965,1.45e-08,0,1.45e-08,5,1.45e-08,0,1.45e-08,0
1.4699982742316e-08,0.7057695506554659,1.4699982742316e-08,0,1.4699982742316e-08,5,1.4699982742316e-08,0,1.4699982742316e-08,0
1.493261455357541e-08,0.7057562196548639,1.493261455357541e-08,0,1.493261455357541e-08,5,1.493261455357541e-08,0,1.493261455357541e-08,0
1.515817038105949e-08,0.7057721271862999,1.515817038105949e-08,0,1.515817038105949e-08,5,1.515817038105949e-08,0,1.515817038105949e-08,0
1.560928203602766e-08,0.7057576690590293,1.560928203602766e-08,0,1.560928203602766e-08,5,1.560928203602766e-08,0,1.560928203602766e-08,0
1.651150534596399e-08,0.7057715473693381,1.651150534596399e-08,0,1.651150534596399e-08,5,1.651150534596399e-08,0,1.651150534596399e-08,0
1.7630752672982e-08,0.7057580426573056,1.7630752672982e-08,0,1.7630752672982e-08,5,1.7630752672982e-08,0,1.7630752672982e-08,0
1.875e-08,0.7057712230322359,1.875e-08,0,1.875e-08,5,1.875e-08,0,1.875e-08,0
1.908238662375504e-08,0.8123750906626077,1.908238662375504e-08,1.661933118775212,1.908238662375504e-08,5,1.908238662375504e-08,0,1.908238662375504e-08,0
1.941619331187752e-08,0.919585929809271,1.941619331187752e-08,3.330966559387603,1.941619331187752e-08,5,1.941619331187752e-08,0,1.941619331187752e-08,0
1.975e-08,1.026774366765224,1.975e-08,4.999999999999995,1.975e-08,5,1.975e-08,0,1.975e-08,0
1.997851993322768e-08,1.027009587275675,1.997851993322768e-08,5,1.997851993322768e-08,5,1.997851993322768e-08,0,1.997851993322768e-08,0
2.024257080374169e-08,1.027009246105632,2.024257080374169e-08,5,2.024257080374169e-08,5,2.024257080374169e-08,0,2.024257080374169e-08,0
2.049969485229418e-08,1.026995713709739,2.049969485229418e-08,5,2.049969485229418e-08,5,2.049969485229418e-08,0,2.049969485229418e-08,0
2.101394294939916e-08,1.027009677796289,2.101394294939916e-08,5,2.101394294939916e-08,5,2.101394294939916e-08,0,2.101394294939916e-08,0
2.204243914360911e-08,1.026995217960355,2.204243914360911e-08,5,2.204243914360911e-08,5,2.204243914360911e-08,0,2.204243914360911e-08,0
2.352121957180455e-08,1.027010006401005,2.352121957180455e-08,5,2.352121957180455e-08,5,2.352121957180455e-08,0,2.352121957180455e-08,0
2.5e-08,1.026995164422708,2.5e-08,5,2.5e-08,5,2.5e-08,0,2.5e-08,0
2.515019635821691e-08,1.218765002356052,2.515019635821691e-08,5,2.515019635821691e-08,5,2.515019635821691e-08,0.7509817910845733,2.515019635821691e-08,0
2.542442601599187e-08,1.571348769598748,2.542442601599187e-08,5,2.542442601599187e-08,5,2.542442601599187e-08,2.122130079959353,2.542442601599187e-08,0
2.573030696590519e-08,1.967623833834128,2.573030696590519e-08,5,2.573030696590519e-08,5,2.573030696590519e-08,3.651534829525946,2.573030696590519e-08,0
2.6e-08,2.321389801279746,2.6e-08,5,2.6e-08,5,2.6e-08,4.999999999999995,2.6e-08,0
2.60505781770899e-08,2.272772432565294,2.60505781770899e-08,4.747109114550493,2.60505781770899e-08,4.747109114550497,2.60505781770899e-08,5,2.60505781770899e-08,0
2.61517345312697e-08,2.172834188260225,2.61517345312697e-08,4.24132734365147,2.61517345312697e-08,4.241327343651474,2.61517345312697e-08,5,2.61517345312697e-08,0
2.624086080752928e-08,2.085229702190617,2.624086080752928e-08,3.795695962353605,2.624086080752928e-08,3.79569596235361,2.624086080752928e-08,5,2.624086080752928e-08,0
2.638585423031004e-08,1.943304855766771,2.638585423031004e-08,3.070728848449775,2.638585423031004e-08,3.07072884844978,2.638585423031004e-08,5,2.638585423031004e-08,0
2.656391546330744e-08,1.769873365702592,2.656391546330744e-08,2.180422683462781,2.656391546330744e-08,2.180422683462785,2.656391546330744e-08,5,2.656391546330744e-08,0
2.678195773165372e-08,1.558777850094835,2.678195773165372e-08,1.090211341731395,2.678195773165372e-08,1.090211341731399,2.678195773165372e-08,5,2.678195773165372e-08,0
2.7e-08,1.348517235719097,2.7e-08,8.881784197001252e-15,2.7e-08,1.332267629550188e-14,2.7e-08,5,2.7e-08,0
2.710662374286364e-08,1.347816340776498,2.710662374286364e-08,0,2.710662374286364e-08,0,2.710662374286364e-08,5,2.710662374286364e-08,0
2.723569006228298e-08,1.347864252063029,2.723569006228298e-08,0,2.723569006228298e-08,0,2.723569006228298e-08,5,2.723569006228298e-08,0
2.735738706628357e-08,1.347852370970362,2.735738706628357e-08,0,2.735738706628357e-08,0,2.735738706628357e-08,5,2.735738706628357e-08,0
2.760078107428476e-08,1.347848891266892,2.760078107428476e-08,0,2.760078107428476e-08,0,2.760078107428476e-08,5,2.760078107428476e-08,0
2.794551374995709e-08,1.347856883609146,2.794551374995709e-08,0,2.794551374995709e-08,0,2.794551374995709e-08,5,2.794551374995709e-08,0
2.863006536454144e-08,1.347848908234567,2.863006536454144e-08,0,2.863006536454144e-08,0,2.863006536454144e-08,5,2.863006536454144e-08,0
2.999916859371014e-08,1.347856901090577,2.999916859371014e-08,0,2.999916859371014e-08,0,2.999916859371014e-08,5,2.999916859371014e-08,0
3.125e-08,1.347849052393544,3.125e-08,0,3.125e-08,0,3.125e-08,5,3.125e-08,0
3.15924497056729e-08,1.457626000925454,3.15924497056729e-08,1.712248528364503,3.15924497056729e-08,0,3.15924497056729e-08,5,3.15924497056729e-08,0
3.192122485283645e-08,1.563419603621399,3.192122485283645e-08,3.356124264182257,3.192122485283645e-08,0,3.192122485283645e-08,5,3.192122485283645e-08,0
3.225e-08,1.669443123912662,3.225e-08,5,3.225e-08,0,3.225e-08,5,3.225e-08,0
3.247661765389541e-08,1.669650010365985,3.247661765389541e-08,5,3.247661765389541e-08,0,3.247661765389541e-08,5,3.247661765389541e-08,0
3.273820363925136e-08,1.669630958251354,3.273820363925136e-08,5,3.273820363925136e-08,0,3.273820363925136e-08,5,3.273820363925136e-08,0
3.299315087586679e-08,1.669648689848117,3.299315087586679e-08,5,3.299315087586679e-08,0,3.299315087586679e-08,5,3.299315087586679e-08,0
3.350304534909765e-08,1.66963305058392,3.350304534909765e-08,5,3.350304534909765e-08,0,3.350304534909765e-08,5,3.350304534909765e-08,0
3.452283429555937e-08,1.669647607941688,3.452283429555937e-08,5,3.452283429555937e-08,0,3.452283429555937e-08,5,3.452283429555937e-08,0
3.601141714777968e-08,1.669633861749754,3.601141714777968e-08,5,3.601141714777968e-08,0,3.601141714777968e-08,5,3.601141714777968e-08,0
3.75e-08,1.669647428840364,3.75e-08,5,3.75e-08,0,3.75e-08,5,3.75e-08,0
3.775401973196966e-08,1.833602358542958,3.775401973196966e-08,5,3.775401973196966e-08,1.27009865984831,3.775401973196966e-08,5,3.775401973196966e-08,0
3.812700986598483e-08,2.076764743636065,3.812700986598483e-08,5,3.812700986598483e-08,3.135049329924177,3.812700986598483e-08,5,3.812700986598483e-08,0
3.85e-08,2.321638831358954,3.85e-08,5,3.85e-08,5,3.85e-08,5,3.85e-08,0
3.862271242635139e-08,2.281836971726977,3.862271242635139e-08,4.386437868243046,3.862271242635139e-08,5,3.862271242635139e-08,5,3.862271242635139e-08,0
3.879596678289414e-08,2.224779712320664,3.879596678289414e-08,3.520166085529301,3.879596678289414e-08,5,3.879596678289414e-08,5,3.879596678289414e-08,0
3.895499931994871e-08,2.172592260018833,3.895499931994871e-08,2.725003400256459,3.895499931994871e-08,5,3.895499931994871e-08,5,3.895499931994871e-08,0
3.927306439405784e-08,2.068371221794068,3.927306439405784e-08,1.134678029710775,3.927306439405784e-08,5,3.927306439405784e-08,5,3.927306439405784e-08,0
3.95e-08,1.99427529366952,3.95e-08,0,3.95e-08,5,3.95e-08,5,3.95e-08,0
3.968790169568007e-08,1.9940716240725,3.968790169568007e-08,0,3.968790169568007e-08,5,3.968790169568007e-08,5,3.968790169568007e-08,0
3.991067309131773e-08,1.994091396658911,3.991067309131773e-08,0,3.991067309131773e-08,5,3.991067309131773e-08,5,3.991067309131773e-08,0
4.0123366829388e-08,1.994075304662534,4.0123366829388e-08,0,4.0123366829388e-08,5,4.0123366829388e-08,5,4.0123366829388e-08,0
4.054875430552855e-08,1.994087493525521,4.054875430552855e-08,0,4.054875430552855e-08,5,4.054875430552855e-08,5,4.054875430552855e-08,0
4.139952925780964e-08,1.994076356041492,4.139952925780964e-08,0,4.139952925780964e-08,5,4.139952925780964e-08,5,4.139952925780964e-08,0
4.257476462890482e-08,1.994087382257496,4.257476462890482e-08,0,4.257476462890482e-08,5,4.257476462890482e-08,5,4.257476462890482e-08,0
4.375e-08,1.99407684430191,4.375e-08,0,4.375e-08,5,4.375e-08,5,4.375e-08,0
4.408554867968084e-08,2.103551216825175,4.408554867968084e-08,1.677743398404207,4.408554867968084e-08,5,4.408554867968084e-08,5,4.408554867968084e-08,0
4.441777433984042e-08,2.212534653439964,4.441777433984042e-08,3.338871699202109,4.441777433984042e-08,5,4.441777433984042e-08,5,4.441777433984042e-08,0
4.475e-08,2.321880116811086,4.475e-08,5,4.475e-08,5,4.475e-08,5,4.475e-08,0
4.497700476175135e-08,2.322046514653522,4.497700476175135e-08,5,4.497700476175135e-08,5,4.497700476175135e-08,5,4.497700476175135e-08,0
4.523925153943732e-08,2.322030997914367,4.523925153943732e-08,5,4.523925153943732e-08,5,4.523925153943732e-08,5,4.523925153943732e-08,0
4.54946200379474e-08,2.322042926466571,4.54946200379474e-08,5,4.54946200379474e-08,5,4.54946200379474e-08,5,4.54946200379474e-08,0
4.600535703496756e-08,2.322033728288691,4.600535703496756e-08,5,4.600535703496756e-08,5,4.600535703496756e-08,5,4.600535703496756e-08,0
4.702683102900788e-08,2.322041546390014,4.702683102900788e-08,5,4.702683102900788e-08,5,4.702683102900788e-08,5,4.702683102900788e-08,0
4.851341551450393e-08,2.32203471649503,4.851341551450393e-08,5,4.851341551450393e-08,5,4.851341551450393e-08,5,4.851341551450393e-08,0
5e-08,2.322041223044973,5e-08,5,5e-08,5,5e-08,5,5e-08,0
5.010587103432896e-08,2.60037279741603,5.010587103432896e-08,5,5.010587103432896e-08,5,5.010587103432896e-08,5,5.010587103432896e-08,0.5293551716447896
5.027769666428148e-08,3.055898553082819,5.027769666428148e-08,5,5.027769666428148e-08,5,5.027769666428148e-08,5,5.027769666428148e-08,1.388483321407397
5.05125126566929e-08,3.67588271944756,5.05125126566929e-08,5,5.05125126566929e-08,5,5.05125126566929e-08,5,5.05125126566929e-08,2.562563283464503
5.0749359525488e-08,4.297029367441525,5.0749359525488e-08,5,5.0749359525488e-08,5,5.0749359525488e-08,5,5.0749359525488e-08,3.746797627439991
5.0812019644116e-08,4.458753094127197,5.0812019644116e-08,5,5.0812019644116e-08,5,5.0812019644116e-08,5,5.0812019644116e-08,4.060098220579988
5.090600982205799e-08,4.698654298656972,5.090600982205799e-08,5,5.090600982205799e-08,5,5.090600982205799e-08,5,5.090600982205799e-08,4.530049110289983
5.099999999999999e-08,4.935704119651772,5.099999999999999e-08,5,5.099999999999999e-08,5,5.099999999999999e-08,5,5.099999999999999e-08,4.999999999999979
5.102229015029744e-08,4.891253880591789,5.102229015029744e-08,4.888549248512795,5.102229015029744e-08,4.8885492485128,5.102229015029744e-08,4.888549248512791,5.102229015029744e-08,5
5.106164332119657e-08,4.804521304372709,5.106164332119657e-08,4.691783394017151,5.106164332119657e-08,4.691783394017155,5.106164332119657e-08,4.691783394017147,5.106164332119657e-08,5
5.109761175792221e-08,4.723789571469862,5.109761175792221e-08,4.511941210388956,5.109761175792221e-08,4.511941210388961,5.109761175792221e-08,4.511941210388952,5.109761175792221e-08,5
5.116287021630768e-08,4.578775400970645,5.116287021630768e-08,4.185648918461579,5.116287021630768e-08,4.185648918461584,5.116287021630768e-08,4.185648918461575,5.116287021630768e-08,5
5.123889232459741e-08,4.407418932433967,5.123889232459741e-08,3.805538377012938,5.123889232459741e-08,3.805538377012941,5.123889232459741e-08,3.805538377012933,5.123889232459741e-08,5
5.134922601235491e-08,4.156527936494244,5.134922601235491e-08,3.253869938225422,5.134922601235491e-08,3.253869938225426,5.134922601235491e-08,3.253869938225418,5.134922601235491e-08,5
5.154029040114196e-08,3.717189244827196,5.154029040114196e-08,2.298547994290208,5.154029040114196e-08,2.298547994290212,5.154029040114196e-08,2.298547994290203,5.154029040114196e-08,5
5.171508120692198e-08,3.313967723109868,5.171508120692198e-08,1.424593965390108,5.171508120692198e-08,1.424593965390112,5.171508120692198e-08,1.424593965390104,5.171508120692198e-08,5
5.185754060346099e-08,2.98383075750533,5.185754060346099e-08,0.7122969826950589,5.185754060346099e-08,0.7122969826950625,5.185754060346099e-08,0.7122969826950545,5.185754060346099e-08,5
5.2e-08,2.653792959826226,5.2e-08,8.881784197001252e-15,5.2e-08,1.332267629550188e-14,5.2e-08,0,5.2e-08,5
5.203975016090664e-08,2.652270865393965,5.203975016090664e-08,0,5.203975016090664e-08,0,5.203975016090664e-08,0,5.203975016090664e-08,5
5.210722199574111e-08,2.652514420542539,5.210722199574111e-08,0,5.210722199574111e-08,0,5.210722199574111e-08,0,5.210722199574111e-08,5
5.21692861440922e-08,2.652555273631117,5.21692861440922e-08,0,5.21692861440922e-08,0,5.21692861440922e-08,0,5.21692861440922e-08,5
5.228358395982519e-08,2.652487553837664,5.228358395982519e-08,0,5.228358395982519e-08,0,5.228358395982519e-08,0,5.228358395982519e-08,5
5.243387640682712e-08,2.652540129384871,5.243387640682712e-08,0,5.243387640682712e-08,0,5.243387640682712e-08,0,5.243387640682712e-08,5
5.266409204093747e-08,2.652497354499716,5.266409204093747e-08,0,5.266409204093747e-08,0,5.266409204093747e-08,0,5.266409204093747e-08,5
5.303738499120166e-08,2.652533314543233,5.303738499120166e-08,0,5.303738499120166e-08,0,5.303738499120166e-08,0,5.303738499120166e-08,5
5.362530695518746e-08,2.652501815700476,5.362530695518746e-08,0,5.362530695518746e-08,0,5.362530695518746e-08,0,5.362530695518746e-08,5
5.459911278865708e-08,2.652531214566245,5.459911278865708e-08,0,5.459911278865708e-08,0,5.459911278865708e-08,0,5.459911278865708e-08,5
5.542455639432854e-08,2.652505339211146,5.542455639432854e-08,0,5.542455639432854e-08,0,5.542455639432854e-08,0,5.542455639432854e-08,5
5.625e-08,2.652529400470721,5.625e-08,0,5.625e-08,0,5.625e-08,0,5.625e-08,5
5.655687071859402e-08,2.753954343988872,5.655687071859402e-08,1.534353592970109,5.655687071859402e-08,0,5.655687071859402e-08,0,5.655687071859402e-08,5
5.690343535929701e-08,2.86881127859337,5.690343535929701e-08,3.26717679648506,5.690343535929701e-08,0,5.690343535929701e-08,0,5.690343535929701e-08,5
5.725e-08,2.983514885436133,5.725e-08,5,5.725e-08,0,5.725e-08,0,5.725e-08,5
5.748163196177741e-08,2.983735631979365,5.748163196177741e-08,5,5.748163196177741e-08,0,5.748163196177741e-08,0,5.748163196177741e-08,5
5.775004150326627e-08,2.983699537434299,5.775004150326627e-08,5,5.775004150326627e-08,0,5.775004150326627e-08,0,5.775004150326627e-08,5
5.80107565821362e-08,2.983722968691476,5.80107565821362e-08,5,5.80107565821362e-08,0,5.80107565821362e-08,0,5.80107565821362e-08,5
5.853218673987605e-08,2.983702369384459,5.853218673987605e-08,5,5.853218673987605e-08,0,5.853218673987605e-08,0,5.853218673987605e-08,5
5.957504705535576e-08,2.983721427969714,5.957504705535576e-08,5,5.957504705535576e-08,0,5.957504705535576e-08,0,5.957504705535576e-08,5
6.103752352767787e-08,2.983703448435131,6.103752352767787e-08,5,6.103752352767787e-08,0,6.103752352767787e-08,0,6.103752352767787e-08,5
6.25e-08,2.983721042945409,6.25e-08,5,6.25e-08,0,6.25e-08,0,6.25e-08,5
6.27521349429092e-08,3.150333286622731,6.27521349429092e-08,5,6.27521349429092e-08,1.260674714546032,6.27521349429092e-08,0,6.27521349429092e-08,5
6.31260674714546e-08,3.39741821860956,6.31260674714546e-08,5,6.31260674714546e-08,3.130337357273038,6.31260674714546e-08,0,6.31260674714546e-08,5
6.349999999999999e-08,3.644052241041433,6.349999999999999e-08,5,6.349999999999999e-08,4.999999999999979,6.349999999999999e-08,0,6.349999999999999e-08,5
6.362269293712885e-08,3.604258692070946,6.362269293712885e-08,4.386535314355759,6.362269293712885e-08,5,6.362269293712885e-08,0,6.362269293712885e-08,5
6.379619661444984e-08,3.546866854325291,6.379619661444984e-08,3.519016927750767,6.379619661444984e-08,5,6.379619661444984e-08,0,6.379619661444984e-08,5
6.395541432757212e-08,3.494510701846654,6.395541432757212e-08,2.722928362139364,6.395541432757212e-08,5,6.395541432757212e-08,0,6.395541432757212e-08,5
6.427384975381669e-08,3.389294440430926,6.427384975381669e-08,1.130751230916558,6.427384975381669e-08,5,6.427384975381669e-08,0,6.427384975381669e-08,5
6.45e-08,3.314721877537411,6.45e-08,0,6.45e-08,5,6.45e-08,0,6.45e-08,5
6.468724304964183e-08,3.314499929431165,6.468724304964183e-08,0,6.468724304964183e-08,5,6.468724304964183e-08,0,6.468724304964183e-08,5
6.490937610527921e-08,3.314508303671079,6.490937610527921e-08,0,6.490937610527921e-08,5,6.490937610527921e-08,0,6.490937610527921e-08,5
6.512136515116742e-08,3.314485313909421,6.512136515116742e-08,0,6.512136515116742e-08,5,6.512136515116742e-08,0,6.512136515116742e-08,5
6.554534324294384e-08,3.314504675183444,6.554534324294384e-08,0,6.554534324294384e-08,5,6.554534324294384e-08,0,6.554534324294384e-08,5
6.639329942649668e-08,3.314486711352008,6.639329942649668e-08,0,6.639329942649668e-08,5,6.639329942649668e-08,0,6.639329942649668e-08,5
6.757164971324834e-08,3.314504149719409,6.757164971324834e-08,0,6.757164971324834e-08,5,6.757164971324834e-08,0,6.757164971324834e-08,5
6.875e-08,3.314487101336049,6.875e-08,6.617444900424221e-14,6.875e-08,5,6.875e-08,0,6.875e-08,5
6.90854488276888e-08,3.425151901095729,6.90854488276888e-08,1.677244138444062,6.90854488276888e-08,5,6.90854488276888e-08,0,6.90854488276888e-08,5
6.94177244138444e-08,3.534678046967478,6.94177244138444e-08,3.338622069221987,6.94177244138444e-08,5,6.94177244138444e-08,0,6.94177244138444e-08,5
6.975e-08,3.644241587847997,6.975e-08,5,6.975e-08,5,6.975e-08,0,6.975e-08,5
6.997694509245568e-08,3.644413490219247,6.997694509245568e-08,5,6.997694509245568e-08,5,6.997694509245568e-08,0,6.997694509245568e-08,5
7.0239216644521e-08,3.64435890489943,7.0239216644521e-08,5,7.0239216644521e-08,5,7.0239216644521e-08,0,7.0239216644521e-08,5
7.049455311810827e-08,3.64438149121756,7.049455311810827e-08,5,7.049455311810827e-08,5,7.049455311810827e-08,0,7.049455311810827e-08,5
7.100522606528279e-08,3.644362527237129,7.100522606528279e-08,5,7.100522606528279e-08,5,7.100522606528279e-08,0,7.100522606528279e-08,5
7.202657195963185e-08,3.644379582390242,7.202657195963185e-08,5,7.202657195963185e-08,5,7.202657195963185e-08,0,7.202657195963185e-08,5
7.351328597981593e-08,3.644363663757893,7.351328597981593e-08,5,7.351328597981593e-08,5,7.351328597981593e-08,0,7.351328597981593e-08,5
7.5e-08,3.64437910909925,7.5e-08,5,7.5e-08,5,7.5e-08,0,7.5e-08,5
7.51499072171523e-08,3.840873232763607,7.51499072171523e-08,5,7.51499072171523e-08,5,7.51499072171523e-08,0.7495360857615311,7.51499072171523e-08,5
7.542297128608276e-08,4.199006277622803,7.542297128608276e-08,5,7.542297128608276e-08,5,7.542297128608276e-08,2.114856430413806,7.542297128608276e-08,5
7.572791769541163e-08,4.592563931362757,7.572791769541163e-08,5,7.572791769541163e-08,5,7.572791769541163e-08,3.639588477058179,7.572791769541163e-08,5
7.599999999999999e-08,4.93688578949658,7.599999999999999e-08,5,7.599999999999999e-08,5,7.599999999999999e-08,4.999999999999979,7.599999999999999e-08,5
7.605354821479759e-08,4.888482339082118,7.605354821479759e-08,4.732258926012057,7.605354821479759e-08,4.732258926012028,7.605354821479759e-08,5,7.605354821479759e-08,5
7.615634082992227e-08,4.790959823110705,7.615634082992227e-08,4.218295850388587,7.615634082992227e-08,4.218295850388624,7.615634082992227e-08,5,7.615634082992227e-08,5
7.62471179606379e-08,4.704593791705653,7.62471179606379e-08,3.764410196810508,7.62471179606379e-08,3.764410196810479,7.62471179606379e-08,5,7.62471179606379e-08,5
7.641675322259636e-08,4.54248870614532,7.641675322259636e-08,2.916233887018148,7.641675322259636e-08,2.916233887018186,7.641675322259636e-08,5,7.641675322259636e-08,5
7.666964090047498e-08,4.297667541371504,7.666964090047498e-08,1.651795497625028,7.666964090047498e-08,1.651795497625065,7.666964090047498e-08,5,7.666964090047498e-08,5
7.699999999999999e-08,3.973640600311258,7.699999999999999e-08,8.881784197001252e-15,7.699999999999999e-08,4.618527782440651e-14,7.699999999999999e-08,5,7.699999999999999e-08,5
7.712686799096328e-08,3.973008386815488,7.712686799096328e-08,0,7.712686799096328e-08,0,7.712686799096328e-08,5,7.712686799096328e-08,5
7.728452308244179e-08,3.973124362417094,7.728452308244179e-08,0,7.728452308244179e-08,0,7.728452308244179e-08,5,7.728452308244179e-08,5
7.743514552185496e-08,3.972994035452468,7.743514552185496e-08,0,7.743514552185496e-08,0,7.743514552185496e-08,5,7.743514552185496e-08,5
7.77363904006813e-08,3.973119891937622,7.77363904006813e-08,0,7.77363904006813e-08,0,7.77363904006813e-08,5,7.77363904006813e-08,5
7.822479099221118e-08,3.972992018909287,7.822479099221118e-08,0,7.822479099221118e-08,0,7.822479099221118e-08,5,7.822479099221118e-08,5
7.907770904175629e-08,3.973117462959477,7.907770904175629e-08,0,7.907770904175629e-08,0,7.907770904175629e-08,5,7.907770904175629e-08,5
8.016385452087815e-08,3.972992406914639,8.016385452087815e-08,0,8.016385452087815e-08,0,8.016385452087815e-08,5,8.016385452087815e-08,5
8.125e-08,3.97311891488921,8.125e-08,0,8.125e-08,0,8.125e-08,5,8.125e-08,5
8.157880602231685e-08,4.080740210696741,8.157880602231685e-08,1.644030111584217,8.157880602231685e-08,0,8.157880602231685e-08,5,8.157880602231685e-08,5
8.191440301115842e-08,4.190451065753399,8.191440301115842e-08,3.322015055792164,8.191440301115842e-08,0,8.191440301115842e-08,5,8.191440301115842e-08,5
8.224999999999999e-08,4.299920619487725,8.224999999999999e-08,4.999999999999979,8.224999999999999e-08,0,8.224999999999999e-08,5,8.224999999999999e-08,5
8.247849936132459e-08,4.300061344346446,8.247849936132459e-08,5,8.247849936132459e-08,0,8.247849936132459e-08,5,8.247849936132459e-08,5
8.274271356354731e-08,4.300034085453861,8.274271356354731e-08,5,8.274271356354731e-08,0,8.274271356354731e-08,5,8.274271356354731e-08,5
8.299977861337596e-08,4.30006225786103,8.299977861337596e-08,5,8.299977861337596e-08,0,8.299977861337596e-08,5,8.299977861337596e-08,5
8.351390871303327e-08,4.300036810072476,8.351390871303327e-08,5,8.351390871303327e-08,0,8.351390871303327e-08,5,8.351390871303327e-08,5
8.45421689123479e-08,4.300060893698819,8.45421689123479e-08,5,8.45421689123479e-08,0,8.45421689123479e-08,5,8.45421689123479e-08,5
8.602108445617395e-08,4.300037683357981,8.602108445617395e-08,5,8.602108445617395e-08,0,8.602108445617395e-08,5,8.602108445617395e-08,5
8.75e-08,4.300060486190898,8.75e-08,5,8.75e-08,0,8.75e-08,5,8.75e-08,5
8.774999999999999e-08,4.461238371260789,8.774999999999999e-08,5,8.774999999999999e-08,1.249999999999962,8.774999999999999e-08,5,8.774999999999999e-08,5
8.812499999999998e-08,4.700678094350483,8.812499999999998e-08,5,8.812499999999998e-08,3.124999999999904,8.812499999999998e-08,5,8.812499999999998e-08,5
8.849999999999998e-08,4.937434614676244,8.849999999999998e-08,5,8.849999999999998e-08,4.999999999999912,8.849999999999998e-08,5,8.849999999999998e-08,5
