v /vout; tran (V) X,v /vout; tran (V) Y,v /net07; tran (V) X,v /net07; tran (V) Y,v /net08; tran (V) X,v /net08; tran (V) Y,v /net09; tran (V) X,v /net09; tran (V) Y,v /net06; tran (V) X,v /net06; tran (V) Y
0,0.08565356580258361,0,0,0,0,0,0,0,0
1e-10,0.0856535666161702,1e-10,0,1e-10,0,1e-10,0,1e-10,0
3e-10,0.08565356321799236,3e-10,0,3e-10,0,3e-10,0,3e-10,0
7e-10,0.08565356244007487,7e-10,0,7e-10,0,7e-10,0,7e-10,0
1.5e-09,0.08565356299289538,1.5e-09,0,1.5e-09,0,1.5e-09,0,1.5e-09,0
3.1e-09,0.08565356251281032,3.1e-09,0,3.1e-09,0,3.1e-09,0,3.1e-09,0
4.675e-09,0.08565356295366709,4.675e-09,0,4.675e-09,0,4.675e-09,0,4.675e-09,0
6.25e-09,0.08565356254736095,6.25e-09,0,6.25e-09,0,6.25e-09,0,6.25e-09,0
6.312499999999999e-09,0.1033626141130775,6.312499999999999e-09,0.3124999999999987,6.312499999999999e-09,0,6.312499999999999e-09,0,6.312499999999999e-09,0
6.437499999999999e-09,0.1396104030228491,6.437499999999999e-09,0.9374999999999959,6.437499999999999e-09,0,6.437499999999999e-09,0,6.437499999999999e-09,0
6.687499999999998e-09,0.2133476696281947,6.687499999999998e-09,2.187499999999991,6.687499999999998e-09,0,6.687499999999998e-09,0,6.687499999999998e-09,0
6.968749999999999e-09,0.2982928274450078,6.968749999999999e-09,3.593749999999997,6.968749999999999e-09,0,6.968749999999999e-09,0,6.968749999999999e-09,0
7.25e-09,0.3854144639131852,7.25e-09,4.999999999999999,7.25e-09,0,7.25e-09,0,7.25e-09,0
7.380187801004083e-09,0.3857271993601428,7.380187801004083e-09,5,7.380187801004083e-09,0,7.380187801004083e-09,0,7.380187801004083e-09,0
7.59910262311945e-09,0.3857363742405539,7.59910262311945e-09,5,7.59910262311945e-09,0,7.59910262311945e-09,0,7.59910262311945e-09,0
7.811907726121519e-09,0.3857300868786355,7.811907726121519e-09,5,7.811907726121519e-09,0,7.811907726121519e-09,0,7.811907726121519e-09,0
8.237517932125658e-09,0.3857333374277978,8.237517932125658e-09,5,8.237517932125658e-09,0,8.237517932125658e-09,0,8.237517932125658e-09,0
8.88548884675921e-09,0.3857313173831478,8.88548884675921e-09,5,8.88548884675921e-09,0,8.88548884675921e-09,0,8.88548884675921e-09,0
9.983920110026688e-09,0.3857331659852756,9.983920110026688e-09,5,9.983920110026688e-09,0,9.983920110026688e-09,0,9.983920110026688e-09,0
1.124196005501334e-08,0.3857319241133912,1.124196005501334e-08,5,1.124196005501334e-08,0,1.124196005501334e-08,0,1.124196005501334e-08,0
1.25e-08,0.3857329549774,1.25e-08,5,1.25e-08,0,1.25e-08,0,1.25e-08,0
1.275e-08,0.544237854517519,1.275e-08,5,1.275e-08,1.249999999999995,1.275e-08,0,1.275e-08,0
1.317440380802779e-08,0.8173852468052384,1.317440380802779e-08,5,1.317440380802779e-08,3.372019040138929,1.317440380802779e-08,0,1.317440380802779e-08,0
1.35e-08,1.0265114642171,1.35e-08,5,1.35e-08,4.999999999999995,1.35e-08,0,1.35e-08,0
