/out0 X,/out0 YRe,/out0 YReImag,/out1 X,/out1 YRe,/out1 YReImag,/Vin X,/Vin YRe,/Vin YReImag
0,0.0005401678995027914,0,0,6.243914455405185e-06,0,0,0.025,0
6666666.666666667,0.0005400551407180785,0.0001527620319029921,6666666.666666667,9.8747877169445e-07,-2.85282305753104e-06,6666666.666666667,0.025,0
13333333.33333333,0.0005776200539892123,0.0003462770711564926,13333333.33333333,1.387671330605667e-07,-2.274869973012398e-06,13333333.33333333,0.025,0
20000000,0.0007083169250075386,0.000551292957829876,20000000,-3.34371892454235e-07,-2.442046942409539e-06,20000000,0.025,0
26666666.66666667,0.0009365254795243572,0.0007030398599496359,26666666.66666667,-1.051874407319701e-06,-2.693527661896921e-06,26666666.66666667,0.025,0
33333333.33333334,0.001221729426523357,0.0007568912296544461,33333333.33333334,-1.951729798913591e-06,-2.710983154643898e-06,33333333.33333334,0.025,0
40000000,0.001512379678699725,0.0007035682288298723,40000000,-2.855036603000195e-06,-2.403894256775877e-06,40000000,0.025,0
46666666.66666666,0.001767491964047733,0.0005591621195421565,46666666.66666666,-3.611366930137056e-06,-1.813951239236957e-06,46666666.66666666,0.025,0
53333333.33333333,0.001963147265864463,0.0003511058654457908,53333333.33333333,-4.136345869086639e-06,-1.038575022901027e-06,53333333.33333333,0.025,0
59999999.99999999,0.002090787499327063,0.0001079394397197137,59999999.99999999,-4.406013198520389e-06,-1.821529565630458e-07,59999999.99999999,0.025,0
66666666.66666666,0.002152631645048617,-0.0001461977561023729,66666666.66666666,-4.437689477355142e-06,6.683956934283192e-07,66666666.66666666,0.025,0
73333333.33333333,0.002157025865590326,-0.0003935189991395631,73333333.33333333,-4.270818905695592e-06,1.451644972667237e-06,73333333.33333333,0.025,0
80000000,0.002114857974739774,-0.00062244167839327,80000000,-3.952626239206689e-06,2.130647585000997e-06,80000000,0.025,0
86666666.66666667,0.002037236586887356,-0.0008264812602517657,86666666.66666667,-3.529186498057974e-06,2.688089938496537e-06,86666666.66666667,0.025,0
93333333.33333334,0.001934221985059072,-0.001002903556521207,93333333.33333334,-3.040821322663244e-06,3.120657586950992e-06,93333333.33333334,0.025,0
100000000,0.001814286215900334,-0.00115149878548643,100000000,-2.520389433159432e-06,3.434056446765159e-06,100000000,0.025,0
106666666.6666667,0.00168421370172227,-0.001273612108996169,106666666.6666667,-1.993257954882003e-06,3.639170769876131e-06,106666666.6666667,0.025,0
113333333.3333334,0.001549232428561065,-0.001371442484759371,113333333.3333334,-1.478105517679054e-06,3.749351718613287e-06,113333333.3333334,0.025,0
120000000,0.001413242006311128,-0.001447569067385524,120000000,-9.880342188397829e-07,3.778637303896676e-06,120000000,0.025,0
126666666.6666667,0.001279062469025504,-0.001504650616566551,126666666.6666667,-5.317035360260552e-07,3.740664974138992e-06,126666666.6666667,0.025,0
133333333.3333334,0.001148665599248281,-0.001545247464462055,133333333.3333334,-1.143498242857996e-07,3.648065132942517e-06,133333333.3333334,0.025,0
140000000,0.001023373148649252,-0.001571725806861184,140000000,2.61357909096533e-07,3.512170959691099e-06,140000000,0.025,0
146666666.6666667,0.0009040185814801595,-0.001586214787732568,146666666.6666667,5.946296708403859e-07,3.342926018462568e-06,146666666.6666667,0.025,0
153333333.3333333,0.0007910748914604724,-0.001590595866054758,153333333.3333333,8.86016469445506e-07,3.148908742540189e-06,153333333.3333333,0.025,0
160000000,0.0006847533830577701,-0.001586510796425694,160000000,1.136998302787143e-06,2.93742080662203e-06,160000000,0.025,0
166666666.6666667,0.0005850787787549344,-0.001575379431227848,166666666.6666667,1.349673488745692e-06,2.714605965839846e-06,166666666.6666667,0.025,0
173333333.3333333,0.0004919456107390663,-0.001558421881957501,173333333.3333333,1.526527367445903e-06,2.485579099057134e-06,173333333.3333333,0.025,0
180000000,0.0004051601211511993,-0.001536681778822423,180000000,1.670262067921277e-06,2.254553759573564e-06,180000000,0.025,0
186666666.6666666,0.000324471103280782,-0.001511048784276715,186666666.6666666,1.783672683097422e-06,2.024961953484488e-06,186666666.6666666,0.025,0
193333333.3333333,0.0002495923913239884,-0.001482279403882403,193333333.3333333,1.869558413685376e-06,1.799563191834775e-06,193333333.3333333,0.025,0
199999999.9999999,0.0001802190930077697,-0.001451015678525584,199999999.9999999,1.930659900000082e-06,1.580541835139623e-06,199999999.9999999,0.025,0
206666666.6666666,0.0001160391634884107,-0.001417801659463329,206666666.6666666,1.969616075253342e-06,1.369592865146544e-06,206666666.6666666,0.025,0
213333333.3333333,5.674152919667311e-05,-0.001383097744548193,213333333.3333333,1.988935515028559e-06,1.167996805474181e-06,213333333.3333333,0.025,0
219999999.9999999,2.021669560197962e-06,-0.001347293044105398,219999999.9999999,1.990978511534662e-06,9.76684780713157e-07,219999999.9999999,0.025,0
226666666.6666666,-4.841466460907873e-05,-0.001310715983002173,226666666.6666666,1.977947048871847e-06,7.962947858189631e-07,226666666.6666666,0.025,0
233333333.3333332,-9.484909037500778e-05,-0.001273643353287756,233333333.3333332,1.951880567119113e-06,6.272202170333774e-07,233333333.3333332,0.025,0
239999999.9999999,-0.0001375492139434362,-0.001236308023022706,239999999.9999999,1.914655934940487e-06,4.696516423234277e-07,239999999.9999999,0.025,0
246666666.6666665,-0.0001767679556767558,-0.001198905489824527,246666666.6666665,1.867990447381286e-06,3.236126932539306e-07,246666666.6666665,0.025,0
253333333.3333332,-0.0002127433730702612,-0.001161599447247037,253333333.3333332,1.813446961496341e-06,1.889908588322976e-07,253333333.3333332,0.025,0
259999999.9999999,-0.0002456988301785384,-0.001124526511100001,259999999.9999999,1.752440503498182e-06,6.556386356345042e-08,259999999.9999999,0.025,0
266666666.6666665,-0.0002758434021232961,-0.001087800232881336,266666666.6666665,1.686245846439898e-06,-4.697777777231241e-08,266666666.6666665,0.025,0
273333333.3333332,-0.0003033724332886355,-0.001051514509255981,273333333.3333332,1.616005681503918e-06,-1.49011516207736e-07,273333333.3333332,0.025,0
279999999.9999999,-0.0003284681900332168,-0.001015746480357075,279999999.9999999,1.542739099422223e-06,-2.409663929911016e-07,279999999.9999999,0.025,0
286666666.6666666,-0.0003513005652368159,-0.0009805589955973399,286666666.6666666,1.467350169368745e-06,-3.233091501092803e-07,286666666.6666666,0.025,0
293333333.3333333,-0.0003720278042251258,-0.0009460027135216022,293333333.3333333,1.390636456420038e-06,-3.965324964554964e-07,293333333.3333333,0.025,0
299999999.9999999,-0.0003907972306433896,-0.0009121178918794703,299999999.9999999,1.313297359941737e-06,-4.611452434104661e-07,299999999.9999999,0.025,0
306666666.6666666,-0.0004077459575316935,-0.0008789359152910326,306666666.6666666,1.235942186921933e-06,-5.176640613685754e-07,306666666.6666666,0.025,0
313333333.3333333,-0.0004230015737374589,-0.0008464806004393738,313333333.3333333,1.159097898807594e-06,-5.666066410227342e-07,313333333.3333333,0.025,0
320000000,-0.0004366827993865817,-0.0008147693124621705,320000000,1.083216489480768e-06,-6.084860708926791e-07,320000000,0.025,0
326666666.6666667,-0.0004489001067483675,-0.0007838139209141988,326666666.6666667,1.008681966867127e-06,-6.438062664107378e-07,326666666.6666667,0.025,0
333333333.3333334,-0.0004597563046660796,-0.0007536216192829538,333333333.3333334,9.358169223706913e-07,-6.730583063666741e-07,333333333.3333334,0.025,0
340000000.0000001,-0.0004693470861077411,-0.0007241956282532456,340000000.0000001,8.64888681363794e-07,-6.96717550414633e-07,340000000.0000001,0.025,0
346666666.6666667,-0.0004777615392558163,-0.0006955357998427137,346666666.6666667,7.961150351588973e-07,-7.15241426771199e-07,346666666.6666667,0.025,0
353333333.3333334,-0.0004850826232307547,-0.0006676391368697669,353333333.3333334,7.296695603839637e-07,-7.290677928921366e-07,353333333.3333334,0.025,0
