/out0 X,/out0 Y,/out1 X,/out1 Y,/Vin X,/Vin Y
0,0.1838085654953112,0,0.2476703961814805,0,0.475
2e-05,0.1838762896321351,2e-05,0.2476711770506854,2e-05,0.4781333308391076
4e-05,0.1839556580773854,4e-05,0.2476720974906413,4e-05,0.4812172471791213
6.000000000000001e-05,0.1840373499954618,6.000000000000001e-05,0.247673046506942,6.000000000000001e-05,0.4842031138171169
8.000000000000001e-05,0.184123487252204,8.000000000000001e-05,0.24767404942275,8.000000000000001e-05,0.4870438418525428
0.0001,0.1842131738298688,0.0001,0.2476750962266966,0.0001,0.4896946313073118
0.00012,0.1843044833329584,0.00012,0.2476761646460296,0.00012,0.4921136776482172
0.00014,0.1843951223335518,0.00014,0.2476772279305619,0.00014,0.4942628310693947
0.00016,0.1844814064621201,0.00016,0.2476782427089039,0.00016,0.4961081981375504
0.00018,0.1845593166793852,0.00018,0.2476791611821516,0.00018,0.4976206763116505
0.0002,0.1846236866416224,0.0002,0.2476799217889805,0.0002,0.4987764129073788
0.00022,0.1846700760697852,0.00022,0.2476804709973056,0.00022,0.4995571812682172
0.00024,0.1846942240372348,0.00024,0.2476807576972817,0.00024,0.4999506682107068
0.00026,0.1846943337763303,0.00026,0.2476807597873682,0.00026,0.4999506682107068
0.00028,0.1846699963954857,0.00028,0.2476804726373241,0.00028,0.4995571812682172
0.0003,0.1846238027674328,0.0003,0.2476799270180867,0.0003,0.4987764129073788
0.00032,0.1845592532763313,0.00032,0.2476791655273747,0.00032,0.4976206763116505
0.00034,0.1844814954418423,0.00034,0.2476782494496184,0.00034,0.4961081981375504
0.00036,0.18439505981084,0.00036,0.24767723344342,0.00036,0.4942628310693947
0.00038,0.1843045380338559,0.00038,0.247676171541504,0.00038,0.4921136776482172
0.0004,0.1842131071892639,0.0004,0.2476751017793709,0.0004,0.4896946313073118
0.00042,0.1841235128745256,0.00042,0.2476740557149167,0.00042,0.4870438418525428
0.00044,0.1840372802933447,0.00044,0.2476730515277006,0.00044,0.4842031138171169
0.00046,0.1839557020686878,0.00046,0.2476721033643585,0.00046,0.4812172471791213
0.00048,0.1838792870662879,0.00048,0.2476712173800606,0.00048,0.4781333308391076
0.0005,0.1838085608570792,0.0005,0.2476703986563721,0.0005,0.475
0.0005200000000000001,0.1837435634078563,0.0005200000000000001,0.2476696479202908,0.0005200000000000001,0.4718666691608924
0.0005400000000000001,0.1836844813843912,0.0005400000000000001,0.2476689663241082,0.0005400000000000001,0.4687827528208786
0.0005600000000000002,0.1836311689791586,0.0005600000000000002,0.2476683525186534,0.0005600000000000002,0.465796886182883
