/out0 X,/out0 Y,/out1 X,/out1 Y,/out2 X,/out2 Y
0,0.1844346640659542,0,0.2476776956766607,0,0.07504185793040703
0.01066666666666667,0.1844346692215361,0.01066666666666667,0.2476776957374034,0.01066666666666667,0.07504186872702723
0.02133333333333334,0.1844346760736571,0.02133333333333334,0.2476776958179676,0.02133333333333334,0.07504186872704395
0.032,0.184434685576799,0.032,0.247677695929697,0.032,0.07504186872706783
0.04266666666666667,0.1844346987466193,0.04266666666666667,0.2476776960845357,0.04266666666666667,0.07504186872710024
0.05333333333333334,0.1844347169817151,0.05333333333333334,0.247677696298933,0.05333333333333334,0.07504186872714608
0.06400000000000002,0.1844347422041826,0.06400000000000002,0.2476776965954742,0.06400000000000002,0.07504186872720807
0.07466666666666669,0.1844347770494438,0.07466666666666669,0.2476776970051568,0.07466666666666669,0.07504186872729615
0.08533333333333336,0.1844348251212482,0.08533333333333336,0.247677697570348,0.08533333333333336,0.07504186872741556
0.09600000000000003,0.1844348913319266,0.09600000000000003,0.2476776983488053,0.09600000000000003,0.07504186872757963
0.1066666666666667,0.1844349823530809,0.1066666666666667,0.2476776994189654,0.1066666666666667,0.07504186872780534
0.1173333333333334,0.1844351072071811,0.1173333333333334,0.2476777008869163,0.1173333333333334,0.07504186872811525
0.128,0.1844352780360443,0.128,0.2476777028954097,0.128,0.07504186872853877
0.1386666666666667,0.1844355110868403,0.1386666666666667,0.2476777056354837,0.1386666666666667,0.07504186872911671
0.1493333333333333,0.1844358279590896,0.1493333333333333,0.2476777093611092,0.1493333333333333,0.07504186872990229
0.16,0.1844362571552176,0.16,0.247677714407439,0.16,0.07504186873096672
0.1706666666666667,0.1844368359707682,0.1706666666666667,0.2476777212130258,0.1706666666666667,0.07504186873240201
0.1813333333333333,0.1844376127460995,0.1813333333333333,0.2476777303463478,0.1813333333333333,0.0750418687343293
0.192,0.1844386494776217,0.192,0.2476777425365292,0.192,0.07504186873690095
0.2026666666666666,0.1844400247533722,0.2026666666666666,0.2476777587079411,0.2026666666666666,0.07504186874031471
0.2133333333333333,0.1844418369373902,0.2133333333333333,0.2476777800177326,0.2133333333333333,0.07504186874480909
0.2239999999999999,0.1844442074864005,0.2239999999999999,0.2476778078950048,0.2239999999999999,0.07504186875068905
0.2346666666666666,0.1844472842504203,0.2346666666666666,0.2476778440799163,0.2346666666666666,0.07504186875832317
0.2453333333333333,0.1844512445985425,0.2453333333333333,0.2476778906608254,0.2453333333333333,0.07504186876814996
0.2559999999999999,0.1844562982319262,0.2559999999999999,0.2476779501080031,0.2559999999999999,0.0750418687806895
