/out0 X,/out0 YRe,/out0 YReImag,/out1 X,/out1 YRe,/out1 YReImag,/Vin X,/Vin YRe,/Vin YReImag,/out2 X,/out2 YRe,/out2 YReImag
93333333.33333334,0.0003451243844426868,-0.0001663208441338701,93333333.33333334,-1.839106658161342e-05,-5.340142992535493e-06,93333333.33333334,0.005,0,93333333.33333334,7.579918422469406e-11,-1.739433419700556e-11
100000000,0.0003242822874489753,-0.0001950813002006595,100000000,-1.959924296111259e-05,-2.207170529117227e-06,100000000,0.005,0,100000000,7.182933346132088e-11,-4.626488921564448e-11
106666666.6666667,0.0003011201082599501,-0.0002188929280285236,106666666.6666667,-2.010579755691434e-05,1.004734664488652e-06,106666666.6666667,0.005,0,106666666.6666667,5.950806392185082e-11,-7.281867468775762e-11
113333333.3333334,0.0002767019369460238,-0.0002380824158239869,113333333.3333334,-1.996833060139868e-05,4.138687519586951e-06,113333333.3333334,0.005,0,113333333.3333334,4.023509652427562e-11,-9.496223893445882e-11
120000000,0.000251840754986824,-0.0002530857050822558,120000000,-1.926942596602431e-05,7.07410905404743e-06,120000000,0.005,0,120000000,1.57717352540901e-11,-1.112486573543475e-10
126666666.6666667,0.0002271375982836836,-0.000264380746250647,126666666.6666667,-1.810394341171687e-05,9.724998189247042e-06,126666666.6666667,0.005,0,126666666.6666667,-1.198160648811601e-11,-1.208566330740079e-10
133333333.3333334,0.0002030220713779325,-0.0002724450254663016,133333333.3333334,-1.65696840731955e-05,1.203590042467196e-05,133333333.3333334,0.005,0,133333333.3333334,-4.115703962389185e-11,-1.23521975513043e-10
140000000,0.0001797893229248808,-0.0002777306813274733,140000000,-1.476098866453181e-05,1.397691745337828e-05,140000000,0.005,0,140000000,-7.004195959130537e-11,-1.194440226384748e-10
146666666.6666667,0.0001576315396581418,-0.0002806514927914333,146666666.6666667,-1.276468361916904e-05,1.553859255982167e-05,146666666.6666667,0.005,0,146666666.6666667,-9.715887101396567e-11,-1.091828591940495e-10
153333333.3333333,0.0001366636328116142,-0.0002815775163086928,153333333.3333333,-1.065780167606268e-05,1.672714223797242e-05,153333333.3333333,0.005,0,153333333.3333333,-1.213096535959441e-10,-9.355789198682598e-11
160000000,0.0001169435796245679,-0.0002808344135082967,160000000,-8.506582011858529e-06,1.756026322138849e-05,160000000,0.005,0,160000000,-1.415917389505063e-10,-7.355441050095533e-11
166666666.6666667,9.848819391593051e-05,-0.0002787054778556,166666666.6666667,-6.366352508452597e-06,1.806359456793647e-05,166666666.6666667,0.005,0,166666666.6666667,-1.573931060749343e-10,-5.024192852377323e-11
173333333.3333333,8.128515723206375e-05,-0.0002754350661816361,173333333.3333333,-4.281989752577904e-06,1.826782788707475e-05,173333333.3333333,0.005,0,173333333.3333333,-1.683721605613271e-10,-2.47061004345649e-11
180000000,6.530207846381358e-05,-0.0002712326235691102,180000000,-2.288731620366143e-06,1.820641308806801e-05,180000000,0.005,0,180000000,-1.74427631943537e-10,2.005385371127758e-12
186666666.6666666,5.049323911903286e-05,-0.0002662768134616008,186666666.6666666,-4.131807586204426e-07,1.791378654365937e-05,186666666.6666666,0.005,0,186666666.6666666,-1.756627009065162e-10,2.892347590769351e-11
193333333.3333333,3.680456200706247e-05,-0.0002607194757016451,193333333.3333333,1.325613860015878e-06,1.742404292223325e-05,193333333.3333333,0.005,0,193333333.3333333,-1.723467013751493e-10,5.518613527633773e-11
199999999.9999999,2.417723085857274e-05,-0.0002546892690592328,199999999.9999999,2.915073498434772e-06,1.67699745252343e-05,199999999.9999999,0.005,0,199999999.9999999,-1.648769562522253e-10,8.005594765106451e-11
206666666.6666666,1.255029422811061e-05,-0.0002482949373173905,206666666.6666666,4.348053617215971e-06,1.598240871003552e-05,206666666.6666666,0.005,0,206666666.6666666,-1.537426124288737e-10,1.029286226706231e-10
213333333.3333333,1.862510105087779e-06,-0.0002416281869778401,213333333.3333333,5.621885101823946e-06,1.508978246212319e-05,213333333.3333333,0.005,0,213333333.3333333,-1.394917462650291e-10,1.233341171911867e-10
219999999.9999999,-7.946373476688247e-06,-0.0002347661922298043,219999999.9999999,6.737508855134246e-06,1.411790202327397e-05,219999999.9999999,0.005,0,219999999.9999999,-1.22702515667739e-10,1.409320202661947e-10
226666666.6666666,-1.693475411070314e-05,-0.0002277737569810954,226666666.6666666,7.698710290682504e-06,1.308984393374296e-05,226666666.6666666,0.005,0,226666666.6666666,-1.039587358316603e-10,1.555027132095234e-10
233333333.3333332,-2.515861589954091e-05,-0.0002207051697425097,233333333.3333332,8.511453798392014e-06,1.202596153439395e-05,233333333.3333332,0.005,0,233333333.3333332,-8.382994601799817e-11,1.669356400284109e-10
239999999.9999999,-3.267119236386259e-05,-0.0002136057883366846,239999999.9999999,9.183313043495577e-06,1.094396774978331e-05,239999999.9999999,0.005,0,239999999.9999999,-6.285580548538101e-11,1.752158262681591e-10
246666666.6666665,-3.952278934582966e-05,-0.000206513389889199,246666666.6666665,9.7229903822223e-06,9.859070810017873e-06,246666666.6666665,0.005,0,246666666.6666665,-4.153449726617826e-11,1.804095826897301e-10
253333333.3333332,-4.576072178978873e-05,-0.0001994593186846641,253333333.3333332,1.013991725675777e-05,8.784144510714687e-06,253333333.3333332,0.005,0,253333333.3333332,-2.031471773581866e-11,1.826501359753953e-10
259999999.9999999,-5.142933026167166e-05,-0.0001924694610172564,259999999.9999999,1.044392682853284e-05,7.729918734576828e-06,259999999.9999999,0.005,0,259999999.9999999,4.092233843759857e-13,1.821237500399348e-10
266666666.6666665,-5.657005202861705e-05,-0.0001855650726069977,266666666.6666665,1.0644990058362e-05,6.705179356246709e-06,266666666.6666665,0.005,0,266666666.6666665,2.029968432504046e-11,1.790567433706357e-10
273333333.3333332,-6.122152822499669e-05,-0.0001787634807493808,273333333.3333332,1.075300676019517e-05,5.716969418877736e-06,273333333.3333332,0.005,0,273333333.3333332,3.907583460502088e-11,1.737036725758847e-10
279999999.9999999,-6.541973362931289e-05,-0.0001720786802422335,279999999.9999999,1.077764370280565e-05,4.770785697723816e-06,279999999.9999999,0.005,0,279999999.9999999,5.651211101125285e-11,1.663368404251621e-10
286666666.6666666,-6.919811931083726e-05,-0.0001655218393459828,286666666.6666666,1.072821251106924e-05,3.870766535486224e-06,286666666.6666666,0.005,0,286666666.6666666,7.24353944653943e-11,1.572371971435815e-10
293333333.3333333,-7.258776116113255e-05,-0.0001591017295969478,293333333.3333333,1.061358085614165e-05,3.019868224266186e-06,293333333.3333333,0.005,0,293333333.3333333,8.672126692994341e-11,1.466866347368961e-10
299999999.9999999,-7.561750939199114e-05,-0.0001528250911783073,299999999.9999999,1.044211117221331e-05,2.220028282961093e-06,299999999.9999999,0.005,0,299999999.9999999,9.928965598792194e-11,1.349616232040916e-10
306666666.6666666,-7.831413558659434e-05,-0.0001466969437473545,306666666.6666666,1.022162186477942e-05,1.472314797203566e-06,306666666.6666666,0.005,0,306666666.6666666,1.101001238897738e-10,1.223281020211063e-10
313333333.3333333,-8.070247501295104e-05,-0.0001407208510750767,313333333.3333333,9.959366659071441e-06,7.770615989247341e-07,313333333.3333333,0.005,0,313333333.3333333,1.191470098809327e-10,1.09037517529854e-10
320000000,-8.280556272694892e-05,-0.0001348991465486236,320000000,9.662028367826414e-06,1.339895060261044e-07,320000000,0.005,0,320000000,1.264545909120809e-10,9.532388433715257e-11
326666666.6666667,-8.464476257907183e-05,-0.0001292331254845213,326666666.6666667,9.335723925878664e-06,-4.576858446144341e-07,326666666.6666667,0.005,0,326666666.6666667,1.320723871060233e-10,8.140174418547251e-11
333333333.3333334,-8.623988867695074e-05,-0.0001237232092672847,333333333.3333334,8.986018046242706e-06,-9.991588290881517e-07,333333333.3333334,0.005,0,333333333.3333334,1.360707049492178e-10,6.746489699626564e-11
