/Vin X,/Vin Y,/out0 X,/out0 Y,/out1 X,/out1 Y,/out2 X,/out2 Y
-60,0.45,-60,0.1292137297901632,-60,0.1957713833550105,-60,0.06243225385924039
-58.6,0.45,-58.6,0.1301552782560368,-58.6,0.1966579319068135,-58.6,0.06264591146265638
-57.2,0.45,-57.2,0.131095329563614,-57.2,0.1975421556021364,-57.2,0.06285914786918534
-55.8,0.45,-55.8,0.1320338823071777,-55.8,0.1984240883955694,-55.8,0.06307196331359144
-54.40000000000001,0.45,-54.40000000000001,0.1329709354877832,-54.40000000000001,0.1993037511436564,-54.40000000000001,0.06328435903083091
-53.00000000000001,0.45,-53.00000000000001,0.133906488462754,-53.00000000000001,0.2001811647156298,-53.00000000000001,0.06349633625580457
-51.60000000000001,0.45,-51.60000000000001,0.1348405409418512,-51.60000000000001,0.2010563500077235,-51.60000000000001,0.06370789622507823
-50.20000000000001,0.45,-50.20000000000001,0.1357730929689867,-50.20000000000001,0.2019293279615553,-50.20000000000001,0.06391904017853055
-48.80000000000001,0.45,-48.80000000000001,0.136704144906601,-48.80000000000001,0.2028001195835654,-48.80000000000001,0.06412976936086649
-47.40000000000001,0.45,-47.40000000000001,0.1376336974202977,-47.40000000000001,0.2036687459658382,-47.40000000000001,0.06434008502305644
-46.00000000000001,0.45,-46.00000000000001,0.1385617514636935,-46.00000000000001,0.2045352283083387,-46.00000000000001,0.06454998842365528
-44.60000000000002,0.45,-44.60000000000002,0.1394883082635517,-44.60000000000002,0.2053995879427788,-44.60000000000002,0.0647594808300497
-43.20000000000002,0.45,-43.20000000000002,0.1404133693051144,-43.20000000000002,0.2062618463577603,-43.20000000000002,0.06496856351960585
-41.80000000000002,0.45,-41.80000000000002,0.1413369363177321,-41.80000000000002,0.2071220252255944,-41.80000000000002,0.06517723778073621
-40.40000000000002,0.45,-40.40000000000002,0.1422590112607132,-40.40000000000002,0.2079801464304933,-40.40000000000002,0.06538550491390485
-39.00000000000002,0.45,-39.00000000000002,0.1431795963094644,-39.00000000000002,0.2088362320982877,-39.00000000000002,0.06559336623252944
-37.60000000000002,0.45,-37.60000000000002,0.1440986938418903,-37.60000000000002,0.2096903046276398,-37.60000000000002,0.06580082306385066
-36.20000000000002,0.45,-36.20000000000002,0.1450163064250636,-36.20000000000002,0.2105423867227272,-36.20000000000002,0.06600787674969598
-34.80000000000003,0.45,-34.80000000000003,0.1459324368021761,-34.80000000000003,0.2113925014272731,-34.80000000000003,0.06621452864720913
-33.40000000000003,0.45,-33.40000000000003,0.1468470878797861,-33.40000000000003,0.2122406721601672,-33.40000000000003,0.06642078012951
-32.00000000000003,0.45,-32.00000000000003,0.1477602627153459,-32.00000000000003,0.2130869227523117,-32.00000000000003,0.06662663258629348
-30.60000000000003,0.45,-30.60000000000003,0.1486719645050232,-30.60000000000003,0.2139312774849445,-30.60000000000003,0.06683208742437581
-29.20000000000003,0.45,-29.20000000000003,0.1495821965718593,-29.20000000000003,0.2147737611291411,-29.20000000000003,0.06703714606818521
-27.80000000000003,0.45,-27.80000000000003,0.150490962354183,-27.80000000000003,0.215614398986671,-27.80000000000003,0.06724180996022959
-26.40000000000003,0.45,-26.40000000000003,0.1513982653943821,-26.40000000000003,0.2164532169320247,-26.40000000000003,0.06744608056145855
-25.00000000000004,0.45,-25.00000000000004,0.1523041093279766,-25.00000000000004,0.2172902414555063,-25.00000000000004,0.06764995935165384
