Signal,Mean_X,Variance_X,Slope_X,Mean_Y,Variance_Y,Slope_Y
53,0.00209,2.0000000000000104e-10,2.000000000000005e-05,1.41259181334346,5.2384721404537085e-22,3.236810819373659e-11
50,0.00197,2.0000000000000104e-10,2.000000000000005e-05,1.4125918133406397,5.428175387513036e-22,3.294897688022047e-11
56,0.00221,2.0000000000000104e-10,2.000000000000005e-05,1.4125918133442943,5.354025189415801e-22,3.2723157517011714e-11
22,0.00085,1.9999999999999887e-10,1.9999999999999944e-05,1.4125918133008462,4.1939709882737503e-22,2.896194395418661e-11
16,0.00061,2.0000000000000104e-10,2.000000000000005e-05,1.412591813281098,4.2762157847549173e-23,9.247935750522627e-12
15,0.00057,2.0000000000000104e-10,2.000000000000005e-05,1.4125918132778206,3.183182820071638e-23,7.978950833376075e-12
14,0.00053,2.0000000000000104e-10,2.000000000000005e-05,1.412591813271218,3.046664696529676e-23,7.805978086139476e-12
23,0.00089,1.9999999999999887e-10,1.9999999999999944e-05,1.4125918133046151,4.0072864436859963e-22,2.831002099412672e-11
29,0.00113,2.0000000000000104e-10,2.000000000000005e-05,1.4125918133188708,6.50956309383621e-22,3.6082026255712656e-11
20,0.00077,1.9999999999999887e-10,1.9999999999999944e-05,1.4125918132967836,2.379033940884053e-22,2.1812995854020294e-11
21,0.00081,1.9999999999999887e-10,1.9999999999999944e-05,1.412591813299401,4.36310175069472e-22,2.954014810541139e-11
24,0.00093,1.9999999999999887e-10,1.9999999999999944e-05,1.4125918133069169,5.429785058190138e-22,3.295386186152882e-11
28,0.00109,2.0000000000000104e-10,2.000000000000005e-05,1.412591813314469,6.224097459173275e-22,3.5281999544167775e-11
26,0.00101,2.0000000000000104e-10,2.000000000000005e-05,1.412591813312623,7.4961595382940365e-22,3.8719916162222034e-11
34,0.00133,2.0000000000000104e-10,2.000000000000005e-05,1.4125918133265314,7.491173789461618e-22,3.8707037575136376e-11
55,0.00217,2.0000000000000104e-10,2.000000000000005e-05,1.412591813343684,6.581869147636444e-22,3.628186640014519e-11
6,0.00021,1.9999999999999998e-10,2e-05,1.4125918132283366,1.8518170150373933e-22,1.924482795345739e-11
52,0.00205,2.0000000000000104e-10,2.000000000000005e-05,1.41259181334124,5.470104380005469e-22,3.307598639423759e-11
51,0.00201,2.0000000000000104e-10,2.000000000000005e-05,1.412591813342337,5.615967925206104e-22,3.3514080399754675e-11
57,0.00225,2.0000000000000104e-10,2.000000000000005e-05,1.4125918133441662,7.110242107724505e-22,3.7710057299022986e-11
4,0.00013,1.9999999999999967e-10,1.9999999999999985e-05,1.412591813211261,1.63298381490318e-22,1.8071988350243373e-11
19,0.00073,1.9999999999999887e-10,1.9999999999999944e-05,1.412591813292875,1.5470281013529462e-22,1.758992951295113e-11
25,0.0009699999999999,1.9999999999999887e-10,1.9999999999999944e-05,1.4125918133108564,6.843177379920925e-22,3.699507367116439e-11
17,0.00065,1.9999999999999887e-10,1.9999999999999944e-05,1.412591813285322,2.4248543176618044e-23,6.963984944263757e-12
18,0.00069,1.9999999999999887e-10,1.9999999999999944e-05,1.4125918132889086,5.82244133747986e-23,1.0791145754751597e-11
31,0.00121,2.0000000000000104e-10,2.000000000000005e-05,1.412591813322537,1.0246869010207833e-21,4.5270009962905527e-11
32,0.00125,2.0000000000000104e-10,2.000000000000005e-05,1.412591813322563,1.0903609818637309e-21,4.669820086178333e-11
42,0.00165,2.0000000000000104e-10,2.000000000000005e-05,1.412591813335962,9.727600614794704e-22,4.4108050545332844e-11
49,0.00193,2.0000000000000104e-10,2.000000000000005e-05,1.412591813338469,8.171260834322232e-22,4.042588486186105e-11
36,0.00141,2.0000000000000104e-10,2.000000000000005e-05,1.412591813328615,9.823129180081698e-22,4.4324099945924887e-11
5,0.00017,1.9999999999999998e-10,2e-05,1.4125918132198263,1.0438516100270552e-22,1.4448886531681636e-11
8,0.00029,1.9999999999999998e-10,2e-05,1.4125918132406676,3.623531303044391e-23,8.512968108220775e-12
9,0.00033,1.9999999999999998e-10,2e-05,1.412591813246678,6.704901333592825e-23,1.1580070236050231e-11
10,0.00037,1.9999999999999998e-10,2e-05,1.4125918132521944,8.563592270058908e-23,1.308708696967642e-11
11,0.00041,1.9999999999999998e-10,2e-05,1.4125918132573774,4.635847669848429e-23,9.628964292573984e-12
27,0.00105,2.0000000000000104e-10,2.000000000000005e-05,1.4125918133135715,9.6971652591312e-22,4.403899467320116e-11
38,0.00149,2.0000000000000104e-10,2.000000000000005e-05,1.412591813330353,9.66062769803853e-22,4.39559499909592e-11
46,0.00181,2.0000000000000104e-10,2.000000000000005e-05,1.4125918133375417,1.320625979921908e-21,5.1393111988318196e-11
44,0.00173,2.0000000000000104e-10,2.000000000000005e-05,1.412591813337488,1.300391504432067e-21,5.099787259155164e-11
47,0.00185,2.0000000000000104e-10,2.000000000000005e-05,1.412591813338077,1.0523939780881362e-21,4.587796809119027e-11
48,0.00189,2.0000000000000104e-10,2.000000000000005e-05,1.4125918133395334,9.480811361554359e-22,4.3544945427242965e-11
7,0.00025,1.9999999999999936e-10,1.999999999999997e-05,1.4125918132338549,9.519342024590536e-23,1.3798073794646367e-11
33,0.00129,1.9999999999999667e-10,1.999999999999984e-05,1.4125918133249376,8.589297229192863e-22,4.144706799991127e-11
40,0.00157,2.0000000000000104e-10,2.000000000000005e-05,1.412591813333933,9.30096037336885e-22,4.312994406063808e-11
39,0.00153,1.9999999999999667e-10,1.999999999999984e-05,1.412591813331882,1.1174242632354459e-21,4.7274184566958866e-11
30,0.00117,2.0000000000000104e-10,2.000000000000005e-05,1.4125918133190294,9.257437099396459e-22,4.302891376539719e-11
43,0.00169,1.9999999999999667e-10,1.999999999999984e-05,1.4125918133371376,1.2105592422598268e-21,4.9204862406782006e-11
41,0.0016099999999999,1.9999999999999667e-10,1.999999999999984e-05,1.412591813334837,1.1410824014634409e-21,4.7772008571200786e-11
37,0.00145,1.9999999999999667e-10,1.999999999999984e-05,1.4125918133309745,1.0098440376784612e-21,4.4940939858406637e-11
35,0.00137,1.9999999999999667e-10,1.999999999999984e-05,1.412591813327647,9.982421638085225e-22,4.468203584906405e-11
