FeaturesParamTransientDCNA.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=0) Y,2.472636e-01,7.733311e-17,1.412633e-06
/out0 (Vin=0.01073826) Y,2.472642e-01,4.761592e-23,1.547153e-12
/out0 (Vin=0.02147651) Y,2.472651e-01,9.335209e-23,-7.296462e-11
/out0 (Vin=0.03221477) Y,2.472664e-01,1.137684e-22,-6.358845e-11
/out0 (Vin=0.04295302) Y,2.472681e-01,3.782911e-23,-1.571605e-10
/out0 (Vin=0.05369128) Y,2.472705e-01,9.281949e-23,1.120886e-10
/out0 (Vin=0.06442953) Y,2.472738e-01,4.252813e-23,-1.416762e-11
/out0 (Vin=0.07516779) Y,2.472783e-01,3.299281e-22,5.868043e-11
/out0 (Vin=0.08590604) Y,2.472846e-01,5.519082e-23,-7.162032e-11
/out0 (Vin=0.0966443) Y,2.472933e-01,3.147072e-23,9.014344e-13
/out0 (Vin=0.1073826) Y,2.473054e-01,9.489066e-24,1.405823e-11
/out0 (Vin=0.1181208) Y,2.473218e-01,1.572463e-12,2.014445e-04
/out0 (Vin=0.1288591) Y,2.473445e-01,2.685972e-22,-5.689752e-11
/out0 (Vin=0.1395973) Y,2.473754e-01,1.047680e-14,1.644158e-05
/out0 (Vin=0.1503356) Y,2.474176e-01,6.244063e-22,3.860683e-09
/out0 (Vin=0.1610738) Y,2.474748e-01,7.217348e-22,3.736078e-10
/out0 (Vin=0.1718121) Y,2.475521e-01,1.744315e-22,-8.038940e-11
/out0 (Vin=0.1825503) Y,2.476561e-01,1.282665e-22,1.757260e-10
/out0 (Vin=0.1932886) Y,2.477952e-01,3.040702e-22,-2.246704e-10
/out0 (Vin=0.2040268) Y,2.479803e-01,1.894937e-16,2.211184e-06
/out0 (Vin=0.2147651) Y,2.482248e-01,3.560031e-20,3.022015e-08
/out0 (Vin=0.2255034) Y,2.485457e-01,3.767073e-23,1.604061e-10
/out0 (Vin=0.2362416) Y,2.489639e-01,6.678543e-20,4.131600e-08
/out0 (Vin=0.2469799) Y,2.495048e-01,1.881840e-23,-1.188648e-10
/out0 (Vin=0.2577181) Y,2.501992e-01,2.459783e-23,2.090356e-11
/out0 (Vin=0.2684564) Y,2.510838e-01,1.207192e-22,1.510924e-10
/out0 (Vin=0.2791946) Y,2.522028e-01,1.813750e-22,-1.355013e-10
/out0 (Vin=0.2899329) Y,2.536087e-01,2.007428e-22,1.060312e-10
/out0 (Vin=0.3006711) Y,2.553647e-01,1.403314e-22,3.243183e-11
/out0 (Vin=0.3114094) Y,2.575468e-01,1.463304e-22,-9.888814e-11
/out0 (Vin=0.3221477) Y,2.602481e-01,2.291131e-23,1.298024e-10
/out0 (Vin=0.3328859) Y,2.635844e-01,9.419453e-22,2.805375e-10
/out0 (Vin=0.3436242) Y,2.677026e-01,2.929565e-22,-2.287663e-10
/out0 (Vin=0.3543624) Y,2.727942e-01,2.791124e-23,-1.065044e-10
/out0 (Vin=0.3651007) Y,2.791171e-01,1.131856e-22,1.441176e-10
/out0 (Vin=0.3758389) Y,2.870309e-01,5.683466e-23,1.281703e-10
/out0 (Vin=0.3865772) Y,2.970577e-01,1.474236e-22,-2.160841e-11
/out0 (Vin=0.3973154) Y,3.099879e-01,1.066337e-22,-8.585107e-11
/out0 (Vin=0.4080537) Y,3.270558e-01,1.926396e-21,4.194373e-11
/out0 (Vin=0.4187919) Y,3.501626e-01,4.573395e-22,-3.872855e-11
/out0 (Vin=0.4295302) Y,3.816443e-01,1.180646e-21,5.903622e-10
/out0 (Vin=0.4402685) Y,4.220819e-01,5.058700e-21,8.282222e-10
/out0 (Vin=0.4510067) Y,4.689947e-01,1.458756e-21,2.942471e-09
/out0 (Vin=0.461745) Y,5.201911e-01,5.763958e-21,1.080833e-08
/out0 (Vin=0.4724832) Y,5.746600e-01,2.676536e-20,2.516520e-08
/out0 (Vin=0.4832215) Y,6.317898e-01,1.310943e-21,1.337264e-10
/out0 (Vin=0.4939597) Y,6.910458e-01,2.857202e-21,-3.717451e-12
/out0 (Vin=0.504698) Y,7.518848e-01,1.429367e-21,9.052968e-11
/out0 (Vin=0.5154362) Y,8.137315e-01,1.958041e-21,-2.481514e-10
/out0 (Vin=0.5261745) Y,8.759752e-01,6.385766e-21,2.015159e-09
/out0 (Vin=0.5369128) Y,9.379826e-01,3.734070e-21,8.440099e-10
/out0 (Vin=0.547651) Y,9.991205e-01,5.033386e-22,-7.725139e-10
/out0 (Vin=0.5583893) Y,1.058765e+00,1.569261e-21,-5.515892e-10
/out0 (Vin=0.5691275) Y,1.116207e+00,2.278803e-21,-8.905720e-10
/out0 (Vin=0.5798658) Y,1.170218e+00,1.859791e-21,-1.784762e-10
/out0 (Vin=0.590604) Y,1.218107e+00,1.836513e-21,-5.785131e-10
/out0 (Vin=0.6013423) Y,1.257084e+00,2.047644e-21,3.793875e-10
/out0 (Vin=0.6120805) Y,1.288079e+00,6.659164e-22,3.301065e-10
/out0 (Vin=0.6228188) Y,1.313133e+00,3.533933e-23,-1.351358e-10
/out0 (Vin=0.633557) Y,1.333838e+00,4.236023e-23,-4.285729e-11
/out0 (Vin=0.6442953) Y,1.351293e+00,3.466656e-23,-1.146171e-10
/out0 (Vin=0.6550336) Y,1.366252e+00,3.982731e-23,3.464727e-12
/out0 (Vin=0.6657718) Y,1.379238e+00,4.039394e-23,-2.539396e-11
/out0 (Vin=0.6765101) Y,1.390622e+00,3.913494e-23,1.499284e-11
/out0 (Vin=0.6872483) Y,1.400673e+00,6.414999e-24,2.862582e-11
