FeaturesParamTransientDCNN.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=0.8053691) Y,1.459111e+00,1.786770e-30,-8.605068e-14
/out0 (Vin=0.8161074) Y,1.461416e+00,4.466925e-31,-5.285695e-14
/out0 (Vin=0.8268456) Y,1.463412e+00,2.498013e-19,-8.417571e-08
/out0 (Vin=0.8375839) Y,1.465137e+00,1.786770e-30,-1.628477e-13
/out0 (Vin=0.8483221) Y,1.466629e+00,0,-1.156352e-13
/out0 (Vin=0.8590604) Y,1.467921e+00,4.466925e-31,-1.215371e-13
/out0 (Vin=0.8697987) Y,1.469045e+00,1.786770e-30,-1.393263e-13
/out0 (Vin=0.8805369) Y,1.470030e+00,2.431992e-30,-1.584877e-13
/out0 (Vin=0.8912752) Y,1.470899e+00,1.240812e-30,-3.055146e-14
/out0 (Vin=0.9020134) Y,1.471674e+00,1.985300e-31,-7.656181e-14
/out0 (Vin=0.9127517) Y,1.472370e+00,2.431992e-30,-7.172780e-14
/out0 (Vin=0.9234899) Y,1.473001e+00,7.941200e-31,-7.207669e-15
/out0 (Vin=0.9342282) Y,1.473579e+00,7.941200e-31,-7.527142e-14
/out0 (Vin=0.9449664) Y,1.474112e+00,4.466925e-31,-1.338602e-13
/out0 (Vin=0.9557047) Y,1.474607e+00,1.786770e-30,-1.385788e-13
/out0 (Vin=0.966443) Y,1.475070e+00,1.985300e-31,-1.472525e-13
/out0 (Vin=0.9771812) Y,1.475506e+00,4.466925e-31,-4.910405e-14
/out0 (Vin=0.9879195) Y,1.475917e+00,4.963250e-32,-6.826074e-14
/out0 (Vin=0.9986577) Y,1.476307e+00,1.240812e-30,-1.577216e-13
/out0 (Vin=1.009396) Y,1.476679e+00,4.466925e-31,-5.567619e-14
/out0 (Vin=1.020134) Y,1.477034e+00,7.941200e-31,-1.116781e-13
/out0 (Vin=1.030872) Y,1.477374e+00,1.786770e-30,-3.769990e-14
/out0 (Vin=1.041611) Y,1.477701e+00,4.466925e-31,-6.497207e-14
/out0 (Vin=1.052349) Y,1.478015e+00,0,-6.502552e-14
/out0 (Vin=1.063087) Y,1.478318e+00,4.466925e-31,-6.980813e-14
/out0 (Vin=1.073826) Y,1.478611e+00,4.466925e-31,-5.288382e-14
/out0 (Vin=1.084564) Y,1.478895e+00,1.240812e-30,-8.004780e-14
/out0 (Vin=1.095302) Y,1.479169e+00,7.941200e-31,-1.709331e-15
/out0 (Vin=1.10604) Y,1.479435e+00,4.466925e-31,-1.707565e-13
/out0 (Vin=1.116779) Y,1.479694e+00,4.963250e-32,-1.448526e-14
/out0 (Vin=1.127517) Y,1.479945e+00,7.941200e-31,-4.774895e-14
/out0 (Vin=1.138255) Y,1.480189e+00,7.941200e-31,-5.840880e-14
/out0 (Vin=1.148993) Y,1.480427e+00,7.941200e-31,-1.564598e-13
/out0 (Vin=1.159732) Y,1.480659e+00,1.985300e-31,-1.649647e-14
/out0 (Vin=1.17047) Y,1.480885e+00,1.786770e-30,-1.005876e-13
/out0 (Vin=1.181208) Y,1.481105e+00,1.240812e-30,-1.759394e-13
/out0 (Vin=1.191946) Y,1.481320e+00,7.941200e-31,-2.965815e-14
/out0 (Vin=1.202685) Y,1.481531e+00,1.240812e-30,-1.394936e-14
/out0 (Vin=1.213423) Y,1.481736e+00,4.963250e-32,-7.830465e-14
/out0 (Vin=1.224161) Y,1.481937e+00,1.985300e-31,-2.001413e-15
/out0 (Vin=1.234899) Y,1.482133e+00,0,-7.272995e-14
/out0 (Vin=1.245638) Y,1.482325e+00,4.466925e-31,-9.092081e-14
/out0 (Vin=1.256376) Y,1.482513e+00,1.786770e-30,-1.256395e-13
/out0 (Vin=1.267114) Y,1.482697e+00,1.240812e-30,-5.346852e-16
/out0 (Vin=1.277852) Y,1.482877e+00,7.941200e-31,-3.319697e-14
/out0 (Vin=1.288591) Y,1.483054e+00,1.786770e-30,-9.896424e-14
/out0 (Vin=1.299329) Y,1.483227e+00,4.466925e-31,-1.270990e-13
/out0 (Vin=1.310067) Y,1.483396e+00,7.941200e-31,-3.205199e-14
/out0 (Vin=1.320805) Y,1.483562e+00,4.466925e-31,3.543672e-14
/out0 (Vin=1.331544) Y,1.483724e+00,4.963250e-32,-1.470869e-13
/out0 (Vin=1.342282) Y,1.483883e+00,4.466925e-31,-4.467348e-14
/out0 (Vin=1.35302) Y,1.484039e+00,1.786770e-30,-1.533696e-13
/out0 (Vin=1.363758) Y,1.484191e+00,2.431992e-30,-8.290701e-14
/out0 (Vin=1.374497) Y,1.484340e+00,4.466925e-31,-1.465418e-13
/out0 (Vin=1.385235) Y,1.484485e+00,7.941200e-31,-1.743152e-13
/out0 (Vin=1.395973) Y,1.484627e+00,1.786770e-30,-1.280781e-13
/out0 (Vin=1.406711) Y,1.484766e+00,7.941200e-31,-9.623266e-14
/out0 (Vin=1.41745) Y,1.484900e+00,1.985300e-31,-9.391841e-14
/out0 (Vin=1.428188) Y,1.485031e+00,7.941200e-31,-5.522357e-14
/out0 (Vin=1.438926) Y,1.485158e+00,0,5.564767e-14
/out0 (Vin=1.449664) Y,1.485279e+00,0,-9.120208e-14
/out0 (Vin=1.460403) Y,1.485396e+00,7.941200e-31,-3.063436e-14
/out0 (Vin=1.471141) Y,1.485506e+00,1.786770e-30,-1.977730e-13
/out0 (Vin=1.481879) Y,1.485610e+00,1.240812e-30,-1.402518e-13
/out0 (Vin=1.492617) Y,1.485705e+00,7.941200e-31,-3.523885e-14
/out0 (Vin=1.503356) Y,1.485789e+00,7.941200e-31,4.213103e-15
/out0 (Vin=1.514094) Y,1.485861e+00,7.941200e-31,2.983772e-14
