/Vin X,/Vin YRe,/Vin YReImag,/out1 X,/out1 YRe,/out1 YReImag,/out2 X,/out2 YRe,/out2 YReImag
0,0.025,0,0,0.1315346009561429,0,0,0.5626424072254562,0
6666666.666666667,0.025,0,6666666.666666667,0.1206376298195603,-0.03871281439755316,6666666.666666667,0.08139781282801342,-0.2997776935421412
13333333.33333333,0.025,0,13333333.33333333,0.09545157527818711,-0.06323422761151648,13333333.33333333,-0.05066018941726361,-0.1538091294852539
20000000,0.025,0,20000000,0.06922035342065347,-0.07245350493608722,20000000,-0.06180138678361769,-0.07568369732932884
26666666.66666667,0.025,0,26666666.66666667,0.04806224200984187,-0.07251836639939395,26666666.66666667,-0.05268614272437707,-0.03723138596526218
33333333.33333334,0.025,0,33333333.33333334,0.03249300554695976,-0.06853691006522895,33333333.33333334,-0.04175507469173748,-0.01762471825990708
40000000,0.025,0,40000000,0.02130224143581744,-0.06321564545281054,40000000,-0.03254559462283744,-0.007229435413575682
46666666.66666666,0.025,0,46666666.66666666,0.01322397400598561,-0.05774838753932572,46666666.66666666,-0.02535738251037576,-0.001557095541083585
53333333.33333333,0.025,0,53333333.33333333,0.00730895726210723,-0.05260025339427457,53333333.33333333,-0.0198425437317457,0.001573939122072757
59999999.99999999,0.025,0,59999999.99999999,0.002905439841908798,-0.04791884194966105,59999999.99999999,-0.01560766040829593,0.003279970234820742
66666666.66666666,0.025,0,66666666.66666666,-0.0004255753272773485,-0.04372092611769567,66666666.66666666,-0.01233348078184382,0.004161854100178542
73333333.33333333,0.025,0,73333333.33333333,-0.002981533306046825,-0.03997313351127506,73333333.33333333,-0.009780371601127387,0.004557568612504024
80000000,0.025,0,80000000,-0.004966956454161703,-0.03662613100003405,80000000,-0.007771906517312853,0.004663962061715802
86666666.66666667,0.025,0,86666666.66666667,-0.00652485642038589,-0.03362881565330856,86666666.66666667,-0.006178323674638771,0.004598659049036584
93333333.33333334,0.025,0,93333333.33333334,-0.007756882248718027,-0.03093389757744528,93333333.33333334,-0.00490370810237721,0.004433208650321789
100000000,0.025,0,100000000,-0.00873639565038508,-0.02849975313630535,100000000,-0.003876671175808471,0.004211644647859324
106666666.6666667,0.025,0,106666666.6666667,-0.009517108803172743,-0.02629066934260398,106666666.6666667,-0.003043668024587215,0.00396124991081861
113333333.3333334,0.025,0,113333333.3333334,-0.01013889520208873,-0.02427642232670059,113333333.3333334,-0.002364205536282242,0.003698965008256097
120000000,0.025,0,120000000,-0.01063176267469922,-0.02243161764698986,120000000,-0.001807393356799901,0.003435277296475829
126666666.6666667,0.025,0,126666666.6666667,-0.01101860760069215,-0.02073498722701318,126666666.6666667,-0.001349450889378616,0.003176614857439491
133333333.3333334,0.025,0,133333333.3333334,-0.01131714669905752,-0.01916872863270232,133333333.3333334,-0.0009718974143524963,0.002926836451000394
140000000,0.025,0,140000000,-0.01154128573656846,-0.0177179200700368,140000000,-0.0006602320403450955,0.002688167206445871
146666666.6666667,0.025,0,146666666.6666667,-0.01170209805270709,-0.0163700192944611,146666666.6666667,-0.0004029660084701519,0.002461790725011687
153333333.3333333,0.025,0,153333333.3333333,-0.01180852994585893,-0.01511444289553692,153333333.3333333,-0.0001909092974672438,0.002248226244308836
160000000,0.025,0,160000000,-0.01186791316067368,-0.01394221749410471,160000000,-1.664145217591084e-05,0.002047570285749642
166666666.6666667,0.025,0,166666666.6666667,-0.01188634007035643,-0.01284569288894331,166666666.6666667,0.0001258835557157927,0.001859652263999008
173333333.3333333,0.025,0,173333333.3333333,-0.01186894042083196,-0.01181830735804543,173333333.3333333,0.0002416344759130181,0.001684135130671834
180000000,0.025,0,180000000,-0.01182008702893778,-0.01085439622896409,180000000,0.0003347279013853295,0.001520580705413651
186666666.6666666,0.025,0,186666666.6666666,-0.01174354987996092,-0.00994903600471434,186666666.6666666,0.0004086001416211454,0.001368492205582919
193333333.3333333,0.025,0,193333333.3333333,-0.01164261251894893,-0.009097917523169947,193333333.3333333,0.0004661394876211415,0.001227341985822668
199999999.9999999,0.025,0,199999999.9999999,-0.01152016072671413,-0.008297242727717454,199999999.9999999,0.0005097888257374893,0.001096589644486763
206666666.6666666,0.025,0,206666666.6666666,-0.0113787507044805,-0.007543640590221901,206666666.6666666,0.0005416259066908211,0.0009756938318232722
213333333.3333333,0.025,0,213333333.3333333,-0.01122066201915883,-0.006834098546756139,213333333.3333333,0.0005634266607200353,0.0008641199255716874
219999999.9999999,0.025,0,219999999.9999999,-0.01104793914722525,-0.00616590648941535,219999999.9999999,0.0005767155591470941,0.0007613449852598849
226666666.6666666,0.025,0,226666666.6666666,-0.01086242443443397,-0.005536610920294387,226666666.6666666,0.0005828060081625146,0.0006668609078780002
233333333.3333332,0.025,0,233333333.3333332,-0.01066578455065706,-0.004943977332926282,233333333.3333332,0.0005828330168160979,0.0005801763898661678
239999999.9999999,0.025,0,239999999.9999999,-0.01045953197944067,-0.004385959259845577,239999999.9999999,0.0005777798328289431,0.00050081809309239
246666666.6666665,0.025,0,246666666.6666665,-0.01024504268935768,-0.003860672726474925,246666666.6666665,0.0005684998336814629,0.0004283312770004278
253333333.3333332,0.025,0,253333333.3333332,-0.01002357084425361,-0.003366375095507042,253333333.3333332,0.0005557346576742309,0.0003622800703018909
259999999.9999999,0.025,0,259999999.9999999,-0.009796261196684614,-0.002901447482146197,259999999.9999999,0.0005401293330269559,0.0003022474973249885
266666666.6666665,0.025,0,266666666.6666665,-0.009564159651048567,-0.002464380078547631,266666666.6666665,0.0005222449923373134,0.0002478353358143849
273333333.3333332,0.025,0,273333333.3333332,-0.009328222365642885,-0.002053759853311722,273333333.3333332,0.0005025696303967398,0.00019866385779242
279999999.9999999,0.025,0,279999999.9999999,-0.009089323675824362,-0.001668260193940217,279999999.9999999,0.0004815272649444537,0.0001543714884491198
286666666.6666666,0.025,0,286666666.6666666,-0.00884826305491585,-0.001306632142850799,286666666.6666666,0.0004594857844757448,0.0001146144070655757
293333333.3333333,0.025,0,293333333.3333333,-0.008605771280967227,-0.0009676969437048258,293333333.3333333,0.0004367637091687331,7.906610667864021e-05
299999999.9999999,0.025,0,299999999.9999999,-0.00836251594008617,-0.000650339668299216,299999999.9999999,0.0004136360459415524,4.741692433695253e-05
306666666.6666666,0.025,0,306666666.6666666,-0.008119106369705935,-0.0003535037374157912,306666666.6666666,0.0003903393835884806,1.937355054538968e-05
313333333.3333333,0.025,0,313333333.3333333,-0.007876098123626076,-7.618618362374832e-05,313333333.3333333,0.0003670763464117271,-5.341475744078347e-06
320000000,0.025,0,320000000,-0.007633997024652059,0.0001825664677511794,320000000,0.000344019503054661,-2.699028174610351e-05
326666666.6666667,0.025,0,326666666.6666667,-0.007393262858311279,0.0004236618007745316,326666666.6666667,0.0003213148100109366,-4.582018130406461e-05
333333333.3333334,0.025,0,333333333.3333334,-0.007154312751450205,0.0006479646771252619,333333333.3333334,0.0002990846555118116,-6.206419821375079e-05
340000000.0000001,0.025,0,340000000.0000001,-0.006917524272066465,0.0008563000382262079,340000000.0000001,0.0002774305584300919,-7.59415899792382e-05
346666666.6666667,0.025,0,346666666.6666667,-0.006683238280985432,0.001049455397613823,346666666.6666667,0.0002564355678961678,-8.76583700214199e-05
353333333.3333334,0.025,0,353333333.3333334,-0.006451761561252827,0.001228183069564544,353333333.3333334,0.0002361664020493744,-9.740782667659459e-05
360000000.0000001,0.025,0,360000000.0000001,-0.006223369247475206,0.001393202172480186,360000000.0000001,0.0002166753583956925,-0.0001053710375962971
366666666.6666668,0.025,0,366666666.6666668,-0.00599830707431488,0.001545200438788097,366666666.6666668,0.0001980020233533055,-0.0001117173783613969
373333333.3333335,0.025,0,373333333.3333335,-0.005776793460904482,0.001684835857999729,373333333.3333335,0.0001801748045230105,-0.0001166050243035547
380000000.0000002,0.025,0,380000000.0000002,-0.005559021445947799,0.001812738175182734,380000000.0000002,0.0001632123058652311,-0.0001201814446690591
386666666.6666669,0.025,0,386666666.6666669,-0.005345160486518017,0.001929510263596231,386666666.6666669,0.0001471245631560377,-0.0001225838883700581
393333333.3333336,0.025,0,393333333.3333336,-0.005135358132194409,0.002035729387275999,393333333.3333336,0.0001319141547526102,-0.0001239398606757766
400000000.0000002,0.025,0,400000000.0000002,-0.004929741584889084,0.002131948367042607,400000000.0000002,0.0001175772007162823,-0.0001243675902721977
406666666.6666669,0.025,0,406666666.6666669,-0.004728419153700415,0.002218696661329394,406666666.6666669,0.0001041042616752623,-0.0001239764861913583
413333333.3333336,0.025,0,413333333.3333336,-0.004531481613178426,0.002296481371646989,413333333.3333336,9.148114739288392e-05,-0.0001228675841668979
420000000.0000003,0.025,0,420000000.0000003,-0.004339003472556493,0.002365788181085963,420000000.0000003,7.96896438031687e-05,-0.0001211339820282805
426666666.666667,0.025,0,426666666.666667,-0.004151044162830955,0.002427082233128214,426666666.666667,6.870816625162798e-05,-0.0001188612637843348
433333333.3333337,0.025,0,433333333.3333337,-0.003967649147870186,0.002480808957037174,433333333.3333337,5.851234579946811e-05,-0.0001161279120912605
440000000.0000004,0.025,0,440000000.0000004,-0.003788850965217159,0.002527394845357951,440000000.0000004,4.907555469732574e-05,-0.0001130057088333633
