signal,mean_vout_Y,variance_vout_Y,slope_vout
1,0.012148930036831498,8.668818172500196e-14,1467.9500022881812
2,0.012149102058582066,8.324554553024287e-20,-0.01619455329386621
3,0.017893463693045664,9.899306835837241e-05,5671040.916368938
4,0.14028771580943442,0.006030998729299793,292185796.14467436
5,0.3063311112512212,2.7465384198973695e-08,762143.0044074517
6,0.306426849999978,3.3351847835908415e-11,629.2920471141845
7,0.3064301616330385,1.968823346291633e-11,-118.47761689626675
8,0.7269127977122901,0.06171332156985718,659741488.6663455
9,0.8704163911297936,0.002664088329022373,-330277218.8276647
10,0.6622947633632938,0.0027729493829642456,-196680360.03247425
11,0.6317728024853341,2.37476723775972e-11,-648.5572465543459
12,0.6317754987562542,1.505278714890079e-11,-100.1064920912934
13,0.8507361564832516,0.01230167723576777,330252380.5590447
14,0.9618596917706458,2.204652026659965e-12,-5089.518199099715
15,0.9618596534360889,1.9212088038444364e-12,307.6535735787172
16,1.254459261847561,0.10551379438775636,1321837590.0293832
17,2.1562847630665885,0.03414252948959009,1079305122.3830554
18,2.0367471920691456,0.013504257685978814,-994780360.3984222
19,1.5165699786038356,0.04996307737326992,-992996314.0169508
20,1.2924658493891041,8.019407449464991e-10,197818.88976525754
21,1.2924565784051303,1.717386875211322e-09,-14576.55508998083
22,1.3319811460203657,0.00468373059319804,45147291.37532578
23,1.5879272746945725,0.003761804217884432,205179610.25694102
24,1.6234357592815172,8.152303244835935e-13,1683.9334015797049
25,1.6234359422854823,3.885261196700876e-13,-70.83238843802258
26,2.038881089410229,0.06119688091757086,663481460.4693035
27,2.190290500987412,0.0030342848025482457,-331974673.40747786
28,1.980160728027734,0.00191490389441472,-187586956.2658969
29,1.9548105271264449,1.1294794591896528e-11,-2820.8787725058546
30,1.9548089770154478,2.3667344210275322e-12,187.07520946516684
31,2.176079608309575,0.012184001704414863,331911200.53387207
32,2.286628075452077,2.788917877977419e-11,-6842.298055542776
33,2.286625870132839,3.7205415222556315e-12,202.14204078224427
34,2.625261263322674,0.1380550440709451,2653144454.3144226
35,4.129873769135187,0.18347685349444542,2639421913.5886045
36,4.8353427243743425,0.016092261150945586,1932488615.8789537
37,4.695813657519565,0.011040116161979491,-2318117529.5122333
38,4.233190558632592,0.049440579081720414,-2313506433.3205853
39,3.317572052486,0.10352511341677514,-2321182161.2467923
40,2.6189595307697116,3.559372348083931e-07,-6865769.354797886
41,2.6187296574279597,2.7144185908715633e-09,33664.981779200294
42,2.6187021565152775,2.051008018087239e-09,-6955.3350208120755
43,2.656408205186237,0.004261719248047511,51624718.622794844
44,2.9142309310215766,0.003995974757142762,207175392.8882181
45,2.950795355821129,8.61109227326315e-11,-1531.3578818298527
46,2.950800337777346,4.9189173593303276e-11,-97.99131666020071
47,3.3662683613783613,0.06122075552574048,662916202.6467168
48,3.517768563806472,0.0030300751057020575,-331411232.33853996
49,3.307867382469341,0.0019021842253183294,-187333891.67697674
50,3.282619787975886,9.563797691273195e-11,1876.3667329518412
51,3.2826144543264917,6.473484685625972e-11,126.25190683837519
52,3.5037047522910445,0.012128687520279496,331258111.14771456
53,3.6139801807020997,3.592259597872897e-10,-25827.249394066537
54,3.613969512004521,1.1834246877780954e-10,-475.5815745287605
55,3.8658737846522073,0.08009071233894952,1321283589.6983166
56,4.491833001191619,0.05265402162406811,1316630332.8012114
57,4.884979060835832,0.0031047071804609847,-972599015.0525564
58,4.639261092891595,0.016456865735957726,-990884239.0941466
59,4.112184607983234,0.02783618305307933,-991430954.8386981
60,3.9447841042488414,1.4022173269221698e-09,236333.397686154
61,3.9447894914395083,1.2817836354992196e-10,-4310.936251792354
62,3.982376038010188,0.00423746744531397,51313652.17102406
63,4.238701560261601,0.003932318299720128,242982876.58145785
64,4.275015796340401,3.0215139056804274e-10,-8153.168638985383
65,4.275025245736594,2.243134129287438e-10,586.1418480895466
66,4.425350076995874,0.015785544959838624,658008318.6877824
67,4.871030568467937,0.007914742356099168,481193046.47254086
68,4.809262844731177,0.0038936249524093927,-331357299.07559955
69,4.604420614277264,3.1390277761634706e-08,-609211.4678006042
70,4.604308892156539,2.0920522351154106e-10,-3342.397483011929
71,4.63170671723728,0.0022511582457408236,49166594.99529207
72,4.893662090054716,0.005181250090232516,237717072.50298667
73,4.935441887452433,1.018421719790879e-12,-429.75767955917786
74,4.935440801015647,3.114367263635399e-12,-168.125561877034
