/vout X,/vout Y,/net06 X,/net06 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net07 X,/net07 Y
1.361789409177217e-08,0.910041455193212,1.361789409177217e-08,0,1.361789409177217e-08,0,1.361789409177217e-08,5,1.361789409177217e-08,4.410529541139158
1.3782902815019e-08,0.855435354493062,1.3782902815019e-08,0,1.3782902815019e-08,0,1.3782902815019e-08,5,1.3782902815019e-08,3.585485924905006
1.392850356507302e-08,0.8072750457646658,1.392850356507302e-08,0,1.392850356507302e-08,0,1.392850356507302e-08,5,1.392850356507302e-08,2.857482174634901
1.421970506518106e-08,0.7110315834024021,1.421970506518106e-08,0,1.421970506518106e-08,0,1.421970506518106e-08,5,1.421970506518106e-08,1.401474674094692
1.45e-08,0.6184590439059298,1.45e-08,0,1.45e-08,0,1.45e-08,5,1.45e-08,0
1.470840581598705e-08,0.6182291708304506,1.470840581598705e-08,0,1.470840581598705e-08,0,1.470840581598705e-08,5,1.470840581598705e-08,0
1.49482377170356e-08,0.6182218004241726,1.49482377170356e-08,0,1.49482377170356e-08,0,1.49482377170356e-08,5,1.49482377170356e-08,0
1.518277168781657e-08,0.6182303393615092,1.518277168781657e-08,0,1.518277168781657e-08,0,1.518277168781657e-08,5,1.518277168781657e-08,0
1.56518396293785e-08,0.618223402644351,1.56518396293785e-08,0,1.56518396293785e-08,0,1.56518396293785e-08,5,1.56518396293785e-08,0
1.658997551250236e-08,0.6182297114888464,1.658997551250236e-08,0,1.658997551250236e-08,0,1.658997551250236e-08,5,1.658997551250236e-08,0
1.766998775625118e-08,0.6182237876212806,1.766998775625118e-08,0,1.766998775625118e-08,0,1.766998775625118e-08,5,1.766998775625118e-08,0
1.875e-08,0.6182294402804008,1.875e-08,0,1.875e-08,0,1.875e-08,5,1.875e-08,0
1.907766605177093e-08,0.7262480590240135,1.907766605177093e-08,0,1.907766605177093e-08,0,1.907766605177093e-08,5,1.907766605177093e-08,1.638330258854662
