/Vin (R1=17500) X,/Vin (R1=17500) Y,/out0 (R1=17500) X,/out0 (R1=17500) Y,/out1 (R1=17500) X,/out1 (R1=17500) Y
0,0.5,0,0.07612012407080371,0,0.07503369590629051
2e-05,0.5,2e-05,0.07612025258642235,2e-05,0.07503369590693187
4e-05,0.5,4e-05,0.07612025259665271,4e-05,0.07503369590693779
6.000000000000001e-05,0.5,6.000000000000001e-05,0.07612025259680968,6.000000000000001e-05,0.07503369590692104
8.000000000000001e-05,0.5,8.000000000000001e-05,0.07612025259680646,8.000000000000001e-05,0.07503369590699475
0.0001,0.5,0.0001,0.07612025259675895,0.0001,0.07503369590692475
0.00012,0.5,0.00012,0.07612025259680161,0.00012,0.07503369590693616
0.00014,0.5,0.00014,0.07612025259679286,0.00014,0.07503369590695934
0.00016,0.5,0.00016,0.07612025259680585,0.00016,0.07503369590685668
0.00018,0.5,0.00018,0.07612025259679045,0.00018,0.07503369590704803
0.0002,0.5,0.0002,0.0761202525968797,0.0002,0.07503369590683182
0.00022,0.5,0.00022,0.07612025259671432,0.00022,0.07503369590706702
0.00024,0.5,0.00024,0.07612025259682842,0.00024,0.07503369590690939
0.00026,0.5,0.00026,0.07612025259674195,0.00026,0.07503369590695283
0.00028,0.5,0.00028,0.07612025259686939,0.00028,0.07503369590687888
0.0003,0.5,0.0003,0.0761202525966139,0.0003,0.07503369590699911
0.00032,0.5,0.00032,0.07612025259683207,0.00032,0.07503369590689643
0.00034,0.5,0.00034,0.07612025259673173,0.00034,0.07503369590696179
0.00036,0.5,0.00036,0.07612025259695686,0.00036,0.07503369590692319
0.00038,0.5,0.00038,0.07612025259666519,0.00038,0.07503369590694846
0.0004,0.5,0.0004,0.0761202525969108,0.0004,0.07503369590684883
0.00042,0.5,0.00042,0.07612025259666694,0.00042,0.07503369590692287
0.00044,0.5,0.00044,0.07612025259690679,0.00044,0.07503369590694423
0.00046,0.5,0.00046,0.07612025259667358,0.00046,0.07503369590682925
0.00048,0.5,0.00048,0.07612025259688183,0.00048,0.0750336959069683
0.0005,0.5,0.0005,0.07612025259668309,0.0005,0.0750336959069159
0.0005200000000000001,0.5,0.0005200000000000001,0.07612025259688855,0.0005200000000000001,0.07503369590689438
0.0005400000000000001,0.5,0.0005400000000000001,0.07612025259654892,0.0005400000000000001,0.07503369590699883
0.0005600000000000002,0.5,0.0005600000000000002,0.07612025259703843,0.0005600000000000002,0.07503369590684045
0.0005800000000000002,0.5,0.0005800000000000002,0.07612025259650752,0.0005800000000000002,0.07503369590704716
0.0006000000000000003,0.5,0.0006000000000000003,0.07612025259713674,0.0006000000000000003,0.07503369590678868
0.0006200000000000003,0.5,0.0006200000000000003,0.07612025259641379,0.0006200000000000003,0.07503369590699328
0.0006400000000000004,0.5,0.0006400000000000004,0.07612025259728672,0.0006400000000000004,0.07503369590684063
0.0006600000000000004,0.5,0.0006600000000000004,0.07612025259627085,0.0006600000000000004,0.07503369590700448
0.0006800000000000005,0.5,0.0006800000000000005,0.07612025259730973,0.0006800000000000005,0.07503369590682879
0.0007000000000000005,0.5,0.0007000000000000005,0.07612025259626698,0.0007000000000000005,0.07503369590706439
0.0007200000000000006,0.5,0.0007200000000000006,0.07612025259731675,0.0007200000000000006,0.07503369590680714
0.0007400000000000006,0.5,0.0007400000000000006,0.07612025259625153,0.0007400000000000006,0.07503369590706163
0.0007600000000000007,0.5,0.0007600000000000007,0.07612025259729024,0.0007600000000000007,0.07503369590677041
0.0007800000000000007,0.5,0.0007800000000000007,0.07612025259632579,0.0007800000000000007,0.07503369590704836
0.0008000000000000008,0.5,0.0008000000000000008,0.07612025259735349,0.0008000000000000008,0.07503369590685824
0.0008200000000000008,0.5,0.0008200000000000008,0.07612025259622866,0.0008200000000000008,0.07503369590692646
0.0008400000000000009,0.5,0.0008400000000000009,0.07612025259737051,0.0008400000000000009,0.07503369590697966
0.000860000000000001,0.5,0.000860000000000001,0.07612025259621567,0.000860000000000001,0.07503369590689447
0.000880000000000001,0.5,0.000880000000000001,0.07612025259737766,0.000880000000000001,0.07503369590704459
0.0009000000000000011,0.5,0.0009000000000000011,0.07612025259625439,0.0009000000000000011,0.07503369590695433
0.0009200000000000011,0.5,0.0009200000000000011,0.07612025259735258,0.0009200000000000011,0.07503369590692045
0.0009400000000000012,0.5,0.0009400000000000012,0.07612025259628125,0.0009400000000000012,0.07503369590692828
0.0009600000000000012,0.5,0.0009600000000000012,0.07612025259741685,0.0009600000000000012,0.0750336959069972
0.0009800000000000013,0.5,0.0009800000000000013,0.07612025259620907,0.0009800000000000013,0.07503369590686855
