/Vin (R1=17500) X,/Vin (R1=17500) Y,/out0 (R1=17500) X,/out0 (R1=17500) Y,/out1 (R1=17500) X,/out1 (R1=17500) Y
2.999999999999959,0.5,2.999999999999959,0.07256843032343752,2.999999999999959,0.07168475118180903
4.399999999999959,0.5,4.399999999999959,0.07277805351183199,4.399999999999959,0.07188266314101073
5.799999999999958,0.5,5.799999999999958,0.07298733475722993,5.799999999999958,0.07208021659629717
7.199999999999958,0.5,7.199999999999958,0.0731962746488475,7.199999999999958,0.07227741302346097
8.599999999999959,0.5,8.599999999999959,0.07340487380437745,8.599999999999959,0.07247425390238225
9.999999999999959,0.5,9.999999999999959,0.07361313286893566,9.999999999999959,0.07267074071668155
11.39999999999996,0.5,11.39999999999996,0.07382105251399625,11.39999999999996,0.07286687495332668
12.79999999999996,0.5,12.79999999999996,0.07402863343634138,12.79999999999996,0.07306265810227726
14.19999999999996,0.5,14.19999999999996,0.0742358763569813,14.19999999999996,0.07325809165609354
15.59999999999996,0.5,15.59999999999996,0.07444278202014189,15.59999999999996,0.07345317710957752
16.99999999999996,0.5,16.99999999999996,0.07464935119198503,16.99999999999996,0.07364791595938654
18.39999999999996,0.5,18.39999999999996,0.07485558465996558,18.39999999999996,0.07384230970367632
19.79999999999996,0.5,19.79999999999996,0.07506148323135851,19.79999999999996,0.07403635984170626
21.19999999999996,0.5,21.19999999999996,0.07526704773241608,21.19999999999996,0.07423006787348939
22.59999999999996,0.5,22.59999999999996,0.07547227900728194,22.59999999999996,0.07442343529941066
23.99999999999995,0.5,23.99999999999995,0.07567717791696611,23.99999999999995,0.07461646361986177
25.39999999999995,0.5,25.39999999999995,0.07588276706997382,25.39999999999995,0.07481009955423586
26.79999999999995,0.5,26.79999999999995,0.07609058918926936,26.79999999999995,0.07500576929996775
28.19999999999995,0.5,28.19999999999995,0.07629809600087616,28.19999999999995,0.07520111517309953
29.59999999999995,0.5,29.59999999999995,0.07650528845330869,29.59999999999995,0.07539613873872154
30.99999999999995,0.5,30.99999999999995,0.07671216750518799,30.99999999999995,0.07559084155877835
32.39999999999995,0.5,32.39999999999995,0.07691873412669999,32.39999999999995,0.07578522519325571
33.79999999999995,0.5,33.79999999999995,0.07712498929836582,33.79999999999995,0.07597929119974396
35.19999999999995,0.5,35.19999999999995,0.0773309340100608,35.19999999999995,0.07617304113300458
36.59999999999994,0.5,36.59999999999994,0.07753656926001716,36.59999999999994,0.07636647654455266
37.99999999999994,0.5,37.99999999999994,0.07774189605389201,37.99999999999994,0.07655959898223481
39.39999999999994,0.5,39.39999999999994,0.07794691540380957,39.39999999999994,0.07675240998983737
40.79999999999994,0.5,40.79999999999994,0.07815162832746909,40.79999999999994,0.07694491110666639
42.19999999999994,0.5,42.19999999999994,0.07835603584718648,42.19999999999994,0.07713710386716861
43.59999999999994,0.5,43.59999999999994,0.07856013898911475,43.59999999999994,0.07732898980053349
44.99999999999994,0.5,44.99999999999994,0.07876393878233277,44.99999999999994,0.07752057043032679
46.39999999999993,0.5,46.39999999999993,0.07896743625800581,46.39999999999993,0.07771184727410491
47.79999999999993,0.5,47.79999999999993,0.07917063244858988,47.79999999999993,0.07790282184306231
49.19999999999993,0.5,49.19999999999993,0.07937352838704069,49.19999999999993,0.07809349564166113
50.59999999999993,0.5,50.59999999999993,0.07957612510603851,50.59999999999993,0.0782838701672932
51.99999999999993,0.5,51.99999999999993,0.07977842363724175,51.99999999999993,0.0784739469099211
53.39999999999993,0.5,53.39999999999993,0.07998042501056066,53.39999999999993,0.07866372735175987
54.79999999999993,0.5,54.79999999999993,0.08018213025343966,54.79999999999993,0.07885321296692133
56.19999999999992,0.5,56.19999999999992,0.08038354039017627,56.19999999999992,0.0790424052211124
57.59999999999992,0.5,57.59999999999992,0.08058465644125253,57.59999999999992,0.07923130557130166
58.99999999999992,0.5,58.99999999999992,0.08078547942268258,58.99999999999992,0.0794199154654068
60.39999999999992,0.5,60.39999999999992,0.08098601034538144,60.39999999999992,0.07960823634200778
61.79999999999992,0.5,61.79999999999992,0.08118625021454935,61.79999999999992,0.07979626962996531
63.19999999999992,0.5,63.19999999999992,0.08138620002909076,63.19999999999992,0.07998401674826924
64.59999999999992,0.5,64.59999999999992,0.08158586078100874,64.59999999999992,0.08017147910559547
65.99999999999993,0.5,65.99999999999993,0.08178523345486827,65.99999999999993,0.0803586581000916
67.39999999999993,0.5,67.39999999999993,0.08198431902723242,67.39999999999993,0.08054555511907027
68.79999999999994,0.5,68.79999999999994,0.08218311846613201,68.79999999999994,0.08073217153872822
70.19999999999995,0.5,70.19999999999995,0.08238163273055345,70.19999999999995,0.08091850872385586
71.59999999999995,0.5,71.59999999999995,0.08257986276992024,71.59999999999995,0.08110456802756191
72.99999999999996,0.5,72.99999999999996,0.08277780952359733,72.99999999999996,0.08129035079097988
74.39999999999996,0.5,74.39999999999996,0.08297547392041024,74.39999999999996,0.08147585834299628
75.79999999999997,0.5,75.79999999999997,0.08317285687816545,75.79999999999997,0.0816610919999563
77.19999999999997,0.5,77.19999999999997,0.08336995930317127,77.19999999999997,0.08184605306538784
78.59999999999998,0.5,78.59999999999998,0.08356678208978473,78.59999999999998,0.08203074282969633
79.99999999999999,0.5,79.99999999999999,0.08376332611994411,79.99999999999999,0.0822151625698872
81.39999999999999,0.5,81.39999999999999,0.08395959226270593,81.39999999999999,0.08239931354924442
82.8,0.5,82.8,0.08415558137379688,82.8,0.08258319701704835
84.2,0.5,84.2,0.0843512942951567,84.2,0.08276681420822878
85.60000000000001,0.5,85.60000000000001,0.08454673185446522,85.60000000000001,0.08295016634306386
87.00000000000001,0.5,87.00000000000001,0.08474189486468144,87.00000000000001,0.08313325462682937
88.40000000000002,0.5,88.40000000000002,0.08493678412357443,88.40000000000002,0.08331608024945014
89.80000000000003,0.5,89.80000000000003,0.08513140041323605,89.80000000000003,0.0834986443851306
91.20000000000003,0.5,91.20000000000003,0.08532574449957907,91.20000000000003,0.08368094819196874
92.60000000000004,0.5,92.60000000000004,0.08551981713182863,92.60000000000004,0.0838629928115556
94.00000000000004,0.5,94.00000000000004,0.08571361904199545,94.00000000000004,0.08404477936853937
95.40000000000005,0.5,95.40000000000005,0.08590715094431563,95.40000000000005,0.08422630897018961
96.80000000000005,0.5,96.80000000000005,0.08610041353468101,96.80000000000005,0.0844075827058948
