/out0 X,/out0 Y,/out1 X,/out1 Y,/out2 X,/out2 Y
0.001220000000000002,0.07739955521864868,0.001220000000000002,0.1825785708462264,0.001220000000000002,0.07503504171554279
0.001240000000000002,0.07739955521988105,0.001240000000000002,0.1825785708561407,0.001240000000000002,0.07503504171567063
0.001260000000000002,0.07739955521865816,0.001260000000000002,0.1825785708464884,0.001260000000000002,0.07503504171571754
0.001280000000000002,0.07739955522001214,0.001280000000000002,0.1825785708551378,0.001280000000000002,0.07503504171567141
0.001300000000000002,0.07739955521855416,0.001300000000000002,0.1825785708468044,0.001300000000000002,0.07503504171561307
0.001320000000000002,0.07739955522007652,0.001320000000000002,0.1825785708570636,0.001320000000000002,0.07503504171560418
0.001340000000000002,0.07739955521837215,0.001340000000000002,0.1825785708450747,0.001340000000000002,0.0750350417157124
0.001360000000000002,0.07739955522017189,0.001360000000000002,0.1825785708565648,0.001360000000000002,0.07503504171552224
0.001380000000000002,0.07739955521830237,0.001380000000000002,0.182578570845584,0.001380000000000002,0.07503504171588922
0.001400000000000002,0.07739955522021091,0.001400000000000002,0.1825785708560756,0.001400000000000002,0.07503504171552075
0.001420000000000002,0.07739955521834424,0.001420000000000002,0.1825785708454719,0.001420000000000002,0.07503504171580924
0.001440000000000002,0.07739955522018978,0.001440000000000002,0.1825785708565988,0.001440000000000002,0.07503504171560892
0.001460000000000003,0.07739955521829417,0.001460000000000003,0.1825785708451408,0.001460000000000003,0.07503504171564579
0.001480000000000003,0.07739955522019963,0.001480000000000003,0.1825785708587459,0.001480000000000003,0.07503504171560578
0.001500000000000003,0.07739955521828275,0.001500000000000003,0.1825785708442136,0.001500000000000003,0.07503504171571773
0.001520000000000003,0.07739955522033658,0.001520000000000003,0.1825785708586458,0.001520000000000003,0.07503504171563274
0.001540000000000003,0.0773995552181141,0.001540000000000003,0.1825785708429816,0.001540000000000003,0.07503504171563741
0.001560000000000003,0.07739955522050511,0.001560000000000003,0.1825785708597068,0.001560000000000003,0.07503504171555546
0.001580000000000003,0.07739955521796467,0.001580000000000003,0.1825785708429534,0.001580000000000003,0.07503504171583912
0.001600000000000003,0.07739955522062045,0.001600000000000003,0.1825785708574541,0.001600000000000003,0.07503504171546337
0.001620000000000003,0.07739955521795711,0.001620000000000003,0.1825785708429731,0.001620000000000003,0.07503504171587522
0.001640000000000003,0.0773995552205947,0.001640000000000003,0.1825785708597159,0.001640000000000003,0.07503504171535794
0.001660000000000003,0.07739955521803835,0.001660000000000003,0.1825785708428881,0.001660000000000003,0.07503504171600052
0.001680000000000003,0.07739955522059495,0.001680000000000003,0.1825785708592459,0.001680000000000003,0.07503504171533111
0.001700000000000003,0.0773995552179792,0.001700000000000003,0.1825785708427705,0.001700000000000003,0.07503504171601148
0.001720000000000003,0.07739955522065986,0.001720000000000003,0.18257857085826,0.001720000000000003,0.07503504171518478
0.001740000000000003,0.0773995552178843,0.001740000000000003,0.1825785708448339,0.001740000000000003,0.07503504171613853
0.001760000000000003,0.07739955522071428,0.001760000000000003,0.1825785708563308,0.001760000000000003,0.07503504171506017
0.001780000000000003,0.07739955521775503,0.001780000000000003,0.1825785708464721,0.001780000000000003,0.0750350417161658
0.001800000000000003,0.07739955522083153,0.001800000000000003,0.1825785708558706,0.001800000000000003,0.07503504171516392
0.001820000000000003,0.07739955521774636,0.001820000000000003,0.1825785708467763,0.001820000000000003,0.07503504171604888
0.001840000000000004,0.07739955522076565,0.001840000000000004,0.18257857085525,0.001840000000000004,0.07503504171534769
0.001860000000000004,0.07739955521778161,0.001860000000000004,0.1825785708459387,0.001860000000000004,0.07503504171598285
0.001880000000000004,0.07739955522078085,0.001880000000000004,0.1825785708566027,0.001880000000000004,0.07503504171541779
0.001900000000000004,0.07739955521775609,0.001900000000000004,0.1825785708454632,0.001900000000000004,0.07503504171578641
0.001920000000000004,0.07739955522082052,0.001920000000000004,0.1825785708568053,0.001920000000000004,0.07503504171553289
0.001940000000000004,0.07739955521783212,0.001940000000000004,0.1825785708467354,0.001940000000000004,0.07503504171583272
