/out0 (temp=-60) X,/out0 (temp=-60) Y,/out0 (temp=-58.5906) X,/out0 (temp=-58.5906) Y,/out0 (temp=-57.18121) X,/out0 (temp=-57.18121) Y,/out0 (temp=-55.77181) X,/out0 (temp=-55.77181) Y,/out0 (temp=-54.36242) X,/out0 (temp=-54.36242) Y,/out0 (temp=-52.95302) X,/out0 (temp=-52.95302) Y,/out0 (temp=-51.54362) X,/out0 (temp=-51.54362) Y,/out0 (temp=-50.13423) X,/out0 (temp=-50.13423) Y,/out0 (temp=-48.72483) X,/out0 (temp=-48.72483) Y,/out0 (temp=-47.31544) X,/out0 (temp=-47.31544) Y,/out0 (temp=-45.90604) X,/out0 (temp=-45.90604) Y,/out0 (temp=-44.49664) X,/out0 (temp=-44.49664) Y,/out0 (temp=-43.08725) X,/out0 (temp=-43.08725) Y,/out0 (temp=-41.67785) X,/out0 (temp=-41.67785) Y,/out0 (temp=-40.26846) X,/out0 (temp=-40.26846) Y,/out0 (temp=-38.85906) X,/out0 (temp=-38.85906) Y,/out0 (temp=-37.44966) X,/out0 (temp=-37.44966) Y,/out0 (temp=-36.04027) X,/out0 (temp=-36.04027) Y,/out0 (temp=-34.63087) X,/out0 (temp=-34.63087) Y,/out0 (temp=-33.22148) X,/out0 (temp=-33.22148) Y,/out0 (temp=-31.81208) X,/out0 (temp=-31.81208) Y,/out0 (temp=-30.40268) X,/out0 (temp=-30.40268) Y,/out0 (temp=-28.99329) X,/out0 (temp=-28.99329) Y,/out0 (temp=-27.58389) X,/out0 (temp=-27.58389) Y,/out0 (temp=-26.1745) X,/out0 (temp=-26.1745) Y,/out0 (temp=-24.7651) X,/out0 (temp=-24.7651) Y,/out0 (temp=-23.3557) X,/out0 (temp=-23.3557) Y,/out0 (temp=-21.94631) X,/out0 (temp=-21.94631) Y,/out0 (temp=-20.53691) X,/out0 (temp=-20.53691) Y,/out0 (temp=-19.12752) X,/out0 (temp=-19.12752) Y,/out0 (temp=-17.71812) X,/out0 (temp=-17.71812) Y,/out0 (temp=-16.30872) X,/out0 (temp=-16.30872) Y,/out0 (temp=-14.89933) X,/out0 (temp=-14.89933) Y,/out0 (temp=-13.48993) X,/out0 (temp=-13.48993) Y,/out0 (temp=-12.08054) X,/out0 (temp=-12.08054) Y,/out0 (temp=-10.67114) X,/out0 (temp=-10.67114) Y,/out0 (temp=-9.261745) X,/out0 (temp=-9.261745) Y,/out0 (temp=-7.852349) X,/out0 (temp=-7.852349) Y,/out0 (temp=-6.442953) X,/out0 (temp=-6.442953) Y,/out0 (temp=-5.033557) X,/out0 (temp=-5.033557) Y,/out0 (temp=-3.624161) X,/out0 (temp=-3.624161) Y,/out0 (temp=-2.214765) X,/out0 (temp=-2.214765) Y,/out0 (temp=-0.8053691) X,/out0 (temp=-0.8053691) Y,/out0 (temp=0.6040268) X,/out0 (temp=0.6040268) Y,/out0 (temp=2.013423) X,/out0 (temp=2.013423) Y,/out0 (temp=3.422819) X,/out0 (temp=3.422819) Y,/out0 (temp=4.832215) X,/out0 (temp=4.832215) Y,/out0 (temp=6.241611) X,/out0 (temp=6.241611) Y,/out0 (temp=7.651007) X,/out0 (temp=7.651007) Y,/out0 (temp=9.060403) X,/out0 (temp=9.060403) Y,/out0 (temp=10.4698) X,/out0 (temp=10.4698) Y,/out0 (temp=11.87919) X,/out0 (temp=11.87919) Y,/out0 (temp=13.28859) X,/out0 (temp=13.28859) Y,/out0 (temp=14.69799) X,/out0 (temp=14.69799) Y,/out0 (temp=16.10738) X,/out0 (temp=16.10738) Y,/out0 (temp=17.51678) X,/out0 (temp=17.51678) Y,/out0 (temp=18.92617) X,/out0 (temp=18.92617) Y,/out0 (temp=20.33557) X,/out0 (temp=20.33557) Y,/out0 (temp=21.74497) X,/out0 (temp=21.74497) Y,/out0 (temp=23.15436) X,/out0 (temp=23.15436) Y,/out0 (temp=24.56376) X,/out0 (temp=24.56376) Y,/out0 (temp=25.97315) X,/out0 (temp=25.97315) Y,/out0 (temp=27.38255) X,/out0 (temp=27.38255) Y,/out0 (temp=28.79195) X,/out0 (temp=28.79195) Y,/out0 (temp=30.20134) X,/out0 (temp=30.20134) Y,/out0 (temp=31.61074) X,/out0 (temp=31.61074) Y,/out0 (temp=33.02013) X,/out0 (temp=33.02013) Y,/out0 (temp=34.42953) X,/out0 (temp=34.42953) Y,/out0 (temp=35.83893) X,/out0 (temp=35.83893) Y,/out0 (temp=37.24832) X,/out0 (temp=37.24832) Y,/out0 (temp=38.65772) X,/out0 (temp=38.65772) Y,/out0 (temp=40.06711) X,/out0 (temp=40.06711) Y,/out0 (temp=41.47651) X,/out0 (temp=41.47651) Y,/out0 (temp=42.88591) X,/out0 (temp=42.88591) Y,/out0 (temp=44.2953) X,/out0 (temp=44.2953) Y,/out0 (temp=45.7047) X,/out0 (temp=45.7047) Y,/out0 (temp=47.11409) X,/out0 (temp=47.11409) Y,/out0 (temp=48.52349) X,/out0 (temp=48.52349) Y,/out0 (temp=49.93289) X,/out0 (temp=49.93289) Y,/out0 (temp=51.34228) X,/out0 (temp=51.34228) Y,/out0 (temp=52.75168) X,/out0 (temp=52.75168) Y,/out0 (temp=54.16107) X,/out0 (temp=54.16107) Y,/out0 (temp=55.57047) X,/out0 (temp=55.57047) Y,/out0 (temp=56.97987) X,/out0 (temp=56.97987) Y,/out0 (temp=58.38926) X,/out0 (temp=58.38926) Y,/out0 (temp=59.79866) X,/out0 (temp=59.79866) Y,/out0 (temp=61.20805) X,/out0 (temp=61.20805) Y,/out0 (temp=62.61745) X,/out0 (temp=62.61745) Y,/out0 (temp=64.02685) X,/out0 (temp=64.02685) Y,/out0 (temp=65.43624) X,/out0 (temp=65.43624) Y,/out0 (temp=66.84564) X,/out0 (temp=66.84564) Y,/out0 (temp=68.25503) X,/out0 (temp=68.25503) Y,/out0 (temp=69.66443) X,/out0 (temp=69.66443) Y,/out0 (temp=71.07383) X,/out0 (temp=71.07383) Y,/out0 (temp=72.48322) X,/out0 (temp=72.48322) Y,/out0 (temp=73.89262) X,/out0 (temp=73.89262) Y,/out0 (temp=75.30201) X,/out0 (temp=75.30201) Y,/out0 (temp=76.71141) X,/out0 (temp=76.71141) Y,/out0 (temp=78.12081) X,/out0 (temp=78.12081) Y,/out0 (temp=79.5302) X,/out0 (temp=79.5302) Y,/out0 (temp=80.9396) X,/out0 (temp=80.9396) Y,/out0 (temp=82.34899) X,/out0 (temp=82.34899) Y,/out0 (temp=83.75839) X,/out0 (temp=83.75839) Y,/out0 (temp=85.16779) X,/out0 (temp=85.16779) Y,/out0 (temp=86.57718) X,/out0 (temp=86.57718) Y,/out0 (temp=87.98658) X,/out0 (temp=87.98658) Y,/out0 (temp=89.39597) X,/out0 (temp=89.39597) Y,/out0 (temp=90.80537) X,/out0 (temp=90.80537) Y,/out0 (temp=92.21477) X,/out0 (temp=92.21477) Y,/out0 (temp=93.62416) X,/out0 (temp=93.62416) Y,/out0 (temp=95.03356) X,/out0 (temp=95.03356) Y,/out0 (temp=96.44295) X,/out0 (temp=96.44295) Y,/out0 (temp=97.85235) X,/out0 (temp=97.85235) Y,/out0 (temp=99.26174) X,/out0 (temp=99.26174) Y,/out0 (temp=100.6711) X,/out0 (temp=100.6711) Y,/out0 (temp=102.0805) X,/out0 (temp=102.0805) Y,/out0 (temp=103.4899) X,/out0 (temp=103.4899) Y,/out0 (temp=104.8993) X,/out0 (temp=104.8993) Y,/out0 (temp=106.3087) X,/out0 (temp=106.3087) Y,/out0 (temp=107.7181) X,/out0 (temp=107.7181) Y,/out0 (temp=109.1275) X,/out0 (temp=109.1275) Y,/out0 (temp=110.5369) X,/out0 (temp=110.5369) Y,/out0 (temp=111.9463) X,/out0 (temp=111.9463) Y,/out0 (temp=113.3557) X,/out0 (temp=113.3557) Y,/out0 (temp=114.7651) X,/out0 (temp=114.7651) Y,/out0 (temp=116.1745) X,/out0 (temp=116.1745) Y,/out0 (temp=117.5839) X,/out0 (temp=117.5839) Y,/out0 (temp=118.9933) X,/out0 (temp=118.9933) Y,/out0 (temp=120.4027) X,/out0 (temp=120.4027) Y,/out0 (temp=121.8121) X,/out0 (temp=121.8121) Y,/out0 (temp=123.2215) X,/out0 (temp=123.2215) Y,/out0 (temp=124.6309) X,/out0 (temp=124.6309) Y,/out0 (temp=126.0403) X,/out0 (temp=126.0403) Y,/out0 (temp=127.4497) X,/out0 (temp=127.4497) Y,/out0 (temp=128.8591) X,/out0 (temp=128.8591) Y,/out0 (temp=130.2685) X,/out0 (temp=130.2685) Y,/out0 (temp=131.6779) X,/out0 (temp=131.6779) Y,/out0 (temp=133.0872) X,/out0 (temp=133.0872) Y,/out0 (temp=134.4966) X,/out0 (temp=134.4966) Y,/out0 (temp=135.906) X,/out0 (temp=135.906) Y,/out0 (temp=137.3154) X,/out0 (temp=137.3154) Y,/out0 (temp=138.7248) X,/out0 (temp=138.7248) Y,/out0 (temp=140.1342) X,/out0 (temp=140.1342) Y,/out0 (temp=141.5436) X,/out0 (temp=141.5436) Y,/out0 (temp=142.953) X,/out0 (temp=142.953) Y,/out0 (temp=144.3624) X,/out0 (temp=144.3624) Y,/out0 (temp=145.7718) X,/out0 (temp=145.7718) Y,/out0 (temp=147.1812) X,/out0 (temp=147.1812) Y,/out0 (temp=148.5906) X,/out0 (temp=148.5906) Y,/out0 (temp=150) X,/out0 (temp=150) Y
0,0.1281049815049629,0,0.1290346208013722,0,0.1299223701217296,0,0.1308872957279015,0,0.1318066416752979,0,0.1326985410350943,0,0.1336537644672846,0,0.1345500304752945,0,0.1354713346623443,0,0.1363945388244506,0,0.1373019490343728,0,0.138222850881817,0,0.1391356957491016,0,0.1400376573292686,0,0.1409440906444014,0,0.1418539914431224,0,0.1427056578500827,0,0.1435793774172733,0,0.1444764216950293,0,0.145386736350073,0,0.1463507423058469,0,0.1472450687361858,0,0.1481373832855915,0,0.1490281459517001,0,0.1499163983173117,0,0.1508046133450745,0,0.151696613335724,0,0.152579063202838,0,0.1534773382915389,0,0.1543616492381993,0,0.1552520786705209,0,0.1561363849191141,0,0.1569627159724826,0,0.1578929029865808,0,0.1587811538080851,0,0.1596597871544648,0,0.1605365525794882,0,0.1614116468795356,0,0.1622852489111016,0,0.1631573987310823,0,0.1640278134516872,0,0.164896764571008,0,0.1657641555042716,0,0.1665858754699651,0,0.1674941336442517,0,0.1683566734745066,0,0.1692179555795121,0,0.1700779930906707,0,0.1709275667957149,0,0.1717921096293989,0,0.1726396340076324,0,0.1735005482461484,0,0.1743524692092405,0,0.1752028646566217,0,0.1760523516869716,0,0.1768990732701546,0,0.1777448925324226,0,0.1785891957311393,0,0.1794319780719647,0,0.1802727907681932,0,0.1811078317330507,0,0.1819597019841905,0,0.1828087670621344,0,0.1836564302465705,0,0.1845025836407534,0,0.1853461731166342,0,0.1861906508015661,0,0.1870325315428094,0,0.1878729719298065,0,0.1887119489117463,0,0.1895495382293297,0,0.1903856314546168,0,0.1912202987110906,0,0.1920535173465112,0,0.1928736899140057,0,0.1937155921880016,0,0.1945423167485997,0,0.1953718365407441,0,0.1961976323555832,0,0.1970221935512181,0,0.1978446537804974,0,0.1986663707808211,0,0.1994867130293961,0,0.2003052749075232,0,0.2011223123601183,0,0.2019378549203543,0,0.2027518752010656,0,0.2035643297089066,0,0.2043753502708026,0,0.2051847554501261,0,0.2059927100509883,0,0.2067991558931175,0,0.2076040719609244,0,0.2084070801638649,0,0.2092083517932468,0,0.2100092373006515,0,0.210807362064607,0,0.2116046695830106,0,0.2124001047471859,0,0.2131938407005824,0,0.2139859561870666,0,0.2147764279638547,0,0.2155652560409297,0,0.2163524231372863,0,0.2171379092956748,0,0.2179217205341242,0,0.2187038258916152,0,0.2194837041615655,0,0.2202629009698451,0,0.2210398340819742,0,0.2218150202018309,0,0.2225884346695101,0,0.2233600875747146,0,0.2241299022200772,0,0.2248978817165085,0,0.2256641254608182,0,0.2264284837097456,0,0.2271909914838867,0,0.2279515477012038,0,0.2287102716184692,0,0.2294671974498127,0,0.230184697976974,0,0.2309750342342264,0,0.2317260207789912,0,0.2324750289215937,0,0.2332220398211251,0,0.2339670464166992,0,0.234709984811368,0,0.2354508786806044,0,0.2361896923909524,0,0.2369264050748107,0,0.2376608888380417,0,0.2383934601113542,0,0.2390466730117128,0,0.2398517841645785,0,0.2405321788516447,0,0.2412606765101166,0,0.2420227433981356,0,0.2427419002687917,0,0.2434586845933658,0,0.2441731835995447,0,0.2448853563244254,0,0.2455951591396143,0,0.2463025676024999,0,0.2470075892244868,0,0.2476931952736937,0,0.2483967330719967,0,0.2490449255750622,0,0.249740154771221,0,0.2504953616581402
0.01066666666666667,0.1281066533925093,0.01066666666666667,0.1290352623686322,0.01066666666666667,0.1299621395007462,0.01066666666666667,0.130887296158327,0.01066666666666667,0.1318107178560852,0.01066666666666667,0.1327324167496965,0.01066666666666667,0.1336523857240944,0.01066666666666667,0.1345706180870679,0.01066666666666667,0.1354871270421317,0.01066666666666667,0.1364019000964165,0.01066666666666667,0.13731495106648,0.01066666666666667,0.1382262745970324,0.01066666666666667,0.1391358656713226,0.01066666666666667,0.1400437389010797,0.01066666666666667,0.140949883364515,0.01066666666666667,0.1418543141230061,0.01066666666666667,0.1427570271695826,0.01066666666666667,0.1436580187564057,0.01066666666666667,0.144557304503133,0.01066666666666667,0.1454548746629314,0.01066666666666667,0.1463507451529938,0.01066666666666667,0.1472449129302981,0.01066666666666667,0.1481373751373867,0.01066666666666667,0.1490281480309008,0.01066666666666667,0.1499172226722657,0.01066666666666667,0.1508046154763359,0.01066666666666667,0.1516970599477756,0.01066666666666667,0.1525882427882031,0.01066666666666667,0.1534778120814228,0.01066666666666667,0.154365759475984,0.01066666666666667,0.1552521018766937,0.01066666666666667,0.156136837302222,0.01066666666666667,0.157019963825245,0.01066666666666667,0.1579014983132492,0.01066666666666667,0.1587814337884392,0.01066666666666667,0.159659787603269,0.01066666666666667,0.1605365542665262,0.01066666666666667,0.1614117414450368,0.01066666666666667,0.1622853524604646,0.01066666666666667,0.1631573912417489,0.01066666666666667,0.1640278616783464,0.01066666666666667,0.164896767601226,0.01066666666666667,0.1657641127056744,0.01066666666666667,0.1666299007225642,0.01066666666666667,0.1674941354054357,0.01066666666666667,0.1683568199072275,0.01066666666666667,0.1692179576906278,0.01066666666666667,0.1700775519667763,0.01066666666666667,0.1709356058095828,0.01066666666666667,0.1717921221477534,0.01066666666666667,0.172647104363294,0.01066666666666667,0.1735005502289081,0.01066666666666667,0.1743524724830334,0.01066666666666667,0.1752028673404593,0.01066666666666667,0.1760517308795349,0.01066666666666667,0.1768990770560391,0.01066666666666667,0.1777448955639286,0.01066666666666667,0.1785891999265984,0.01066666666666667,0.1794319854552632,0.01066666666666667,0.1802732472961023,0.01066666666666667,0.1811129982836471,0.01066666666666667,0.1819597065351067,0.01066666666666667,0.1828087728643763,0.01066666666666667,0.1836564025591654,0.01066666666666667,0.1845025895953156,0.01066666666666667,0.1853473457063737,0.01066666666666667,0.1861906583774792,0.01066666666666667,0.1870325387911853,0.01066666666666667,0.1878729799134137,0.01066666666666667,0.1887119744863206,0.01066666666666667,0.1895495328374717,0.01066666666666667,0.1903856412318016,0.01066666666666667,0.1912203094095539,0.01066666666666667,0.1920535290306622,0.01066666666666667,0.1928852915152435,0.01066666666666667,0.1937156056992114,0.01066666666666667,0.1945444565463115,0.01066666666666667,0.1953718522754662,0.01066666666666667,0.1961977831660065,0.01066666666666667,0.1970222392448227,0.01066666666666667,0.1978452277865467,0.01066666666666667,0.1986667323893849,0.01066666666666667,0.1994867596871912,0.01066666666666667,0.2003052985197533,0.01066666666666667,0.2011223374648804,0.01066666666666667,0.2019378821804685,0.01066666666666667,0.2027519148497244,0.01066666666666667,0.2035644404711672,0.01066666666666667,0.204375446399982,0.01066666666666667,0.2051849197225366,0.01066666666666667,0.2059928644368591,0.01066666666666667,0.2067992612746447,0.01066666666666667,0.2076041135602031,0.01066666666666667,0.2084074071308428,0.01066666666666667,0.2092091275504162,0.01066666666666667,0.2100092771238717,0.01066666666666667,0.2108078351053786,0.01066666666666667,0.2116048031150417,0.01066666666666667,0.2124001654481043,0.01066666666666667,0.2131939061233833,0.01066666666666667,0.2139860257266717,0.01066666666666667,0.2147765020163073,0.01066666666666667,0.2155653348842021,0.01066666666666667,0.216352507065718,0.01066666666666667,0.2171380010179872,0.01066666666666667,0.2179218155861796,0.01066666666666667,0.2187039270198517,0.01066666666666667,0.2194843334627057,0.01066666666666667,0.220263016077007,0.01066666666666667,0.2210399557460747,0.01066666666666667,0.2218151495566628,0.01066666666666667,0.2225885722415929,0.01066666666666667,0.2233602201803994,0.01066666666666667,0.2241300674985439,0.01066666666666667,0.2248980880950365,0.01066666666666667,0.2256643045143372,0.01066666666666667,0.2264286790214835,0.01066666666666667,0.2271911953764731,0.01066666666666667,0.2279518370111811,0.01066666666666667,0.2287105870299164,0.01066666666666667,0.2294674282101021,0.01066666666666667,0.2302223430031551,0.01066666666666667,0.230975313535504,0.01066666666666667,0.2317263216097427,0.01066666666666667,0.2324753487060137,0.01066666666666667,0.2332223759834895,0.01066666666666667,0.2339673842820503,0.01066666666666667,0.2347103541240649,0.01066666666666667,0.235451265716326,0.01066666666666667,0.2361900989520782,0.01066666666666667,0.2369268334131127,0.01066666666666667,0.2376614483719218,0.01066666666666667,0.2383939227938589,0.01066666666666667,0.23912423533926,0.01066666666666667,0.2398523643654879,0.01066666666666667,0.2405782879288125,0.01066666666666667,0.2413019837861332,0.01066666666666667,0.2420233782886246,0.01066666666666667,0.2427425509759947,0.01066666666666667,0.2434594274458819,0.01066666666666667,0.2441739842680744,0.01066666666666667,0.2448861977158116,0.01066666666666667,0.2455960437645585,0.01066666666666667,0.2463034980900179,0.01066666666666667,0.2470085360651327,0.01066666666666667,0.2477111327560419,0.01066666666666667,0.2484112629168219,0.01066666666666667,0.2491089009828789,0.01066666666666667,0.2498040210628363,0.01066666666666667,0.2504965969287306
0.02133333333333334,0.1281066534014586,0.02133333333333334,0.1290352623790167,0.02133333333333334,0.1299621395127723,0.02133333333333334,0.1308872961722299,0.02133333333333334,0.1318107178721276,0.02133333333333334,0.1327324167681752,0.02133333333333334,0.1336523857453409,0.02133333333333334,0.1345706181114559,0.02133333333333334,0.1354871270700785,0.02133333333333334,0.136401900128388,0.02133333333333334,0.1373149511029964,0.02133333333333334,0.1382262746386727,0.02133333333333334,0.1391358657187315,0.02133333333333334,0.1400437389549725,0.02133333333333334,0.1409498834256863,0.02133333333333334,0.1418543141923347,0.02133333333333334,0.1427570272480412,0.02133333333333334,0.1436580188450703,0.02133333333333334,0.1445573046031878,0.02133333333333334,0.1454548747756832,0.02133333333333334,0.1463507452798793,0.02133333333333334,0.1472449130728999,0.02133333333333334,0.1481373752974369,0.02133333333333334,0.149028148210302,0.02133333333333334,0.1499172228731011,0.02133333333333334,0.1508046157008841,0.02133333333333334,0.1516970601985319,0.02133333333333334,0.1525882430678872,0.02133333333333334,0.1534778123930013,0.02133333333333334,0.1543657598226866,0.02133333333333334,0.1552521022620352,0.02133333333333334,0.1561368377300232,0.02133333333333334,0.157019964299655,0.02133333333333334,0.1579014988387701,0.02133333333333334,0.1587814343699573,0.02133333333333334,0.159659788246068,0.02133333333333334,0.1605365549763228,0.02133333333333334,0.1614117422280108,0.02133333333333334,0.1622853533232899,0.02133333333333334,0.1631573921916268,0.02133333333333334,0.1640278627230424,0.02133333333333334,0.1648967687491043,0.02133333333333334,0.1657641139657385,0.02133333333333334,0.1666299021044993,0.02133333333333334,0.1674941369196499,0.02133333333333334,0.1683568215648999,0.02133333333333334,0.169217959503755,0.02133333333333334,0.1700775539482241,0.02133333333333334,0.1709356079731429,0.02133333333333334,0.1717921245081939,0.02133333333333334,0.172647106936423,0.02133333333333334,0.1735005530316348,0.02133333333333334,0.1743524755334369,0.02133333333333334,0.1752028706578543,0.02133333333333334,0.1760517344845437,0.02133333333333334,0.1768990809706761,0.02133333333333334,0.1777448998116715,0.02133333333333334,0.1785892045324834,0.02133333333333334,0.1794319904459667,0.02133333333333334,0.1802732527000362,0.02133333333333334,0.181113004131069,0.02133333333333334,0.1819597128583897,0.02133333333333334,0.1828087796978966,0.02133333333333334,0.1836564099393969,0.02133333333333334,0.1845025975610315,0.02133333333333334,0.1853473542987882,0.02133333333333334,0.186190667640364,0.02133333333333334,0.1870325487710429,0.02133333333333334,0.1878729906596155,0.02133333333333334,0.1887119860512575,0.02133333333333334,0.1895495452767592,0.02133333333333334,0.1903856546044286,0.02133333333333334,0.191220323778112,0.02133333333333334,0.192053544461512,0.02133333333333334,0.1928853080787435,0.02133333333333334,0.193715623469969,0.02133333333333334,0.1945444756033796,0.02133333333333334,0.1953718727026545,0.02133333333333334,0.1961978050521066,0.02133333333333334,0.197022262683905,0.02133333333333334,0.1978452528782938,0.02133333333333334,0.1986667592393646,0.02133333333333334,0.1994867884072507,0.02133333333333334,0.2003053292283435,0.02133333333333334,0.2011223702874318,0.02133333333333334,0.2019379172498441,0.02133333333333334,0.2027519523065916,0.02133333333333334,0.203564480464508,0.02133333333333334,0.2043754890875307,0.02133333333333334,0.2051849652712882,0.02133333333333334,0.2059929130236618,0.02133333333333334,0.206799313086689,0.02133333333333334,0.2076041687957214,0.02133333333333334,0.2084074659996705,0.02133333333333334,0.2092091902746684,0.02133333333333334,0.2100093439387294,0.02133333333333334,0.2108079062597418,0.02133333333333334,0.2116048788724359,0.02133333333333334,0.2124002460874362,0.02133333333333334,0.2131939919398142,0.02133333333333334,0.2139861170326626,0.02133333333333334,0.214776599142448,0.02133333333333334,0.2155654381804356,0.02133333333333334,0.2163526169022802,0.02133333333333334,0.2171381177865602,0.02133333333333334,0.2179219397012555,0.02133333333333334,0.2187040589198012,0.02133333333333334,0.2194844736113261,0.02133333333333334,0.2202631649647686,0.02133333333333334,0.2210401138915732,0.02133333333333334,0.221815317508369,0.02133333333333334,0.2225887505792069,0.02133333333333334,0.2233604095168328,0.02133333333333334,0.2241302684813802,0.02133333333333334,0.2248983014083757,0.02133333333333334,0.2256645308815262,0.02133333333333334,0.2264289192062101,0.02133333333333334,0.2271914501852106,0.02133333333333334,0.2279521072954027,0.02133333333333334,0.2287108736883949,0.02133333333333334,0.229467732191322,0.02133333333333334,0.2302226653077913,0.02133333333333334,0.2309756552190292,0.02133333333333334,0.2317266837851334,0.02133333333333334,0.2324757325465405,0.02133333333333334,0.2332227827256336,0.02133333333333334,0.2339678152285111,0.02133333333333334,0.234710810646895,0.02133333333333334,0.2354517492601556,0.02133333333333334,0.2361906110374614,0.02133333333333334,0.2369273756399853,0.02133333333333334,0.2376620224231714,0.02133333333333334,0.2383945304390055,0.02133333333333334,0.2391248784382518,0.02133333333333334,0.239853044872605,0.02133333333333334,0.2405790078967051,0.02133333333333334,0.2413027453699405,0.02133333333333334,0.242024183747025,0.02133333333333334,0.242743402685015,0.02133333333333334,0.2434603278940792,0.02133333333333334,0.2441749360641694,0.02133333333333334,0.2448872035933643,0.02133333333333334,0.2455971065867799,0.02133333333333334,0.246304620854647,0.02133333333333334,0.2470097219094416,0.02133333333333334,0.2477123849615129,0.02133333333333334,0.2484125849160323,0.02133333333333334,0.249110296362224,0.02133333333333334,0.2498054935695923,0.02133333333333334,0.2504981504760844
0.032,0.1281066534157183,0.032,0.1290352623955118,0.032,0.1299621395318181,0.032,0.1308872961941804,0.032,0.1318107178973809,0.032,0.132732416797178,0.032,0.1336523857785926,0.032,0.1345706181495148,0.032,0.1354871271135674,0.032,0.1364019001780012,0.032,0.1373149511595054,0.032,0.138226274702935,0.032,0.1391358657916986,0.032,0.1400437390376987,0.032,0.1409498835193362,0.032,0.1418543142981973,0.032,0.1427570273675366,0.032,0.1436580189797638,0.032,0.1445573047548031,0.032,0.1454548749461129,0.032,0.146350745471202,0.032,0.1472449132873933,0.032,0.1481373755375965,0.032,0.1490281484788571,0.032,0.1499172231730343,0.032,0.1508046160354496,0.032,0.1516970605712839,0.032,0.1525882434826918,0.032,0.1534778128540641,0.032,0.1543657603345766,0.032,0.1552521028297148,0.032,0.1561368383588731,0.032,0.1570199649955058,0.032,0.1579014996079345,0.032,0.1587814352192695,0.032,0.1596597891829059,0.032,0.1605365560086503,0.032,0.1614117433644181,0.032,0.1622853545730345,0.032,0.1631573935646773,0.032,0.1640278642301249,0.032,0.1648967704017497,0.032,0.1657641157763347,0.032,0.1666299040863423,0.032,0.1674941390870038,0.032,0.1683568239330525,0.032,0.1692179620890824,0.032,0.1700775567682547,0.032,0.1709356110466266,0.032,0.1717921278551751,0.032,0.1726471105783165,0.032,0.1735005569913033,0.032,0.1743524798352815,0.032,0.1752028753278967,0.032,0.1760517395505157,0.032,0.1768990864621305,0.032,0.1777449057600689,0.032,0.1785892109713151,0.032,0.1794319974108584,0.032,0.1802732602288663,0.032,0.1811130122641052,0.032,0.1819597216386591,0.032,0.1828087891710053,0.032,0.1836564201536506,0.032,0.1845026085676984,0.032,0.1853473661522766,0.032,0.1861906803983761,0.032,0.1870325624947711,0.032,0.1878730054139304,0.032,0.1887120019049077,0.032,0.1895495623026007,0.032,0.1903856728796306,0.032,0.1912203433844208,0.032,0.1920535654854903,0.032,0.1928853306120292,0.032,0.1937156476095884,0.032,0.1945445014520208,0.032,0.1953719003690094,0.032,0.1961978346511823,0.032,0.1970222943373817,0.032,0.1978452867149354,0.032,0.1986667953953648,0.032,0.1994868270267154,0.032,0.2003053704636852,0.032,0.2011224142998454,0.032,0.2019379642098623,0.032,0.2027520023945346,0.032,0.2035645338711251,0.032,0.20437554601453,0.032,0.2051850259319657,0.032,0.2059929776436289,0.032,0.2067993819044749,0.032,0.207604242063626,0.032,0.2084075439844594,0.032,0.2092092732583847,0.032,0.2100094322196882,0.032,0.210808000153288,0.032,0.2116049787120851,0.032,0.2124003522257672,0.032,0.2131941047495474,0.032,0.2139862369079433,0.032,0.2147767264998408,0.032,0.2155655734603917,0.032,0.216352760570319,0.032,0.2171382703346366,0.032,0.2179221016494199,0.032,0.218704230817474,0.032,0.2194846560392015,0.032,0.2202633585362781,0.032,0.22104031925466,0.032,0.221815535347591,0.032,0.2225889816173362,0.032,0.2233606545172696,0.032,0.2241305282498793,0.032,0.2248985767952282,0.032,0.2256648227849132,0.032,0.2264292285734041,0.032,0.2271917780155349,0.032,0.2279524546428545,0.032,0.2287112416643846,0.032,0.229468121967517,0.032,0.2302230781190798,0.032,0.2309760923665812,0.032,0.2317271466395929,0.032,0.2324762225513282,0.032,0.2332233014003675,0.032,0.2339683641725592,0.032,0.2347113915430236,0.032,0.2354523638783352,0.032,0.23619126123876,0.032,0.2369280633806137,0.032,0.2376627497586375,0.032,0.2383952995284026,0.032,0.2391256915486629,0.032,0.2398539043836324,0.032,0.2405799163051313,0.032,0.2413037052945011,0.032,0.2420251979293698,0.032,0.2427444740063416,0.032,0.2434614593688468,0.032,0.2441761308490974,0.032,0.2448884649927915,0.032,0.2455984380581356,0.032,0.2463060260140387,0.032,0.2470112045373322,0.032,0.2477139490089249,0.032,0.2484142345087134,0.032,0.2491120358091804,0.032,0.2498073273674168,0.032,0.2505000833155162
