/Vin X,/Vin Y,/out0 X,/out0 Y,/out1 X,/out1 Y,/out2 X,/out2 Y
-60,0.45,-60,0.2474540356629781,-60,0.1281070375429932,-60,0.1280810785620761
-58.6,0.45,-58.6,0.2501788052239098,-58.6,0.1290295399620714,-58.6,0.1290290776591826
-57.2,0.45,-57.2,0.2529541675712555,-57.2,0.1299503563806373,-57.2,0.1299497971737723
-55.8,0.45,-55.8,0.2557812848720844,-55.8,0.1308694881399732,-55.8,0.1308688126864633
-54.40000000000001,0.45,-54.40000000000001,0.2586613240503631,-54.40000000000001,0.1317869375692649,-54.40000000000001,0.1317861228790854
-53.00000000000001,0.45,-53.00000000000001,0.2615954336412866,-53.00000000000001,0.1327027080265509,-53.00000000000001,0.1327017268231483
-51.60000000000001,0.45,-51.60000000000001,0.2645847337103465,-51.60000000000001,0.1336168039945181,-51.60000000000001,0.1336156239753998
-50.20000000000001,0.45,-50.20000000000001,0.2676303040613556,-50.20000000000001,0.1345292311746284,-50.20000000000001,0.13452781415868
-48.80000000000001,0.45,-48.80000000000001,0.2707331707088952,-48.80000000000001,0.1354399965977563,-48.80000000000001,0.1354382975454074
-47.40000000000001,0.45,-47.40000000000001,0.2738942905341641,-47.40000000000001,0.1363491087497248,-47.40000000000001,0.1363470746412614
-46.00000000000001,0.45,-46.00000000000001,0.2771145341123078,-46.00000000000001,0.1372565777124408,-46.00000000000001,0.1372541462690585
-44.60000000000002,0.45,-44.60000000000002,0.2803946667780159,-44.60000000000002,0.1381624153210533,-44.60000000000002,0.1381595135528041
-43.20000000000002,0.45,-43.20000000000002,0.2837353280995262,-43.20000000000002,0.1390666353372945,-43.20000000000002,0.1390631779019866
-41.80000000000002,0.45,-41.80000000000002,0.2871370100589034,-41.80000000000002,0.1399692536387992,-41.80000000000002,0.1399651409960567
-40.40000000000002,0.45,-40.40000000000002,0.290600034386455,-40.40000000000002,0.1408702884237103,-40.40000000000002,0.1408654047691253
-39.00000000000002,0.45,-39.00000000000002,0.2941245296636282,-39.00000000000002,0.1417697604218202,-39.00000000000002,0.1417639713949011
-37.60000000000002,0.45,-37.60000000000002,0.2977104089795591,-37.60000000000002,0.142667693164124,-37.60000000000002,0.1426608432718513
-36.20000000000002,0.45,-36.20000000000002,0.3013573490865541,-36.20000000000002,0.1435641131478953,-36.20000000000002,0.1435560230086062
-34.80000000000003,0.45,-34.80000000000003,0.3050647721263514,-34.80000000000003,0.1444590501624143,-34.80000000000003,0.1444495134096134
-33.40000000000003,0.45,-33.40000000000003,0.3088318310689117,-33.40000000000003,0.1453525375043294,-33.40000000000003,0.1453413174610349
-32.00000000000003,0.45,-32.00000000000003,0.3126573999928449,-32.00000000000003,0.146244612239841,-32.00000000000003,0.1462314383169195
-30.60000000000003,0.45,-30.60000000000003,0.3165400702234237,-30.60000000000003,0.147135315456282,-30.60000000000003,0.1471198792856326
-29.20000000000003,0.45,-29.20000000000003,0.320478153118939,-29.20000000000003,0.1480246925067786,-29.20000000000003,0.1480066438165649
-27.80000000000003,0.45,-27.80000000000003,0.3244696899646987,-27.80000000000003,0.1489127932438896,-27.80000000000003,0.1488917354871133
-26.40000000000003,0.45,-26.40000000000003,0.3285124690194028,-26.40000000000003,0.1497996722381536,-26.40000000000003,0.149775157989949
-25.00000000000004,0.45,-25.00000000000004,0.3326040492978589,-25.00000000000004,0.1506853889774522,-25.00000000000004,0.1506569151205793
-23.60000000000004,0.45,-23.60000000000004,0.3367468514648229,-23.60000000000004,0.1515755131978794,-23.60000000000004,0.1515425113087596
-22.20000000000004,0.45,-22.20000000000004,0.3409344500467855,-22.20000000000004,0.1524662149752117,-22.20000000000004,0.1524280526489939
-20.80000000000004,0.45,-20.80000000000004,0.3451624792391392,-20.80000000000004,0.1533560217062768,-20.80000000000004,0.1533119962633
-19.40000000000004,0.45,-19.40000000000004,0.3494279111824739,-19.40000000000004,0.1542450144110262,-19.40000000000004,0.1541943463381214
-18.00000000000004,0.45,-18.00000000000004,0.3537276673836399,-18.00000000000004,0.1551332797399081,-18.00000000000004,0.1550751072175691
-16.60000000000004,0.45,-16.60000000000004,0.3580586552571768,-16.60000000000004,0.1560209098677451,-16.60000000000004,0.1559542832781909
-15.20000000000004,0.45,-15.20000000000004,0.3624178016332951,-15.20000000000004,0.1569080024642622,-15.20000000000004,0.1568318789181617
-13.80000000000004,0.45,-13.80000000000004,0.3668020822030059,-13.80000000000004,0.1577946607468599,-13.80000000000004,0.1577078985468106
-12.40000000000004,0.45,-12.40000000000004,0.3712085463312995,-12.40000000000004,0.1586809949178012,-12.40000000000004,0.1585823473570628
-11.00000000000004,0.45,-11.00000000000004,0.3756343370117493,-11.00000000000004,0.159567118900365,-11.00000000000004,0.1594552308210302
-9.600000000000042,0.45,-9.600000000000042,0.3800767060330479,-9.600000000000042,0.1604531512196817,-9.600000000000042,0.1603265529367918
-8.200000000000042,0.45,-8.200000000000042,0.3845330246584355,-8.200000000000042,0.1613392156612022,-8.200000000000042,0.1611963177639271
-6.800000000000042,0.45,-6.800000000000042,0.3890007902802535,-6.800000000000042,0.1622254412880632,-6.800000000000042,0.1620645294036849
-5.400000000000041,0.45,-5.400000000000041,0.3934776296036837,-5.400000000000041,0.1631119626081658,-5.400000000000041,0.1629311919663831
-4.000000000000041,0.45,-4.000000000000041,0.3979612989494641,-4.000000000000041,0.1639989199441101,-4.000000000000041,0.16379630954762
-2.600000000000041,0.45,-2.600000000000041,0.4024496822546414,-2.600000000000041,0.1648864600720098,-2.600000000000041,0.1646598862099396
