"/net2 (R0=1000,Rf0=500) X","/net2 (R0=1000,Rf0=500) Y","/net2 (R0=3000,Rf0=1500) X","/net2 (R0=3000,Rf0=1500) Y","/net2 (R0=5000,Rf0=2500) X","/net2 (R0=5000,Rf0=2500) Y","/net2 (R0=7500,Rf0=3750) X","/net2 (R0=7500,Rf0=3750) Y","/net2 (R0=10000,Rf0=5000) X","/net2 (R0=10000,Rf0=5000) Y","/net2 (R0=15000,Rf0=7500) X","/net2 (R0=15000,Rf0=7500) Y","/net2 (R0=17500,Rf0=8750) X","/net2 (R0=17500,Rf0=8750) Y","/net2 (R0=20000,Rf0=10000) X","/net2 (R0=20000,Rf0=10000) Y","/net2 (R0=25000,Rf0=12500) X","/net2 (R0=25000,Rf0=12500) Y","/net2 (R0=27500,Rf0=13750) X","/net2 (R0=27500,Rf0=13750) Y","/net2 (R0=30000,Rf0=15000) X","/net2 (R0=30000,Rf0=15000) Y","/net2 (R0=35000,Rf0=17500) X","/net2 (R0=35000,Rf0=17500) Y","/net2 (R0=37500,Rf0=18750) X","/net2 (R0=37500,Rf0=18750) Y","/net2 (R0=40000,Rf0=20000) X","/net2 (R0=40000,Rf0=20000) Y"
0,0.008609227106844593,0,0.02086601192284679,0,0.02955995874744432,0,0.03772114232276148,0,0.04407021329263489,0,0.05361838795527894,0,0.05738904114806939,0,0.06070379584542947,0,0.06632514589995783,0,0.06875197295898185,0,0.07097862440400193,0,0.07503355061498776,0,0.07683900892782131,0,0.0785360136557022
0.01066666666666667,0.008609235132531213,0.01066666666666667,0.02086608396483409,0.01066666666666667,0.02956018511492604,0.01066666666666667,0.03772176813812105,0.01066666666666667,0.04407160794610496,0.01066666666666667,0.05362329445676293,0.01066666666666667,0.05739723644706066,0.01066666666666667,0.0607167128189313,0.01066666666666667,0.06635308531131688,0.01066666666666667,0.0687908314558361,0.01066666666666667,0.07103105481328696,0.01066666666666667,0.07503362117102753,0.01066666666666667,0.07683912163454706,0.01066666666666667,0.07853618798775465
0.02133333333333334,0.008609235160324094,0.02133333333333334,0.02086608413028204,0.02133333333333334,0.0295601854548796,0.02133333333333334,0.03772176871054645,0.02133333333333334,0.04407160875461337,0.02133333333333334,0.05362329573515646,0.02133333333333334,0.05739723795801602,0.02133333333333334,0.06071671456098731,0.02133333333333334,0.06635308751230655,0.02133333333333334,0.06879083388522246,0.02133333333333334,0.07103105747069627,0.02133333333333334,0.07503362428418246,0.02133333333333334,0.07683912497578789,0.02133333333333334,0.07853619155741746
0.032,0.008609235198875747,0.032,0.02086608435977559,0.032,0.02956018592643004,0.032,0.03772176950456005,0.032,0.04407160987609907,0.032,0.05362329750842103,0.032,0.05739724005386901,0.032,0.06071671697740087,0.032,0.06635309056530944,0.032,0.06879083725503511,0.032,0.07103106115679465,0.032,0.07503362860245646,0.032,0.07683912961043815,0.032,0.07853619650891516
0.04266666666666667,0.008609235252312004,0.04266666666666667,0.02086608467787557,0.04266666666666667,0.02956018658004479,0.04266666666666667,0.03772177060513902,0.04266666666666667,0.04407161143058586,0.04266666666666667,0.0536232999663355,0.04266666666666667,0.05739724295892045,0.04266666666666667,0.0607167203267812,0.04266666666666667,0.06635309479706411,0.04266666666666667,0.0687908419259159,0.04266666666666667,0.07103106626608073,0.04266666666666667,0.07503363458799832,0.04266666666666667,0.07683913603451101,0.04266666666666667,0.07853620337216505
0.05333333333333334,0.00860923532631711,0.05333333333333334,0.02086608511841935,0.05333333333333334,0.02956018748524942,0.05333333333333334,0.0377217721293549,0.05333333333333334,0.04407161358342799,0.05333333333333334,0.05362330337035618,0.05333333333333334,0.05739724698219185,0.05333333333333334,0.06071672496541276,0.05333333333333334,0.06635310065771464,0.05333333333333334,0.06879084839472463,0.05333333333333334,0.07103107334204588,0.05333333333333334,0.07503364287750684,0.05333333333333334,0.07683914493134966,0.05333333333333334,0.07853621287723181
0.06400000000000002,0.008609235428707139,0.06400000000000002,0.02086608572793561,0.06400000000000002,0.02956018873765051,0.06400000000000002,0.03772177423819201,0.06400000000000002,0.04407161656200423,0.06400000000000002,0.05362330808000471,0.06400000000000002,0.05739725254860853,0.06400000000000002,0.06071673138321636,0.06400000000000002,0.06635310876624767,0.06400000000000002,0.06879085734467846,0.06400000000000002,0.07103108313203248,0.06400000000000002,0.07503365434649965,0.06400000000000002,0.07683915724062002,0.06400000000000002,0.07853622602801862
0.07466666666666669,0.008609235570206809,0.07466666666666669,0.02086608657026692,0.07466666666666669,0.02956019046842683,0.07466666666666669,0.03772177715253456,0.07466666666666669,0.04407162067829742,0.07466666666666669,0.05362331458858435,0.07466666666666669,0.05739726024121294,0.07466666666666669,0.06071674025240952,0.07466666666666669,0.06635311997197507,0.07466666666666669,0.06879086971322183,0.07466666666666669,0.07103109666147665,0.07466666666666669,0.07503367019627556,0.07466666666666669,0.0768391742516298,0.07466666666666669,0.07853624420197637
0.08533333333333336,0.008609235765493856,0.08533333333333336,0.02086608773278848,0.08533333333333336,0.02956019285711262,0.08533333333333336,0.03772178117468906,0.08533333333333336,0.04407162635929314,0.08533333333333336,0.05362332357123333,0.08533333333333336,0.05739727085796394,0.08533333333333336,0.06071675249299824,0.08533333333333336,0.06635313543727378,0.08533333333333336,0.0687908867833508,0.08533333333333336,0.07103111533379416,0.08533333333333336,0.0750336920709451,0.08533333333333336,0.07683919772894841,0.08533333333333336,0.07853626928431325
0.09600000000000003,0.008609236034597387,0.09600000000000003,0.0208660893347314,0.09600000000000003,0.02956019614869745,0.09600000000000003,0.03772178671717739,0.09600000000000003,0.04407163418764896,0.09600000000000003,0.05362333594923608,0.09600000000000003,0.0573972854877445,0.09600000000000003,0.06071676936041315,0.09600000000000003,0.06635315674830977,0.09600000000000003,0.068790910305831,0.09600000000000003,0.07103114106407356,0.09600000000000003,0.0750337222140396,0.09600000000000003,0.07683923008048249,0.09600000000000003,0.07853630384754831
