/out0 X,/out0 YRe,/out0 YReImag,/Vin X,/Vin YRe,/Vin YReImag
0,0.003305935652910005,0,0,0.1,0
6666666.666666667,0.0002360766926930876,-0.0008710390747923658,6666666.666666667,0.1,0
13333333.33333333,5.400805617238575e-05,-0.0004590851794398248,13333333.33333333,0.1,0
20000000,1.828964345717844e-05,-0.0003069305421554741,20000000,0.1,0
26666666.66666667,6.054408087115657e-06,-0.0002285138430843569,26666666.66666667,0.1,0
33333333.33333334,8.378157747277162e-07,-0.000180586163539416,33333333.33333334,0.1,0
40000000,-1.518323329091305e-06,-0.0001481572142119784,40000000,0.1,0
46666666.66666666,-2.460831330425622e-06,-0.0001246992924181643,46666666.66666666,0.1,0
53333333.33333333,-2.606217491240173e-06,-0.0001069238814700231,53333333.33333333,0.1,0
59999999.99999999,-2.258906378884487e-06,-9.299722239826702e-05,59999999.99999999,0.1,0
66666666.66666666,-1.588121876806444e-06,-8.181672395181129e-05,66666666.66666666,0.1,0
73333333.33333333,-6.979210985851276e-07,-7.267928205244194e-05,73333333.33333333,0.1,0
80000000,3.418981794878312e-07,-6.511455879715029e-05,80000000,0.1,0
86666666.66666667,1.480991574353319e-06,-5.879493825004627e-05,86666666.66666667,0.1,0
93333333.33333334,2.680910785423621e-06,-5.348402449811867e-05,93333333.33333334,0.1,0
100000000,3.911046096904593e-06,-4.900578099369706e-05,100000000,0.1,0
106666666.6666667,5.14635282425254e-06,-4.522531821625412e-05,106666666.6666667,0.1,0
113333333.3333334,6.366024875674399e-06,-4.203654883923144e-05,113333333.3333334,0.1,0
120000000,7.552685698444308e-06,-3.935404386510179e-05,120000000,0.1,0
126666666.6666667,8.69186673943662e-06,-3.710753980671193e-05,126666666.6666667,0.1,0
133333333.3333334,9.77164669349308e-06,-3.523816322389223e-05,133333333.3333334,0.1,0
140000000,1.078238035033498e-05,-3.369579237457432e-05,140000000,0.1,0
146666666.6666667,1.171647681828854e-05,-3.243718551232103e-05,146666666.6666667,0.1,0
153333333.3333333,1.256820463904967e-05,-3.142463372048137e-05,153333333.3333333,0.1,0
160000000,1.333351164565659e-05,-3.062497689003436e-05,160000000,0.1,0
166666666.6666667,1.400985347555841e-05,-3.000887346317335e-05,166666666.6666667,0.1,0
173333333.3333333,1.459602817284326e-05,-2.955024881824495e-05,173333333.3333333,0.1,0
180000000,1.509201629619789e-05,-2.922587016215541e-05,180000000,0.1,0
186666666.6666666,1.549882699148884e-05,-2.901501147924536e-05,186666666.6666666,0.1,0
193333333.3333333,1.581835095382687e-05,-2.889918293053621e-05,193333333.3333333,0.1,0
199999999.9999999,1.605322132224354e-05,-2.886190667704808e-05,199999999.9999999,0.1,0
206666666.6666666,1.620668346942891e-05,-2.888852644151907e-05,206666666.6666666,0.1,0
213333333.3333333,1.628247445906236e-05,-2.896604190541485e-05,213333333.3333333,0.1,0
219999999.9999999,1.628471270805632e-05,-2.90829617239369e-05,219999999.9999999,0.1,0
226666666.6666666,1.621779814476406e-05,-2.922917084773877e-05,226666666.6666666,0.1,0
233333333.3333332,1.608632292219553e-05,-2.93958091886365e-05,233333333.3333332,0.1,0
239999999.9999999,1.58949925386153e-05,-2.957515961374816e-05,239999999.9999999,0.1,0
246666666.6666665,1.564855704381506e-05,-2.976054391158424e-05,246666666.6666665,0.1,0
253333333.3333332,1.53517518692126e-05,-2.994622582445821e-05,253333333.3333332,0.1,0
259999999.9999999,1.500924771297172e-05,-3.012732054398747e-05,259999999.9999999,0.1,0
266666666.6666665,1.462560883515903e-05,-3.029971026254844e-05,266666666.6666665,0.1,0
273333333.3333332,1.420525906895835e-05,-3.045996549501754e-05,273333333.3333332,0.1,0
279999999.9999999,1.375245482852322e-05,-3.060527195478689e-05,279999999.9999999,0.1,0
286666666.6666666,1.327126438840297e-05,-3.073336280238328e-05,286666666.6666666,0.1,0
293333333.3333333,1.276555271976166e-05,-3.084245609609006e-05,293333333.3333333,0.1,0
299999999.9999999,1.223897119213691e-05,-3.0931197271131e-05,299999999.9999999,0.1,0
306666666.6666666,1.169495148221826e-05,-3.099860646218902e-05,306666666.6666666,0.1,0
313333333.3333333,1.11367030719131e-05,-3.104403046916816e-05,313333333.3333333,0.1,0
320000000,1.0567213763088e-05,-3.106709914981599e-05,320000000,0.1,0
326666666.6666667,9.989252685123766e-06,-3.106768600832325e-05,326666666.6666667,0.1,0
333333333.3333334,9.405375321480897e-06,-3.104587273643267e-05,333333333.3333334,0.1,0
340000000.0000001,8.817930131910553e-06,-3.100191745490285e-05,340000000.0000001,0.1,0
346666666.6666667,8.229066396328894e-06,-3.093622639747395e-05,346666666.6666667,0.1,0
353333333.3333334,7.640742954290955e-06,-3.084932877796009e-05,353333333.3333334,0.1,0
360000000.0000001,7.054737559249177e-06,-3.074185458266628e-05,360000000.0000001,0.1,0
366666666.6666668,6.472656609259085e-06,-3.061451503558308e-05,366666666.6666668,0.1,0
373333333.3333335,5.895945054898366e-06,-3.04680854912628e-05,373333333.3333335,0.1,0
380000000.0000002,5.325896320728679e-06,-3.030339052103315e-05,380000000.0000002,0.1,0
386666666.6666669,4.763662108606483e-06,-3.012129096989379e-05,386666666.6666669,0.1,0
393333333.3333336,4.210261979264272e-06,-2.992267277531421e-05,393333333.3333336,0.1,0
400000000.0000002,3.666592633320681e-06,-2.970843735376906e-05,400000000.0000002,0.1,0
406666666.6666669,3.133436833987942e-06,-2.947949337583271e-05,406666666.6666669,0.1,0
413333333.3333336,2.611471931585951e-06,-2.923674976623558e-05,413333333.3333336,0.1,0
420000000.0000003,2.101277964961876e-06,-2.898110978027289e-05,420000000.0000003,0.1,0
426666666.666667,1.603345326909055e-06,-2.871346602289749e-05,426666666.666667,0.1,0
433333333.3333337,1.118081990462102e-06,-2.843469629077676e-05,433333333.3333337,0.1,0
440000000.0000004,6.458203004146508e-07,-2.814566013100275e-05,440000000.0000004,0.1,0
446666666.666667,1.868233401425226e-07,-2.784719602236886e-05,446666666.666667,0.1,0
453333333.3333337,-2.587091120906721e-07,-2.754011909649997e-05,453333333.3333337,0.1,0
460000000.0000004,-6.906350203812946e-07,-2.722521932637805e-05,460000000.0000004,0.1,0
466666666.6666671,-1.108864903182278e-06,-2.690326011899436e-05,466666666.6666671,0.1,0
473333333.3333338,-1.513357000368345e-06,-2.65749772570735e-05,473333333.3333338,0.1,0
480000000.0000005,-1.904112775391629e-06,-2.624107814205193e-05,480000000.0000005,0.1,0
486666666.6666672,-2.281172732766044e-06,-2.590224129683195e-05,486666666.6666672,0.1,0
493333333.3333338,-2.644612531631447e-06,-2.555911609227986e-05,493333333.3333338,0.1,0
500000000.0000005,-2.994539376971278e-06,-2.521232266631142e-05,500000000.0000005,0.1,0
506666666.6666672,-3.33108867093828e-06,-2.48624520083646e-05,506666666.6666672,0.1,0
513333333.3333339,-3.654420907829507e-06,-2.451006618572173e-05,513333333.3333339,0.1,0
520000000.0000006,-3.964718797145292e-06,-2.415569869101362e-05,520000000.0000006,0.1,0
526666666.6666673,-4.262184600328651e-06,-2.37998548929595e-05,526666666.6666673,0.1,0
533333333.333334,-4.547037667643057e-06,-2.344301257445006e-05,533333333.333334,0.1,0
540000000.0000006,-4.819512162590614e-06,-2.308562254409557e-05,540000000.0000006,0.1,0
546666666.6666672,-5.079854962153275e-06,-2.272810930891479e-05,546666666.6666672,0.1,0
553333333.3333338,-5.328323721867927e-06,-2.237087179727349e-05,553333333.3333338,0.1,0
560000000.0000005,-5.565185095489223e-06,-2.201428412238352e-05,560000000.0000005,0.1,0
566666666.6666671,-5.790713099604057e-06,-2.165869637776944e-05,566666666.6666671,0.1,0
573333333.3333337,-6.005187614207181e-06,-2.130443545704346e-05,573333333.3333337,0.1,0
580000000.0000004,-6.208893010656732e-06,-2.095180589112692e-05,580000000.0000004,0.1,0
586666666.666667,-6.40211689908104e-06,-2.06010906968743e-05,586666666.666667,0.1,0
593333333.3333336,-6.585148987559242e-06,-2.025255223168118e-05,593333333.3333336,0.1,0
