v /net06; tran (V) X,v /net06; tran (V) Y,v /net09; tran (V) X,v /net09; tran (V) Y,v /net08; tran (V) X,v /net08; tran (V) Y,v /net07; tran (V) X,v /net07; tran (V) Y,v /vout; tran (V) X,v /vout; tran (V) Y
0,0,0,0,0,0,0,0,0,1.043423839244956e-06
1e-10,0,1e-10,0,1e-10,0,1e-10,0,1e-10,1.045038390720592e-06
3e-10,0,3e-10,0,3e-10,0,3e-10,0,3e-10,1.043606422904148e-06
7e-10,0,7e-10,0,7e-10,0,7e-10,0,7e-10,1.043284727308089e-06
1.5e-09,0,1.5e-09,0,1.5e-09,0,1.5e-09,0,1.5e-09,1.043545476635534e-06
3.1e-09,0,3.1e-09,0,3.1e-09,0,3.1e-09,0,3.1e-09,1.043310038667111e-06
4.675e-09,0,4.675e-09,0,4.675e-09,0,4.675e-09,0,4.675e-09,1.043530181745296e-06
6.25e-09,0,6.25e-09,0,6.25e-09,0,6.25e-09,0,6.25e-09,1.043324418891821e-06
6.312499999999999e-09,0,6.312499999999999e-09,0,6.312499999999999e-09,0,6.312499999999999e-09,0.3124999999999987,6.312499999999999e-09,0.01718792886872181
6.437499999999999e-09,0,6.437499999999999e-09,0,6.437499999999999e-09,0,6.437499999999999e-09,0.9374999999999959,6.437499999999999e-09,0.05229675791294479
6.687499999999998e-09,0,6.687499999999998e-09,0,6.687499999999998e-09,0,6.687499999999998e-09,2.187499999999991,6.687499999999998e-09,0.1238978708025795
6.968749999999999e-09,0,6.968749999999999e-09,0,6.968749999999999e-09,0,6.968749999999999e-09,3.593749999999997,6.968749999999999e-09,0.2068838265071783
7.25e-09,0,7.25e-09,0,7.25e-09,0,7.25e-09,4.999999999999999,7.25e-09,0.2928771735333161
7.380621061458366e-09,0,7.380621061458366e-09,0,7.380621061458366e-09,0,7.380621061458366e-09,5,7.380621061458366e-09,0.2931430467541252
7.599772980031796e-09,0,7.599772980031796e-09,0,7.599772980031796e-09,0,7.599772980031796e-09,5,7.599772980031796e-09,0.2931650142232901
