Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.25) Y,1.826033e-01,3.566681e-10,-5.291834e-03,6.800289e-02,4.630890e-03
/out0 (OFF=0.2533557) Y,1.826052e-01,4.138646e-10,-5.489992e-03,6.827782e-02,4.669392e-03
/out0 (OFF=0.2567114) Y,1.826074e-01,4.727693e-10,-6.102556e-03,6.857282e-02,4.710951e-03
/out0 (OFF=0.2600671) Y,1.826097e-01,5.429146e-10,-6.549659e-03,6.889048e-02,4.755981e-03
/out0 (OFF=0.2634228) Y,1.826122e-01,6.230357e-10,-6.967139e-03,6.923101e-02,4.804581e-03
/out0 (OFF=0.2667785) Y,1.826147e-01,7.149737e-10,-7.357704e-03,6.959705e-02,4.857187e-03
/out0 (OFF=0.2701342) Y,1.826176e-01,8.142573e-10,-8.045100e-03,6.998931e-02,4.913993e-03
/out0 (OFF=0.2734899) Y,1.826206e-01,9.290077e-10,-8.602400e-03,7.040951e-02,4.975335e-03
/out0 (OFF=0.2768456) Y,1.826238e-01,1.058245e-09,-9.190207e-03,7.086102e-02,5.041799e-03
/out0 (OFF=0.2802013) Y,1.826272e-01,1.203530e-09,-9.809214e-03,7.134426e-02,5.113579e-03
/out0 (OFF=0.283557) Y,1.826308e-01,1.366594e-09,-1.046334e-02,7.186192e-02,5.191206e-03
/out0 (OFF=0.2869128) Y,1.826346e-01,1.549382e-09,-1.114779e-02,7.241625e-02,5.275174e-03
/out0 (OFF=0.2902685) Y,1.826387e-01,1.753821e-09,-1.187488e-02,7.300981e-02,5.366045e-03
/out0 (OFF=0.2936242) Y,1.826430e-01,1.982260e-09,-1.263554e-02,7.364522e-02,5.464424e-03
/out0 (OFF=0.2969799) Y,1.826469e-01,2.320110e-09,-1.214540e-02,7.432577e-02,5.571048e-03
/out0 (OFF=0.3003356) Y,1.826525e-01,2.521526e-09,-1.423985e-02,7.505287e-02,5.686422e-03
/out0 (OFF=0.3036913) Y,1.826576e-01,2.836719e-09,-1.515299e-02,7.583160e-02,5.811637e-03
/out0 (OFF=0.307047) Y,1.826631e-01,3.187466e-09,-1.607478e-02,7.666482e-02,5.947511e-03
/out0 (OFF=0.3104027) Y,1.826689e-01,3.576755e-09,-1.703039e-02,7.755694e-02,6.095161e-03
/out0 (OFF=0.3137584) Y,1.826750e-01,4.007634e-09,-1.805166e-02,7.851167e-02,6.255673e-03
/out0 (OFF=0.3171141) Y,1.826815e-01,4.484630e-09,-1.910924e-02,7.953365e-02,6.430368e-03
/out0 (OFF=0.3204698) Y,1.826883e-01,5.011802e-09,-2.021494e-02,8.062874e-02,6.620856e-03
/out0 (OFF=0.3238255) Y,1.826955e-01,5.593773e-09,-2.137040e-02,8.180177e-02,6.828718e-03
/out0 (OFF=0.3271812) Y,1.827031e-01,6.235545e-09,-2.257658e-02,8.305919e-02,7.055934e-03
/out0 (OFF=0.3305369) Y,1.827111e-01,6.942508e-09,-2.383706e-02,8.440796e-02,7.304750e-03
/out0 (OFF=0.3338926) Y,1.827196e-01,7.720690e-09,-2.514723e-02,8.585565e-02,7.577722e-03
/out0 (OFF=0.3372483) Y,1.827285e-01,8.575627e-09,-2.654435e-02,8.741116e-02,7.877884e-03
/out0 (OFF=0.340604) Y,1.827379e-01,9.516174e-09,-2.795187e-02,8.908395e-02,8.208686e-03
/out0 (OFF=0.3439597) Y,1.827478e-01,1.054819e-08,-2.944479e-02,9.088407e-02,8.574062e-03
/out0 (OFF=0.3473154) Y,1.827582e-01,1.168014e-08,-3.101291e-02,9.282557e-02,8.979098e-03
/out0 (OFF=0.3506711) Y,1.827691e-01,1.292225e-08,-3.261884e-02,9.492210e-02,9.429422e-03
/out0 (OFF=0.3540268) Y,1.827806e-01,1.428325e-08,-3.430896e-02,9.718816e-02,9.931539e-03
/out0 (OFF=0.3573826) Y,1.827926e-01,1.577471e-08,-3.606522e-02,9.964203e-02,1.049352e-02
/out0 (OFF=0.3607383) Y,1.828053e-01,1.740850e-08,-3.790141e-02,1.023059e-01,1.112530e-02
/out0 (OFF=0.364094) Y,1.828186e-01,1.919824e-08,-3.981329e-02,1.052016e-01,1.183815e-02
/out0 (OFF=0.3674497) Y,1.828326e-01,2.115896e-08,-4.180738e-02,1.083557e-01,1.264591e-02
/out0 (OFF=0.3708054) Y,1.828473e-01,2.330746e-08,-4.388763e-02,1.117958e-01,1.356466e-02
/out0 (OFF=0.3741611) Y,1.828627e-01,2.566268e-08,-4.605898e-02,1.155539e-01,1.461356e-02
/out0 (OFF=0.3775168) Y,1.828789e-01,2.824611e-08,-4.832709e-02,1.196578e-01,1.581319e-02
/out0 (OFF=0.3808725) Y,1.828959e-01,3.108215e-08,-5.069812e-02,1.241346e-01,1.718607e-02
/out0 (OFF=0.3842282) Y,1.829138e-01,3.419878e-08,-5.317910e-02,1.290065e-01,1.875503e-02
/out0 (OFF=0.3875839) Y,1.829325e-01,3.762826e-08,-5.577832e-02,1.342867e-01,2.054154e-02
/out0 (OFF=0.3909396) Y,1.829522e-01,4.140803e-08,-5.850502e-02,1.399815e-01,2.256552e-02
/out0 (OFF=0.3942953) Y,1.829729e-01,4.558197e-08,-6.137007e-02,1.460923e-01,2.484549e-02
/out0 (OFF=0.397651) Y,1.829947e-01,5.020173e-08,-6.438610e-02,1.526175e-01,2.739909e-02
/out0 (OFF=0.4010067) Y,1.830176e-01,5.532877e-08,-6.756768e-02,1.595577e-01,3.024440e-02
/out0 (OFF=0.4043624) Y,1.830417e-01,6.103688e-08,-7.093222e-02,1.668816e-01,3.339138e-02
/out0 (OFF=0.4077181) Y,1.830671e-01,6.741547e-08,-7.450013e-02,1.746468e-01,3.687359e-02
/out0 (OFF=0.4110738) Y,1.830939e-01,7.457417e-08,-7.829596e-02,1.828233e-01,4.070200e-02
/out0 (OFF=0.4144295) Y,1.831223e-01,8.264884e-08,-8.234916e-02,1.914114e-01,4.489584e-02
/out0 (OFF=0.4177852) Y,1.831523e-01,9.181029e-08,-8.669541e-02,2.004123e-01,4.947482e-02
/out0 (OFF=0.4211409) Y,1.831842e-01,1.022760e-07,-9.137871e-02,2.098272e-01,5.445903e-02
