Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.25) Y,7.504579e-02,8.905435e-11,-2.630732e-03,1.755604e-01,3.082799e-02
/out0 (OFF=0.2533557) Y,7.504681e-02,1.034033e-10,-2.837396e-03,1.758362e-01,3.092595e-02
/out0 (OFF=0.2567114) Y,7.504790e-02,1.199055e-10,-3.058182e-03,1.761323e-01,3.103139e-02
/out0 (OFF=0.2600671) Y,7.504907e-02,1.388532e-10,-3.293894e-03,1.764511e-01,3.114516e-02
/out0 (OFF=0.2634228) Y,7.505034e-02,1.605884e-10,-3.545295e-03,1.767928e-01,3.126744e-02
/out0 (OFF=0.2667785) Y,7.505169e-02,1.854881e-10,-3.812321e-03,1.771601e-01,3.139923e-02
/out0 (OFF=0.2701342) Y,7.505315e-02,2.139263e-10,-4.106931e-03,1.775538e-01,3.154094e-02
/out0 (OFF=0.2734899) Y,7.505470e-02,2.464661e-10,-4.411202e-03,1.779754e-01,3.169320e-02
/out0 (OFF=0.2768456) Y,7.505637e-02,2.836025e-10,-4.735085e-03,1.784284e-01,3.185736e-02
/out0 (OFF=0.2802013) Y,7.505816e-02,3.259374e-10,-5.079503e-03,1.789133e-01,3.203369e-02
/out0 (OFF=0.283557) Y,7.506008e-02,3.741377e-10,-5.445666e-03,1.794326e-01,3.222332e-02
/out0 (OFF=0.2869128) Y,7.506212e-02,4.289598e-10,-5.834791e-03,1.799887e-01,3.242721e-02
/out0 (OFF=0.2902685) Y,7.506431e-02,4.912398e-10,-6.247925e-03,1.805842e-01,3.264649e-02
/out0 (OFF=0.2936242) Y,7.506665e-02,5.619266e-10,-6.686559e-03,1.812216e-01,3.288233e-02
/out0 (OFF=0.2969799) Y,7.506914e-02,6.421496e-10,-7.141076e-03,1.819036e-01,3.313594e-02
/out0 (OFF=0.3003356) Y,7.507181e-02,7.328903e-10,-7.637313e-03,1.826335e-01,3.340883e-02
/out0 (OFF=0.3036913) Y,7.507466e-02,8.355856e-10,-8.160153e-03,1.834146e-01,3.370249e-02
/out0 (OFF=0.307047) Y,7.507769e-02,9.516620e-10,-8.714131e-03,1.842502e-01,3.401859e-02
/out0 (OFF=0.3104027) Y,7.508092e-02,1.082750e-09,-9.300271e-03,1.851449e-01,3.435919e-02
/out0 (OFF=0.3137584) Y,7.508437e-02,1.230641e-09,-9.920894e-03,1.861023e-01,3.472619e-02
/out0 (OFF=0.3171141) Y,7.508804e-02,1.397335e-09,-1.057742e-02,1.871271e-01,3.512191e-02
/out0 (OFF=0.3204698) Y,7.509194e-02,1.585051e-09,-1.127179e-02,1.882251e-01,3.554922e-02
/out0 (OFF=0.3238255) Y,7.509610e-02,1.796246e-09,-1.200575e-02,1.894012e-01,3.601075e-02
/out0 (OFF=0.3271812) Y,7.510051e-02,2.033692e-09,-1.277766e-02,1.906618e-01,3.650987e-02
