Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.4748322) Y,6.280115e-01,3.244315e-02,-5.292097e+01,0,0
/out0 (OFF=0.4781879) Y,6.446645e-01,3.349228e-02,-5.380810e+01,0,0
/out0 (OFF=0.4815436) Y,6.615535e-01,3.444978e-02,-5.460758e+01,0,0
/out0 (OFF=0.4848993) Y,6.786511e-01,3.531811e-02,-5.532855e+01,0,0
/out0 (OFF=0.488255) Y,6.959310e-01,3.610171e-02,-5.597509e+01,0,0
/out0 (OFF=0.4916107) Y,7.133668e-01,3.680534e-02,-5.655428e+01,0,0
/out0 (OFF=0.4949664) Y,7.309344e-01,3.743278e-02,-5.707087e+01,0,0
/out0 (OFF=0.4983221) Y,7.486124e-01,3.798640e-02,-5.752814e+01,0,0
/out0 (OFF=0.5016779) Y,7.663811e-01,3.846731e-02,-5.792797e+01,0,0
/out0 (OFF=0.5050336) Y,7.842223e-01,3.887568e-02,-5.827148e+01,0,0
/out0 (OFF=0.5083893) Y,8.021185e-01,3.921104e-02,-5.855904e+01,0,0
/out0 (OFF=0.511745) Y,8.200524e-01,3.947248e-02,-5.879055e+01,0,0
/out0 (OFF=0.5151007) Y,8.380063e-01,3.965870e-02,-5.896556e+01,0,0
/out0 (OFF=0.5184564) Y,8.559614e-01,3.976792e-02,-5.908316e+01,0,0
/out0 (OFF=0.5218121) Y,8.738972e-01,3.979765e-02,-5.914198e+01,0,0
/out0 (OFF=0.5251678) Y,8.917896e-01,3.974425e-02,-5.913980e+01,0,0
/out0 (OFF=0.5285235) Y,9.096130e-01,3.960364e-02,-5.907400e+01,0,0
/out0 (OFF=0.5318792) Y,9.273393e-01,3.937114e-02,-5.894113e+01,0,0
/out0 (OFF=0.5352349) Y,9.449261e-01,3.903663e-02,-5.873483e+01,0,0
/out0 (OFF=0.5385906) Y,9.623268e-01,3.858902e-02,-5.844727e+01,0,0
/out0 (OFF=0.5419463) Y,9.794963e-01,3.801909e-02,-5.807096e+01,0,0
/out0 (OFF=0.545302) Y,9.963957e-01,3.732157e-02,-5.759967e+01,0,0
/out0 (OFF=0.5486577) Y,1.012995e+00,3.649615e-02,-5.702915e+01,0,0
/out0 (OFF=0.5520134) Y,1.029273e+00,3.554720e-02,-5.635730e+01,0,0
/out0 (OFF=0.5553691) Y,1.045214e+00,3.448286e-02,-5.558347e+01,0,0
/out0 (OFF=0.5587248) Y,1.060811e+00,3.331393e-02,-5.470848e+01,0,0
/out0 (OFF=0.5620805) Y,1.076056e+00,3.205307e-02,-5.373352e+01,0,0
/out0 (OFF=0.5654362) Y,1.090948e+00,3.071388e-02,-5.266214e+01,0,0
/out0 (OFF=0.5687919) Y,1.105484e+00,2.931043e-02,-5.149457e+01,0,0
/out0 (OFF=0.5721477) Y,1.119665e+00,2.785687e-02,-5.023484e+01,0,0
/out0 (OFF=0.5755034) Y,1.133489e+00,2.636711e-02,-4.888586e+01,0,0
/out0 (OFF=0.5788591) Y,1.146957e+00,2.485447e-02,-4.744844e+01,0,0
/out0 (OFF=0.5822148) Y,1.160065e+00,2.333156e-02,-4.591887e+01,0,0
/out0 (OFF=0.5855705) Y,1.172817e+00,2.181041e-02,-4.430176e+01,0,0
/out0 (OFF=0.5889262) Y,1.185212e+00,2.030239e-02,-4.260838e+01,0,0
/out0 (OFF=0.5922819) Y,1.197253e+00,1.881789e-02,-4.084780e+01,0,0
/out0 (OFF=0.5956376) Y,1.208849e+00,1.736107e-02,-3.868916e+01,0,0
/out0 (OFF=0.5989933) Y,1.220189e+00,1.595198e-02,-3.688561e+01,0,0
/out0 (OFF=0.602349) Y,1.231179e+00,1.459320e-02,-3.510052e+01,0,0
/out0 (OFF=0.6057047) Y,1.241819e+00,1.329158e-02,-3.334907e+01,0,0
/out0 (OFF=0.6090604) Y,1.252102e+00,1.205267e-02,-3.162308e+01,0,0
/out0 (OFF=0.6124161) Y,1.262025e+00,1.088174e-02,-2.993321e+01,0,0
/out0 (OFF=0.6157718) Y,1.271585e+00,9.783341e-03,-2.828911e+01,0,0
/out0 (OFF=0.6191275) Y,1.280778e+00,8.761243e-03,-2.669973e+01,0,0
/out0 (OFF=0.6224832) Y,1.289598e+00,7.818450e-03,-2.517349e+01,0,0
/out0 (OFF=0.6258389) Y,1.298039e+00,6.956941e-03,-2.371770e+01,0,0
/out0 (OFF=0.6291946) Y,1.306095e+00,6.177225e-03,-2.233847e+01,0,0
/out0 (OFF=0.6325503) Y,1.313798e+00,5.481757e-03,-2.097950e+01,0,0
/out0 (OFF=0.635906) Y,1.321062e+00,4.865982e-03,-1.979458e+01,0,0
/out0 (OFF=0.6392617) Y,1.327931e+00,4.326735e-03,-1.869676e+01,0,0
/out0 (OFF=0.6426174) Y,1.334417e+00,3.857146e-03,-1.768408e+01,0,0
/out0 (OFF=0.6459732) Y,1.340541e+00,3.449161e-03,-1.675238e+01,0,0
/out0 (OFF=0.6493289) Y,1.346326e+00,3.094552e-03,-1.589538e+01,0,0
/out0 (OFF=0.6526846) Y,1.351794e+00,2.785622e-03,-1.510371e+01,0,0
