/Vin X,/Vin Y,/out0 X,/out0 Y,/out1 X,/out1 Y,/out2 X,/out2 Y
-60,0.45,-60,0.2474540356629796,-60,0.1281070375429932,-60,0.1956797921004373
-58.6,0.45,-58.6,0.2501788052239083,-58.6,0.129029539962071,-58.6,0.1966579000686536
-57.2,0.45,-57.2,0.2529541675712609,-57.2,0.1299503563806372,-57.2,0.1975421182115004
-55.8,0.45,-55.8,0.2557812848720828,-55.8,0.1308694881399736,-55.8,0.1984240445764073
-54.40000000000001,0.45,-54.40000000000001,0.2586613240503621,-54.40000000000001,0.1317869375692652,-54.40000000000001,0.1993036998999596
-53.00000000000001,0.45,-53.00000000000001,0.2615954336412866,-53.00000000000001,0.132702708026551,-53.00000000000001,0.2001811049148872
-51.60000000000001,0.45,-51.60000000000001,0.2645847337103439,-51.60000000000001,0.1336168039945187,-51.60000000000001,0.2010562803648465
-50.20000000000001,0.45,-50.20000000000001,0.2676303040613492,-50.20000000000001,0.1345292311746288,-50.20000000000001,0.2019292470213585
-48.80000000000001,0.45,-48.80000000000001,0.270733170708898,-48.80000000000001,0.1354399965977567,-48.80000000000001,0.2028000257015867
-47.40000000000001,0.45,-47.40000000000001,0.273894290534161,-47.40000000000001,0.1363491087497251,-47.40000000000001,0.2036686372874823
-46.00000000000001,0.45,-46.00000000000001,0.2771145341123167,-46.00000000000001,0.13725657771244,-46.00000000000001,0.2045351027463101
-44.60000000000002,0.45,-44.60000000000002,0.2803946667780053,-44.60000000000002,0.1381624153210537,-44.60000000000002,0.2053994431525797
-43.20000000000002,0.45,-43.20000000000002,0.2837353280995421,-43.20000000000002,0.1390666353372944,-43.20000000000002,0.2062616797113723
-41.80000000000002,0.45,-41.80000000000002,0.2871370100588996,-41.80000000000002,0.1399692536387991,-41.80000000000002,0.2071218337831307
-40.40000000000002,0.45,-40.40000000000002,0.2906000343864498,-40.40000000000002,0.1408702884237109,-40.40000000000002,0.2079799269099269
-39.00000000000002,0.45,-39.00000000000002,0.294124529663631,-39.00000000000002,0.1417697604218199,-39.00000000000002,0.2088359808431414
-37.60000000000002,0.45,-37.60000000000002,0.29771040897958,-37.60000000000002,0.1426676931641239,-37.60000000000002,0.2096900175727614
-36.20000000000002,0.45,-36.20000000000002,0.3013573490865576,-36.20000000000002,0.1435641131478959,-36.20000000000002,0.210542059358074
-34.80000000000003,0.45,-34.80000000000003,0.3050647721263491,-34.80000000000003,0.1444590501624154,-34.80000000000003,0.2113921287599592
-33.40000000000003,0.45,-33.40000000000003,0.3088318310689114,-33.40000000000003,0.1453525375043294,-33.40000000000003,0.2122402486747497
-32.00000000000003,0.45,-32.00000000000003,0.3126573999928316,-32.00000000000003,0.1462446122398408,-32.00000000000003,0.2130864423696942
-30.60000000000003,0.45,-30.60000000000003,0.3165400702234227,-30.60000000000003,0.1471353154562815,-30.60000000000003,0.2139307335199337
-29.20000000000003,0.45,-29.20000000000003,0.3204781531189237,-29.20000000000003,0.1480246925067775,-29.20000000000003,0.214773146247238
-27.80000000000003,0.45,-27.80000000000003,0.3244696899646889,-27.80000000000003,0.1489127932438897,-27.80000000000003,0.2156137051603378
-26.40000000000003,0.45,-26.40000000000003,0.3285124690194023,-26.40000000000003,0.1497996722381545,-26.40000000000003,0.2164524353969474
-25.00000000000004,0.45,-25.00000000000004,0.332604049297858,-25.00000000000004,0.1506853889774518,-25.00000000000004,0.2172893626675516
-23.60000000000004,0.45,-23.60000000000004,0.3367468514648211,-23.60000000000004,0.1515755131978798,-23.60000000000004,0.2181290606726495
-22.20000000000004,0.45,-22.20000000000004,0.3409344500467836,-22.20000000000004,0.1524662149752113,-22.20000000000004,0.2189683009769224
-20.80000000000004,0.45,-20.80000000000004,0.3451624792391401,-20.80000000000004,0.1533560217062759,-20.80000000000004,0.219805828529319
-19.40000000000004,0.45,-19.40000000000004,0.3494279111824635,-19.40000000000004,0.1542450144110264,-19.40000000000004,0.2206416721370278
-18.00000000000004,0.45,-18.00000000000004,0.3537276673836384,-18.00000000000004,0.155133279739908,-18.00000000000004,0.2214758615358686
-16.60000000000004,0.45,-16.60000000000004,0.3580586552571765,-16.60000000000004,0.1560209098677449,-16.60000000000004,0.2223084273601552
-15.20000000000004,0.45,-15.20000000000004,0.3624178016332951,-15.20000000000004,0.1569080024642624,-15.20000000000004,0.2231394012007954
-13.80000000000004,0.45,-13.80000000000004,0.3668020822030001,-13.80000000000004,0.1577946607468599,-13.80000000000004,0.2239688156655598
-12.40000000000004,0.45,-12.40000000000004,0.371208546331304,-12.40000000000004,0.1586809949178012,-12.40000000000004,0.2247967044435406
-11.00000000000004,0.45,-11.00000000000004,0.3756343370117513,-11.00000000000004,0.159567118900365,-11.00000000000004,0.2256231023665085
-9.600000000000042,0.45,-9.600000000000042,0.3800767060330478,-9.600000000000042,0.1604531512196817,-9.600000000000042,0.2264480454766854
-8.200000000000042,0.45,-8.200000000000042,0.3845330246584334,-8.200000000000042,0.1613392156612024,-8.200000000000042,0.2272715710973204
-6.800000000000042,0.45,-6.800000000000042,0.3890007902802554,-6.800000000000042,0.1622254412880629,-6.800000000000042,0.2280937179052789
-5.400000000000041,0.45,-5.400000000000041,0.3934776296036863,-5.400000000000041,0.1631119626081657,-5.400000000000041,0.2289145260067138
-4.000000000000041,0.45,-4.000000000000041,0.3979612989494648,-4.000000000000041,0.1639989199441101,-4.000000000000041,0.2297340370164312
-2.600000000000041,0.45,-2.600000000000041,0.4024496822546382,-2.600000000000041,0.16488646007201,-2.600000000000041,0.2305522941413964
