/net039 X,/net039 Y,/net010 X,/net010 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net02 X,/net02 Y
7.316031664110931e-09,7.2075355849105e-05,7.316031664110931e-09,6.912204843530498e-05,7.316031664110931e-09,6.909686507094294e-05,7.316031664110931e-09,4.997307882123979,7.316031664110931e-09,2.953350924506073
7.325115332073807e-09,6.744206582537516e-05,7.325115332073807e-09,7.036402369571553e-05,7.325115332073807e-09,7.038938430048493e-05,7.325115332073807e-09,4.997306881671648,7.325115332073807e-09,2.958397406707671
7.335210576910365e-09,7.110207809463323e-05,7.335210576910365e-09,6.820332640928091e-05,7.335210576910365e-09,6.817806794063421e-05,7.335210576910365e-09,4.997307814021035,7.335210576910365e-09,2.964005876061314
7.344535220976178e-09,6.655746261916985e-05,7.344535220976178e-09,6.943375923965367e-05,7.344535220976178e-09,6.945911108641178e-05,7.344535220976178e-09,4.99730696803166,7.344535220976178e-09,2.969186233875654
7.353140794279348e-09,7.073166661570452e-05,7.353140794279348e-09,6.787630096427405e-05,7.353140794279348e-09,6.785079268295833e-05,7.353140794279348e-09,4.99730776580005,7.353140794279348e-09,2.973967107932971
7.361901872957968e-09,6.597493769037207e-05,7.361901872957968e-09,6.88084623518872e-05,7.361901872957968e-09,6.88338515049443e-05,7.361901872957968e-09,4.997307061826617,7.361901872957968e-09,2.978834373865538
7.369297516561203e-09,7.096847985515441e-05,7.369297516561203e-09,6.815964184326291e-05,7.369297516561203e-09,6.813231097420449e-05,7.369297516561203e-09,4.997307165889427,7.369297516561203e-09,2.982943064756224
7.376492499600654e-09,6.536040873567412e-05,7.376492499600654e-09,6.814471311968544e-05,7.376492499600654e-09,6.817077634183722e-05,7.376492499600654e-09,4.997306234892699,7.376492499600654e-09,2.986940277555918
7.383364003099334e-09,7.102139962060897e-05,7.383364003099334e-09,6.826029409113133e-05,7.383364003099334e-09,6.82446521348667e-05,7.383364003099334e-09,4.99730883513843,7.383364003099334e-09,2.99075777949963
7.389148925281099e-09,6.494249572941419e-05,7.389148925281099e-09,6.76726208587638e-05,7.389148925281099e-09,6.768910452088975e-05,7.389148925281099e-09,4.997308347905662,7.389148925281099e-09,2.993971625156166
7.397356881961854e-09,7.145955038286822e-05,7.397356881961854e-09,6.875038809454641e-05,7.397356881961854e-09,6.872322404510824e-05,7.397356881961854e-09,4.997307401511736,7.397356881961854e-09,2.998531601089919
7.404689226116316e-09,6.454654638318628e-05,7.404689226116316e-09,6.723273487432168e-05,7.404689226116316e-09,6.726030211806313e-05,7.404689226116316e-09,4.997307023268432,7.404689226116316e-09,3.002605125620176
