Signal,Mean_X,Variance_X,Slope_X,Mean_Y,Variance_Y,Slope_Y
1,-59.3,0.979999999999998,1.3999999999999986,0.071624501357057,3.350215531400151e-08,0.0002588519086813984
2,-56.5,0.980000000000008,1.4000000000000057,0.07204339407276511,1.8610361923057812e-08,0.00019292673180799913
3,-53.70000000000001,0.980000000000008,1.4000000000000057,0.07242909180300111,1.858021658850743e-08,0.00019277041572039744
4,-50.900000000000006,0.979999999999998,1.3999999999999986,0.07281447213516955,1.8549171248340446e-08,0.00019260930013029198
5,-48.10000000000001,0.979999999999998,1.3999999999999986,0.0731995252207087,1.8517181406924287e-08,0.0001924431417688055
6,-45.30000000000001,0.9799999999999781,1.3999999999999844,0.0735842407721958,1.8484211805970874e-08,0.00019227174418499915
7,-42.500000000000014,0.979999999999998,1.3999999999999986,0.07396860815033815,1.845023513513234e-08,0.00019209495118369113
8,-39.70000000000002,0.979999999999998,1.3999999999999986,0.07435261643857916,1.8415230887164624e-08,0.00019191264099670258
9,-36.90000000000002,0.980000000000008,1.4000000000000057,0.07473625450657854,1.8379184320170375e-08,0.00019172472099429627
10,-34.10000000000003,0.980000000000008,1.4000000000000057,0.075119511063795,1.8342085550581167e-08,0.00019153112306140307
11,-31.30000000000003,0.979999999999998,1.3999999999999986,0.0755023747043025,1.8303928738894342e-08,0.00019133179944219592
12,-28.50000000000003,0.980000000000003,1.4000000000000021,0.07588483394384965,1.82647113850898e-08,0.00019112671914250923
13,-25.700000000000035,0.9799999999999881,1.3999999999999915,0.0762668772501418,1.822443370639108e-08,0.00019091586474880018
14,-22.90000000000004,0.980000000000003,1.4000000000000021,0.07665250858979535,1.878525963548713e-08,0.0001938311617644961
15,-20.10000000000004,0.979999999999998,1.3999999999999986,0.077039929238195,1.873834187680311e-08,0.0001935889556601983
16,-17.30000000000004,0.979999999999998,1.3999999999999986,0.07742686135222294,1.8690689743291064e-08,0.00019334264787310151
17,-14.500000000000039,0.9800000000000004,1.4000000000000004,0.0778132967480828,1.8642304916951365e-08,0.00019309223141779353
18,-11.70000000000004,0.979999999999998,1.3999999999999986,0.07819922716214525,1.859318170124374e-08,0.00019283766074729147
19,-8.900000000000041,0.9800000000000004,1.4000000000000004,0.0785846442451919,1.8543315526620792e-08,0.0001925788956590041
20,-6.100000000000041,0.9800000000000005,1.4000000000000004,0.0789695395718622,1.8492702710444196e-08,0.0001923159000730007
21,-3.3000000000000407,0.9799999999999999,1.4,0.0793539046479033,1.8441340270336344e-08,0.00019204864107999486
22,-0.5000000000000411,0.9799999999999999,1.4,0.07973773091569435,1.838922576594538e-08,0.00019177708813070127
23,2.299999999999959,0.9800000000000002,1.4000000000000001,0.0801210097583743,1.8336357188165353e-08,0.00019150121246699903
24,5.099999999999959,0.9799999999999993,1.3999999999999995,0.0805037325029442,1.8282732870492153e-08,0.00019122098666460308
