/Vin X,/Vin Y,/out0 X,/out0 Y,/out1 X,/out1 Y
0,0.5,0,0.1846973637021216,0,0.1825816171750045
2e-05,0.5,2e-05,0.1846973637019674,2e-05,0.1825816180655565
4e-05,0.5,4e-05,0.1846973637021219,4e-05,0.1825816180667024
6.000000000000001e-05,0.5,6.000000000000001e-05,0.1846973637024943,6.000000000000001e-05,0.1825816180652711
8.000000000000001e-05,0.5,8.000000000000001e-05,0.1846973637009636,8.000000000000001e-05,0.1825816180701405
0.0001,0.5,0.0001,0.1846973637020984,0.0001,0.182581618062647
0.00012,0.5,0.00012,0.1846973637028443,0.00012,0.1825816180705417
0.00014,0.5,0.00014,0.1846973637003183,0.00014,0.1825816180622495
0.00016,0.5,0.00016,0.1846973637045621,0.00016,0.182581618072031
0.00018,0.5,0.00018,0.1846973636981327,0.00018,0.1825816180613998
0.0002,0.5,0.0002,0.1846973637041288,0.0002,0.1825816180713466
0.00022,0.5,0.00022,0.184697363700915,0.00022,0.1825816180622221
0.00024,0.5,0.00024,0.1846973637028093,0.00024,0.1825816180706912
0.00026,0.5,0.00026,0.1846973637007789,0.00026,0.1825816180626914
0.00028,0.5,0.00028,0.1846973637043447,0.00028,0.1825816180713271
0.0003,0.5,0.0003,0.1846973636984927,0.0003,0.1825816180617091
0.00032,0.5,0.00032,0.1846973637053556,0.00032,0.1825816180719886
0.00034,0.5,0.00034,0.184697363696661,0.00034,0.1825816180615417
0.00036,0.5,0.00036,0.1846973637067775,0.00036,0.1825816180731994
0.00038,0.5,0.00038,0.1846973636971324,0.00038,0.1825816180608277
0.0004,0.5,0.0004,0.1846973637065274,0.0004,0.1825816180732242
0.00042,0.5,0.00042,0.1846973636968554,0.00042,0.1825816180606632
0.00044,0.5,0.00044,0.1846973637078678,0.00044,0.1825816180716981
0.00046,0.5,0.00046,0.1846973636966261,0.00046,0.1825816180619331
0.00048,0.5,0.00048,0.1846973637071813,0.00048,0.1825816180714262
0.0005,0.5,0.0005,0.1846973636971163,0.0005,0.182581618062976
0.0005200000000000001,0.5,0.0005200000000000001,0.1846973637075249,0.0005200000000000001,0.1825816180714213
0.0005400000000000001,0.5,0.0005400000000000001,0.1846973636951753,0.0005400000000000001,0.1825816180629385
0.0005600000000000002,0.5,0.0005600000000000002,0.1846973637093566,0.0005600000000000002,0.1825816180714896
0.0005800000000000002,0.5,0.0005800000000000002,0.1846973636953811,0.0005800000000000002,0.1825816180626626
0.0006000000000000003,0.5,0.0006000000000000003,0.1846973637079447,0.0006000000000000003,0.1825816180721163
0.0006200000000000003,0.5,0.0006200000000000003,0.1846973636963934,0.0006200000000000003,0.1825816180611602
0.0006400000000000004,0.5,0.0006400000000000004,0.1846973637081844,0.0006400000000000004,0.182581618073486
0.0006600000000000004,0.5,0.0006600000000000004,0.18469736369647,0.0006600000000000004,0.1825816180598955
0.0006800000000000005,0.5,0.0006800000000000005,0.1846973637073087,0.0006800000000000005,0.1825816180753177
0.0007000000000000005,0.5,0.0007000000000000005,0.1846973636972035,0.0007000000000000005,0.1825816180583522
0.0007200000000000006,0.5,0.0007200000000000006,0.1846973637058217,0.0007200000000000006,0.1825816180752175
0.0007400000000000006,0.5,0.0007400000000000006,0.1846973636977928,0.0007400000000000006,0.18258161805723
0.0007600000000000007,0.5,0.0007600000000000007,0.1846973637064562,0.0007600000000000007,0.1825816180768814
0.0007800000000000007,0.5,0.0007800000000000007,0.1846973636968128,0.0007800000000000007,0.1825816180569186
0.0008000000000000008,0.5,0.0008000000000000008,0.1846973637063316,0.0008000000000000008,0.1825816180772192
0.0008200000000000008,0.5,0.0008200000000000008,0.1846973636983646,0.0008200000000000008,0.1825816180557073
0.0008400000000000009,0.5,0.0008400000000000009,0.1846973637063496,0.0008400000000000009,0.1825816180779465
0.000860000000000001,0.5,0.000860000000000001,0.1846973636977589,0.000860000000000001,0.1825816180541046
0.000880000000000001,0.5,0.000880000000000001,0.1846973637058395,0.000880000000000001,0.1825816180794848
0.0009000000000000011,0.5,0.0009000000000000011,0.1846973636975925,0.0009000000000000011,0.1825816180524184
0.0009200000000000011,0.5,0.0009200000000000011,0.1846973637064868,0.0009200000000000011,0.1825816180798492
0.0009400000000000012,0.5,0.0009400000000000012,0.1846973636985278,0.0009400000000000012,0.1825816180522175
0.0009600000000000012,0.5,0.0009600000000000012,0.1846973637055382,0.0009600000000000012,0.182581618079843
0.0009800000000000013,0.5,0.0009800000000000013,0.1846973636977643,0.0009800000000000013,0.1825816180524063
0.001000000000000001,0.5,0.001000000000000001,0.1846973637062765,0.001000000000000001,0.1825816180813217
0.001020000000000001,0.5,0.001020000000000001,0.184697363698721,0.001020000000000001,0.182581618052817
0.001040000000000001,0.5,0.001040000000000001,0.1846973637046199,0.001040000000000001,0.1825816180807036
0.001060000000000001,0.5,0.001060000000000001,0.1846973636997881,0.001060000000000001,0.1825816180531677
0.001080000000000002,0.5,0.001080000000000002,0.18469736370216,0.001080000000000002,0.1825816180794791
0.001100000000000002,0.5,0.001100000000000002,0.1846973637005059,0.001100000000000002,0.1825816180522014
0.001120000000000002,0.5,0.001120000000000002,0.1846973637034039,0.001120000000000002,0.1825816180814905
0.001140000000000002,0.5,0.001140000000000002,0.1846973637016411,0.001140000000000002,0.1825816180532374
0.001160000000000002,0.5,0.001160000000000002,0.1846973637024453,0.001160000000000002,0.1825816180803702
0.001180000000000002,0.5,0.001180000000000002,0.1846973636995904,0.001180000000000002,0.1825816180523124
0.001200000000000002,0.5,0.001200000000000002,0.1846973637053443,0.001200000000000002,0.1825816180815828
0.001220000000000002,0.5,0.001220000000000002,0.1846973636991432,0.001220000000000002,0.1825816180507329
0.001240000000000002,0.5,0.001240000000000002,0.1846973637058632,0.001240000000000002,0.1825816180831547
0.001260000000000002,0.5,0.001260000000000002,0.1846973636985378,0.001260000000000002,0.1825816180509004
0.001280000000000002,0.5,0.001280000000000002,0.18469736370393,0.001280000000000002,0.1825816180820975
0.001300000000000002,0.5,0.001300000000000002,0.1846973637002004,0.001300000000000002,0.182581618051912
0.001320000000000002,0.5,0.001320000000000002,0.1846973637043996,0.001320000000000002,0.1825816180817642
0.001340000000000002,0.5,0.001340000000000002,0.184697363700423,0.001340000000000002,0.1825816180507691
0.001360000000000002,0.5,0.001360000000000002,0.1846973637040851,0.001360000000000002,0.1825816180813687
0.001380000000000002,0.5,0.001380000000000002,0.1846973637005413,0.001380000000000002,0.1825816180515951
0.001400000000000002,0.5,0.001400000000000002,0.1846973637038063,0.001400000000000002,0.1825816180814046
0.001420000000000002,0.5,0.001420000000000002,0.1846973636984982,0.001420000000000002,0.1825816180528008
0.001440000000000002,0.5,0.001440000000000002,0.184697363706751,0.001440000000000002,0.1825816180815749
0.001460000000000003,0.5,0.001460000000000003,0.1846973636953874,0.001460000000000003,0.182581618053343
0.001480000000000003,0.5,0.001480000000000003,0.1846973637097142,0.001480000000000003,0.1825816180787536
0.001500000000000003,0.5,0.001500000000000003,0.1846973636944566,0.001500000000000003,0.1825816180546098
0.001520000000000003,0.5,0.001520000000000003,0.1846973637086695,0.001520000000000003,0.1825816180778474
0.001540000000000003,0.5,0.001540000000000003,0.1846973636938712,0.001540000000000003,0.1825816180570922
0.001560000000000003,0.5,0.001560000000000003,0.1846973637099718,0.001560000000000003,0.1825816180759018
