/Vin (Freq=1000) X,/Vin (Freq=1000) Y,/out0 (Freq=1000) X,/out0 (Freq=1000) Y,/out1 (Freq=1000) X,/out1 (Freq=1000) Y
-60,0.5,-60,0.1285959746236679,-60,0.1280640411745758
-58.6,0.5,-58.6,0.129533348291871,-58.6,0.1290290777240438
-57.2,0.5,-57.2,0.1304693189561125,-57.2,0.1299497972517004
-55.8,0.5,-55.8,0.1314038874948003,-55.8,0.1308688127797587
-54.40000000000001,0.5,-54.40000000000001,0.1323370553400349,-54.40000000000001,0.1317861229905165
-53.00000000000001,0.5,-53.00000000000001,0.1332688243508244,-53.00000000000001,0.1327017269559325
-51.60000000000001,0.5,-51.60000000000001,0.1341991968095771,-51.60000000000001,0.1336156241332687
-50.20000000000001,0.5,-50.20000000000001,0.135128175405746,-50.20000000000001,0.1345278143459492
-48.80000000000001,0.5,-48.80000000000001,0.1360557632218535,-48.80000000000001,0.1354382977670628
-47.40000000000001,0.5,-47.40000000000001,0.136981963719702,-47.40000000000001,0.1363470749030421
-46.00000000000001,0.5,-46.00000000000001,0.1379067807268054,-46.00000000000001,0.1372541465775597
-44.60000000000002,0.5,-44.60000000000002,0.1388302184230495,-44.60000000000002,0.138159513915591
-43.20000000000002,0.5,-43.20000000000002,0.1397522813275536,-43.20000000000002,0.1390631783277095
-41.80000000000002,0.5,-41.80000000000002,0.1406729742857955,-41.80000000000002,0.1399651414945907
-40.40000000000002,0.5,-40.40000000000002,0.1415923024569459,-40.40000000000002,0.1408654053517168
-39.00000000000002,0.5,-39.00000000000002,0.1425102713014879,-39.00000000000002,0.1417639720743243
-37.60000000000002,0.5,-37.60000000000002,0.1434268865690618,-37.60000000000002,0.1426608440625877
-36.20000000000002,0.5,-36.20000000000002,0.1443421542865916,-36.20000000000002,0.1435560239270288
-34.80000000000003,0.5,-34.80000000000003,0.145256080746682,-34.80000000000003,0.1444495144741933
-33.40000000000003,0.5,-33.40000000000003,0.1461686724962787,-33.40000000000003,0.1453413186925549
-32.00000000000003,0.5,-32.00000000000003,0.1470799363256238,-32.00000000000003,0.1462314397387092
-30.60000000000003,0.5,-30.60000000000003,0.1479898792574836,-30.60000000000003,0.1471198809238092
-29.20000000000003,0.5,-29.20000000000003,0.1488985085366887,-29.20000000000003,0.1480066457002895
-27.80000000000003,0.5,-27.80000000000003,0.1498058316199321,-27.80000000000003,0.1488917376488617
-26.40000000000003,0.5,-26.40000000000003,0.1507118561658886,-26.40000000000003,0.1497751604657792
-25.00000000000004,0.5,-25.00000000000004,0.151616590025625,-25.00000000000004,0.1506569179504169
-23.60000000000004,0.5,-23.60000000000004,0.1525254785699938,-23.60000000000004,0.1515425145371311
-22.20000000000004,0.5,-22.20000000000004,0.153434671897793,-22.20000000000004,0.1524280563246513
-20.80000000000004,0.5,-20.80000000000004,0.1543426485129105,-20.80000000000004,0.1533120004395973
-19.40000000000004,0.5,-19.40000000000004,0.1552494220235903,-19.40000000000004,0.1541943510734132
-18.00000000000004,0.5,-18.00000000000004,0.1561550019677371,-18.00000000000004,0.1550751125754293
-16.60000000000004,0.5,-16.60000000000004,0.1570593957516443,-16.60000000000004,0.1559542893276104
-15.20000000000004,0.5,-15.20000000000004,0.157962611260868,-15.20000000000004,0.1568318857337133
-13.80000000000004,0.5,-13.80000000000004,0.158864656724125,-13.80000000000004,0.1577079062087562
-12.40000000000004,0.5,-12.40000000000004,0.1597655406284696,-12.40000000000004,0.1585823559514732
-11.00000000000004,0.5,-11.00000000000004,0.1606652716622999,-11.00000000000004,0.1594552404396092
-9.600000000000042,0.5,-9.600000000000042,0.1615638586752452,-9.600000000000042,0.1603265636767953
-8.200000000000042,0.5,-8.200000000000042,0.1624613106486261,-8.200000000000042,0.1611963297279205
-6.800000000000042,0.5,-6.800000000000042,0.1633576366728686,-6.800000000000042,0.1620645426991457
-5.400000000000041,0.5,-5.400000000000041,0.1642528459294356,-5.400000000000041,0.1629312067051388
-4.000000000000041,0.5,-4.000000000000041,0.1651469476759863,-4.000000000000041,0.1637963258450787
-2.600000000000041,0.5,-2.600000000000041,0.1660399512336748,-2.600000000000041,0.1646599041840837
-1.200000000000041,0.5,-1.200000000000041,0.1669318659760509,-1.200000000000041,0.165521945738267
0.1999999999999589,0.5,0.1999999999999589,0.1678227013190964,0.1999999999999589,0.1663824544622262
1.599999999999959,0.5,1.599999999999959,0.1687124667120631,1.599999999999959,0.1672414342382385
2.999999999999959,0.5,2.999999999999959,0.1696011716289423,2.999999999999959,0.1680988888667656
4.399999999999959,0.5,4.399999999999959,0.1704888255603398,4.399999999999959,0.1689548220578803
5.799999999999958,0.5,5.799999999999958,0.1713754380056814,5.799999999999958,0.1698092374234953
7.199999999999958,0.5,7.199999999999958,0.1722610184656143,7.199999999999958,0.1706621384701917
8.599999999999959,0.5,8.599999999999959,0.1731455764345324,8.599999999999959,0.1715135285925887
9.999999999999959,0.5,9.999999999999959,0.1740291213931744,9.999999999999959,0.1723634110671635
11.39999999999996,0.5,11.39999999999996,0.1749116628011854,11.39999999999996,0.1732117890464741
12.79999999999996,0.5,12.79999999999996,0.175793210089671,12.79999999999996,0.1740586655537533
14.19999999999996,0.5,14.19999999999996,0.176673772653617,14.19999999999996,0.1749040434778319
15.59999999999996,0.5,15.59999999999996,0.177553359844198,15.59999999999996,0.1757479255683959
16.99999999999996,0.5,16.99999999999996,0.1784319809608955,16.99999999999996,0.1765903144315242
18.39999999999996,0.5,18.39999999999996,0.1793096452434123,18.39999999999996,0.1774312125255129
19.79999999999996,0.5,19.79999999999996,0.1801863618633834,19.79999999999996,0.1782706221570024
21.19999999999996,0.5,21.19999999999996,0.1810621399157846,21.19999999999996,0.1791085454773497
22.59999999999996,0.5,22.59999999999996,0.1819369884100737,22.59999999999996,0.1799449844792597
23.99999999999995,0.5,23.99999999999995,0.1828109162610601,23.99999999999995,0.1807799409937025
25.39999999999995,0.5,25.39999999999995,0.1836872853616125,25.39999999999995,0.1816168977708379
26.79999999999995,0.5,26.79999999999995,0.1845711643089814,26.79999999999995,0.1824611280560887
28.19999999999995,0.5,28.19999999999995,0.1854541947620478,28.19999999999995,0.1833039583235271
29.59999999999995,0.5,29.59999999999995,0.1863363838003668,29.59999999999995,0.1841453897340737
30.99999999999995,0.5,30.99999999999995,0.1872177383045262,30.99999999999995,0.1849854232640901
32.39999999999995,0.5,32.39999999999995,0.1880982649632043,32.39999999999995,0.1858240597039634
33.79999999999995,0.5,33.79999999999995,0.1889779702639653,33.79999999999995,0.186661299656891
35.19999999999995,0.5,35.19999999999995,0.1898568604840268,35.19999999999995,0.1874971435379642
