FeaturesParamTransientACNA.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.15) Y,2.474233e-01,2.422307e-09,-1.434468e-02,5.298013e-11,3.311258e-19
/out0 (OFF=0.1528523) Y,2.474373e-01,2.847420e-09,-1.555352e-02,0,0
/out0 (OFF=0.1557047) Y,2.474525e-01,3.345136e-09,-1.685919e-02,6.622517e-12,6.622517e-21
/out0 (OFF=0.158557) Y,2.474689e-01,3.927440e-09,-1.826889e-02,1.986755e-11,1.986755e-20
/out0 (OFF=0.1614094) Y,2.474867e-01,4.608159e-09,-1.979016e-02,1.324503e-11,1.324503e-20
/out0 (OFF=0.1642617) Y,2.475060e-01,5.403321e-09,-2.143114e-02,0,0
/out0 (OFF=0.1671141) Y,2.475269e-01,6.331437e-09,-2.320044e-02,1.324503e-11,1.324503e-20
/out0 (OFF=0.1699664) Y,2.475494e-01,7.415219e-09,-2.501953e-02,4.437748e-08,2.971073e-13
/out0 (OFF=0.1728188) Y,2.475739e-01,8.675022e-09,-2.716078e-02,1.324503e-11,1.324503e-20
/out0 (OFF=0.1756711) Y,2.476004e-01,1.014332e-08,-2.937169e-02,0,0
/out0 (OFF=0.1785235) Y,2.476289e-01,1.185122e-08,-3.175068e-02,1.324503e-11,1.324503e-20
/out0 (OFF=0.1813758) Y,2.476598e-01,1.383597e-08,-3.430917e-02,1.986755e-11,3.311258e-20
/out0 (OFF=0.1842282) Y,2.476931e-01,1.614030e-08,-3.705826e-02,4.503311e-10,2.973510e-17
/out0 (OFF=0.1870805) Y,2.477291e-01,1.881312e-08,-4.001332e-02,6.622517e-11,7.947020e-20
/out0 (OFF=0.1899329) Y,2.477679e-01,2.191028e-08,-4.318510e-02,9.675497e-09,1.405863e-14
/out0 (OFF=0.1927852) Y,2.478098e-01,2.549561e-08,-4.658851e-02,7.615894e-09,8.758278e-15
/out0 (OFF=0.1956376) Y,2.478550e-01,2.964187e-08,-5.023833e-02,0,0
/out0 (OFF=0.1984899) Y,2.479037e-01,3.443175e-08,-5.415006e-02,1.324503e-11,1.324503e-20
/out0 (OFF=0.2013423) Y,2.479562e-01,3.995946e-08,-5.834006e-02,0,0
/out0 (OFF=0.2041946) Y,2.480127e-01,4.633176e-08,-6.282436e-02,4.370861e-10,2.467550e-17
/out0 (OFF=0.207047) Y,2.480735e-01,5.366973e-08,-6.762356e-02,6.622517e-12,6.622517e-21
/out0 (OFF=0.2098993) Y,2.481389e-01,6.211048e-08,-7.275357e-02,3.311258e-11,7.284768e-20
/out0 (OFF=0.2127517) Y,2.482092e-01,7.180893e-08,-7.823479e-02,1.324503e-11,2.649007e-20
/out0 (OFF=0.215604) Y,2.482848e-01,8.293998e-08,-8.408759e-02,0,0
/out0 (OFF=0.2184564) Y,2.483661e-01,9.570091e-08,-9.033321e-02,1.324503e-11,2.649007e-20
/out0 (OFF=0.2213087) Y,2.484533e-01,1.103134e-07,-9.699362e-02,1.115563e-07,1.877158e-12
/out0 (OFF=0.2241611) Y,2.485469e-01,1.270273e-07,-1.040919e-01,4.223841e-08,2.691433e-13
/out0 (OFF=0.2270134) Y,2.486472e-01,1.461227e-07,-1.116520e-01,9.035099e-08,1.231214e-12
/out0 (OFF=0.2298658) Y,2.487548e-01,1.679138e-07,-1.196990e-01,1.400662e-08,2.931674e-14
