FeaturesParamTransientACNN.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.3411074) Y,2.671418e-01,1.897051e-05,-1.274252e+00,0,0
/out0 (OFF=0.3439597) Y,2.683614e-01,2.123925e-05,-1.348497e+00,0,0
/out0 (OFF=0.3468121) Y,2.696525e-01,2.379092e-05,-1.427122e+00,0,0
/out0 (OFF=0.3496644) Y,2.710197e-01,2.666494e-05,-1.510764e+00,0,0
/out0 (OFF=0.3525168) Y,2.724682e-01,2.990739e-05,-1.599860e+00,0,0
/out0 (OFF=0.3553691) Y,2.740033e-01,3.357218e-05,-1.694900e+00,0,0
/out0 (OFF=0.3582215) Y,2.756312e-01,3.772263e-05,-1.796437e+00,0,0
/out0 (OFF=0.3610738) Y,2.773584e-01,4.243341e-05,-1.905091e+00,0,0
/out0 (OFF=0.3639262) Y,2.791921e-01,4.779293e-05,-2.021568e+00,0,0
/out0 (OFF=0.3667785) Y,2.811405e-01,5.390634e-05,-2.146666e+00,0,0
/out0 (OFF=0.3696309) Y,2.832123e-01,6.089921e-05,-2.281296e+00,0,0
/out0 (OFF=0.3724832) Y,2.854174e-01,6.892216e-05,-2.426490e+00,0,0
/out0 (OFF=0.3753356) Y,2.877669e-01,7.815660e-05,-2.583431e+00,0,0
/out0 (OFF=0.3781879) Y,2.902730e-01,8.882201e-05,-2.753470e+00,0,0
/out0 (OFF=0.3810403) Y,2.929495e-01,1.011849e-04,-2.938154e+00,0,0
/out0 (OFF=0.3838926) Y,2.958118e-01,1.155702e-04,-3.139253e+00,0,0
/out0 (OFF=0.386745) Y,2.988774e-01,1.323749e-04,-3.358792e+00,0,0
/out0 (OFF=0.3895973) Y,3.021657e-01,1.520857e-04,-3.599079e+00,0,0
/out0 (OFF=0.3924497) Y,3.056990e-01,1.752989e-04,-3.862734e+00,0,0
/out0 (OFF=0.395302) Y,3.095019e-01,2.027444e-04,-4.152703e+00,0,0
/out0 (OFF=0.3981544) Y,3.136023e-01,2.353113e-04,-4.472245e+00,0,0
/out0 (OFF=0.4010067) Y,3.180311e-01,2.740712e-04,-4.824880e+00,0,0
/out0 (OFF=0.4038591) Y,3.228220e-01,3.202924e-04,-5.214246e+00,0,0
/out0 (OFF=0.4067114) Y,3.280111e-01,3.754296e-04,-5.643831e+00,0,0
/out0 (OFF=0.4095638) Y,3.336365e-01,4.410682e-04,-6.117488e+00,0,0
/out0 (OFF=0.4124161) Y,3.397336e-01,5.187904e-04,-6.634896e+00,0,0
/out0 (OFF=0.4152685) Y,3.463360e-01,6.099538e-04,-7.196510e+00,0,0
/out0 (OFF=0.4181208) Y,3.534701e-01,7.153920e-04,-7.798521e+00,0,0
/out0 (OFF=0.4209732) Y,3.611536e-01,8.351103e-04,-8.433791e+00,0,0
/out0 (OFF=0.4238255) Y,3.693947e-01,9.680858e-04,-9.091634e+00,0,0
/out0 (OFF=0.4266779) Y,3.781929e-01,1.112243e-03,-9.758655e+00,0,0
/out0 (OFF=0.4295302) Y,3.875407e-01,1.264609e-03,-1.042009e+01,0,0
/out0 (OFF=0.4323826) Y,3.974252e-01,1.421602e-03,-1.106142e+01,0,0
/out0 (OFF=0.4352349) Y,4.078097e-01,1.579670e-03,-1.171843e+01,0,0
/out0 (OFF=0.4380872) Y,4.187219e-01,1.734632e-03,-1.229278e+01,0,0
/out0 (OFF=0.4409396) Y,4.301340e-01,1.883313e-03,-1.276068e+01,0,0
/out0 (OFF=0.4437919) Y,4.419781e-01,2.023688e-03,-1.313222e+01,0,0
/out0 (OFF=0.4466443) Y,4.542128e-01,2.155093e-03,-1.355396e+01,0,0
/out0 (OFF=0.4494966) Y,4.668198e-01,2.277193e-03,-1.393574e+01,0,0
/out0 (OFF=0.452349) Y,4.797657e-01,2.390725e-03,-1.428290e+01,0,0
/out0 (OFF=0.4552013) Y,4.930207e-01,2.496807e-03,-1.459985e+01,0,0
/out0 (OFF=0.4580537) Y,5.065580e-01,2.596620e-03,-1.489219e+01,0,0
/out0 (OFF=0.460906) Y,5.203545e-01,2.691180e-03,-1.516456e+01,0,0
/out0 (OFF=0.4637584) Y,5.343912e-01,2.781254e-03,-1.542045e+01,0,0
/out0 (OFF=0.4666107) Y,5.486518e-01,2.867371e-03,-1.566238e+01,0,0
/out0 (OFF=0.4694631) Y,5.631227e-01,2.949855e-03,-1.589163e+01,0,0
/out0 (OFF=0.4723154) Y,5.777908e-01,3.028890e-03,-1.611052e+01,0,0
/out0 (OFF=0.4751678) Y,5.926429e-01,3.104576e-03,-1.632396e+01,0,0
/out0 (OFF=0.4780201) Y,6.076618e-01,3.176948e-03,-1.653715e+01,0,0
/out0 (OFF=0.4808725) Y,6.227739e-01,3.246507e-03,-1.685164e+01,0,0
/out0 (OFF=0.4837248) Y,6.381093e-01,3.311452e-03,-1.700225e+01,0,0
/out0 (OFF=0.4865772) Y,6.535957e-01,3.372767e-03,-1.714683e+01,0,0
/out0 (OFF=0.4894295) Y,6.692178e-01,3.430208e-03,-1.727876e+01,0,0
/out0 (OFF=0.4922819) Y,6.850076e-01,3.483520e-03,-1.734446e+01,0,0
/out0 (OFF=0.4951342) Y,7.008780e-01,3.532900e-03,-1.746715e+01,0,0
/out0 (OFF=0.4979866) Y,7.168523e-01,3.577940e-03,-1.757832e+01,0,0
/out0 (OFF=0.5008389) Y,7.329662e-01,3.618470e-03,-1.768651e+01,0,0
/out0 (OFF=0.5036913) Y,7.491172e-01,3.654356e-03,-1.777691e+01,0,0
/out0 (OFF=0.5065436) Y,7.653400e-01,3.685433e-03,-1.785526e+01,0,0
