Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.3011745) Y,7.506438e-02,5.324531e-11,-2.134470e-03,1.806011e-01,3.262063e-02
/out0 (OFF=0.3040268) Y,7.506641e-02,5.971416e-11,-2.261519e-03,1.811504e-01,3.281977e-02
/out0 (OFF=0.3068792) Y,7.506856e-02,6.691308e-11,-2.393180e-03,1.817319e-01,3.303135e-02
/out0 (OFF=0.3097315) Y,7.507084e-02,7.491491e-11,-2.533346e-03,1.823477e-01,3.325611e-02
/out0 (OFF=0.3125839) Y,7.507325e-02,8.380641e-11,-2.678696e-03,1.829994e-01,3.349487e-02
/out0 (OFF=0.3154362) Y,7.507580e-02,9.367653e-11,-2.832245e-03,1.836891e-01,3.374851e-02
/out0 (OFF=0.3182886) Y,7.507847e-02,1.047621e-10,-2.947005e-03,1.844189e-01,3.401797e-02
/out0 (OFF=0.3211409) Y,7.508134e-02,1.167661e-10,-3.162508e-03,1.851910e-01,3.430423e-02
/out0 (OFF=0.3239933) Y,7.508434e-02,1.302158e-10,-3.339893e-03,1.860077e-01,3.460841e-02
/out0 (OFF=0.3268456) Y,7.508752e-02,1.451063e-10,-3.526825e-03,1.868716e-01,3.493166e-02
/out0 (OFF=0.329698) Y,7.509087e-02,1.615850e-10,-3.720944e-03,1.877854e-01,3.527530e-02
/out0 (OFF=0.3325503) Y,7.509440e-02,1.798060e-10,-3.925359e-03,1.887519e-01,3.564064e-02
/out0 (OFF=0.3354027) Y,7.509812e-02,1.999424e-10,-4.139555e-03,1.897744e-01,3.602926e-02
/out0 (OFF=0.338255) Y,7.510205e-02,2.221820e-10,-4.363941e-03,1.908560e-01,3.644274e-02
/out0 (OFF=0.3411074) Y,7.510619e-02,2.467292e-10,-4.598936e-03,1.920003e-01,3.688284e-02
/out0 (OFF=0.3439597) Y,7.511055e-02,2.738056e-10,-4.845892e-03,1.932115e-01,3.735165e-02
/out0 (OFF=0.3468121) Y,7.511515e-02,3.036582e-10,-5.102504e-03,1.944935e-01,3.785118e-02
/out0 (OFF=0.3496644) Y,7.511997e-02,3.366286e-10,-5.343739e-03,1.958509e-01,3.838386e-02
/out0 (OFF=0.3525168) Y,7.512507e-02,3.727566e-10,-5.653867e-03,1.972886e-01,3.895228e-02
/out0 (OFF=0.3553691) Y,7.513042e-02,4.126399e-10,-5.933432e-03,1.988120e-01,3.955934e-02
/out0 (OFF=0.3582215) Y,7.513606e-02,4.564117e-10,-6.257738e-03,2.004271e-01,4.020825e-02
/out0 (OFF=0.3610738) Y,7.514198e-02,5.045573e-10,-6.579780e-03,2.021404e-01,4.090260e-02
/out0 (OFF=0.3639262) Y,7.514821e-02,5.574277e-10,-6.916201e-03,2.039589e-01,4.164637e-02
/out0 (OFF=0.3667785) Y,7.515475e-02,6.154457e-10,-7.267508e-03,2.058905e-01,4.244407e-02
/out0 (OFF=0.3696309) Y,7.516163e-02,6.790664e-10,-7.634214e-03,2.079438e-01,4.330073e-02
/out0 (OFF=0.3724832) Y,7.516884e-02,7.487786e-10,-8.016829e-03,2.101286e-01,4.422206e-02
/out0 (OFF=0.3753356) Y,7.517642e-02,8.251063e-10,-8.415865e-03,2.124556e-01,4.521451e-02
/out0 (OFF=0.3781879) Y,7.518437e-02,9.086102e-10,-8.831834e-03,2.149366e-01,4.628543e-02
/out0 (OFF=0.3810403) Y,7.519272e-02,9.998918e-10,-9.264322e-03,2.175852e-01,4.744320e-02
/out0 (OFF=0.3838926) Y,7.520147e-02,1.099584e-09,-9.715633e-03,2.204163e-01,4.869742e-02
/out0 (OFF=0.386745) Y,7.521064e-02,1.208363e-09,-1.018632e-02,2.234467e-01,5.005912e-02
/out0 (OFF=0.3895973) Y,7.522025e-02,1.326956e-09,-1.067497e-02,2.266954e-01,5.154099e-02
/out0 (OFF=0.3924497) Y,7.523032e-02,1.456123e-09,-1.118154e-02,2.301837e-01,5.315767e-02
/out0 (OFF=0.395302) Y,7.524087e-02,1.596656e-09,-1.170978e-02,2.339355e-01,5.492610e-02
/out0 (OFF=0.3981544) Y,7.525191e-02,1.749407e-09,-1.225774e-02,2.379775e-01,5.686578e-02
/out0 (OFF=0.4010067) Y,7.526346e-02,1.915254e-09,-1.282726e-02,2.423393e-01,5.899915e-02
/out0 (OFF=0.4038591) Y,7.527554e-02,2.095131e-09,-1.341676e-02,2.470532e-01,6.135185e-02
/out0 (OFF=0.4067114) Y,7.528818e-02,2.289998e-09,-1.402754e-02,2.521540e-01,6.395274e-02
/out0 (OFF=0.4095638) Y,7.530138e-02,2.500857e-09,-1.465989e-02,2.576779e-01,6.683395e-02
/out0 (OFF=0.4124161) Y,7.531518e-02,2.728745e-09,-1.531407e-02,2.636592e-01,7.002915e-02
/out0 (OFF=0.4152685) Y,7.532958e-02,2.974737e-09,-1.598930e-02,2.701306e-01,7.357379e-02
/out0 (OFF=0.4181208) Y,7.534461e-02,3.239924e-09,-1.668771e-02,2.771188e-01,7.750248e-02
/out0 (OFF=0.4209732) Y,7.536030e-02,3.525437e-09,-1.740846e-02,2.846430e-01,8.184780e-02
/out0 (OFF=0.4238255) Y,7.537665e-02,3.832422e-09,-1.815161e-02,2.927141e-01,8.663939e-02
/out0 (OFF=0.4266779) Y,7.539369e-02,4.162040e-09,-1.891820e-02,3.013357e-01,9.190381e-02
/out0 (OFF=0.4295302) Y,7.541145e-02,4.515480e-09,-1.970619e-02,3.105051e-01,9.766493e-02
