/net010 X,/net010 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net02 X,/net02 Y,/net039 X,/net039 Y
9.91408749139371e-09,7.346690870776881e-05,9.91408749139371e-09,4.997462277245286,9.91408749139371e-09,4.997276836971555,9.91408749139371e-09,4.396715272996506,9.91408749139371e-09,4.997467026734652
9.920019234188589e-09,7.39201626658309e-05,9.920019234188589e-09,4.997459414702695,9.920019234188589e-09,4.997279045768882,9.920019234188589e-09,4.400010685660328,9.920019234188589e-09,4.997449284725341
9.926817887467928e-09,7.34711262538207e-05,9.926817887467928e-09,4.997462284338928,9.926817887467928e-09,4.997282696470918,9.926817887467928e-09,4.403787715259961,9.926817887467928e-09,4.997465949816302
9.931803529077891e-09,7.389978086006533e-05,9.931803529077891e-09,4.99745951070776,9.931803529077891e-09,4.997286415567128,9.931803529077891e-09,4.406557516154384,9.931803529077891e-09,4.99745096239127
9.935888465248898e-09,7.344817406409334e-05,9.935888465248898e-09,4.997462232880384,9.935888465248898e-09,4.997283970988544,9.935888465248898e-09,4.408826925138277,9.935888465248898e-09,4.997464546731964
9.940062370317707e-09,7.396036097466859e-05,9.940062370317707e-09,4.99745922215731,9.940062370317707e-09,4.99727784234429,9.940062370317707e-09,4.411145761287615,9.940062370317707e-09,4.99745268970663
9.943396509445785e-09,7.410642781171568e-05,9.943396509445785e-09,4.997461687713513,9.943396509445785e-09,4.997332192446124,9.943396509445785e-09,4.412998060803214,9.943396509445785e-09,4.997463215917533
9.946055867959945e-09,7.51267860452573e-05,9.946055867959945e-09,4.997459141630617,9.946055867959945e-09,4.997463646148737,9.946055867959945e-09,4.41447548219997,9.946055867959945e-09,4.997454394460925
9.949042015096033e-09,7.381562873707233e-05,9.949042015096033e-09,4.997461957568626,9.949042015096033e-09,4.997683888200698,9.949042015096033e-09,4.41613445283113,9.949042015096033e-09,4.997461927650848
9.951135114826621e-09,7.128053550134426e-05,9.951135114826621e-09,4.997459832982307,9.951135114826621e-09,4.997957441637688,9.951135114826621e-09,4.41729728601479,9.951135114826621e-09,4.997455758927787
9.953512024170116e-09,6.548223574151163e-05,9.953512024170116e-09,4.997462928469679,9.953512024170116e-09,4.998502171564679,9.953512024170116e-09,4.41861779120562,9.953512024170116e-09,4.997460874127901
9.955810703804027e-09,6.346962905230447e-05,9.955810703804027e-09,4.997461021684863,9.955810703804027e-09,4.999103929447774,9.955810703804027e-09,4.419894835446682,9.955810703804027e-09,4.997456692200967
9.958850842361203e-09,6.501691107308549e-05,9.958850842361203e-09,4.997463001002138,9.958850842361203e-09,4.999573462308353,9.958850842361203e-09,4.42158380131178,9.958850842361203e-09,4.9974603115412
9.961736068597892e-09,7.221358856379427e-05,9.961736068597892e-09,4.997460048354347,9.961736068597892e-09,4.999493417577859,9.961736068597892e-09,4.423186704776607,9.961736068597892e-09,4.997457184288713
9.964365286090217e-09,8.589921031757206e-05,9.964365286090217e-09,4.997461651727236,9.964365286090217e-09,4.999045232987589,9.964365286090217e-09,4.424647381161232,9.964365286090217e-09,4.997460003437459
9.966961451894046e-09,0.0001098778487937103,9.966961451894046e-09,4.99745924887638,9.966961451894046e-09,4.998549149154901,9.966961451894046e-09,4.426089695496692,9.966961451894046e-09,4.99745765561292
9.969846907412013e-09,0.0001411372715901337,9.969846907412013e-09,4.997461292544223,9.969846907412013e-09,4.998494813924393,9.969846907412013e-09,4.427692726340007,9.969846907412013e-09,4.997459901655446
9.972901274416352e-09,0.0001773045912682054,9.972901274416352e-09,4.997459457352881,9.972901274416352e-09,4.999604963415973,9.972901274416352e-09,4.429389596897974,9.972901274416352e-09,4.997458034224898
