FeaturesParamTransientACNAP.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.15) Y,2.513236e-01,4.593401e-11,-1.991003e-03,1.986755e-11,1.986755e-20
/out0 (OFF=0.1528523) Y,2.513379e-01,5.402160e-11,-2.162820e-03,1.841060e-09,5.118146e-16
/out0 (OFF=0.1557047) Y,2.513533e-01,6.349540e-11,-2.344085e-03,1.523179e-09,3.382781e-16
/out0 (OFF=0.158557) Y,2.513700e-01,7.458756e-11,-2.537096e-03,1.324503e-11,1.324503e-20
/out0 (OFF=0.1614094) Y,2.513882e-01,8.756033e-11,-2.748899e-03,0,0
/out0 (OFF=0.1642617) Y,2.514078e-01,1.027254e-10,-2.975633e-03,9.205298e-10,1.189470e-16
/out0 (OFF=0.1671141) Y,2.514291e-01,1.204364e-10,-3.223946e-03,3.311258e-11,3.311258e-20
/out0 (OFF=0.1699664) Y,2.514522e-01,1.411062e-10,-3.489641e-03,6.622517e-12,6.622517e-21
/out0 (OFF=0.1728188) Y,2.514774e-01,1.766155e-10,-4.321541e-03,2.766490e-07,1.154733e-11
/out0 (OFF=0.1756711) Y,2.515041e-01,1.932846e-10,-4.084190e-03,0,0
/out0 (OFF=0.1785235) Y,2.515332e-01,2.259683e-10,-4.415947e-03,3.311258e-11,3.311258e-20
/out0 (OFF=0.1813758) Y,2.515648e-01,2.639772e-10,-4.772914e-03,6.622517e-12,6.622517e-21
/out0 (OFF=0.1842282) Y,2.515989e-01,3.081395e-10,-5.155806e-03,5.430464e-10,4.031788e-17
/out0 (OFF=0.1870805) Y,2.516357e-01,3.593996e-10,-5.569179e-03,5.298013e-11,3.311258e-19
/out0 (OFF=0.1899329) Y,2.516754e-01,4.188528e-10,-6.012220e-03,4.635762e-11,3.245033e-19
/out0 (OFF=0.1927852) Y,2.517183e-01,4.877262e-10,-6.487821e-03,3.311258e-11,3.311258e-20
/out0 (OFF=0.1956376) Y,2.517646e-01,5.674381e-10,-6.997927e-03,0,0
/out0 (OFF=0.1984899) Y,2.518145e-01,6.595964e-10,-7.544843e-03,0,0
/out0 (OFF=0.2013423) Y,2.518683e-01,7.660466e-10,-8.130941e-03,1.986755e-11,1.986755e-20
/out0 (OFF=0.2041946) Y,2.519263e-01,8.888608e-10,-8.758486e-03,6.622516e-12,6.622516e-21
/out0 (OFF=0.207047) Y,2.519887e-01,1.030412e-09,-9.430157e-03,6.622517e-12,6.622517e-21
/out0 (OFF=0.2098993) Y,2.520559e-01,1.193374e-09,-1.014850e-02,0,0
/out0 (OFF=0.2127517) Y,2.521282e-01,1.380783e-09,-1.091635e-02,2.649007e-11,1.059603e-19
