FeaturesParamTransientACAAN.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.517953) Y,1.890034e-01,9.971172e-08,-9.275531e-02,6.935750e-01,4.811136e-01
/out0 (OFF=0.5208054) Y,1.896799e-01,1.259936e-07,-1.042718e-01,7.101087e-01,5.043207e-01
/out0 (OFF=0.5236577) Y,1.904330e-01,1.535040e-07,-1.150973e-01,7.265215e-01,5.278988e-01
/out0 (OFF=0.5265101) Y,1.912588e-01,1.823831e-07,-1.254631e-01,7.428023e-01,5.518195e-01
/out0 (OFF=0.5293624) Y,1.921537e-01,2.117901e-07,-1.352056e-01,7.589400e-01,5.760529e-01
/out0 (OFF=0.5322148) Y,1.931127e-01,2.407441e-07,-1.441510e-01,7.749248e-01,6.005702e-01
/out0 (OFF=0.5350671) Y,1.941317e-01,2.700873e-07,-1.526806e-01,7.907468e-01,6.253409e-01
/out0 (OFF=0.5379195) Y,1.952095e-01,3.015589e-07,-1.613293e-01,8.063928e-01,6.503284e-01
/out0 (OFF=0.5407718) Y,1.963482e-01,3.364707e-07,-1.704113e-01,8.218471e-01,6.754902e-01
/out0 (OFF=0.5436242) Y,1.975513e-01,3.757632e-07,-1.800861e-01,8.370923e-01,7.007795e-01
/out0 (OFF=0.5464765) Y,1.988232e-01,4.202943e-07,-1.904575e-01,8.521097e-01,7.261452e-01
/out0 (OFF=0.5493289) Y,2.001690e-01,4.709930e-07,-2.016169e-01,8.668792e-01,7.515319e-01
/out0 (OFF=0.5521812) Y,2.015944e-01,5.289431e-07,-2.136595e-01,8.813784e-01,7.768783e-01
/out0 (OFF=0.5550336) Y,2.031060e-01,5.954528e-07,-2.266936e-01,8.955814e-01,8.021142e-01
/out0 (OFF=0.5578859) Y,2.047108e-01,6.721416e-07,-2.408482e-01,9.094568e-01,8.271575e-01
/out0 (OFF=0.5607383) Y,2.064173e-01,7.610672e-07,-2.562840e-01,9.229655e-01,8.519087e-01
/out0 (OFF=0.5635906) Y,2.082348e-01,8.649300e-07,-2.732098e-01,9.360576e-01,8.762443e-01
/out0 (OFF=0.566443) Y,2.101746e-01,9.874221e-07,-2.919118e-01,9.486693e-01,9.000107e-01
/out0 (OFF=0.5692953) Y,2.122503e-01,1.133859e-06,-3.128037e-01,9.607219e-01,9.230204e-01
/out0 (OFF=0.5721477) Y,2.144791e-01,1.312323e-06,-3.365123e-01,9.721244e-01,9.450557e-01
/out0 (OFF=0.575) Y,2.168836e-01,1.535739e-06,-3.640169e-01,9.827844e-01,9.658909e-01
Stage 2 Output
/out1 (OFF=0.15) Y,1.825816e-01,8.449620e-18,-4.684424e-07,6.718370e-02,4.513650e-03
/out1 (OFF=0.1528523) Y,1.825816e-01,5.441982e-23,-1.436288e-09,6.718488e-02,4.513809e-03
/out1 (OFF=0.1557047) Y,1.825816e-01,7.678030e-23,-1.390317e-09,6.718558e-02,4.513902e-03
/out1 (OFF=0.158557) Y,1.825816e-01,6.210139e-23,-1.681262e-09,6.718663e-02,4.514043e-03
/out1 (OFF=0.1614094) Y,1.825816e-01,4.343658e-23,-1.776304e-09,6.718777e-02,4.514197e-03
/out1 (OFF=0.1642617) Y,1.825816e-01,1.161493e-22,-2.040791e-09,6.718902e-02,4.514364e-03
/out1 (OFF=0.1671141) Y,1.825816e-01,7.264342e-23,-2.018812e-09,6.719036e-02,4.514545e-03
/out1 (OFF=0.1699664) Y,1.825816e-01,8.288944e-23,-2.249756e-09,6.719182e-02,4.514740e-03
/out1 (OFF=0.1728188) Y,1.825816e-01,1.362785e-22,-2.452896e-09,6.719339e-02,4.514952e-03
/out1 (OFF=0.1756711) Y,1.825816e-01,1.764810e-18,2.107165e-07,6.719510e-02,4.515182e-03
/out1 (OFF=0.1785235) Y,1.825816e-01,1.409626e-22,-2.908246e-09,6.719695e-02,4.515430e-03
/out1 (OFF=0.1813758) Y,1.825816e-01,1.549878e-22,-3.134887e-09,6.719894e-02,4.515698e-03
/out1 (OFF=0.1842282) Y,1.825816e-01,1.645620e-22,-3.349672e-09,6.720110e-02,4.515988e-03
/out1 (OFF=0.1870805) Y,1.825816e-01,1.917257e-22,-3.449533e-09,6.720344e-02,4.516302e-03
/out1 (OFF=0.1899329) Y,1.825816e-01,3.799040e-22,-4.036270e-09,6.720596e-02,4.516642e-03
/out1 (OFF=0.1927852) Y,1.825816e-01,2.803875e-22,-4.281265e-09,6.720869e-02,4.517008e-03
/out1 (OFF=0.1956376) Y,1.825816e-01,2.923706e-22,-4.619404e-09,6.721164e-02,4.517404e-03
/out1 (OFF=0.1984899) Y,1.825816e-01,3.343315e-22,-4.920029e-09,6.721481e-02,4.517831e-03
/out1 (OFF=0.2013423) Y,1.825816e-01,3.374676e-22,-5.324556e-09,6.721825e-02,4.518293e-03
/out1 (OFF=0.2041946) Y,1.825816e-01,3.776726e-21,3.517266e-09,6.722195e-02,4.518790e-03
/out1 (OFF=0.207047) Y,1.825816e-01,1.623120e-17,6.405308e-07,6.722594e-02,4.519327e-03
/out1 (OFF=0.2098993) Y,1.825816e-01,5.195418e-22,-6.577829e-09,6.723024e-02,4.519905e-03
/out1 (OFF=0.2127517) Y,1.825816e-01,5.862477e-22,-7.049057e-09,6.723488e-02,4.520529e-03
/out1 (OFF=0.215604) Y,1.825816e-01,7.061030e-22,-7.669349e-09,6.723987e-02,4.521201e-03
/out1 (OFF=0.2184564) Y,1.825816e-01,1.887275e-19,6.141668e-08,6.724525e-02,4.521924e-03
/out1 (OFF=0.2213087) Y,1.825816e-01,8.946756e-22,-8.801406e-09,6.725104e-02,4.522702e-03
/out1 (OFF=0.2241611) Y,1.825816e-01,3.853799e-21,-9.645380e-10,6.725727e-02,4.523541e-03
/out1 (OFF=0.2270134) Y,1.825816e-01,1.203165e-21,-1.007073e-08,6.726398e-02,4.524443e-03
/out1 (OFF=0.2298658) Y,1.825816e-01,1.375137e-21,-1.078684e-08,6.727118e-02,4.525412e-03
/out1 (OFF=0.2327181) Y,1.825816e-01,1.582706e-21,-1.152016e-08,6.727893e-02,4.526455e-03
/out1 (OFF=0.2355705) Y,1.825816e-01,1.972149e-21,-1.220514e-08,6.728726e-02,4.527575e-03
/out1 (OFF=0.2384228) Y,1.825816e-01,4.535599e-20,2.020889e-08,6.729620e-02,4.528779e-03
/out1 (OFF=0.2412752) Y,1.825816e-01,2.375765e-21,-1.401942e-08,6.730581e-02,4.530072e-03
/out1 (OFF=0.2441275) Y,1.825816e-01,2.665923e-21,-1.521586e-08,6.731612e-02,4.531460e-03
/out1 (OFF=0.2469799) Y,1.825816e-01,3.072244e-21,-1.622707e-08,6.732719e-02,4.532951e-03
/out1 (OFF=0.2498322) Y,1.825816e-01,3.521064e-21,-1.602229e-08,6.733907e-02,4.534550e-03
/out1 (OFF=0.2526846) Y,1.825816e-01,3.950021e-21,-1.835109e-08,6.735181e-02,4.536266e-03
