FeaturesParamTransientACNPP.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.3011745) Y,2.598902e-01,7.735886e-08,-8.171203e-02,1.796990e-09,3.906970e-18
/out0 (OFF=0.3040268) Y,2.604678e-01,8.688024e-08,-8.659476e-02,1.826150e-09,4.300992e-18
/out0 (OFF=0.3068792) Y,2.610800e-01,9.752378e-08,-9.174587e-02,1.962088e-09,4.831762e-18
/out0 (OFF=0.3097315) Y,2.617284e-01,1.094214e-07,-9.718122e-02,2.089504e-09,5.447011e-18
/out0 (OFF=0.3125839) Y,2.624152e-01,1.227214e-07,-1.029181e-01,2.250603e-09,6.201987e-18
/out0 (OFF=0.3154362) Y,2.631425e-01,1.375916e-07,-1.089751e-01,2.403947e-09,7.101287e-18
/out0 (OFF=0.3182886) Y,2.639126e-01,1.542211e-07,-1.153727e-01,2.511194e-09,7.796398e-18
/out0 (OFF=0.3211409) Y,2.647278e-01,1.728246e-07,-1.221332e-01,2.680067e-09,9.034348e-18
/out0 (OFF=0.3239933) Y,2.655907e-01,1.936456e-07,-1.292810e-01,2.887342e-09,1.045676e-17
/out0 (OFF=0.3268456) Y,2.665041e-01,2.169617e-07,-1.368429e-01,3.085409e-09,1.186452e-17
/out0 (OFF=0.329698) Y,2.674710e-01,2.430893e-07,-1.448483e-01,3.347410e-09,1.382931e-17
/out0 (OFF=0.3325503) Y,2.684945e-01,2.723909e-07,-1.533296e-01,3.582241e-09,1.597583e-17
/out0 (OFF=0.3354027) Y,2.695779e-01,3.052826e-07,-1.623086e-01,1.111126e-08,8.285623e-15
/out0 (OFF=0.338255) Y,2.707250e-01,3.422431e-07,-1.718644e-01,6.229365e-09,7.103212e-16
/out0 (OFF=0.3411074) Y,2.719396e-01,3.838261e-07,-1.820103e-01,4.416597e-09,2.404460e-17
/out0 (OFF=0.3439597) Y,2.732261e-01,4.306730e-07,-1.927975e-01,4.814412e-09,2.943229e-17
/out0 (OFF=0.3468121) Y,2.745891e-01,4.835300e-07,-2.042855e-01,5.405453e-09,5.267860e-17
/out0 (OFF=0.3496644) Y,2.760335e-01,5.432687e-07,-2.165364e-01,6.005847e-09,9.580547e-17
/out0 (OFF=0.3525168) Y,2.775650e-01,6.109104e-07,-2.296225e-01,5.797892e-09,4.172981e-17
/out0 (OFF=0.3553691) Y,2.791892e-01,6.876670e-07,-2.432497e-01,1.931485e-07,5.264538e-12
/out0 (OFF=0.3582215) Y,2.809132e-01,7.749304e-07,-2.586157e-01,6.890652e-08,5.811739e-13
/out0 (OFF=0.3610738) Y,2.827439e-01,8.744166e-07,-2.747144e-01,7.563853e-09,7.137147e-17
/out0 (OFF=0.3639262) Y,2.846892e-01,9.881274e-07,-2.920297e-01,7.981993e-09,7.895257e-17
/out0 (OFF=0.3667785) Y,2.867581e-01,1.118473e-06,-3.106933e-01,8.735373e-09,9.474524e-17
/out0 (OFF=0.3696309) Y,2.889602e-01,1.268353e-06,-3.308451e-01,1.444712e-08,3.754493e-15
/out0 (OFF=0.3724832) Y,2.913063e-01,1.441285e-06,-3.524520e-01,1.292237e-07,2.134222e-12
/out0 (OFF=0.3753356) Y,2.938090e-01,1.641514e-06,-3.763365e-01,3.733345e-08,1.016351e-13
/out0 (OFF=0.3781879) Y,2.964816e-01,1.874268e-06,-4.021859e-01,1.253580e-08,1.963202e-16
/out0 (OFF=0.3810403) Y,2.993393e-01,2.145939e-06,-4.303426e-01,1.515658e-08,5.038961e-16
/out0 (OFF=0.3838926) Y,3.023995e-01,2.464412e-06,-4.611317e-01,3.517979e-08,6.006926e-14
/out0 (OFF=0.386745) Y,3.056818e-01,2.839447e-06,-4.950160e-01,1.701668e-08,3.592465e-16
/out0 (OFF=0.3895973) Y,3.092080e-01,3.283191e-06,-5.320074e-01,1.605579e-07,3.031211e-12
/out0 (OFF=0.3924497) Y,3.130039e-01,3.810715e-06,-5.734539e-01,1.123439e-07,1.247064e-12
/out0 (OFF=0.395302) Y,3.170974e-01,4.440878e-06,-6.190497e-01,2.423183e-08,7.279466e-16
/out0 (OFF=0.3981544) Y,3.215214e-01,5.197066e-06,-6.696784e-01,2.761513e-08,9.521064e-16
/out0 (OFF=0.4010067) Y,3.263126e-01,6.108158e-06,-7.260045e-01,3.071847e-08,1.172366e-15
/out0 (OFF=0.4038591) Y,3.315126e-01,7.209274e-06,-7.887269e-01,3.504749e-08,1.523491e-15
/out0 (OFF=0.4067114) Y,3.371677e-01,8.541961e-06,-8.585337e-01,4.019589e-08,2.003221e-15
/out0 (OFF=0.4095638) Y,3.433286e-01,1.015292e-05,-9.359945e-01,4.636900e-08,2.657663e-15
/out0 (OFF=0.4124161) Y,3.500487e-01,1.208980e-05,-1.021252e+00,1.200966e-07,6.817480e-13
/out0 (OFF=0.4152685) Y,3.573818e-01,1.439189e-05,-1.114410e+00,6.154582e-08,4.704459e-15
/out0 (OFF=0.4181208) Y,3.653761e-01,1.707441e-05,-1.213860e+00,7.193396e-08,6.402022e-15
/out0 (OFF=0.4209732) Y,3.740675e-01,2.010788e-05,-1.317329e+00,8.128953e-08,8.164452e-15
/out0 (OFF=0.4238255) Y,3.834712e-01,2.340292e-05,-1.421226e+00,9.181320e-08,1.043347e-14
/out0 (OFF=0.4266779) Y,3.935757e-01,2.681634e-05,-1.521301e+00,1.527342e-07,4.007031e-13
/out0 (OFF=0.4295302) Y,4.043427e-01,3.018707e-05,-1.614223e+00,1.168164e-07,1.901630e-14
/out0 (OFF=0.4323826) Y,4.157142e-01,3.338549e-05,-1.697612e+00,1.258248e-07,2.197071e-14
/out0 (OFF=0.4352349) Y,4.276241e-01,3.634399e-05,-1.771115e+00,1.986387e-07,7.713958e-13
/out0 (OFF=0.4380872) Y,4.400088e-01,3.905416e-05,-1.836110e+00,1.345468e-07,2.243905e-14
/out0 (OFF=0.4409396) Y,4.528133e-01,4.154367e-05,-1.893726e+00,9.010013e-05,1.200761e-08
/out0 (OFF=0.4437919) Y,4.659932e-01,4.385249e-05,-1.945635e+00,2.053450e-04,5.430823e-08
/out0 (OFF=0.4466443) Y,4.795138e-01,4.601850e-05,-1.993104e+00,2.403381e-04,7.377090e-08
/out0 (OFF=0.4494966) Y,4.933480e-01,4.807173e-05,-2.037062e+00,1.829265e-04,4.367942e-08
/out0 (OFF=0.452349) Y,5.074741e-01,5.003367e-05,-2.078234e+00,1.041829e-03,1.348471e-06
/out0 (OFF=0.4552013) Y,5.218745e-01,5.191851e-05,-2.117017e+00,1.006645e-03,1.259516e-06
/out0 (OFF=0.4580537) Y,5.365339e-01,5.373489e-05,-2.153731e+00,1.580037e-07,3.141655e-14
/out0 (OFF=0.460906) Y,5.514387e-01,5.548736e-05,-2.188570e+00,1.575693e-07,3.076852e-14
/out0 (OFF=0.4637584) Y,5.665766e-01,5.717761e-05,-2.221655e+00,1.582394e-07,3.103332e-14
/out0 (OFF=0.4666107) Y,5.819358e-01,5.880525e-05,-2.253055e+00,1.585876e-07,3.114463e-14
/out0 (OFF=0.4694631) Y,5.975047e-01,6.036842e-05,-2.282804e+00,1.601916e-07,3.162121e-14
/out0 (OFF=0.4723154) Y,6.132722e-01,6.186423e-05,-2.310914e+00,1.611177e-07,3.217391e-14
/out0 (OFF=0.4751678) Y,6.292269e-01,6.328902e-05,-2.337375e+00,1.622348e-07,3.261793e-14
/out0 (OFF=0.4780201) Y,6.453574e-01,6.463856e-05,-2.362165e+00,1.629418e-07,3.286878e-14
/out0 (OFF=0.4808725) Y,6.616523e-01,6.590825e-05,-2.385253e+00,1.630340e-07,3.294307e-14
/out0 (OFF=0.4837248) Y,6.780996e-01,6.709318e-05,-2.406600e+00,1.626773e-07,3.279425e-14
/out0 (OFF=0.4865772) Y,6.946872e-01,6.818828e-05,-2.426161e+00,1.619725e-07,3.251580e-14
/out0 (OFF=0.4894295) Y,7.114028e-01,6.918838e-05,-2.443889e+00,1.609013e-07,3.207493e-14
/out0 (OFF=0.4922819) Y,7.282336e-01,7.008831e-05,-2.459733e+00,1.594929e-07,3.151864e-14
/out0 (OFF=0.4951342) Y,7.451664e-01,7.088302e-05,-2.473639e+00,1.577060e-07,3.082007e-14
/out0 (OFF=0.4979866) Y,7.621879e-01,7.156766e-05,-2.485558e+00,1.555765e-07,3.000043e-14
/out0 (OFF=0.5008389) Y,7.792841e-01,7.213768e-05,-2.495437e+00,1.531599e-07,2.906937e-14
/out0 (OFF=0.5036913) Y,7.964409e-01,7.258885e-05,-2.503229e+00,1.504149e-07,2.803557e-14
/out0 (OFF=0.5065436) Y,8.136438e-01,7.291761e-05,-2.508892e+00,1.475734e-07,2.698506e-14
/out0 (OFF=0.509396) Y,8.308782e-01,7.312096e-05,-2.512388e+00,1.446498e-07,2.592881e-14
/out0 (OFF=0.5122483) Y,8.481289e-01,7.319679e-05,-2.513691e+00,1.417637e-07,2.490068e-14
/out0 (OFF=0.5151007) Y,8.653810e-01,7.314399e-05,-2.512785e+00,1.391248e-07,2.398006e-14
/out0 (OFF=0.517953) Y,8.826193e-01,7.296212e-05,-2.509659e+00,1.366972e-07,2.314967e-14
/out0 (OFF=0.5208054) Y,8.998284e-01,7.265180e-05,-2.504316e+00,1.344525e-07,2.239727e-14
/out0 (OFF=0.5236577) Y,9.169932e-01,7.221471e-05,-2.496772e+00,1.323445e-07,2.170308e-14
/out0 (OFF=0.5265101) Y,9.340988e-01,7.165345e-05,-2.487050e+00,1.303514e-07,2.105163e-14
/out0 (OFF=0.5293624) Y,9.511302e-01,7.097146e-05,-2.475185e+00,1.283893e-07,2.042480e-14
/out0 (OFF=0.5322148) Y,9.680729e-01,7.017276e-05,-2.461218e+00,1.263903e-07,1.979452e-14
/out0 (OFF=0.5350671) Y,9.849127e-01,6.926170e-05,-2.445188e+00,1.243655e-07,1.916059e-14
/out0 (OFF=0.5379195) Y,1.001635e+00,6.824245e-05,-2.427130e+00,1.221898e-07,1.849468e-14
/out0 (OFF=0.5407718) Y,1.018227e+00,6.711842e-05,-2.407058e+00,1.199108e-07,1.781716e-14
/out0 (OFF=0.5436242) Y,1.034674e+00,6.589137e-05,-2.384954e+00,1.174857e-07,1.710341e-14
/out0 (OFF=0.5464765) Y,1.050962e+00,6.456021e-05,-2.360741e+00,1.148404e-07,1.634687e-14
/out0 (OFF=0.5493289) Y,1.067076e+00,6.311936e-05,-2.334251e+00,1.120097e-07,1.554696e-14
/out0 (OFF=0.5521812) Y,1.083000e+00,6.155650e-05,-2.305174e+00,1.089128e-07,1.469931e-14
/out0 (OFF=0.5550336) Y,1.098713e+00,5.984962e-05,-2.272995e+00,1.055438e-07,1.380324e-14
/out0 (OFF=0.5578859) Y,1.114192e+00,5.796371e-05,-2.236903e+00,1.018436e-07,1.285229e-14
/out0 (OFF=0.5607383) Y,1.129406e+00,5.584809e-05,-2.195729e+00,1.065815e-07,2.378960e-14
/out0 (OFF=0.5635906) Y,1.144314e+00,5.343755e-05,-2.147815e+00,9.413239e-08,1.091612e-14
/out0 (OFF=0.566443) Y,1.158863e+00,5.066279e-05,-2.091315e+00,8.785190e-08,9.567846e-15
/out0 (OFF=0.5692953) Y,1.172990e+00,4.747599e-05,-2.024472e+00,8.189329e-08,8.317167e-15
/out0 (OFF=0.5721477) Y,1.186619e+00,4.388933e-05,-1.946484e+00,7.535406e-08,7.043952e-15
/out0 (OFF=0.575) Y,1.199681e+00,4.006082e-05,-1.859529e+00,6.852527e-08,5.825610e-15
Stage 2 Output
/out1 (OFF=0.15) Y,7.504231e-02,1.979679e-11,7.148838e-04,1.747230e-01,3.052812e-02
/out1 (OFF=0.1528523) Y,7.504268e-02,2.854199e-18,-4.961916e-07,1.747238e-01,3.052841e-02
/out1 (OFF=0.1557047) Y,7.504268e-02,3.357187e-18,-5.381090e-07,1.747245e-01,3.052865e-02
/out1 (OFF=0.158557) Y,7.504268e-02,3.506781e-17,3.119623e-07,1.747255e-01,3.052902e-02
/out1 (OFF=0.1614094) Y,7.504269e-02,3.561700e-17,2.609074e-07,1.747267e-01,3.052941e-02
/out1 (OFF=0.1642617) Y,7.504269e-02,3.453004e-17,1.801484e-07,1.747279e-01,3.052985e-02
/out1 (OFF=0.1671141) Y,7.504252e-02,4.458744e-12,3.386038e-04,1.747294e-01,3.053037e-02
/out1 (OFF=0.1699664) Y,7.504270e-02,7.495140e-18,-8.042604e-07,1.747307e-01,3.053082e-02
/out1 (OFF=0.1728188) Y,7.504271e-02,8.786008e-18,-8.678800e-07,1.747323e-01,3.053137e-02
/out1 (OFF=0.1756711) Y,7.504271e-02,1.036600e-17,-8.994283e-07,1.747340e-01,3.053196e-02
/out1 (OFF=0.1785235) Y,7.504272e-02,1.204826e-17,-1.019621e-06,1.747358e-01,3.053261e-02
/out1 (OFF=0.1813758) Y,7.504273e-02,1.409556e-17,-1.102847e-06,1.747378e-01,3.053330e-02
/out1 (OFF=0.1842282) Y,7.504273e-02,4.765066e-17,-2.967921e-07,1.747400e-01,3.053406e-02
/out1 (OFF=0.1870805) Y,7.504274e-02,1.925454e-17,-1.288977e-06,1.747423e-01,3.053487e-02
/out1 (OFF=0.1899329) Y,7.504268e-02,8.644734e-13,1.479798e-04,1.747449e-01,3.053577e-02
