FeaturesParamTransientACPAP.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.264094) Y,7.685250e-02,2.185917e-13,-1.358773e-04,1.779610e-01,3.167012e-02
/out0 (OFF=0.2669463) Y,7.685348e-02,2.483757e-13,-1.449375e-04,1.782235e-01,3.176363e-02
/out0 (OFF=0.2697987) Y,7.685452e-02,2.819242e-13,-1.545138e-04,1.785031e-01,3.186338e-02
/out0 (OFF=0.272651) Y,7.685562e-02,3.196731e-13,-1.646301e-04,1.788007e-01,3.196973e-02
/out0 (OFF=0.2755034) Y,7.685680e-02,3.621041e-13,-1.753115e-04,1.791174e-01,3.208307e-02
/out0 (OFF=0.2783557) Y,7.685805e-02,4.097495e-13,-1.865836e-04,1.794542e-01,3.220383e-02
/out0 (OFF=0.2812081) Y,7.685938e-02,4.631968e-13,-1.984735e-04,1.798122e-01,3.233244e-02
/out0 (OFF=0.2840604) Y,7.686080e-02,5.230941e-13,-2.110091e-04,1.801925e-01,3.246938e-02
/out0 (OFF=0.2869128) Y,7.686230e-02,5.901558e-13,-2.242193e-04,1.805965e-01,3.261514e-02
/out0 (OFF=0.2897651) Y,7.686390e-02,6.651693e-13,-2.381343e-04,1.810254e-01,3.277025e-02
/out0 (OFF=0.2926174) Y,7.686559e-02,7.490014e-13,-2.527856e-04,1.814806e-01,3.293527e-02
/out0 (OFF=0.2954698) Y,7.686739e-02,8.426065e-13,-2.682060e-04,1.819635e-01,3.311079e-02
/out0 (OFF=0.2983221) Y,7.686930e-02,9.470346e-13,-2.844294e-04,1.824757e-01,3.329745e-02
/out0 (OFF=0.3011745) Y,7.687132e-02,1.063336e-12,-3.029484e-04,1.830187e-01,3.349592e-02
/out0 (OFF=0.3040268) Y,7.687346e-02,1.192987e-12,-3.208867e-04,1.835942e-01,3.370692e-02
/out0 (OFF=0.3068792) Y,7.687573e-02,1.337386e-12,-3.382797e-04,1.842041e-01,3.393123e-02
/out0 (OFF=0.3097315) Y,7.687813e-02,1.497744e-12,-3.595452e-04,1.848501e-01,3.416966e-02
/out0 (OFF=0.3125839) Y,7.688067e-02,1.676171e-12,-3.788858e-04,1.855343e-01,3.442311e-02
/out0 (OFF=0.3154362) Y,7.688335e-02,1.874080e-12,-4.020940e-04,1.862589e-01,3.469252e-02
/out0 (OFF=0.3182886) Y,7.688619e-02,2.093927e-12,-4.236494e-04,1.870261e-01,3.497891e-02
/out0 (OFF=0.3211409) Y,7.688919e-02,2.337604e-12,-4.477048e-04,1.878382e-01,3.528338e-02
/out0 (OFF=0.3239933) Y,7.689236e-02,2.607649e-12,-4.729403e-04,1.886980e-01,3.560712e-02
/out0 (OFF=0.3268456) Y,7.689571e-02,2.906720e-12,-4.994068e-04,1.896080e-01,3.595142e-02
/out0 (OFF=0.329698) Y,7.689924e-02,3.237729e-12,-5.271569e-04,1.905713e-01,3.631767e-02
/out0 (OFF=0.3325503) Y,7.690297e-02,3.603858e-12,-5.562452e-04,1.915910e-01,3.670738e-02
/out0 (OFF=0.3354027) Y,7.690689e-02,4.048471e-12,-5.564094e-04,1.926705e-01,3.712221e-02
/out0 (OFF=0.338255) Y,7.691105e-02,4.455703e-12,-6.186648e-04,1.938133e-01,3.756394e-02
/out0 (OFF=0.3411074) Y,7.691542e-02,4.949231e-12,-6.535933e-04,1.950235e-01,3.803455e-02
/out0 (OFF=0.3439597) Y,7.692003e-02,5.493934e-12,-6.886218e-04,1.963053e-01,3.853621e-02
/out0 (OFF=0.3468121) Y,7.692488e-02,6.094673e-12,-7.243038e-04,1.976633e-01,3.907127e-02
/out0 (OFF=0.3496644) Y,7.692999e-02,6.756722e-12,-7.621805e-04,1.991026e-01,3.964237e-02
/out0 (OFF=0.3525168) Y,7.693537e-02,7.485829e-12,-8.023267e-04,2.006285e-01,4.025240e-02
/out0 (OFF=0.3553691) Y,7.694104e-02,8.288221e-12,-8.458063e-04,2.022471e-01,4.090456e-02
/out0 (OFF=0.3582215) Y,7.694699e-02,9.171009e-12,-8.897113e-04,2.039648e-01,4.160241e-02
/out0 (OFF=0.3610738) Y,7.695326e-02,1.014145e-11,-9.355241e-04,2.057891e-01,4.235001e-02
/out0 (OFF=0.3639262) Y,7.695985e-02,1.120753e-11,-9.835492e-04,2.077276e-01,4.315175e-02
/out0 (OFF=0.3667785) Y,7.696677e-02,1.237787e-11,-1.033629e-03,2.097894e-01,4.401268e-02
/out0 (OFF=0.3696309) Y,7.697404e-02,1.366176e-11,-1.085913e-03,2.119840e-01,4.493845e-02
/out0 (OFF=0.3724832) Y,7.698169e-02,1.506919e-11,-1.140478e-03,2.143223e-01,4.593548e-02
/out0 (OFF=0.3753356) Y,7.698971e-02,1.661086e-11,-1.197398e-03,2.168166e-01,4.701104e-02
/out0 (OFF=0.3781879) Y,7.699813e-02,1.829827e-11,-1.256747e-03,2.194803e-01,4.817344e-02
/out0 (OFF=0.3810403) Y,7.700697e-02,2.014383e-11,-1.317115e-03,2.223288e-01,4.943219e-02
/out0 (OFF=0.3838926) Y,7.701624e-02,2.216032e-11,-1.381505e-03,2.253792e-01,5.079823e-02
/out0 (OFF=0.386745) Y,7.702597e-02,2.436163e-11,-1.450096e-03,2.286512e-01,5.228417e-02
