FeaturesParamTransientACNPA.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.3011745) Y,2.598902e-01,7.735886e-08,-8.171203e-02,1.797011e-09,3.907336e-18
/out0 (OFF=0.3040268) Y,2.604678e-01,8.688024e-08,-8.659476e-02,1.826930e-09,4.301358e-18
/out0 (OFF=0.3068792) Y,2.610800e-01,9.752378e-08,-9.174587e-02,1.961786e-09,4.830011e-18
/out0 (OFF=0.3097315) Y,2.617284e-01,1.094214e-07,-9.718122e-02,2.089086e-09,5.446455e-18
/out0 (OFF=0.3125839) Y,2.624152e-01,1.227214e-07,-1.029181e-01,2.249787e-09,6.201136e-18
/out0 (OFF=0.3154362) Y,2.631425e-01,1.375916e-07,-1.089751e-01,2.402780e-09,7.100895e-18
/out0 (OFF=0.3182886) Y,2.639126e-01,1.542211e-07,-1.153727e-01,2.512009e-09,7.799480e-18
/out0 (OFF=0.3211409) Y,2.647278e-01,1.728246e-07,-1.221332e-01,2.680381e-09,9.034751e-18
/out0 (OFF=0.3239933) Y,2.655907e-01,1.936456e-07,-1.292810e-01,2.887405e-09,1.045670e-17
/out0 (OFF=0.3268456) Y,2.665041e-01,2.169617e-07,-1.368429e-01,3.085460e-09,1.186373e-17
/out0 (OFF=0.329698) Y,2.674710e-01,2.430893e-07,-1.448483e-01,3.328510e-09,1.375661e-17
/out0 (OFF=0.3325503) Y,2.684945e-01,2.723909e-07,-1.533298e-01,3.527947e-09,1.551319e-17
/out0 (OFF=0.3354027) Y,2.695779e-01,3.052826e-07,-1.623086e-01,1.111106e-08,8.285885e-15
/out0 (OFF=0.338255) Y,2.707250e-01,3.422431e-07,-1.718645e-01,6.183841e-09,6.809191e-16
/out0 (OFF=0.3411074) Y,2.719396e-01,3.838261e-07,-1.820103e-01,4.415429e-09,2.403774e-17
/out0 (OFF=0.3439597) Y,2.732261e-01,4.306730e-07,-1.927975e-01,4.811920e-09,2.942101e-17
/out0 (OFF=0.3468121) Y,2.745891e-01,4.835300e-07,-2.042862e-01,5.030416e-09,3.121661e-17
/out0 (OFF=0.3496644) Y,2.760335e-01,5.432687e-07,-2.165379e-01,5.496747e-09,3.832337e-17
/out0 (OFF=0.3525168) Y,2.775650e-01,6.109104e-07,-2.296159e-01,9.100506e-09,1.692076e-15
/out0 (OFF=0.3553691) Y,2.791893e-01,6.876573e-07,-2.436180e-01,6.720618e-09,6.969404e-17
/out0 (OFF=0.3582215) Y,2.809132e-01,7.749304e-07,-2.586157e-01,6.890820e-08,5.811740e-13
/out0 (OFF=0.3610738) Y,2.827439e-01,8.744166e-07,-2.747144e-01,7.563534e-09,7.136787e-17
/out0 (OFF=0.3639262) Y,2.846892e-01,9.881274e-07,-2.920297e-01,7.982243e-09,7.895508e-17
