FeaturesParamTransientACAAP.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.3011745) Y,1.844962e-01,3.532071e-12,-5.521396e-04,7.539384e-02,5.684307e-03
/out0 (OFF=0.3040268) Y,1.845001e-01,3.922836e-12,-5.818819e-04,7.596761e-02,5.771163e-03
/out0 (OFF=0.3068792) Y,1.845042e-01,4.351670e-12,-6.128627e-04,7.657561e-02,5.863920e-03
/out0 (OFF=0.3097315) Y,1.845085e-01,4.821744e-12,-6.450243e-04,7.721973e-02,5.962994e-03
/out0 (OFF=0.3125839) Y,1.845130e-01,5.336431e-12,-6.786748e-04,7.790197e-02,6.068837e-03
/out0 (OFF=0.3154362) Y,1.845178e-01,5.899359e-12,-7.135743e-04,7.862445e-02,6.181939e-03
/out0 (OFF=0.3182886) Y,1.845228e-01,6.514383e-12,-7.498492e-04,7.938944e-02,6.302834e-03
/out0 (OFF=0.3211409) Y,1.845281e-01,7.185624e-12,-7.875352e-04,8.019933e-02,6.432102e-03
/out0 (OFF=0.3239933) Y,1.845337e-01,7.917475e-12,-8.266687e-04,8.105669e-02,6.570378e-03
/out0 (OFF=0.3268456) Y,1.845395e-01,8.714622e-12,-8.672872e-04,8.196427e-02,6.718355e-03
/out0 (OFF=0.329698) Y,1.845456e-01,9.582062e-12,-9.094283e-04,8.292500e-02,6.876793e-03
/out0 (OFF=0.3325503) Y,1.845520e-01,1.052512e-11,-9.531316e-04,8.394201e-02,7.046528e-03
/out0 (OFF=0.3354027) Y,1.845587e-01,1.154947e-11,-9.984373e-04,8.501870e-02,7.228478e-03
/out0 (OFF=0.338255) Y,1.845657e-01,1.266117e-11,-1.045387e-03,8.615869e-02,7.423656e-03
/out0 (OFF=0.3411074) Y,1.845730e-01,1.386667e-11,-1.094023e-03,8.736593e-02,7.633183e-03
/out0 (OFF=0.3439597) Y,1.845807e-01,1.517287e-11,-1.144392e-03,8.864466e-02,7.858299e-03
/out0 (OFF=0.3468121) Y,1.845887e-01,1.658711e-11,-1.196538e-03,8.999949e-02,8.100384e-03
/out0 (OFF=0.3496644) Y,1.845971e-01,1.811725e-11,-1.250511e-03,9.143544e-02,8.360973e-03
/out0 (OFF=0.3525168) Y,1.846059e-01,1.977171e-11,-1.306363e-03,9.295797e-02,8.641783e-03
/out0 (OFF=0.3553691) Y,1.846151e-01,2.155948e-11,-1.364147e-03,9.457305e-02,8.944736e-03
/out0 (OFF=0.3582215) Y,1.846246e-01,2.349021e-11,-1.423920e-03,9.628717e-02,9.271980e-03
/out0 (OFF=0.3610738) Y,1.846346e-01,2.557428e-11,-1.485744e-03,9.810772e-02,9.625983e-03
/out0 (OFF=0.3639262) Y,1.846450e-01,2.782283e-11,-1.549685e-03,1.000424e-01,1.000946e-02
/out0 (OFF=0.3667785) Y,1.846559e-01,3.024790e-11,-1.615811e-03,1.021002e-01,1.042555e-02
/out0 (OFF=0.3696309) Y,1.846672e-01,3.286250e-11,-1.684198e-03,1.042908e-01,1.087781e-02
/out0 (OFF=0.3724832) Y,1.846790e-01,3.568069e-11,-1.754930e-03,1.066250e-01,1.137030e-02
/out0 (OFF=0.3753356) Y,1.846913e-01,3.871779e-11,-1.828094e-03,1.091149e-01,1.190768e-02
/out0 (OFF=0.3781879) Y,1.847041e-01,4.199046e-11,-1.903788e-03,1.117743e-01,1.249533e-02
/out0 (OFF=0.3810403) Y,1.847175e-01,4.551692e-11,-1.982119e-03,1.146182e-01,1.313945e-02
/out0 (OFF=0.3838926) Y,1.847314e-01,4.931714e-11,-2.063205e-03,1.176641e-01,1.384727e-02
/out0 (OFF=0.386745) Y,1.847458e-01,5.341309e-11,-2.147174e-03,1.209313e-01,1.462718e-02
/out0 (OFF=0.3895973) Y,1.847609e-01,5.782902e-11,-2.234170e-03,1.244420e-01,1.548905e-02
/out0 (OFF=0.3924497) Y,1.847765e-01,6.259180e-11,-2.324353e-03,1.282212e-01,1.644444e-02
/out0 (OFF=0.395302) Y,1.847928e-01,6.773133e-11,-2.417898e-03,1.322977e-01,1.750706e-02
/out0 (OFF=0.3981544) Y,1.848097e-01,7.328096e-11,-2.515004e-03,1.367037e-01,1.869301e-02
/out0 (OFF=0.4010067) Y,1.848273e-01,7.927812e-11,-2.615891e-03,1.414760e-01,2.002148e-02
/out0 (OFF=0.4038591) Y,1.848456e-01,8.576490e-11,-2.720806e-03,1.466561e-01,2.151514e-02
/out0 (OFF=0.4067114) Y,1.848647e-01,9.278891e-11,-2.830027e-03,1.522904e-01,2.320080e-02
/out0 (OFF=0.4095638) Y,1.848845e-01,1.004042e-10,-2.943866e-03,1.584294e-01,2.510988e-02
/out0 (OFF=0.4124161) Y,1.849051e-01,1.086723e-10,-3.062677e-03,1.651265e-01,2.727869e-02
/out0 (OFF=0.4152685) Y,1.849266e-01,1.176639e-10,-3.186860e-03,1.724352e-01,2.974812e-02
/out0 (OFF=0.4181208) Y,1.849489e-01,1.274601e-10,-3.316867e-03,1.804040e-01,3.256246e-02
/out0 (OFF=0.4209732) Y,1.849721e-01,1.381550e-10,-3.453215e-03,1.890686e-01,3.576682e-02
/out0 (OFF=0.4238255) Y,1.849963e-01,1.498576e-10,-3.596492e-03,1.984445e-01,3.940337e-02
/out0 (OFF=0.4266779) Y,1.850215e-01,1.626956e-10,-3.747372e-03,2.085203e-01,4.350724e-02
/out0 (OFF=0.4295302) Y,1.850478e-01,1.768189e-10,-3.906631e-03,2.192578e-01,4.810383e-02
/out0 (OFF=0.4323826) Y,1.850752e-01,1.924258e-10,-4.100513e-03,2.305991e-01,5.320897e-02
/out0 (OFF=0.4352349) Y,1.851038e-01,2.096639e-10,-4.254003e-03,2.424782e-01,5.883159e-02
/out0 (OFF=0.4380872) Y,1.851337e-01,2.288488e-10,-4.444358e-03,2.548311e-01,6.497749e-02
