FeaturesParamTransientACNNP.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.3011745) Y,2.598902e-01,7.735886e-08,-8.171206e-02,2.391778e-10,8.032070e-20
/out0 (OFF=0.3040268) Y,2.604678e-01,8.688024e-08,-8.659480e-02,2.689230e-10,9.631546e-20
/out0 (OFF=0.3068792) Y,2.610800e-01,9.752378e-08,-9.174590e-02,2.605447e-10,8.900461e-20
/out0 (OFF=0.3097315) Y,2.617284e-01,1.094214e-07,-9.718126e-02,2.193403e-10,7.105703e-20
/out0 (OFF=0.3125839) Y,2.624152e-01,1.227214e-07,-1.029181e-01,2.949661e-10,1.052756e-19
/out0 (OFF=0.3154362) Y,2.631425e-01,1.375916e-07,-1.089751e-01,2.534471e-10,7.963273e-20
/out0 (OFF=0.3182886) Y,2.639126e-01,1.542211e-07,-1.153728e-01,2.155701e-10,6.963334e-20
/out0 (OFF=0.3211409) Y,2.647278e-01,1.728246e-07,-1.221333e-01,2.350215e-10,7.748088e-20
/out0 (OFF=0.3239933) Y,2.655907e-01,1.936456e-07,-1.292811e-01,2.582699e-10,8.973903e-20
/out0 (OFF=0.3268456) Y,2.665041e-01,2.169617e-07,-1.368430e-01,2.545505e-10,8.728762e-20
/out0 (OFF=0.329698) Y,2.674710e-01,2.430893e-07,-1.448484e-01,2.607741e-10,8.683880e-20
/out0 (OFF=0.3325503) Y,2.684945e-01,2.723909e-07,-1.533298e-01,2.692618e-10,8.996724e-20
/out0 (OFF=0.3354027) Y,2.695779e-01,3.052825e-07,-1.623233e-01,2.601839e-10,9.174447e-20
/out0 (OFF=0.338255) Y,2.707250e-01,3.422431e-07,-1.718687e-01,2.650175e-10,8.560396e-20
/out0 (OFF=0.3411074) Y,2.719396e-01,3.838261e-07,-1.820104e-01,2.522456e-10,8.622811e-20
/out0 (OFF=0.3439597) Y,2.732261e-01,4.306730e-07,-1.927978e-01,2.711975e-10,9.474077e-20
/out0 (OFF=0.3468121) Y,2.745891e-01,4.835300e-07,-2.042863e-01,2.532102e-10,8.936641e-20
/out0 (OFF=0.3496644) Y,2.760335e-01,5.432687e-07,-2.165377e-01,2.551205e-10,8.606670e-20
/out0 (OFF=0.3525168) Y,2.775650e-01,6.109104e-07,-2.296226e-01,2.241290e-10,6.680277e-20
/out0 (OFF=0.3553691) Y,2.791893e-01,6.876573e-07,-2.436188e-01,2.499827e-10,7.923682e-20
/out0 (OFF=0.3582215) Y,2.809132e-01,7.749304e-07,-2.586158e-01,6.241763e-08,5.811154e-13
/out0 (OFF=0.3610738) Y,2.827439e-01,8.744166e-07,-2.747142e-01,2.614418e-10,9.064912e-20
/out0 (OFF=0.3639262) Y,2.846892e-01,9.881273e-07,-2.920300e-01,2.675722e-10,9.518016e-20
/out0 (OFF=0.3667785) Y,2.867581e-01,1.118473e-06,-3.106934e-01,2.565443e-10,8.271488e-20
/out0 (OFF=0.3696309) Y,2.889602e-01,1.268353e-06,-3.308550e-01,2.442069e-10,8.227219e-20
/out0 (OFF=0.3724832) Y,2.913065e-01,1.441278e-06,-3.526871e-01,2.456634e-10,8.053930e-20
/out0 (OFF=0.3753356) Y,2.938090e-01,1.641513e-06,-3.763879e-01,2.300938e-10,7.528666e-20
/out0 (OFF=0.3781879) Y,2.964816e-01,1.874268e-06,-4.021861e-01,2.428557e-10,7.927440e-20
/out0 (OFF=0.3810403) Y,2.993393e-01,2.145939e-06,-4.303455e-01,2.206972e-10,6.678108e-20
/out0 (OFF=0.3838926) Y,3.023995e-01,2.464411e-06,-4.611712e-01,2.791404e-10,9.831866e-20
/out0 (OFF=0.386745) Y,3.056818e-01,2.839447e-06,-4.950163e-01,2.513995e-10,8.233667e-20
/out0 (OFF=0.3895973) Y,3.092082e-01,3.283179e-06,-5.322878e-01,2.088478e-10,5.852066e-20
/out0 (OFF=0.3924497) Y,3.130038e-01,3.810723e-06,-5.732745e-01,2.788723e-10,1.000097e-19
