FeaturesParamTransientACAPN.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.2127517) Y,1.844417e-01,7.312874e-14,-7.943350e-05,6.768647e-02,4.581460e-03
/out0 (OFF=0.215604) Y,1.844423e-01,8.440668e-14,-8.533998e-05,6.776365e-02,4.591914e-03
/out0 (OFF=0.2184564) Y,1.844429e-01,9.731695e-14,-9.163533e-05,6.784661e-02,4.603165e-03
/out0 (OFF=0.2213087) Y,1.844436e-01,1.120763e-13,-9.833983e-05,6.793572e-02,4.615264e-03
/out0 (OFF=0.2241611) Y,1.844443e-01,1.289274e-13,-1.054748e-04,6.803144e-02,4.628280e-03
/out0 (OFF=0.2270134) Y,1.844450e-01,1.481405e-13,-1.130619e-04,6.813416e-02,4.642266e-03
/out0 (OFF=0.2298658) Y,1.844458e-01,1.700170e-13,-1.211233e-04,6.824434e-02,4.657293e-03
/out0 (OFF=0.2327181) Y,1.844467e-01,1.948917e-13,-1.296826e-04,6.836247e-02,4.673431e-03
/out0 (OFF=0.2355705) Y,1.844476e-01,2.231361e-13,-1.387628e-04,6.848906e-02,4.690755e-03
/out0 (OFF=0.2384228) Y,1.844486e-01,2.551617e-13,-1.483877e-04,6.862463e-02,4.709345e-03
/out0 (OFF=0.2412752) Y,1.844496e-01,2.914234e-13,-1.585823e-04,6.876976e-02,4.729286e-03
/out0 (OFF=0.2441275) Y,1.844508e-01,3.324230e-13,-1.693718e-04,6.892504e-02,4.750668e-03
/out0 (OFF=0.2469799) Y,1.844520e-01,3.787136e-13,-1.807810e-04,6.909108e-02,4.773585e-03
/out0 (OFF=0.2498322) Y,1.844532e-01,4.309026e-13,-1.928364e-04,6.926855e-02,4.798140e-03
/out0 (OFF=0.2526846) Y,1.844546e-01,4.896575e-13,-2.055726e-04,6.945812e-02,4.824439e-03
/out0 (OFF=0.2555369) Y,1.844561e-01,5.557097e-13,-2.189543e-04,6.966052e-02,4.852598e-03
/out0 (OFF=0.2583893) Y,1.844576e-01,6.298572e-13,-2.331452e-04,6.987650e-02,4.882737e-03
/out0 (OFF=0.2612416) Y,1.844593e-01,7.129745e-13,-2.480526e-04,7.010686e-02,4.914985e-03
/out0 (OFF=0.264094) Y,1.844610e-01,8.384303e-13,-2.928654e-04,7.035242e-02,4.949478e-03
/out0 (OFF=0.2669463) Y,1.844629e-01,9.100084e-13,-2.802463e-04,7.061409e-02,4.986367e-03
/out0 (OFF=0.2697987) Y,1.844649e-01,1.026087e-12,-2.975904e-04,7.089275e-02,5.025802e-03
/out0 (OFF=0.272651) Y,1.844670e-01,1.155471e-12,-3.157945e-04,7.118938e-02,5.067951e-03
/out0 (OFF=0.2755034) Y,1.844692e-01,1.301863e-12,-3.272791e-04,7.150500e-02,5.112990e-03
/out0 (OFF=0.2783557) Y,1.844716e-01,1.459561e-12,-3.549281e-04,7.184064e-02,5.161107e-03
/out0 (OFF=0.2812081) Y,1.844741e-01,1.637249e-12,-3.759129e-04,7.219744e-02,5.212504e-03
/out0 (OFF=0.2840604) Y,1.844767e-01,1.834220e-12,-3.978837e-04,7.257657e-02,5.267396e-03
/out0 (OFF=0.2869128) Y,1.844796e-01,2.052276e-12,-4.208710e-04,7.297926e-02,5.326014e-03
/out0 (OFF=0.2897651) Y,1.844825e-01,2.302206e-12,-4.300650e-04,7.340680e-02,5.388606e-03
/out0 (OFF=0.2926174) Y,1.844857e-01,2.559552e-12,-4.700178e-04,7.386055e-02,5.455434e-03
/out0 (OFF=0.2954698) Y,1.844890e-01,2.853102e-12,-4.962396e-04,7.434195e-02,5.526785e-03
/out0 (OFF=0.2983221) Y,1.844925e-01,3.191800e-12,-5.039855e-04,7.485252e-02,5.602968e-03
/out0 (OFF=0.3011745) Y,1.844962e-01,3.532071e-12,-5.521395e-04,7.539384e-02,5.684307e-03
/out0 (OFF=0.3040268) Y,1.845001e-01,3.923443e-12,-5.782469e-04,7.596761e-02,5.771163e-03
/out0 (OFF=0.3068792) Y,1.845042e-01,4.351671e-12,-6.128501e-04,7.657561e-02,5.863920e-03
