FeaturesParamTransientACPPN.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.3011745) Y,7.687132e-02,1.063440e-12,-3.014923e-04,1.830187e-01,3.349592e-02
/out0 (OFF=0.3040268) Y,7.687346e-02,1.193092e-12,-3.194285e-04,1.835942e-01,3.370692e-02
/out0 (OFF=0.3068792) Y,7.687573e-02,1.337386e-12,-3.382796e-04,1.842041e-01,3.393123e-02
/out0 (OFF=0.3097315) Y,7.687813e-02,1.497852e-12,-3.580847e-04,1.848501e-01,3.416966e-02
/out0 (OFF=0.3125839) Y,7.688067e-02,1.676171e-12,-3.788857e-04,1.855343e-01,3.442311e-02
/out0 (OFF=0.3154362) Y,7.688335e-02,1.874604e-12,-3.987417e-04,1.862589e-01,3.469252e-02
/out0 (OFF=0.3182886) Y,7.688619e-02,2.093927e-12,-4.236493e-04,1.870261e-01,3.497891e-02
/out0 (OFF=0.3211409) Y,7.688919e-02,2.337604e-12,-4.477047e-04,1.878382e-01,3.528338e-02
/out0 (OFF=0.3239933) Y,7.689236e-02,2.607649e-12,-4.729402e-04,1.886980e-01,3.560712e-02
/out0 (OFF=0.3268456) Y,7.689571e-02,2.906720e-12,-4.994066e-04,1.896080e-01,3.595142e-02
/out0 (OFF=0.329698) Y,7.689924e-02,3.237729e-12,-5.271567e-04,1.905713e-01,3.631767e-02
/out0 (OFF=0.3325503) Y,7.690297e-02,3.603858e-12,-5.562451e-04,1.915910e-01,3.670738e-02
/out0 (OFF=0.3354027) Y,7.690691e-02,4.008583e-12,-5.867281e-04,1.926704e-01,3.712220e-02
/out0 (OFF=0.338255) Y,7.691105e-02,4.455703e-12,-6.186646e-04,1.938133e-01,3.756394e-02
/out0 (OFF=0.3411074) Y,7.691542e-02,4.949352e-12,-6.521591e-04,1.950235e-01,3.803455e-02
/out0 (OFF=0.3439597) Y,7.691969e-02,2.295954e-11,-1.708655e-05,1.963057e-01,3.853634e-02
/out0 (OFF=0.3468121) Y,7.692488e-02,6.095974e-12,-7.197430e-04,1.976633e-01,3.907127e-02
