signal,mean_vout_Y,variance_vout_Y,slope_vout
1,0.08649549336151933,3.00659818610981e-14,-877.9235754148772
2,0.08649538806350797,1.1667667635880433e-19,-0.033706574238084076
3,0.11070286803310492,0.0017580062436415422,25655085.917822946
4,0.34836004590559494,0.004457339653515732,230614111.9735982
5,0.3870783011188034,3.601488833262282e-11,1517.3233267635458
6,0.3870750588871828,2.7237670993979457e-11,37.18943753513503
7,0.7854952645405234,0.05792159234354019,641784088.7074884
8,0.9329728203259133,0.0028804810987326,-320663418.6681164
9,0.7298237717138517,0.0016945434132119334,-179718510.37705046
10,0.7059077476328883,6.088342511793977e-11,-2667.0258896851283
11,0.7059121035428974,4.6785013411031065e-11,-102.42895747081343
12,0.9201618036265092,0.011286865632301232,320675133.07180154
13,1.026643857797019,3.3382294686656674e-11,-11667.748739493773
14,1.0266456816064906,4.76199074787659e-11,648.077980414649
15,1.2721279176529734,0.07633570003647878,1282334566.7242188
16,2.1880097943042442,0.03651805987266256,1072766996.8044975
17,2.0687111643916345,0.013027562079203227,-981775638.8501829
18,1.5597256574871246,0.04492321615613416,-966757435.4006068
19,1.347237431728191,7.03823672074189e-10,150330.26031623766
20,1.3472459027814567,7.421736720136577e-12,-819.8254788439535
21,1.383609893048486,0.003966821150693023,51169059.39870777
22,1.6335369920536473,0.0037842651076168956,201029654.23796272
23,1.6691484772795677,9.933346488441936e-11,-1996.4514687135015
24,1.669154034130217,6.580696007405843e-11,-65.34003210735503
25,2.077320090364546,0.059737389255135435,655149895.5096799
26,2.226697413408791,0.002993547920222243,-329217797.3233111
27,2.018889376059818,0.00184165383353831,-184497992.35515314
28,1.9940204090782663,6.20302352157534e-11,-1711.8922940732002
29,1.9940161959259937,3.0733713807178776e-11,209.36940633808769
30,2.2128869877210895,0.011951031154721934,329023709.1083335
31,2.3224362819720135,5.866318848055187e-11,-8019.9897737149395
32,2.3224331302472603,1.2219285407254298e-11,87.3374865948665
33,2.659934129177343,0.13731229998016636,2644173933.563054
34,4.299627706964987,0.39581158314373216,2579902751.0177035
35,4.7241217191699585,0.020330855362154912,-2222062928.209556
36,4.074191595239135,0.11002122285024132,-2289683075.0609818
37,2.834993754224253,0.09854163355105947,-2041101961.6353023
38,2.653159599527862,5.010540755469713e-09,-358124.00041212107
39,2.6531856427352234,5.843510900799752e-09,18820.561660521686
40,2.653143346816997,4.8820186691981445e-09,-2788.667075964827
41,2.8759665871301006,0.011725234176312948,331248675.89214116
42,2.984437643777529,2.945763669889933e-10,-29571.866679543407
43,2.984428126366719,6.653910221432071e-11,-305.95308608859335
44,3.178443780066868,0.04341884261765387,660756365.0752543
45,3.5991691918313986,0.0023803382889583035,-328148667.6559704
46,3.400398364832854,0.008171114724754854,-330157871.2271642
47,3.3152325247396512,1.3648654616415582e-10,-34798.66721470375
48,3.315232815988068,1.0203439901995301e-10,669.9835645704837
49,3.425478566102173,0.012117355841143398,329741652.8250835
50,3.645066115235546,9.164108201990544e-09,257785.730629575
51,3.645106330246337,8.416185456575916e-11,1075.7669819971923
52,3.710579424311368,0.012861277217784657,71466007.55852214
53,4.575738762440014,0.13570307348751093,1276133848.8824825
54,4.792847286317018,0.008453088891090255,-947464941.5819094
55,4.272896325181155,0.08130162770198274,-974026964.9411013
56,3.9737353755292246,1.1333763115080857e-09,124823.18879141426
57,3.9737423787841712,1.6100638842923738e-11,-1899.2841101352515
58,4.009521469698712,0.0038401723549727,57387839.24600681
59,4.263770463103735,0.003983814329691382,203555067.03848067
60,4.300306461267614,2.281323768316445e-10,-3299.2478428441823
61,4.300314796103848,1.5565039850438926e-10,-147.82799011268693
62,4.699146393413209,0.05643274754962703,633478382.6244414
63,4.844300972815634,0.0028011412965724515,-314725686.9378943
64,4.644373110026997,0.0015854021694909686,-176328951.9337082
65,4.621267194466495,1.5985740350999693e-10,-227.03502512622953
66,4.62126035789443,9.152137168547759e-11,285.71914213984644
67,4.818536812407705,0.013949373196782258,314952873.40700436
68,4.936855163022529,1.0866076009853775e-10,4709.821545390128
69,4.936851498635341,6.409649474427935e-11,-230.48706813005418
70,4.936860190678623,,
