/out0 X,/out0 YRe,/out0 YReImag,/out1 X,/out1 YRe,/out1 YReImag,/Vin X,/Vin YRe,/Vin YReImag
0,0.1315346009557314,0,0,0.003446435659234275,0,0,0.025,0
6666666.666666667,0.1282586795509472,-0.02210733364534338,6666666.666666667,0.000103786476569229,-0.0009665992201321757,6666666.666666667,0.025,0
13333333.33333333,0.1192666385239041,-0.04150957072589236,13333333.33333333,-0.0001011659867470073,-0.000473709210476128,13333333.33333333,0.025,0
20000000,0.1065593536211524,-0.05657175597669152,20000000,-0.000126367313995944,-0.0002807785110679114,20000000,0.025,0
26666666.66666667,0.09229036631389616,-0.06699886983633106,26666666.66666667,-0.000121533953055843,-0.0001789950520341078,26666666.66666667,0.025,0
33333333.33333334,0.07806518620461152,-0.07339220112436108,33333333.33333334,-0.000108839841617239,-0.0001179889700703911,33333333.33333334,0.025,0
40000000,0.06479507175730374,-0.07666970934786072,40000000,-9.460632714878497e-05,-7.911149955839328e-05,40000000,0.025,0
46666666.66666666,0.05286548361933732,-0.07770188067793202,46666666.66666666,-8.107823236135838e-05,-5.349202752411878e-05,46666666.66666666,0.025,0
53333333.33333333,0.04235566441084027,-0.07717971451572851,53333333.33333333,-6.902893648093404e-05,-3.627110495017055e-05,53333333.33333333,0.025,0
59999999.99999999,0.03319711500133577,-0.07561004520817932,59999999.99999999,-5.863383384735177e-05,-2.456148293003458e-05,59999999.99999999,0.025,0
66666666.66666666,0.02526254326847094,-0.07335307413659531,66666666.66666666,-4.982486088239121e-05,-1.655609308036042e-05,66666666.66666666,0.025,0
73333333.33333333,0.01840896677393835,-0.07066225492142506,73333333.33333333,-4.244324048122916e-05,-1.108051896211667e-05,73333333.33333333,0.025,0
80000000,0.01249682797807395,-0.06771517104901142,80000000,-3.630565940237734e-05,-7.349138716030606e-06,80000000,0.025,0
86666666.66666667,0.007397987502278563,-0.06463538858057553,86666666.66666667,-3.123241720703026e-05,-4.82472737334809e-06,86666666.66666667,0.025,0
93333333.33333334,0.002998709770105207,-0.06150782063112747,93333333.33333334,-2.705874471015092e-05,-3.133968444155516e-06,93333333.33333334,0.025,0
100000000,-0.000799745503415137,-0.05838976096923307,100000000,-2.363857599125637e-05,-2.01458012038414e-06,100000000,0.025,0
106666666.6666667,-0.004081783304299915,-0.05531894791342369,106666666.6666667,-2.08448953529472e-05,-1.281078163470954e-06,106666666.6666667,0.025,0
113333333.3333334,-0.00691879580430225,-0.05231947691379236,113333333.3333334,-1.856855960737962e-05,-8.019730335556367e-07,113333333.3333334,0.025,0
120000000,-0.009370783654365606,-0.04940609614662692,120000000,-1.671651589758883e-05,-4.842365882306425e-07,120000000,0.025,0
126666666.6666667,-0.01148803756711182,-0.04658727649864152,126666666.6666667,-1.520987356168983e-05,-2.625258662383551e-07,126666666.6666667,0.025,0
133333333.3333334,-0.01331273205477147,-0.04386736267959059,133333333.3333334,-1.398205319102816e-05,-9.15891002236175e-08,133333333.3333334,0.025,0
140000000,-0.01488035125116985,-0.04124804885052245,140000000,-1.297710958545915e-05,5.916329137528825e-08,140000000,0.025,0
146666666.6666667,-0.01622091461560565,-0.03872936861195638,146666666.6666667,-1.214825725001474e-05,2.095938927710642e-07,146666666.6666667,0.025,0
153333333.3333333,-0.01736000078188071,-0.03631034356434212,153333333.3333333,-1.145659250155312e-05,3.717288212683701e-07,153333333.3333333,0.025,0
160000000,-0.01831958495633903,-0.03398939708382935,160000000,-1.086999107572032e-05,5.519072120341355e-07,160000000,0.025,0
166666666.6666667,-0.01911871325300948,-0.03176461026806709,166666666.6666667,-1.036215576098624e-05,7.52396627870862e-07,166666666.6666667,0.025,0
173333333.3333333,-0.01977403961199092,-0.02963387437077562,173333333.3333333,-9.911789744262752e-06,9.726167881901819e-07,173333333.3333333,0.025,0
180000000,-0.02030024996652303,-0.02759497727785331,180000000,-9.501874870728015e-06,1.210070740072209e-06,180000000,0.025,0
186666666.6666666,-0.02071039573868073,-0.02564564945322248,186666666.6666666,-9.119038125240792e-06,1.461053550468123e-06,186666666.6666666,0.025,0
193333333.3333333,-0.02101615555027531,-0.02378358618317011,193333333.3333333,-8.752993432461668e-06,1.721189051770984e-06,193333333.3333333,0.025,0
199999999.9999999,-0.02122804081114749,-0.02200645696061185,199999999.9999999,-8.396048976578512e-06,1.985831943237568e-06,199999999.9999999,0.025,0
206666666.6666666,-0.02135555787148712,-0.02031190875244446,206666666.6666666,-8.042672578855481e-06,2.250363497315535e-06,206666666.6666666,0.025,0
213333333.3333333,-0.02140733682941368,-0.0186975671446724,213333333.3333333,-7.689109315973542e-06,2.510402813056548e-06,213333333.3333333,0.025,0
219999999.9999999,-0.02139123490227197,-0.0171610375564146,219999999.9999999,-7.333046647538016e-06,2.761951051711081e-06,219999999.9999999,0.025,0
226666666.6666666,-0.02131442047883427,-0.01569990756519266,226666666.6666666,-6.973322992432045e-06,3.00148276128681e-06,226666666.6666666,0.025,0
233333333.3333332,-0.02118344252893585,-0.01431175068577106,233333333.3333332,-6.609676084666376e-06,3.225995846365689e-06,233333333.3333332,0.025,0
239999999.9999999,-0.02100428890932493,-0.01299413153999896,239999999.9999999,-6.242527655795697e-06,3.433029714574394e-06,239999999.9999999,0.025,0
246666666.6666665,-0.02078243621475397,-0.01174461214902881,246666666.6666665,-5.872801115594315e-06,3.620659470155954e-06,246666666.6666665,0.025,0
253333333.3333332,-0.02052289314119704,-0.0105607589939417,253333333.3333332,-5.50176899088083e-06,3.787472632592584e-06,253333333.3333332,0.025,0
259999999.9999999,-0.02023023880715522,-0.0094401504822141,259999999.9999999,-5.130926970053096e-06,3.932533671734034e-06,259999999.9999999,0.025,0
266666666.6666665,-0.01990865708937385,-0.008380384489332194,266666666.6666665,-4.761891508235891e-06,4.055340634265943e-06,266666666.6666665,0.025,0
273333333.3333332,-0.01956196773860967,-0.007379085698449593,273333333.3333332,-4.396318083142055e-06,4.155777263990167e-06,273333333.3333332,0.025,0
279999999.9999999,-0.0191936548295336,-0.006433912521129129,279999999.9999999,-4.035837355854156e-06,4.234063274016566e-06,279999999.9999999,0.025,0
286666666.6666666,-0.01880689294476919,-0.005542563441143474,286666666.6666666,-3.68200667953159e-06,4.290704798227659e-06,286666666.6666666,0.025,0
293333333.3333333,-0.01840457138410788,-0.004702782676877272,293333333.3333333,-3.336274606475683e-06,4.326446521050943e-06,293333333.3333333,0.025,0
299999999.9999999,-0.01798931661268149,-0.003912365103615932,299999999.9999999,-2.999956262607908e-06,4.342226547408279e-06,299999999.9999999,0.025,0
306666666.6666666,-0.01756351310887096,-0.003169160414633159,306666666.6666666,-2.674217681232272e-06,4.339134718442742e-06,306666666.6666666,0.025,0
313333333.3333333,-0.01712932273758138,-0.002471076528234015,313333333.3333333,-2.360067408493309e-06,4.318374793666979e-06,313333333.3333333,0.025,0
