/net039 X,/net039 Y,/net010 X,/net010 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net02 X,/net02 Y
4.798804443152376e-09,4.997497723005445,4.798804443152376e-09,4.997490305596003,4.798804443152376e-09,-0.002867428050560297,4.798804443152376e-09,-0.0003486799074783769,4.798804443152376e-09,1.554891357306875
4.806377253652689e-09,4.997482485778074,4.806377253652689e-09,4.997489998897738,4.806377253652689e-09,-0.00516196949433654,4.806377253652689e-09,-0.0004479595286175196,4.806377253652689e-09,1.559098474251494
4.814009869727492e-09,4.997496713980937,4.814009869727492e-09,4.997490286406014,4.814009869727492e-09,0.03741917670922306,4.814009869727492e-09,-0.0004423612808229415,4.814009869727492e-09,1.563338816515274
4.821600632706813e-09,4.997483456049819,4.821600632706813e-09,4.997490002604558,4.821600632706813e-09,0.1960308035913798,4.821600632706813e-09,-0.0004589426174209457,4.821600632706813e-09,1.567555907059341
4.828718424249993e-09,4.997495845214386,4.828718424249993e-09,4.99749030735833,4.828718424249993e-09,0.3827739102015678,4.828718424249993e-09,-0.0006423746249181678,4.828718424249993e-09,1.57151023569444
4.834818794602632e-09,4.997484420992496,4.834818794602632e-09,4.997490015027761,4.834818794602632e-09,0.5044405706301255,4.834818794602632e-09,-0.0009064396232257776,4.834818794602632e-09,1.574899330334795
4.839338781807613e-09,4.997494780021623,4.839338781807613e-09,4.997490303147852,4.839338781807613e-09,0.5810401769741091,4.839338781807613e-09,-0.00090554920240683,4.839338781807613e-09,1.577410434337563
4.843269262244638e-09,4.997485633786248,4.843269262244638e-09,4.997490030240753,4.843269262244638e-09,0.6395767649510716,4.843269262244638e-09,-0.0005957847808060948,4.843269262244638e-09,1.579594034580354
4.846937837050289e-09,4.997493687028545,4.846937837050289e-09,4.997490350485632,4.846937837050289e-09,0.6938163466747957,4.846937837050289e-09,0.0001362021966785091,4.846937837050289e-09,1.581632131694605
4.848947306742835e-09,4.997487111801884,4.848947306742835e-09,4.997490121636243,4.848947306742835e-09,0.7233830245447168,4.848947306742835e-09,0.000694024799692377,4.848947306742835e-09,1.58274850374602
4.851075337502475e-09,4.997492277753164,4.851075337502475e-09,4.997490360615151,4.851075337502475e-09,0.7547419971918075,4.851075337502475e-09,0.001235434598826021,4.851075337502475e-09,1.583930743056931
4.853019337542597e-09,4.997487809966032,4.853019337542597e-09,4.997489732427665,4.853019337542597e-09,0.7827443276138805,4.853019337542597e-09,0.001576134141302903,4.853019337542597e-09,1.585010743079221
4.855410917626674e-09,4.997489714068301,4.855410917626674e-09,4.99748864251617,4.855410917626674e-09,0.8154892408098682,4.855410917626674e-09,0.001752346402236981,4.855410917626674e-09,1.586339398681486
4.857541540106387e-09,4.997485924781041,4.857541540106387e-09,4.997487268816982,4.857541540106387e-09,0.8425885701023915,4.857541540106387e-09,0.001724974533084987,4.857541540106387e-09,1.587523077836882
4.86050890451741e-09,4.997490184393532,4.86050890451741e-09,4.99748939444467,4.86050890451741e-09,0.8803444927962415,4.86050890451741e-09,0.001567324292892284,4.86050890451741e-09,1.589171613620783
4.864376449649038e-09,4.997522628041338,4.864376449649038e-09,4.997524329595731,4.864376449649038e-09,0.9622583592834798,4.864376449649038e-09,0.001836287987164041,4.864376449649038e-09,1.591320249805021
4.867434204803851e-09,4.997567879185739,4.867434204803851e-09,4.997571581608466,4.867434204803851e-09,1.104862696674985,4.867434204803851e-09,0.00281611290989681,4.867434204803851e-09,1.593019002668806
4.87062207853169e-09,4.997328872504102,4.87062207853169e-09,4.997286281893619,4.87062207853169e-09,1.471044842595904,4.87062207853169e-09,0.003341092399684691,4.87062207853169e-09,1.594790043628717
4.873143602345905e-09,4.996815641348721,4.873143602345905e-09,4.996724304203524,4.873143602345905e-09,2.051399538437684,4.873143602345905e-09,0.002889923962201715,4.873143602345905e-09,1.59619089019217
4.875407443582388e-09,4.996439624242174,4.875407443582388e-09,4.996369191239103,4.875407443582388e-09,2.788895654058824,4.875407443582388e-09,0.002125357447309865,4.875407443582388e-09,1.597448579767993
4.876995898286367e-09,4.996393213897572,4.876995898286367e-09,4.996361452469493,4.876995898286367e-09,3.339650740993357,4.876995898286367e-09,0.001535311130772038,4.876995898286367e-09,1.598331054603537
