/Aout X,/Aout YRe,/Aout YReImag,/Bout X,/Bout YRe,/Bout YReImag,/Cout X,/Cout YRe,/Cout YReImag,/Vin X,/Vin YRe,/Vin YReImag
0,0.02460471472234197,0,0,0.1383841328727696,0,0,0.3532800748059423,0,0,0.005,0
6666666.666666667,0.02228680298524719,-0.007570575333430449,6666666.666666667,0.1031911508252178,-0.07501913325957203,6666666.666666667,-0.002883419663219904,-0.1978212831193963,6666666.666666667,0.005,0
13333333.33333333,0.01725672098980558,-0.0120566299196066,13333333.33333333,0.03973728959350938,-0.09574060741459446,13333333.33333333,-0.07355303654474026,-0.05956377739033595,13333333.33333333,0.005,0
20000000,0.01226277166899688,-0.01355276014793981,20000000,-0.004014530826359986,-0.0791662407927486,20000000,-0.04999420829851565,-0.004015960466871873,20000000,0.005,0
26666666.66666667,0.008351542118535811,-0.01340082612702552,26666666.66666667,-0.02350228402153416,-0.05498472770874598,26666666.66666667,-0.02678481381698944,0.01059339818429844,26666666.66666667,0.005,0
33333333.33333334,0.005516381375895231,-0.0125646046074964,33333333.33333334,-0.02894652981529604,-0.03513108196812956,33333333.33333334,-0.01299241135376689,0.01194842538785848,33333333.33333334,0.005,0
40000000,0.003495376777164285,-0.01151957239370162,40000000,-0.02817258454439078,-0.02120139102285559,40000000,-0.00566858795435658,0.009897870479936144,40000000,0.005,0
46666666.66666666,0.002046305405728775,-0.01046829576645659,46666666.66666666,-0.02514210338720385,-0.01194741991324025,46666666.66666666,-0.001939729197936754,0.007448311187004078,46666666.66666666,0.005,0
53333333.33333333,0.000993466574094233,-0.009487934498195835,53333333.33333333,-0.02158346685781051,-0.005916940542419734,53333333.33333333,-0.0001074056283324508,0.005380965481546679,53333333.33333333,0.005,0
59999999.99999999,0.0002171789923900533,-0.008601838752524432,59999999.99999999,-0.01818027046984469,-0.002017595103660971,59999999.99999999,0.0007385290984937953,0.003806211547181626,59999999.99999999,0.005,0
66666666.66666666,-0.000363274432747304,-0.007811179925841513,66666666.66666666,-0.01516346835202109,0.0004861851072800726,66666666.66666666,0.001076243708008401,0.002654930825233788,66666666.66666666,0.005,0
73333333.33333333,-0.0008027787976593194,-0.007108585926433965,73333333.33333333,-0.01257699337200798,0.002073578635910479,73333333.33333333,0.00115693970125303,0.001828241079415252,73333333.33333333,0.005,0
80000000,-0.001139159829480023,-0.006484002618047375,80000000,-0.01039285192937022,0.003054958505205428,80000000,0.001112784217995101,0.001239205291545318,80000000,0.005,0
86666666.66666667,-0.001398856112375261,-0.005927191153356624,86666666.66666667,-0.008560065945233016,0.003632383075259793,86666666.66666667,0.001013073380464333,0.0008208000540775546,86666666.66666667,0.005,0
93333333.33333334,-0.00160059854117205,-0.005428739052494963,93333333.33333334,-0.007024818124191793,0.003938642097661125,93333333.33333334,0.0008936949046379507,0.0005240344043780427,93333333.33333334,0.005,0
100000000,-0.001757831497183736,-0.004980400621963549,100000000,-0.00573808125000427,0.004061979488314239,100000000,0.0007727437845490355,0.0003139354846831657,100000000,0.005,0
106666666.6666667,-0.001880330830585752,-0.00457513460104277,106666666.6666667,-0.004657868260963412,0.004061727981368495,106666666.6666667,0.0006588623160405898,0.0001657684300099325,106666666.6666667,0.005,0
